Orthogroup	Megachile_rotundata	Vespa_mandarinia
OG0000001	XP_012153916.1, XP_012153915.1	XP_035720574.1
OG0000001	XP_012136792.1, XP_012150537.1, XP_003707539.1, XP_012146067.1	XP_035726105.1
OG0000001	XP_003704416.1, XP_012143065.1, XP_012143066.1, XP_003704415.1, XP_003704279.1, XP_012143067.1, XP_003704414.1, XP_012140371.1, XP_012140372.1, XP_003703231.1, XP_012143070.1, XP_012143071.1, XP_012143072.1, XP_003704281.1, XP_012143073.1, XP_003704278.1, XP_012143061.1, XP_003704412.1	XP_035737410.1, XP_035737418.1, XP_035737424.1
OG0000001	XP_003703200.1	XP_035734021.1, XP_035734020.1, XP_035734019.1
OG0000001	XP_003699913.1	XP_035738421.1
OG0000002	XP_003700910.2	XP_035737286.1, XP_035737171.1, XP_035737322.1, XP_035737321.1
OG0000002	XP_003700909.2	XP_035737326.1
OG0000002	XP_003700936.1, XP_003700935.1	XP_035737177.1
OG0000002	XP_003700845.1, XP_003700846.1, XP_003700844.1, XP_003700934.1	XP_035737160.1, XP_035737224.1
OG0000002	XP_003700932.1, XP_003700933.2	XP_035737208.1
OG0000002	XP_003700913.1, XP_003700912.1, XP_012135096.1, XP_003700836.1, XP_003700837.1, XP_003700911.2, XP_003700914.1, XP_012135238.1, XP_012135239.1, XP_012135236.1, XP_003700918.2	XP_035737172.1, XP_035737325.1, XP_035737203.1
OG0000002	XP_012135244.1, XP_012135242.1, XP_012135246.1, XP_003700930.1, XP_003700925.1, XP_003700923.1, XP_003700922.1, XP_012135243.1, XP_012135245.1, XP_003700843.1, XP_003700842.2, XP_012135240.1	XP_035737210.1
OG0000003	XP_012148418.1	XP_035731237.1
OG0000003	XP_012151327.1	XP_035742199.1
OG0000004	XP_012151871.1	XP_035731242.1
OG0000004	XP_012148632.1	XP_035731236.1, XP_035737767.1, XP_035737738.1, XP_035725544.1
OG0000004	XP_012145948.1	XP_035735035.1, XP_035734136.1
OG0000004	XP_012153556.1	XP_035734899.1
OG0000004	XP_012147779.1	XP_035737763.1
OG0000004	XP_003706754.1	XP_035737762.1
OG0000004	XP_003701631.1	XP_035734902.1
OG0000004	XP_012152390.1, XP_012146360.1	XP_035739245.1
OG0000006	XP_012143123.1	XP_035718467.1
OG0000006	XP_003707057.2, XP_012149242.1	XP_035740898.1
OG0000008	XP_003705710.1	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1
OG0000008	XP_003705711.1	XP_035736007.1
OG0000008	XP_003705712.1	XP_035736200.1, XP_035736201.1, XP_035736202.1
OG0000008	XP_003705707.1	XP_035739950.1, XP_035739951.1, XP_035739948.1
OG0000009	XP_012145773.1, XP_012145771.1, XP_012145774.1	XP_035722243.1
OG0000009	XP_003703411.1	XP_035733996.1
OG0000009	XP_003705489.1, XP_003705491.1	XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1
OG0000010	XP_012152972.1, XP_012150535.1, XP_012143531.1, XP_012153225.1, XP_012148716.1, XP_012153217.1	XP_035740330.1, XP_035741893.1, XP_035731225.1, XP_035742782.1, XP_035739222.1
OG0000012	XP_012141586.1	XP_035733658.1
OG0000012	XP_003705466.1	XP_035729179.1
OG0000012	XP_003705999.2	XP_035731128.1
OG0000012	XP_012146827.1	XP_035731058.1, XP_035731059.1
OG0000013	XP_003707914.1	XP_035732971.1
OG0000013	XP_003708097.1	XP_035732326.1, XP_035732327.1, XP_035732323.1, XP_035732322.1, XP_035732328.1
OG0000014	XP_003703733.1, XP_012153581.1, XP_012141730.1, XP_003707917.1	XP_035717855.1, XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1
OG0000016	XP_012153435.1, XP_012148641.1, XP_012148353.1, XP_012150531.1, XP_012150588.1, XP_012152709.1, XP_012142648.1, XP_012146322.1, XP_012152965.1, XP_012147489.1, XP_012135752.1, XP_012146605.1, XP_012145822.1	XP_035739379.1
OG0000017	XP_012136742.1	XP_035722701.1
OG0000017	XP_012145417.1, XP_003705347.1, XP_012153570.1	XP_035728385.1
OG0000018	XP_003699290.1	XP_035718019.1
OG0000018	XP_012135493.1	XP_035718148.1
OG0000018	XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1	XP_035735080.1
OG0000019	XP_012138718.1	XP_035725561.1
OG0000019	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1	XP_035726985.1
OG0000020	XP_012144180.1	XP_035723591.1
OG0000020	XP_012136049.1	XP_035725275.1
OG0000020	XP_003701701.2	XP_035728836.1
OG0000020	XP_012136672.1	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1
OG0000021	XP_012152676.1, XP_003708291.1	XP_035729141.1
OG0000021	XP_012145971.1, XP_012145969.1	XP_035721174.1, XP_035721172.1, XP_035721170.1, XP_035721169.1, XP_035721173.1
OG0000021	XP_012138701.1	XP_035723530.1
OG0000021	XP_012135825.1	XP_035723165.1, XP_035723164.1
OG0000021	XP_012152675.1, XP_003708289.1	XP_035729144.1
OG0000022	XP_012137783.1	XP_035725916.1
OG0000022	XP_012151724.1	XP_035725918.1, XP_035725921.1, XP_035725917.1, XP_035725920.1
OG0000022	XP_003706155.1	XP_035721830.1
OG0000024	XP_003705303.1	XP_035742194.1
OG0000024	XP_003705639.2	XP_035728675.1, XP_035728676.1, XP_035728677.1
OG0000024	XP_003699641.1, XP_012142103.1	XP_035738183.1
OG0000024	XP_003700292.1	XP_035720575.1, XP_035720354.1, XP_035720356.1, XP_035720355.1, XP_035720353.1
OG0000024	XP_003699642.1	XP_035738182.1
OG0000025	XP_012148649.1	XP_035742376.1, XP_035742379.1, XP_035739240.1, XP_035725547.1, XP_035740254.1
OG0000025	XP_012152028.1, XP_003708364.1	XP_035731230.1, XP_035723148.1, XP_035733844.1, XP_035727538.1, XP_035737739.1
OG0000025	XP_003708133.2, XP_012149733.1	XP_035737755.1, XP_035743605.1, XP_035739225.1, XP_035739229.1, XP_035739232.1, XP_035733116.1, XP_035739230.1
