Orthogroup	Apis_mellifera	Anopheles_gambiae
OG0000001	XP_623362.3, XP_026300534.1, NP_001352129.1, NP_001352128.1, XP_026300533.1, XP_026300532.1, XP_026300343.1, NP_001035324.1, XP_006565062.2, XP_397347.4, XP_026300531.1, XP_623595.1, NP_001352068.1, XP_006565077.1, XP_026300601.1, XP_006565076.1, NP_001352069.1, XP_026300602.1, XP_026300530.1, XP_016771320.1, XP_026300535.1, XP_395671.3, XP_026296210.1, XP_006564499.3, NP_001191991.1, XP_016770827.2	XP_563971.3
OG0000002	NP_001229891.1, NP_001229890.1, NP_001229892.1, NP_001229889.1, XP_006565945.1, XP_016773520.1, XP_016773523.1, NP_001229894.1, XP_026302135.1, NP_001229893.1, XP_026302134.1, NP_001229888.1, XP_006565941.2, XP_006565943.1, NP_001229887.1, XP_003250767.2, XP_026294956.1, XP_003250769.3, XP_026294905.1, XP_026294912.1, XP_006565883.2, NP_001229910.1, XP_026294765.1, NP_001229909.1, XP_006572517.1, NP_001229911.1, XP_016773537.1, XP_016773528.1, XP_016773529.1, XP_006565970.2, NP_001229907.1, NP_001229906.1, NP_001229905.1, XP_026302143.1, NP_001229900.1, NP_001229895.1, XP_003250726.1, XP_016773538.1, XP_003250765.1, XP_006565948.1, XP_001121659.1, XP_006565947.2, NP_001229896.1, XP_016773454.2, XP_006565887.1, NP_001229899.1, NP_001229898.1, XP_026294907.1, XP_026294903.1, XP_016773531.1, XP_016773532.1, XP_001121864.2, NP_001229904.1, XP_026302131.1, XP_006565964.1, XP_026294957.1, XP_016773539.1, NP_001229902.1, XP_003250750.1, XP_003250751.1, XP_006565958.1, XP_016773535.1, XP_006565962.1, XP_026294766.1, XP_003250754.2, XP_016773534.1, XP_006565886.1, NP_001229901.1, XP_006565953.2, NP_001229897.1	XP_317343.1
OG0000005	XP_016771095.2	XP_308124.5
OG0000006	XP_003250826.2	XP_310173.1, XP_310172.2
OG0000008	XP_006565046.2	XP_310333.7
OG0000008	XP_026301320.1	XP_310338.7, XP_310337.6
OG0000008	XP_396549.3	XP_312388.4, XP_312387.5
OG0000008	XP_394219.3	XP_003436608.1, XP_003436609.1, XP_003436607.1
OG0000008	XP_003250567.1	XP_559558.6, XP_003436610.1
OG0000008	XP_016769477.1	XP_310340.1
OG0000009	XP_006562365.2, XP_006562363.1, XP_006562364.1, XP_392000.1, XP_026300962.1	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2
OG0000012	XP_026297101.1, XP_026297165.1	XP_317829.4
OG0000012	XP_016768428.1	XP_554157.3, XP_319603.2, XP_317170.2, XP_317171.2, XP_317172.2, XP_555167.1, XP_317173.2, XP_317175.2, XP_317174.2, XP_318046.3, XP_319102.4, XP_001231167.2
OG0000012	XP_026301256.1, XP_026301257.1, XP_016772201.1, XP_016772200.1	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2
OG0000013	XP_001120132.1	XP_307081.3
OG0000013	XP_006570899.1	XP_318362.3, XP_307606.3, XP_307601.3
OG0000013	XP_624499.1	XP_320335.2, XP_320336.2
OG0000017	XP_006563394.1, NP_001171499.1	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1
OG0000018	XP_393750.5	XP_316463.3, XP_557101.2
OG0000018	XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2	XP_558678.4, XP_551022.4, XP_321300.4
OG0000018	XP_026299794.1, XP_006563569.1	XP_312930.5
OG0000019	XP_026299702.1	XP_321444.5
OG0000019	XP_006572051.3	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4
