Orthogroup	Bombus_terrestris	Osmia_lignaria
OG0000000	XP_012175323.1, XP_012175227.1, XP_012171987.1, XP_012174870.1, XP_012173834.1, XP_012174868.1	XP_034194192.1
OG0000000	XP_012174517.1, XP_020723248.1	XP_034194634.1
OG0000001	XP_012170860.1, XP_003400131.1	XP_034194619.1, XP_034194603.1, XP_034194594.1
OG0000001	XP_012170855.1	XP_034178689.1, XP_034178688.1, XP_034178687.1, XP_034178696.1
OG0000001	XP_003400126.1	XP_034194583.1, XP_034194581.1, XP_034194582.1
OG0000001	XP_003400119.1	XP_034178690.1
OG0000001	XP_012170859.1, XP_020721796.1	XP_034178111.1
OG0000002	XP_012171355.1	XP_034192193.1, XP_034194539.1, XP_034194881.1, XP_034189857.1, XP_034194584.1, XP_034194801.1, XP_034195199.1, XP_034194884.1, XP_034177368.1, XP_034183909.1, XP_034195200.1, XP_034195189.1, XP_034192544.1, XP_034194984.1, XP_034195050.1, XP_034194985.1
OG0000002	XP_012174272.1	XP_034186984.1
OG0000003	XP_012175225.1, XP_012175228.1, XP_012168908.1, XP_003401566.2, XP_012176696.1	XP_034192337.1
OG0000004	XP_012170046.1	XP_034183052.1
OG0000004	XP_020721563.1	XP_034183283.1
OG0000004	XP_003399526.1, XP_012169978.1, XP_020721562.1, XP_003402807.2, XP_020723854.1, XP_020721662.1	XP_034183284.1, XP_034183285.1, XP_034183048.1
OG0000005	XP_020721191.1, XP_012175294.2, XP_020721239.1, XP_012169504.1, XP_020721190.1, XP_020721189.1, XP_012169044.2	XP_034175224.1, XP_034175225.1, XP_034176024.1
OG0000006	XP_003400772.1, XP_003400771.1	XP_034191426.1
OG0000006	XP_003392969.1	XP_034184139.1, XP_034195020.1, XP_034171306.1, XP_034174016.1, XP_034173944.1, XP_034173427.1, XP_034171174.1, XP_034171451.1
OG0000006	XP_020718381.1	XP_034173511.1
OG0000007	XP_012167402.1, XP_020720438.1	XP_034196577.1, XP_034179608.1, XP_034196053.1, XP_034179620.1, XP_034191910.1
OG0000007	XP_020719100.1, XP_020723333.1, XP_012173473.1, XP_012173466.1, XP_020720441.1, XP_003397834.1, XP_003403225.1, XP_020720439.1	XP_034196442.1
OG0000008	XP_003396990.1, XP_003396989.1	XP_034174481.1, XP_034174489.1
OG0000008	XP_003399722.1	XP_034186914.1
OG0000008	XP_003394490.1	XP_034183066.1
OG0000008	XP_003394488.1	XP_034183063.1
OG0000009	XP_012176279.1	XP_034188385.1
OG0000010	XP_020722486.1, XP_020722598.1, XP_003401178.1, XP_020722589.1, XP_003403234.2, XP_003403422.1, XP_003401115.1, XP_020722487.1, XP_003401116.2, XP_020722597.1, XP_003403027.1	XP_034179226.1, XP_034179208.1, XP_034179214.1, XP_034179212.1, XP_034179508.1, XP_034179507.1, XP_034179211.1
OG0000011	XP_012170379.1, XP_012170380.1, XP_020721435.1, XP_003399794.1, XP_020721436.1, XP_012170385.1, XP_012170387.1, XP_012170386.1	XP_034186670.1, XP_034186666.1, XP_034186667.1, XP_034186658.1, XP_034186654.1, XP_034186665.1, XP_034186664.1, XP_034186663.1, XP_034186662.1, XP_034186661.1, XP_034186660.1, XP_034186659.1, XP_034186656.1, XP_034186655.1, XP_034186669.1
OG0000012	XP_012170544.1, XP_012170543.1, XP_012170542.1, XP_012170541.1, XP_012170540.1, XP_012170539.1, XP_020721690.1, XP_012170538.1	XP_034186457.1, XP_034186455.1, XP_034186454.1, XP_034186459.1, XP_034186458.1, XP_034186462.1, XP_034186460.1, XP_034186461.1, XP_034186464.1, XP_034186463.1
OG0000014	XP_012166136.1	XP_034172221.1, XP_034172089.1, XP_034195019.1, XP_034171801.1, XP_034174017.1, XP_034173430.1
OG0000014	XP_003392970.1	XP_034172344.1, XP_034172482.1, XP_034173947.1, XP_034173516.1, XP_034173945.1
OG0000015	XP_012171125.2, XP_012174398.2, XP_020721957.1	XP_034178503.1
OG0000017	XP_012175550.1	XP_034173428.1, XP_034173938.1, XP_034171974.1, XP_034183944.1, XP_034173515.1, XP_034171836.1, XP_034173514.1, XP_034195016.1, XP_034171788.1
OG0000018	XP_003398707.1, XP_003398706.1	XP_034187723.1, XP_034187722.1, XP_034187720.1, XP_034187719.1, XP_034187724.1
OG0000019	XP_012164839.1	XP_034195722.1, XP_034195724.1, XP_034195725.1, XP_034195721.1, XP_034195720.1, XP_034195717.1, XP_034195716.1, XP_034195719.1, XP_034195718.1, XP_034195715.1, XP_034195714.1
OG0000020	XP_020720720.1, XP_003401565.2	XP_034179515.1, XP_034179497.1, XP_034179001.1, XP_034179112.1, XP_034179105.1, XP_034192240.1, XP_034179568.1, XP_034179326.1, XP_034179496.1, XP_034179104.1, XP_034179567.1, XP_034179107.1, XP_034179109.1, XP_034178945.1, XP_034179106.1, XP_034179327.1, XP_034178946.1
OG0000021	XP_012175449.1	XP_034196681.1
OG0000022	XP_012173075.1, XP_012173068.1, XP_012173069.1, XP_012173070.1, XP_012173071.1, XP_012173067.1	XP_034190542.1, XP_034190549.1, XP_034190548.1, XP_034190550.1, XP_034190544.1, XP_034190547.1, XP_034190545.1, XP_034190543.1
OG0000023	XP_003396672.1, XP_003399806.1, XP_012175515.1, XP_020722898.1	XP_034194812.1
OG0000025	XP_020723218.1, XP_003402194.1, XP_012173626.1, XP_020723220.1, XP_020723219.1, XP_012173627.1	XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182855.1, XP_034182851.1, XP_034182850.1, XP_034182856.1
OG0000026	XP_003398369.1, XP_012168085.1, XP_012168086.1, XP_012168083.1, XP_012168084.1	XP_034189435.1, XP_034189434.1, XP_034189436.1, XP_034189437.1, XP_034189438.1
OG0000027	XP_003398638.1, XP_012168485.1, XP_012168486.1, XP_012168487.1, XP_012168488.1, XP_012168489.1, XP_012168490.1, XP_012168484.1	XP_034176177.1, XP_034176176.1, XP_034176171.1, XP_034176175.1, XP_034176174.1, XP_034176173.1, XP_034176178.1, XP_034176172.1
OG0000028	XP_012174599.1, XP_012174600.1, XP_012174604.1, XP_012174601.1, XP_012174602.1, XP_003402871.1	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1
OG0000029	XP_012167211.1, XP_012167212.1, XP_012167209.1, XP_012167210.1, XP_003397633.1, XP_012167208.1	XP_034189051.1, XP_034189052.1
OG0000030	XP_020718526.1, XP_020718527.1	XP_034174216.1, XP_034173942.1
OG0000031	XP_020721716.1	XP_034187152.1, XP_034187153.1, XP_034187150.1, XP_034187149.1, XP_034187151.1, XP_034187148.1
OG0000032	XP_012166697.1, XP_012166700.1, XP_003397323.1, XP_003397322.1, XP_003397324.1	XP_034188074.1, XP_034188075.1, XP_034188076.1
OG0000033	XP_003400937.1, XP_020721993.1, XP_012171929.1, XP_012171930.1	XP_034180404.1, XP_034180403.1, XP_034180406.1, XP_034180402.1
OG0000034	XP_012164119.1, XP_012164121.1, XP_012164120.1	XP_034176957.1, XP_034176958.1, XP_034176959.1, XP_034176953.1, XP_034176954.1, XP_034176955.1, XP_034176956.1
OG0000035	XP_012172815.1, XP_012172814.1, XP_012172816.1, XP_012172817.1	XP_034193470.1, XP_034193472.1, XP_034193474.1, XP_034193475.1, XP_034193473.1, XP_034193476.1
OG0000036	XP_012169872.1, XP_012169873.1, XP_012169871.1, XP_003399621.1	XP_034186581.1, XP_034186577.1, XP_034186579.1, XP_034186578.1, XP_034186576.1, XP_034186580.1
OG0000037	XP_003396400.1	XP_034172064.1
OG0000038	XP_003399689.1, XP_012170206.1	XP_034190835.1, XP_034190836.1
OG0000038	XP_012173498.1, XP_020723033.1	XP_034176738.1, XP_034176739.1
OG0000039	XP_003399165.1, XP_003399166.1, XP_012169436.1, XP_012169438.1, XP_012169439.1, XP_012169441.1	XP_034181405.1, XP_034181399.1, XP_034181401.1, XP_034181402.1, XP_034181400.1, XP_034181403.1
OG0000040	XP_012167037.1, XP_012167036.1, XP_012167034.1, XP_012167030.1, XP_012167031.1, XP_012167033.1	XP_034184421.1
OG0000041	XP_012174864.1	XP_034194957.1
OG0000041	XP_012173831.1, XP_012175491.1, XP_012171920.1, XP_012169517.1, XP_020723949.1, XP_020723189.1, XP_012171921.1	XP_034194031.1
OG0000041	XP_012175480.1	XP_034195325.1
OG0000042	XP_020720341.1	XP_034185236.1
OG0000043	XP_003393409.1	XP_034173337.1, XP_034173336.1, XP_034173334.1, XP_034173335.1
OG0000044	XP_012172566.2	XP_034179353.1, XP_034179355.1, XP_034179356.1
OG0000046	XP_003393999.1, XP_003393907.1, XP_020722356.1, XP_020723889.1, XP_012175705.1, XP_003394000.1, XP_012175707.1, XP_003393910.1, XP_003393913.1, XP_012175708.2	XP_034171928.1, XP_034171932.1, XP_034171930.1, XP_034171011.1
OG0000047	XP_003396338.1, XP_003392968.1	XP_034173513.1, XP_034184140.1, XP_034173808.1, XP_034171775.1, XP_034171711.1, XP_034171584.1, XP_034173512.1
OG0000048	XP_012171815.1	XP_034194531.1, XP_034194822.1, XP_034192185.1
OG0000049	XP_020719074.1, XP_003393329.1, XP_020719067.1, XP_020722566.1	XP_034195422.1, XP_034195424.1
OG0000049	XP_012166402.1, XP_003393343.1, XP_003393341.1, XP_003393340.1, XP_012166351.1	XP_034195423.1, XP_034195421.1
OG0000050	XP_003403152.1, XP_020723773.1, XP_003403151.1, XP_012175160.1, XP_012175161.1, XP_012175162.1	XP_034190520.1, XP_034190518.1, XP_034190519.1
OG0000051	XP_003394733.1, XP_020721699.1, XP_020723568.1, XP_020723847.1, XP_003403375.2, XP_020723961.1, XP_003403427.2, XP_012175487.2, XP_012175505.2, XP_012175211.1, XP_012175212.1, XP_012174533.1, XP_012173842.1, XP_003402269.1, XP_012175213.2, XP_003402802.1, XP_020723849.1, XP_012174003.2, XP_020723970.1, XP_012175509.2, XP_020723511.1, XP_020723935.1, XP_020723892.1	XP_034191137.1
OG0000052	XP_003402888.1	XP_034195801.1
OG0000052	XP_003402887.1, XP_012174757.1	XP_034196365.1
OG0000053	XP_012174271.2, XP_020723867.1, XP_012175325.1, XP_020723893.1	XP_034185422.1
OG0000054	XP_003402889.2	XP_034195791.1, XP_034195790.1, XP_034195789.1, XP_034195792.1
OG0000055	XP_003397755.1, XP_020720316.1, XP_020720318.1, XP_012167100.1, XP_012167097.1, XP_012167099.1, XP_012167098.1	XP_034184425.1, XP_034184424.1, XP_034184427.1, XP_034184426.1
