Orthogroup	Vespa_mandarinia	Anopheles_gambiae
OG0000001	XP_035732647.1, XP_035732646.1, XP_035732645.1, XP_035732533.1, XP_035732420.1, XP_035726105.1, XP_035737410.1, XP_035737418.1, XP_035737424.1, XP_035734021.1, XP_035734020.1, XP_035734019.1, XP_035738421.1, XP_035741324.1	XP_563971.3
OG0000002	XP_035737286.1, XP_035737171.1, XP_035737322.1, XP_035737321.1, XP_035737299.1, XP_035737317.1, XP_035737318.1, XP_035737326.1, XP_035737177.1, XP_035737160.1, XP_035737224.1, XP_035737208.1, XP_035737170.1, XP_035737172.1, XP_035737325.1, XP_035737203.1, XP_035737175.1, XP_035737209.1, XP_035737176.1, XP_035737173.1, XP_035737210.1	XP_317343.1
OG0000004	XP_035731243.1, XP_035731251.1	XP_310729.1
OG0000006	XP_035732062.1	XP_320909.1, XP_320910.3
OG0000006	XP_035740898.1	XP_310173.1, XP_310172.2
OG0000008	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1	XP_310333.7
OG0000008	XP_035736007.1	XP_310332.7, XP_003436611.1
OG0000008	XP_035736200.1, XP_035736201.1, XP_035736202.1	XP_559558.6, XP_003436610.1
OG0000008	XP_035739950.1, XP_035739951.1, XP_035739948.1	XP_310340.1
OG0000009	XP_035722243.1, XP_035733996.1, XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2
OG0000012	XP_035729179.1	XP_317829.4
OG0000012	XP_035731128.1, XP_035731058.1, XP_035731059.1	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2
OG0000013	XP_035732971.1	XP_307081.3
OG0000013	XP_035725915.1	XP_307601.3
OG0000013	XP_035732323.1	XP_320335.2, XP_320336.2
OG0000017	XP_035722701.1	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1
OG0000017	XP_035728385.1	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1
OG0000018	XP_035730877.1	XP_316463.3, XP_557101.2
OG0000018	XP_035718019.1	XP_558678.4, XP_551022.4, XP_321300.4
OG0000018	XP_035718148.1, XP_035735080.1	XP_312930.5
OG0000019	XP_035725561.1, XP_035725574.1, XP_035725576.1	XP_321444.5
OG0000019	XP_035720602.1, XP_035726985.1	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4
OG0000020	XP_035723591.1	XP_554133.3
OG0000020	XP_035725275.1	XP_314903.3, XP_554132.3
OG0000020	XP_035728836.1	XP_001238085.2, XP_319101.4
OG0000020	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1	XP_312941.4, XP_321843.5
OG0000021	XP_035729141.1	XP_313342.5, XP_003436532.1
OG0000021	XP_035723530.1	XP_320239.4, XP_312638.5
OG0000021	XP_035723165.1, XP_035723164.1	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4
OG0000021	XP_035743843.1, XP_035743842.1	XP_321592.4
OG0000022	XP_035725916.1	XP_320674.3
OG0000022	XP_035721830.1	XP_318365.3
OG0000022	XP_035735255.1	XP_306256.1, XP_307083.3
OG0000023	XP_035735990.1	XP_318364.5
OG0000024	XP_035720575.1, XP_035720354.1, XP_035720356.1, XP_035720355.1, XP_035720353.1	XP_319504.3, XP_315663.4, XP_315499.1, XP_001237675.1, XP_001237676.2, XP_556135.3, XP_315496.4, XP_312977.3
OG0000026	XP_035728457.1	XP_558069.3
OG0000026	XP_035718093.1, XP_035718094.1	XP_321915.5
OG0000027	XP_035725930.1	XP_315129.4
OG0000027	XP_035725928.1	XP_306825.4, XP_307607.3
OG0000029	XP_035732363.1, XP_035732348.1	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1
OG0000029	XP_035737588.1	XP_319711.4
OG0000029	XP_035732367.1, XP_035732349.1	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4
OG0000030	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1	XP_320774.4
OG0000032	XP_035735826.1	XP_309525.4
OG0000032	XP_035730167.1	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6
OG0000035	XP_035731371.1	XP_317561.4
OG0000036	XP_035729817.1, XP_035729794.1	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1
OG0000037	XP_035725074.1	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1
OG0000038	XP_035735001.1, XP_035735000.1	XP_551626.4, XP_321937.5, XP_309723.4
OG0000038	XP_035739586.1	XP_312152.5
OG0000040	XP_035742485.1, XP_035725216.1	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7
OG0000041	XP_035743035.1	XP_001230772.1, XP_003437050.1, XP_003437049.1
OG0000041	XP_035742718.1, XP_035742717.1	XP_313971.4
OG0000042	XP_035732212.1	XP_311704.5
OG0000043	XP_035731122.1	XP_317400.2
OG0000044	XP_035717273.1, XP_035744089.1, XP_035744088.1	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5
OG0000045	XP_035720478.1, XP_035720481.1, XP_035720479.1, XP_035731034.1, XP_035731019.1, XP_035720482.1	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3
OG0000046	XP_035742705.1	XP_313085.3
OG0000046	XP_035722173.1	XP_001688467.2
OG0000046	XP_035734549.1, XP_035728851.1, XP_035728840.1	XP_001689308.2
OG0000050	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1, XP_035718383.1	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5
OG0000052	XP_035730522.1, XP_035729830.1, XP_035729829.1, XP_035729805.1	XP_319685.4
OG0000052	XP_035743009.1, XP_035743008.1	XP_555802.2, XP_317786.3
OG0000054	XP_035724338.1	XP_556684.2
OG0000054	XP_035724099.1, XP_035724441.1	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3
OG0000055	XP_035726348.1, XP_035726347.1	XP_553645.3
OG0000055	XP_035720014.1	XP_312790.4
OG0000056	XP_035726130.1, XP_035718477.1	XP_318579.4
OG0000056	XP_035728622.1	XP_550805.4
OG0000056	XP_035729096.1	XP_317863.3
OG0000057	XP_035734097.1	XP_309765.4
OG0000057	XP_035734264.1	XP_314483.4
OG0000057	XP_035734268.1	XP_315005.3
OG0000060	XP_035730103.1	XP_318748.4
OG0000061	XP_035724328.1	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5
OG0000061	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4
OG0000062	XP_035737336.1	XP_308609.4, XP_308610.4, XP_315550.4, XP_315549.4, XP_308607.3, XP_308606.2, XP_001688031.1
OG0000065	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1	XP_321329.4
OG0000067	XP_035734988.1	XP_320481.4
OG0000067	XP_035729165.1, XP_035729166.1	XP_315003.3, XP_001688603.1, XP_315671.4
OG0000067	XP_035724654.1	XP_315363.4
OG0000077	XP_035738027.1	XP_319941.4
OG0000077	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1	XP_316979.4, XP_321166.4
OG0000079	XP_035741820.1, XP_035741810.1, XP_035741818.1	XP_001238492.1
OG0000079	XP_035741822.1, XP_035741817.1	XP_319818.4
OG0000080	XP_035724002.1	XP_313655.5
OG0000080	XP_035722996.1	XP_313656.5, XP_003436798.1, XP_003436797.1
OG0000082	XP_035733049.1, XP_035733058.1, XP_035733057.1, XP_035733059.1	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2
OG0000085	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1, XP_035737189.1	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3
OG0000086	XP_035718518.1	XP_552698.3
OG0000086	XP_035737219.1, XP_035737220.1	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1
OG0000087	XP_035734892.1	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4
OG0000087	XP_035735028.1	XP_306334.2, XP_308083.4, XP_308082.4
OG0000088	XP_035718097.1	XP_317091.3
OG0000089	XP_035732042.1	XP_319737.4
OG0000089	XP_035729577.1	XP_310298.6
OG0000091	XP_035743855.1	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2
OG0000092	XP_035729950.1	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1
OG0000092	XP_035718227.1	XP_321262.1, XP_003435947.1
OG0000094	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1	XP_317094.4, XP_001689000.1
OG0000094	XP_035729864.1	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5
OG0000095	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1	XP_316096.4, XP_316098.3, XP_316099.4
OG0000096	XP_035735801.1	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4
OG0000096	XP_035724668.1, XP_035724666.1	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2
OG0000097	XP_035742312.1, XP_035742314.1, XP_035742313.1, XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1	XP_003436515.1, XP_003436516.1, XP_562379.1
