Orthogroup	Drosophila_melanogaster	Eufriesea_mexicana
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	XP_017758028.1, XP_017758027.1, XP_017758031.1, XP_017758026.1, XP_017757765.1, XP_017757760.1, XP_017757755.1, XP_017757759.1, XP_017757781.1, XP_017757757.1, XP_017757758.1, XP_017757797.1, XP_017757798.1, XP_017757795.1, XP_017757796.1, XP_017757799.1, XP_017757740.1, XP_017757764.1, XP_017757780.1, XP_017757738.1, XP_017759613.1, XP_017767083.1, XP_017759625.1
OG0000004	NP_001262388.1	XP_017760971.1
OG0000008	NP_572981.1	XP_017764283.1
OG0000008	NP_572985.1	XP_017764386.1
OG0000008	NP_651466.1	XP_017752288.1
OG0000008	NP_572978.1, NP_572977.1	XP_017765710.1
OG0000008	NP_001285251.1	XP_017764163.1
OG0000008	NP_001285249.1	XP_017764510.1
OG0000008	NP_572987.1	XP_017764053.1, XP_017763974.1
OG0000009	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1	XP_017757841.1, XP_017757840.1, XP_017765586.1, XP_017758639.1, XP_017758640.1, XP_017758638.1, XP_017765620.1, XP_017758637.1
OG0000011	NP_523520.2	XP_017766918.1, XP_017766921.1, XP_017766927.1, XP_017766950.1, XP_017766920.1, XP_017766930.1, XP_017766937.1, XP_017766938.1, XP_017766951.1, XP_017766915.1, XP_017766916.1, XP_017766912.1, XP_017766917.1, XP_017766931.1, XP_017766923.1, XP_017766924.1, XP_017766928.1, XP_017766929.1, XP_017766939.1, XP_017766952.1, XP_017766932.1, XP_017766925.1, XP_017766919.1, XP_017766926.1, XP_017766946.1, XP_017766936.1
OG0000012	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1	XP_017754921.1
OG0000012	NP_611479.2, NP_001027441.1, NP_001097340.1	XP_017754945.1
OG0000012	NP_722915.1, NP_001285772.1	XP_017754933.1
OG0000012	NP_001036717.1	XP_017765063.1, XP_017765064.1, XP_017765060.1
OG0000013	NP_724345.1, NP_001027303.1, NP_001027308.1, NP_001027298.1, NP_001027294.1, NP_001027338.1	XP_017764546.1
OG0000013	NP_001027373.1, NP_001027323.1, NP_001027328.1, NP_001027363.1, NP_001027368.1, NP_001027353.1, NP_001027358.1, NP_001027348.1, NP_001027343.1, NP_001027289.1, NP_001027285.1, NP_001027333.1	XP_017754146.1
OG0000013	NP_001259374.1	XP_017760617.1, XP_017760618.1, XP_017760616.1
OG0000017	NP_001138040.1	XP_017756243.1
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_017756241.1, XP_017756242.1, XP_017756232.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_017763433.1
OG0000018	NP_001247286.1	XP_017760874.1, XP_017758049.1
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_017757913.1
OG0000020	NP_723103.1	XP_017759430.1
OG0000020	NP_001097100.1, NP_001188701.2	XP_017758962.1, XP_017756685.1
OG0000020	NP_723828.1	XP_017759431.1
OG0000020	NP_001137799.1, NP_723441.2	XP_017763358.1
OG0000020	NP_001097508.2	XP_017758008.1
OG0000020	NP_651649.1	XP_017758540.1
OG0000020	NP_001138225.1	XP_017764646.1
OG0000020	NP_001259218.1	XP_017763402.1
OG0000021	NP_648539.1	XP_017759339.1
OG0000021	NP_001263113.1, NP_651812.1, NP_001189282.1	XP_017758713.1, XP_017758722.1, XP_017758731.1
OG0000021	NP_611262.1, NP_651761.2	XP_017764524.1, XP_017763364.1
OG0000021	NP_650482.1, NP_732032.1	XP_017755079.1
OG0000022	NP_001027366.1, NP_001027371.1, NP_001027376.1	XP_017760075.1
OG0000023	NP_001027291.1, NP_001027283.1, NP_001027287.1, NP_001027345.1, NP_001027350.1, NP_001027320.1, NP_001027360.1, NP_001027355.1, NP_001027370.1, NP_001027365.1, NP_001027330.1, NP_001027325.1, NP_001027380.1, NP_001027315.1, NP_724342.1, NP_001027385.1, NP_001027375.1, NP_001027300.1, NP_001027305.1, NP_001027310.1, NP_001027296.1, NP_001027340.1, NP_001027335.1	XP_017754148.1
OG0000026	NP_729591.1, NP_001287018.1	XP_017756869.1
OG0000026	NP_001014616.2	XP_017760223.1
OG0000026	NP_001287332.1	XP_017763291.1, XP_017763214.1
OG0000026	NP_001163838.2	XP_017753312.1
OG0000026	NP_001285239.1	XP_017767765.1, XP_017752170.1
OG0000027	NP_724344.1, NP_001027312.1, NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1	XP_017764550.1
OG0000027	NP_001027317.1	XP_017764549.1
OG0000027	NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1	XP_017754149.1
OG0000029	NP_647872.1, NP_650813.2	XP_017755085.1, XP_017755078.1
OG0000029	NP_647875.1, NP_647873.2	XP_017755093.1, XP_017755092.1
OG0000032	NP_609175.2	XP_017755945.1
OG0000032	NP_001285067.1	XP_017752458.1
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1	XP_017765759.1, XP_017765770.1, XP_017762938.1
OG0000035	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2	XP_017767482.1
OG0000035	NP_001261394.1, NP_001287111.1, NP_001246079.1, NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4, NP_651153.1, NP_651152.1, NP_651154.1, NP_001262470.1, NP_652619.1, NP_524313.2, NP_652623.2, NP_652622.3, NP_651866.1, NP_524314.2, NP_001097744.1, NP_652625.2, NP_652626.1, NP_001287281.1	XP_017761425.1
OG0000037	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1	XP_017756758.1
OG0000038	NP_476772.1, NP_524264.1	XP_017766133.1, XP_017752930.1
OG0000038	NP_650674.1	XP_017761849.1
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	XP_017760692.1, XP_017754464.1, XP_017760639.1
OG0000041	NP_001014725.1	XP_017765151.1
OG0000041	NP_001262200.1	XP_017759618.1, XP_017759619.1, XP_017759620.1
OG0000041	NP_477037.2	XP_017754630.1
OG0000042	NP_731781.1	XP_017757032.1
OG0000042	NP_651966.2, NP_650201.1, NP_652731.1	XP_017758606.1
OG0000043	NP_001286870.1	XP_017765446.1
OG0000043	NP_524121.2	XP_017760488.1
OG0000044	NP_732652.1, NP_001303538.1, NP_650979.1	XP_017767293.1, XP_017767299.1, XP_017767300.1
OG0000044	NP_651674.3	XP_017767304.1
OG0000045	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_017753918.1, XP_017763731.1
OG0000046	NP_001285139.1	XP_017765106.1
OG0000046	NP_001262586.1	XP_017757713.1, XP_017764994.1
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1	XP_017754840.1, XP_017754998.1
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_017753622.1, XP_017753621.1
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	XP_017761973.1, XP_017761971.1
OG0000055	NP_001284925.1	XP_017756618.1, XP_017756620.1
OG0000055	NP_650904.3	XP_017753007.1
OG0000055	NP_609815.1	XP_017754560.1
OG0000055	NP_001246914.1	XP_017759282.1
OG0000056	NP_001369131.1	XP_017763577.1, XP_017761920.1
OG0000056	NP_647937.2	XP_017759468.1
OG0000056	NP_995958.2	XP_017762251.1
OG0000057	NP_524290.2	XP_017767144.1, XP_017757194.1
OG0000057	NP_523842.2	XP_017757144.1
OG0000057	NP_729172.1	XP_017757146.1
OG0000060	NP_650848.1	XP_017755704.1
OG0000060	NP_001163168.1	XP_017757183.1, XP_017756939.1, XP_017764156.1, XP_017757105.1, XP_017764190.1, XP_017764182.1, XP_017764164.1, XP_017757028.1, XP_017764173.1, XP_017757262.1
OG0000061	NP_001097692.1	XP_017754233.1
OG0000061	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1	XP_017757875.1
OG0000062	NP_001261156.1	XP_017759727.1
OG0000065	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2	XP_017764126.1, XP_017764130.1, XP_017764140.1
OG0000067	NP_001284994.1	XP_017760301.1
OG0000067	NP_524243.2, NP_572330.2	XP_017754867.1
