Ob_GeneID,Bt_GOID
LOC114879606,
LOC114882918,GO:0005516
LOC114882918,GO:0008017
LOC114882918,GO:0005515
LOC114882918,GO:0030507
LOC114882918,GO:0031175
LOC114876641,GO:0008083
LOC114876641,
LOC114876009,GO:0005681
LOC114876009,GO:0000398
LOC114875907,GO:0000493
LOC114875907,GO:0000493
LOC114881256,GO:0008017
LOC114881256,GO:0005515
LOC114881443,GO:0005525
LOC114880711,GO:0005515
LOC114874913,GO:0016020
LOC114877458,GO:0015035
LOC114872837,GO:0035556
LOC114872649,GO:0006182
LOC114872649,GO:0004383
LOC114872649,GO:0016849
LOC114872649,GO:0009190
LOC114872649,GO:0020037
LOC114872649,GO:0035556
LOC114872511,GO:0006182
LOC114872511,GO:0004383
LOC114872511,GO:0016849
LOC114872511,GO:0009190
LOC114872511,GO:0020037
LOC114872511,GO:0035556
LOC114873298,GO:0005515
LOC114878157,GO:0016757
LOC114877096,GO:0000175
LOC114877096,GO:0004535
LOC114877096,GO:0030014
LOC114877096,GO:0003676
LOC114878657,GO:0005576
LOC114878657,GO:0004867
LOC114878657,GO:0090729
LOC114878657,GO:0051918
LOC114878657,GO:0030414
LOC114878657,GO:0010466
LOC114878657,GO:0010951
LOC114878657,GO:0035821
LOC114883227,GO:0005886
LOC114883227,GO:0007155
LOC114883227,GO:0007156
LOC114883227,GO:0005509
LOC114883227,GO:0016020
LOC114870864,GO:0005524
LOC114870864,GO:0006457
LOC114870864,GO:0051082
LOC114882974,
LOC114882974,GO:0007219
LOC114882974,GO:0045944
LOC114882974,GO:0003713
LOC114882974,GO:0016607
LOC114882998,GO:0033588
LOC114882998,GO:0002098
LOC114875069,GO:0000981
LOC114883138,GO:0005524
LOC114883138,GO:0006423
LOC114883138,GO:0004817
LOC114883138,GO:0006418
LOC114883138,GO:0004812
LOC114883138,GO:0000166
LOC114883155,GO:0016055
LOC114883155,GO:0061630
LOC114883155,GO:0008270
LOC114883155,GO:0072572
LOC114883125,
LOC114883062,
LOC114874258,GO:0035194
LOC114874258,GO:0032574
LOC114874258,GO:0004386
LOC114874258,GO:0003723
LOC114874325,GO:0005737
LOC114874325,GO:0005852
LOC114874325,GO:0003743
LOC114871134,GO:0046872
LOC114871225,GO:0000179
LOC114871225,GO:0008649
LOC114871225,GO:0006364
LOC114871225,GO:0000154
LOC114874075,GO:0005634
LOC114874075,GO:0006355
LOC114874075,GO:0005515
LOC114882642,GO:0005634
LOC114882642,GO:0006355
LOC114882642,GO:0005515
LOC114882647,GO:0005515
LOC114882338,GO:0005515
LOC114882338,GO:0005515
LOC114882664,
LOC114882626,
LOC114876787,GO:0031462
LOC114876477,GO:0005524
LOC114876477,GO:0004748
LOC114876477,GO:0055114
LOC114876477,GO:0006260
LOC114876501,GO:0016021
LOC114876550,GO:0007283
LOC114882782,GO:0043565
LOC114882782,GO:0003700
LOC114882782,GO:0006355
LOC114882790,GO:0005840
LOC114882790,GO:0006412
LOC114882790,GO:0003735
LOC114882767,GO:0004521
LOC114883065,
LOC114882756,
LOC114882742,GO:0003824
LOC114882742,GO:0005992
LOC114873240,GO:0000981
LOC114873240,GO:0003677
LOC114873240,GO:0006355
LOC114878893,GO:0008484
LOC114878893,GO:0003824
LOC114878893,GO:0008449
LOC114878893,GO:0030203
LOC114878579,GO:0031145
LOC114878579,GO:0005680
LOC114878579,GO:0030071
LOC114878579,GO:0005515
LOC114879403,
LOC114879191,GO:0016491
LOC114879191,GO:0055114
LOC114879191,
LOC114878785,GO:0005524
LOC114878785,GO:0005829
LOC114878785,GO:0006457
LOC114878785,GO:0051082
LOC114878785,GO:0005832
LOC114878472,GO:0008356
LOC114879289,
LOC114878996,GO:0046982
LOC114878996,GO:0004402
LOC114878996,GO:0030914
LOC114878673,GO:0005096
LOC114879134,GO:0004722
LOC114879134,GO:0043169
LOC114879134,GO:0006470
LOC114879134,GO:0016791
LOC114878939,
LOC114877709,GO:0043565
LOC114877709,GO:0003700
LOC114877709,GO:0004879
LOC114877709,GO:0003677
LOC114877709,GO:0008270
LOC114877709,GO:0006355
LOC114878053,GO:0005515
LOC114870901,GO:0006464
