ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
5	"LOC114872233"	NA	chrOU015519.1	+	7676847	7678029	7676847	7677573	7678109	7679021
9	"LOC114880476"	NA	chrOU015519.1	+	6246873	6247008	6246873	6246940	6248044	6248129
10	"LOC114876703"	NA	chrOU015519.1	-	6022709	6022855	6022727	6022855	6021613	6021747
30	"LOC114878004"	NA	chrOU015519.1	+	3439060	3439314	3439060	3439217	3439874	3440449
33	"LOC114879763"	NA	chrOU015519.1	-	3154596	3154747	3154600	3154747	3153042	3154033
36	"LOC114877844"	NA	chrOU015519.1	+	2977588	2977927	2977588	2977775	2978013	2978400
44	"LOC114880226"	NA	chrOU015519.1	-	1926710	1927072	1926925	1927072	1924902	1925046
50	"LOC114880802"	NA	chrOU015518.1	+	8720577	8721827	8720577	8720774	8721942	8722313
63	"LOC114877553"	NA	chrOU015518.1	+	5817682	5819122	5817682	5817856	5821960	5825808
75	"LOC114882870"	NA	chrOU015518.1	-	2529104	2530501	2529862	2530501	2503720	2503803
82	"LOC114881700"	NA	chrOU015518.1	-	1644419	1644875	1644669	1644875	1644059	1644214
84	"LOC114872965"	NA	chrOU015518.1	+	1571294	1583032	1571294	1576936	1583515	1583722
93	"LOC114873001"	NA	chrOU015518.1	-	790030	790365	790142	790365	789340	789421
96	"LOC114873001"	NA	chrOU015518.1	-	790649	791101	790864	791101	789601	789705
97	"LOC114873001"	NA	chrOU015518.1	-	790649	791101	790864	791101	790142	790365
101	"LOC114876026"	NA	chrOU015518.1	+	572839	573692	572839	573402	574987	575049
102	"LOC114876023"	NA	chrOU015518.1	-	518462	518639	518515	518639	517492	518225
118	"LOC114871183"	NA	chrOU015508.1	-	1320156	1320401	1320222	1320401	1319902	1320085
123	"LOC114871972"	NA	chrOU015509.1	-	6803600	6803973	6803829	6803973	6796150	6796228
154	"LOC114874669"	NA	chrOU015509.1	+	3180462	3180601	3180462	3180592	3180709	3180997
170	"LOC114878078"	NA	chrOU015508.1	-	8005633	8005811	8005676	8005811	8005341	8005563
181	"LOC114873154"	NA	chrOU015509.1	-	317362	317559	317438	317559	317201	317269
189	"LOC114872028"	NA	chrOU015505.1	+	6103740	6103843	6103740	6103839	6104824	6105375
191	"LOC114872028"	NA	chrOU015505.1	+	6103740	6104222	6103740	6103843	6104824	6105375
