Orthogroup	Tribolium_castaneum	Nomia_melanderi
OG0000000	XP_015839988.1, XP_015839902.1, XP_015840447.1, XP_015840446.1, XP_015840340.1, XP_015840305.1	XP_031836982.1, XP_031836767.1
OG0000001	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1	XP_031834821.1
OG0000001	XP_969875.1	XP_031828824.1
OG0000001	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1	XP_031840935.1, XP_031848708.1, XP_031848953.1, XP_031848952.1
OG0000002	XP_015839871.1	XP_031834615.1, XP_031834770.1, XP_031834897.1, XP_031834893.1, XP_031834896.1, XP_031834895.1, XP_031834894.1, XP_031834534.1, XP_031834533.1, XP_031834884.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834538.1, XP_031834879.1, XP_031834881.1, XP_031834536.1, XP_031834824.1, XP_031834886.1, XP_031834878.1, XP_031834537.1, XP_031834872.1, XP_031834871.1, XP_031834873.1, XP_031834876.1, XP_031834875.1, XP_031834877.1, XP_031834874.1
OG0000004	XP_015834342.1	XP_031842129.1, XP_031847540.1, XP_031847633.1
OG0000008	XP_972338.1	XP_031838197.1
OG0000008	XP_972175.3	XP_031838199.1, XP_031838198.1
OG0000008	XP_969421.1	XP_031845812.1
OG0000008	XP_008191987.1, XP_972532.1	XP_031838187.1
OG0000008	XP_972430.2	XP_031838213.1
OG0000008	XP_015836551.1, XP_015836552.1	XP_031838205.1
OG0000008	XP_008191970.1	XP_031838211.1
OG0000009	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2	XP_031837183.1, XP_031839007.1, XP_031837097.1, XP_031848283.1, XP_031848703.1, XP_031848282.1, XP_031847205.1, XP_031848281.1, XP_031848280.1, XP_031837098.1, XP_031848136.1, XP_031842170.1
OG0000012	XP_967167.2, XP_967253.1, NP_001164207.1, XP_015839971.1	XP_031836638.1
OG0000012	XP_008192552.1	XP_031842887.1, XP_031842731.1
OG0000013	XP_969677.1	XP_031839304.1
OG0000013	XP_008197392.1	XP_031829654.1
OG0000014	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1	XP_031839329.1, XP_031848785.1, XP_031848784.1, XP_031839374.1, XP_031839487.1
OG0000017	XP_967395.1, XP_971136.1, XP_966872.2, XP_008200938.1, XP_966966.2, XP_967147.1, XP_971203.1, XP_966787.1, XP_015838196.1, XP_008201195.2, XP_015838248.1, XP_008190708.1, XP_015838206.1, XP_971509.1, XP_008200937.1	XP_031840004.1, XP_031840003.1, XP_031840002.1, XP_031840001.1
OG0000017	XP_015834775.1, XP_974273.1	XP_031829453.1, XP_031829454.1
OG0000018	XP_008193119.1, XP_968748.1, XP_015835557.1, XP_973693.2, XP_015838295.1, XP_015838053.1, XP_969711.1, XP_008194698.1, XP_973658.2, XP_008193214.1, XP_008193215.1, XP_015835529.1, XP_008193213.1, XP_008193216.1, XP_972534.1	XP_031838689.1, XP_031838690.1, XP_031838691.1, XP_031838692.1
OG0000018	XP_008194092.1, XP_969781.1	XP_031835584.1
OG0000018	XP_969849.1, XP_008194093.1, XP_008193834.1	XP_031847312.1
OG0000019	XP_975378.1	XP_031838473.1, XP_031838474.1, XP_031838475.1
OG0000019	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1	XP_031830114.1
OG0000019	XP_972874.1, XP_015834337.1, XP_008192577.2	XP_031838060.1
OG0000020	XP_008201408.1	XP_031845392.1
OG0000020	XP_008201409.2	XP_031837838.1
OG0000020	XP_969457.2	XP_031830731.1
OG0000021	XP_015838406.1, XP_015838407.1, XP_008197201.1	XP_031837236.1
OG0000021	XP_008197404.1	XP_031838575.1
OG0000021	XP_008197199.1	XP_031830175.1
OG0000021	XP_008196932.1	XP_031846403.1
OG0000022	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1	XP_031833191.1
OG0000023	XP_008201479.1, XP_008201473.1, XP_008199957.2	XP_031839489.1
OG0000024	XP_970056.2	XP_031825693.1, XP_031825694.1
OG0000026	XP_015833705.1	XP_031843508.1
OG0000026	XP_008193329.1	XP_031834026.1
OG0000026	XP_966472.1	XP_031828159.1
OG0000026	XP_015840897.1	XP_031839037.1
OG0000027	XP_008199927.1	XP_031849044.1
OG0000027	XP_008199050.2	XP_031839376.1
OG0000029	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1	XP_031829744.1, XP_031829801.1
OG0000029	XP_015840495.1, XP_008201389.1, XP_008201390.1	XP_031827213.1, XP_031827214.1, XP_031827215.1, XP_031829841.1
OG0000030	XP_966905.1	XP_031839105.1, XP_031839104.1
OG0000030	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2	XP_031848732.1, XP_031827412.1
OG0000031	XP_008192426.1, XP_015840131.1, XP_015837232.1, XP_008192457.2	XP_031841206.1, XP_031836242.1, XP_031836264.1, XP_031829397.1, XP_031829398.1, XP_031829399.1, XP_031842134.1
OG0000032	XP_001807564.1	XP_031845598.1
OG0000032	XP_008197173.2	XP_031832803.1
OG0000032	XP_969958.1, XP_970026.1	XP_031833782.1, XP_031831095.1
OG0000033	XP_015837581.1, XP_015839927.1, XP_015839926.1	XP_031837901.1
OG0000035	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1	XP_031842253.1, XP_031842459.1
OG0000035	XP_973091.2, XP_008190471.1, XP_015838951.1, XP_015838653.1, XP_967762.1, XP_967685.3, XP_015838842.1, XP_967924.1, XP_015838843.1, XP_972644.2, XP_015838642.1, XP_015838857.1, XP_972496.1, XP_008197534.1, XP_015838775.1, XP_015838840.1, XP_015838776.1, XP_008197589.1, XP_972090.2, XP_008197588.1, XP_008197586.1, XP_972349.2, XP_008197585.1, XP_008197584.1, XP_972444.1	XP_031834401.1
OG0000036	XP_967476.1, XP_001811753.1	XP_031844820.1, XP_031844747.1, XP_031844815.1, XP_031849986.1, XP_031850071.1
OG0000037	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1	XP_031838355.1
OG0000038	XP_966584.1	XP_031847407.1
OG0000040	NP_001161088.1	XP_031849129.1, XP_031847901.1, XP_031847689.1
OG0000040	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1	XP_031843292.1, XP_031847213.1
OG0000041	NP_001165843.1	XP_031836959.1, XP_031836960.1
OG0000041	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1	XP_031848908.1, XP_031828119.1, XP_031828107.1
OG0000042	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1	XP_031842358.1
OG0000043	XP_008193777.1, NP_001039289.1	XP_031842101.1
OG0000043	NP_001039285.1	XP_031831862.1
OG0000043	NP_001039279.1, NP_001039280.1, NP_001039278.1	XP_031828007.1
OG0000044	XP_008200957.1	XP_031848718.1, XP_031848716.1, XP_031848717.1
OG0000044	XP_008190382.2	XP_031849052.1, XP_031844224.1
OG0000045	XP_015834974.1, XP_015834972.1	XP_031836513.1, XP_031839078.1, XP_031836517.1, XP_031836516.1, XP_031836515.1
OG0000046	XP_008200986.2, XP_015838368.1	XP_031849512.1
OG0000046	XP_966611.1	XP_031844716.1, XP_031825836.1
OG0000050	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1	XP_031826510.1, XP_031826305.1, XP_031826306.1
OG0000052	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1	XP_031831624.1, XP_031831623.1
OG0000054	XP_970381.1	XP_031843397.1, XP_031843398.1
OG0000055	XP_971821.3	XP_031825307.1
OG0000055	XP_969454.3	XP_031844409.1
OG0000055	XP_008194095.1	XP_031827062.1
OG0000056	XP_015835680.1	XP_031840201.1, XP_031838488.1
OG0000056	XP_008197222.1	XP_031846527.1
OG0000056	XP_015834565.1	XP_031838897.1
OG0000056	XP_015839288.1	XP_031831701.1
OG0000056	XP_970084.2	XP_031835578.1
OG0000057	XP_967267.1	XP_031845337.1
OG0000057	XP_969993.1	XP_031832931.1
OG0000057	XP_967348.1	XP_031845459.1
OG0000057	XP_968314.1	XP_031845030.1
OG0000060	XP_008194927.2	XP_031827529.1, XP_031827528.1
OG0000060	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1	XP_031827527.1
OG0000061	XP_969936.2	XP_031839331.1
OG0000061	XP_008197154.2	XP_031838029.1, XP_031840063.1
OG0000062	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1	XP_031836310.1, XP_031836308.1, XP_031836306.1, XP_031836307.1, XP_031836020.1
OG0000065	XP_015834020.1	XP_031830877.1
OG0000065	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1	XP_031830875.1, XP_031831100.1
OG0000066	XP_015839951.1, XP_015837849.1, XP_015839954.1, XP_015840122.1, XP_015839271.1, XP_015839922.1, XP_015837699.1, XP_008192464.1	XP_031830448.1, XP_031826346.1
OG0000067	XP_008200210.1	XP_031834066.1
OG0000067	NP_001164095.1, XP_008200192.1	XP_031838504.1
OG0000067	XP_008198995.1	XP_031845953.1
OG0000069	XP_008191789.1	XP_031829088.1, XP_031829087.1
OG0000075	XP_008191221.1, XP_015833570.1, XP_015833569.1, XP_015840430.1	XP_031826514.1
OG0000077	XP_008200285.1	XP_031841494.1, XP_031841485.1
OG0000077	XP_008194480.2, XP_971466.1, XP_015836196.1	XP_031831897.1
OG0000079	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1	XP_031846019.1
OG0000080	XP_971544.1	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1
OG0000080	XP_015839289.1	XP_031826836.1, XP_031826837.1
OG0000080	XP_015838833.1, XP_968784.1, XP_008199652.2	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1
OG0000081	XP_015833047.1	XP_031847372.1, XP_031847521.1, XP_031847370.1, XP_031847371.1, XP_031847522.1
OG0000082	XP_008196787.1, XP_008196786.1	XP_031829547.1, XP_031829549.1, XP_031829550.1
OG0000084	XP_008194205.2	XP_031839513.1, XP_031839514.1, XP_031839516.1
OG0000084	XP_008194337.1, XP_969263.1	XP_031839314.1
OG0000085	XP_008190480.1, XP_008190479.1, XP_008190478.1	XP_031843333.1
OG0000085	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1	XP_031826359.1, XP_031826358.1, XP_031826356.1
OG0000086	XP_008200062.1, XP_015834290.1	XP_031842854.1
OG0000087	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2	XP_031843075.1, XP_031843076.1
OG0000087	XP_969383.1	XP_031843049.1
OG0000088	XP_015837887.1	XP_031830799.1
OG0000089	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1	XP_031841904.1, XP_031841905.1, XP_031841906.1
OG0000091	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2	XP_031846471.1, XP_031846477.1, XP_031846470.1
OG0000092	XP_008198926.1	XP_031832478.1
OG0000092	XP_967128.1	XP_031836523.1, XP_031836568.1
OG0000093	XP_008198969.1	XP_031829450.1, XP_031847203.1
OG0000094	XP_008194293.1	XP_031827484.1
OG0000094	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2	XP_031826729.1, XP_031826728.1
OG0000095	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1	XP_031850007.1, XP_031850009.1, XP_031850008.1
OG0000096	XP_970191.2	XP_031832678.1
OG0000096	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1	XP_031843327.1
OG0000097	XP_966355.1, XP_008200463.1	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1
OG0000098	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1
OG0000099	XP_973444.1	XP_031844823.1, XP_031844824.1, XP_031844822.1
OG0000099	XP_967359.1	XP_031825801.1, XP_031825802.1
OG0000099	XP_008198312.1	XP_031843262.1
OG0000100	XP_015833282.1, XP_008190946.1, XP_008190945.1	XP_031841397.1, XP_031841398.1, XP_031841396.1, XP_031841400.1, XP_031841409.1, XP_031841408.1, XP_031841399.1, XP_031841403.1, XP_031841402.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841395.1
OG0000101	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1	XP_031848007.1
OG0000101	XP_968658.1, XP_008190341.1, XP_968586.1	XP_031848006.1
OG0000102	XP_015836203.1, XP_972020.3, XP_971968.1	XP_031830192.1, XP_031830247.1, XP_031830259.1
OG0000103	NP_001121967.1	XP_031830730.1
OG0000108	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1	XP_031836809.1
OG0000109	XP_008200716.1	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1
OG0000110	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2	XP_031837099.1, XP_031848100.1, XP_031848102.1
OG0000111	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1	XP_031843589.1, XP_031825716.1
OG0000112	XP_008191265.1	XP_031849209.1, XP_031849210.1, XP_031849208.1, XP_031849207.1
OG0000112	XP_008198195.1, XP_015837714.1	XP_031831414.1
OG0000113	XP_967872.2, XP_008198495.1, XP_008198500.1	XP_031838147.1, XP_031842250.1
OG0000114	XP_015836792.1, XP_015836794.1	XP_031825659.1
OG0000114	XP_008195366.2, XP_015837027.1, XP_015837028.1	XP_031825640.1
OG0000115	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1	XP_031842331.1, XP_031842255.1
