Orthogroup	Nasonia_vitripennis	Solenopsis_invicta
OG0000000	XP_031777452.1, XP_031781161.1, XP_032457929.1, XP_031777424.1	XP_011171895.1
OG0000000	XP_031781616.1	XP_011169834.2, XP_039302930.1
OG0000000	XP_031784232.1, XP_031780061.1, XP_031778443.1, XP_031783025.1, XP_031783006.1, XP_031784231.1, XP_031783907.1, XP_031777109.1, XP_031777962.1, XP_031784690.1, XP_031781368.1, XP_031786049.1, XP_031785918.1, XP_031784229.1, XP_031777963.1, XP_008213162.2, XP_032457383.1, XP_031777472.1, XP_031788733.1, XP_031789087.1, XP_008213166.2, XP_031784230.1, XP_008213161.2, XP_031777957.1, XP_008213165.2	XP_039305212.1, XP_039306364.1, XP_011170664.3, XP_039315361.1, XP_039312857.1, XP_039309666.1, XP_039303445.1, XP_039309629.1, XP_039310754.1, XP_039304898.1, XP_011174758.3, XP_039303553.1, XP_039311986.1, XP_039306760.1, XP_039314225.1, XP_039315454.1, XP_039305157.1, XP_011174666.2, XP_039303966.1, XP_025997421.1, XP_039302112.1, XP_039311874.1, XP_011171639.2, XP_025996386.2, XP_011161658.3, XP_039313519.1, XP_039310248.1, XP_039310458.1, XP_025997894.2, XP_039315545.1
OG0000001	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1
OG0000001	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1	NP_001306576.1, XP_011159731.1, XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2
OG0000001	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1	XP_011164185.1
OG0000001	XP_001603508.1	XP_011164532.2
OG0000001	NP_001165940.1, XP_001599460.2	XP_011164534.2
OG0000001	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1	XP_011175846.1, XP_039302921.1, XP_039304528.1, XP_025997249.1, XP_025997248.1, XP_025994980.2, XP_025986982.2, XP_039301751.1, XP_011162032.2, XP_039315612.1
OG0000002	NP_001177429.1	XP_011175322.2, XP_011158991.3
OG0000002	NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1, XP_011159024.2, XP_039304874.1
OG0000002	NP_001177431.1	XP_011159023.1, XP_039305194.1, XP_039304869.1, XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1, XP_011159019.1, XP_039304872.1, XP_039304868.1, XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1, XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1
OG0000003	XP_031779857.1	XP_039309362.1
OG0000003	XP_016838740.1	XP_039312739.1
OG0000003	XP_031789191.1	XP_039306769.1
OG0000003	XP_031785823.1, XP_031781096.1, XP_031784226.1, XP_031785932.1, XP_031776870.1, XP_031788863.1	XP_039310749.1, XP_039310750.1
OG0000003	XP_031781091.1, XP_031788338.1	XP_039311957.1, XP_039306745.1, XP_011164920.1, XP_025987873.2, XP_011171782.2, XP_039310742.1, XP_011170649.2, XP_039312431.1, XP_039307879.1, XP_011170193.3, XP_039307955.1, XP_039315070.1, XP_039306772.1, XP_039312432.1, XP_039312438.1, XP_039306764.1, XP_011166545.2
OG0000003	XP_031777339.1	XP_011166665.1
OG0000003	XP_031777336.1	XP_039315381.1, XP_039315265.1
OG0000003	XP_016844563.1	XP_039315287.1, XP_039313009.1
OG0000003	XP_031783110.1, XP_016844597.1	XP_039309943.1, XP_039306054.1, XP_039308728.1, XP_025995779.1, XP_039309113.1, XP_039303430.1
OG0000003	XP_031779781.1, XP_031783173.1, XP_016844361.3, XP_008204128.1, XP_031789079.1	XP_039306052.1
OG0000006	NP_001177699.1, XP_031784308.1, XP_031785567.2, NP_001164399.1, XP_031784319.1, NP_001177515.1, XP_031784322.1, NP_001177513.1, NP_001177512.1, NP_001177514.1, XP_031785566.2, XP_031785042.1, NP_001164398.1, NP_001177517.1, XP_031784324.1, NP_001177516.1, NP_001164396.1, NP_001164394.1, XP_032453628.1, NP_001164395.1	XP_039307826.1, XP_025989709.2, XP_039302413.1, XP_039302410.1, XP_025989687.2, XP_011164849.2, XP_011164848.3
OG0000007	XP_031778752.1	XP_039304377.1, XP_039310340.1, XP_039308911.1
OG0000007	XP_008208281.1, XP_031789547.1, XP_003426874.1	XP_011174775.1, XP_039309126.1, XP_039302125.1, XP_025986035.2, XP_039311440.1
OG0000007	XP_016842061.1	XP_025996798.2, XP_039303512.1
OG0000007	XP_031788657.1	XP_039309117.1
OG0000007	XP_031784196.1	XP_025995448.2, XP_011173040.3, XP_039310132.1, XP_039315204.1, XP_039310452.1, XP_039303003.1, XP_039314866.1, XP_039304816.1
OG0000008	XP_001602085.1	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_031788628.1	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1
OG0000008	XP_001602133.1	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	XP_001600419.1	XP_011158386.1, XP_039305296.1
OG0000008	XP_032456689.1, XP_032456688.1, XP_001601943.1	XP_039305528.1
OG0000009	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1
OG0000009	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1	XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1, XP_011172780.1, XP_011160035.1, XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2
OG0000012	XP_032452116.1, XP_032452115.1	XP_011167036.2
OG0000012	XP_001603672.1	XP_025991007.1
OG0000013	XP_001599179.2	XP_011165753.2
OG0000013	XP_003425535.1, XP_001607330.1, XP_001603659.1, XP_001608284.1, XP_031778023.1, XP_031787549.1, XP_001607608.3, XP_031777922.1, XP_031777921.1, XP_001607935.1, XP_008218130.1, XP_031778024.1, XP_031778025.1	XP_011166327.1
OG0000013	XP_001608166.1, XP_001608174.1	XP_011158467.1, XP_011158466.1
OG0000013	XP_031778016.1	XP_011158471.1
OG0000015	XP_008212376.1, XP_031789009.1, XP_031788343.1, XP_032458064.1, XP_031789178.1, XP_008202508.2	XP_039311973.1, XP_025997032.2, XP_039303427.1
OG0000017	NP_001165913.1	XP_025996377.1
OG0000018	XP_008214580.1	XP_025993846.1, XP_039312756.1
OG0000018	XP_001604347.2	XP_011168181.2, XP_011168177.2
OG0000018	XP_031784239.1	XP_039312480.1, XP_039312479.1
OG0000019	XP_016841509.1, XP_031783474.1, XP_003424417.1	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1
OG0000019	XP_031777606.1, XP_008213182.2, XP_016840785.1, XP_001602620.2	XP_025993384.1, XP_025996194.1, XP_039304954.1, XP_011171050.2, XP_011171052.2, XP_039306693.1, XP_011163180.2, XP_039309449.1, XP_025993961.1, XP_025987780.2, XP_025987781.2, XP_025987782.2, XP_039314384.1, XP_039314385.1
OG0000019	XP_031783671.1	XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	XP_031778749.1, XP_031781856.1	XP_025987337.1
OG0000020	XP_016838656.1, XP_031778996.1	XP_011157847.1
OG0000021	XP_032452884.1, XP_016845846.1, XP_001607795.1	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1
OG0000021	XP_031782052.1, XP_008203719.1	XP_011162935.1
OG0000021	XP_001603725.1	XP_011159438.1
OG0000022	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1	XP_011163652.1
OG0000024	XP_001604944.4	XP_025992331.1
OG0000024	XP_001599160.3	XP_011168449.1, XP_011168448.1
OG0000024	XP_008216554.1	XP_025991932.1
OG0000024	NP_001166221.1	XP_025991934.1
OG0000026	XP_032452024.1	XP_039304799.1
OG0000026	XP_008204831.1	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1
OG0000027	XP_001607554.1, XP_016844944.1, XP_001599220.1	XP_011156268.1
OG0000027	XP_003424595.1	XP_039307731.1
OG0000028	XP_031789120.1, XP_031783906.1	XP_039307886.1, XP_025993453.2, XP_025997479.2, XP_011171716.1
OG0000029	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1	XP_011175216.3, XP_011175277.3
OG0000029	NP_001166265.1	XP_025987625.1
OG0000029	NP_001166272.1	XP_025994361.1
OG0000030	XP_031776890.1, XP_032457890.1, XP_001600309.1, XP_031776892.1, XP_008217013.1	XP_011165417.3, XP_039308147.1, XP_039313768.1
OG0000032	XP_001605911.2	XP_039305331.1, XP_011173570.2
OG0000032	XP_031787250.1	XP_025991246.2
OG0000032	NP_001164368.1	XP_011159466.2
OG0000032	XP_003426142.1, XP_016840393.1, NP_001164369.1	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000033	XP_032457470.1, XP_008211300.1	XP_025986730.2, XP_039303561.1
OG0000033	XP_032453421.1	XP_039315246.1, XP_039303378.1
OG0000033	XP_031777405.1, XP_031776790.1, XP_031777406.1, XP_031786261.1, XP_031786260.1	XP_025997304.2, XP_039310411.1, XP_039302735.1, XP_039308530.1
OG0000033	XP_031781166.1, XP_031779670.1	XP_025996780.1
OG0000033	XP_031788567.1, XP_016841972.2	XP_039303526.1
OG0000033	XP_031788710.1, XP_008205139.1	XP_025996388.2
OG0000034	NP_001177575.1, XP_031786113.1, NP_001177706.1, NP_001177573.1, XP_031778376.1, NP_001177576.1, XP_031779750.1, NP_001177574.1	XP_039305181.1, XP_039305981.1, XP_039305980.1, XP_039305969.1, XP_039305975.1
OG0000034	NP_001177542.1, XP_008213309.1, XP_016845719.1, NP_001177541.1, XP_031778221.1, NP_001177544.1, NP_001177545.1, NP_001177540.1, XP_032451687.1, NP_001177537.1, NP_001177539.1, XP_008214845.1, NP_001177640.2, NP_001177696.1, NP_001177538.1, NP_001177543.1, XP_008202544.1, NP_001164404.1, NP_001177548.1, NP_001177547.1, XP_032452241.1, NP_001177546.1, XP_031778374.1, NP_001177701.1, NP_001177700.1, XP_031789456.1, XP_031789459.1, NP_001177549.1	XP_039302507.1, XP_039315321.1, XP_039307234.1
OG0000035	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1	XP_039312187.1
OG0000036	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1	XP_011166049.1
OG0000037	XP_008216622.1, XP_008216623.1	XP_011161783.1
OG0000038	XP_016843117.1	XP_011166173.1
OG0000038	XP_001607699.1, XP_001604160.1	XP_011172049.1
OG0000038	XP_031786847.1, XP_032452100.1	XP_011174246.2
