ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237772	8235262	8235483	8237967	8238029	0	20,4,6,15	1,0,0,0	12,11,6,15	0,0,0,0	282	99	1	1.0	0.875,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.031
1	"LOC114880757"	NA	chrOU015519.1	+	8237589	8237850	8235262	8235483	8237967	8238058	1	31,13,13,23	1,0,0,0	18,25,7,29	0,0,0,0	360	99	1	1.0	0.895,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.026
2	"LOC114880101"	NA	chrOU015519.1	-	8161321	8161400	8158749	8158892	8161702	8161819	2	7,5,8,5	1,0,2,0	7,7,9,6	0,0,0,1	178	99	1	1.0	0.796,1.0,0.69,1.0	1.0,1.0,1.0,0.769	-0.071
3	"LOC114880064"	NA	chrOU015519.1	+	8095171	8095305	8094712	8095066	8095437	8095633	3	203,166,161,113	1,0,1,0	98,96,120,103	0,1,0,0	233	99	1	1.0	0.989,1.0,0.986,1.0	1.0,0.976,1.0,1.0	-0.0
4	"LOC114880048"	NA	chrOU015519.1	+	8004613	8004866	8004008	8004352	8004933	8005168	4	81,42,42,24	0,1,1,0	50,48,20,41	0,0,0,0	352	99	1	1.0	1.0,0.922,0.922,1.0	1.0,1.0,1.0,1.0	-0.039
5	"LOC114872158"	NA	chrOU015519.1	-	7958904	7959024	7958545	7958668	7959278	7959373	5	1,0,3,0	2,2,3,5	2,0,0,1	1,2,0,5	219	99	1	1.0	0.184,0.0,0.311,0.0	0.475,0.0,NA,0.083	-0.062
6	"LOC114872168"	NA	chrOU015519.1	-	7939815	7939906	7939526	7939747	7939967	7940089	6	75,34,48,30	1,0,0,0	30,50,25,30	0,0,0,0	190	99	1	1.0	0.975,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.006
7	"LOC114872242"	NA	chrOU015519.1	+	7598102	7598223	7596298	7596635	7598268	7598508	7	115,82,77,61	38,17,17,19	42,70,70,68	10,21,9,12	220	99	0.23048240727	1.0	0.577,0.685,0.671,0.591	0.654,0.6,0.778,0.718	-0.056
10	"LOC114872262"	NA	chrOU015519.1	-	7113632	7113860	7112247	7112626	7113963	7114081	10	132,77,69,59	0,0,0,0	67,97,69,88	2,0,0,0	327	99	1	1.0	1.0,1.0,1.0,1.0	0.91,1.0,1.0,1.0	0.022
11	"LOC114872247"	NA	chrOU015519.1	+	7083650	7083890	7074490	7075502	7084113	7084241	11	72,26,39,29	0,0,0,0	45,45,22,92	1,0,0,1	339	99	1	1.0	1.0,1.0,1.0,1.0	0.929,1.0,1.0,0.964	0.027
12	"LOC114872247"	NA	chrOU015519.1	+	7106945	7107100	7099666	7100077	7107249	7107437	12	163,79,93,71	1,0,0,0	68,99,75,160	0,0,0,0	254	99	1	1.0	0.985,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.004
13	"LOC114872247"	NA	chrOU015519.1	+	7108109	7108271	7107920	7108023	7108881	7109114	13	167,83,88,96	0,0,0,0	83,95,64,167	0,2,1,1	261	99	1	1.0	1.0,1.0,1.0,1.0	1.0,0.947,0.96,0.984	0.027
14	"LOC114872263"	NA	chrOU015519.1	+	7009573	7009669	7004293	7004636	7059311	7059389	14	2,2,0,1	0,1,0,0	1,2,6,0	0,0,1,0	195	99	1	1.0	1.0,0.504,NA,1.0	1.0,1.0,0.753,NA	-0.083
16	"LOC114872156"	NA	chrOU015519.1	+	6955725	6955792	6941263	6941324	6966619	6966744	16	0,0,2,1	0,0,0,0	2,0,0,1	0,0,0,1	166	99	1	1.0	NA,NA,1.0,1.0	1.0,NA,NA,0.374	0.313
17	"LOC114879964"	NA	chrOU015519.1	+	6694999	6695217	6693843	6694097	6695298	6695388	17	318,156,168,104	1,0,0,0	157,197,142,165	0,0,1,0	317	99	1	1.0	0.99,1.0,1.0,1.0	1.0,1.0,0.978,1.0	0.003
18	"LOC114879963"	NA	chrOU015519.1	-	6692713	6692836	6692477	6692641	6692929	6693097	18	240,120,96,71	0,0,1,0	66,96,79,84	0,0,0,0	222	99	1	1.0	1.0,1.0,0.977,1.0	1.0,1.0,1.0,1.0	-0.006
20	"LOC114879144"	NA	chrOU015519.1	-	6535081	6535190	6534514	6534837	6535912	6536007	20	13,6,9,8	2,0,0,0	12,15,9,12	0,1,0,0	208	99	1	1.0	0.756,1.0,1.0,1.0	1.0,0.877,1.0,1.0	-0.03
21	"LOC114879144"	NA	chrOU015519.1	-	6535081	6535190	6534514	6534837	6536013	6536218	21	15,8,10,9	43,32,30,24	13,19,10,14	26,29,25,32	208	99	0.0788208676382	1.0	0.142,0.106,0.137,0.151	0.192,0.238,0.16,0.172	-0.056
