Orthogroup	Nomia_melanderi	Megachile_rotundata
OG0000000	XP_031847717.1	XP_012136801.1, XP_012152727.1
OG0000000	XP_031842135.1	XP_012146525.1, XP_012153583.1
OG0000000	XP_031848506.1, XP_031848962.1	XP_012152740.1
OG0000000	XP_031848866.1	XP_012145447.1
OG0000000	XP_031848507.1	XP_012134488.1
OG0000000	XP_031836767.1, XP_031836982.1	XP_012147726.1
OG0000001	XP_031826091.1, XP_031826099.1, XP_031826098.1, XP_031826097.1, XP_031826095.1, XP_031826093.1, XP_031826092.1, XP_031826094.1	XP_003704416.1, XP_003704279.1, XP_012143067.1
OG0000002	XP_031836533.1	XP_012152029.1
OG0000006	XP_031829654.1	XP_003708097.1, XP_003708096.1
OG0000006	XP_031839362.1	XP_003707914.1
OG0000007	XP_031838462.1, XP_031838489.1, XP_031838503.1, XP_031838476.1	XP_012152319.1, XP_012152339.1, XP_012152307.1, XP_012148352.1
OG0000008	XP_031836960.1, XP_031836959.1	XP_012137793.1, XP_012137792.1, XP_003702208.1
OG0000009	XP_031837140.1, XP_031837144.1, XP_031837147.1, XP_031837148.1, XP_031837149.1, XP_031837141.1, XP_031837143.1, XP_031837145.1, XP_031837139.1, XP_031837146.1	XP_012137585.1, XP_003701951.1, XP_012137586.1, XP_012137584.1, XP_012137583.1
OG0000010	XP_031847372.1	XP_012143890.1
OG0000010	XP_031847521.1, XP_031847522.1, XP_031847371.1, XP_031847370.1	XP_012143985.1, XP_012143891.1, XP_012143986.1, XP_012143988.1, XP_003704733.2, XP_012143893.1
OG0000011	XP_031841395.1, XP_031841408.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841403.1, XP_031841402.1, XP_031841400.1, XP_031841399.1, XP_031841409.1, XP_031841396.1, XP_031841397.1, XP_031841398.1	XP_012144536.1, XP_012144535.1, XP_003704922.1, XP_012144537.1, XP_012144538.1
OG0000012	XP_031826024.1, XP_031826006.1, XP_031825979.1, XP_031825989.1, XP_031825998.1, XP_031826014.1	XP_003704990.1, XP_012144440.1, XP_012144439.1, XP_012144443.1, XP_012144442.1, XP_012144441.1, XP_012144449.1, XP_012144447.1, XP_012144448.1, XP_012144445.1, XP_012144446.1
OG0000013	XP_031843910.1	XP_012142648.1
OG0000013	XP_031828440.1	XP_012146322.1
OG0000014	XP_031839376.1	XP_012151723.1
OG0000014	XP_031839490.1	XP_003703732.1
OG0000015	XP_031827716.1	XP_012143130.1, XP_003704378.1
OG0000015	XP_031827714.1, XP_031827713.1	XP_012143128.1, XP_012143127.1, XP_003704370.1, XP_012143125.1, XP_012143126.1, XP_012143129.1
OG0000018	XP_031828712.1, XP_031828710.1, XP_031828711.1, XP_031828716.1, XP_031828715.1, XP_031828714.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828719.1, XP_031828720.1, XP_031828721.1, XP_031828713.1	XP_003700281.2
OG0000019	XP_031838643.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838635.1, XP_031838641.1, XP_031838642.1	XP_003703399.2
OG0000020	XP_031849056.1	XP_012142615.1, XP_012142616.1
OG0000022	XP_031830368.1	XP_012135670.1, XP_012135669.1, XP_012135674.1, XP_012135673.1, XP_012135668.1, XP_003701272.1, XP_012135671.1
OG0000023	XP_031836773.1	XP_012153684.1
OG0000023	XP_031848018.1	XP_012152733.1, XP_012145948.1, XP_003708235.1
OG0000023	XP_031848014.1	XP_012151017.1, XP_012142569.1
OG0000023	XP_031848017.1	XP_012152967.1
OG0000024	XP_031829397.1, XP_031829398.1, XP_031829399.1	XP_012135354.1, XP_012135355.1, XP_012135348.1
OG0000024	XP_031842134.1	XP_012143884.1
OG0000025	XP_031846352.1	XP_012154268.1, XP_012154273.1, XP_012154274.1, XP_012154271.1, XP_012154272.1, XP_012154275.1, XP_012154270.1, XP_012154269.1
