Orthogroup	Megalopta_genalis	Polistes_dominula
OG0000000	XP_033340297.1, XP_033326120.1, XP_033325360.1, XP_033334388.1, XP_033329027.1, XP_033333383.1	XP_015189866.1, XP_015189951.1
OG0000000	XP_033332143.1	XP_015189697.1, XP_015189651.1, XP_015189739.1
OG0000000	XP_033322444.1, XP_033339380.1	XP_015180763.1, XP_015189653.1, XP_015189502.1, XP_015187776.1
OG0000001	XP_033341784.1	XP_015182412.1, XP_015182413.1, XP_015181295.1
OG0000001	XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326758.1, XP_033326756.1, XP_033326755.1, XP_033326754.1, XP_033326753.1, XP_033326752.1, XP_033326751.1, XP_033326750.1, XP_033323542.1, XP_033326762.1, XP_033326763.1, XP_033326774.1, XP_033326767.1, XP_033326559.1, XP_033326766.1, XP_033326768.1, XP_033329022.1, XP_033329019.1, XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1	XP_015183493.1
OG0000001	XP_033339718.1	XP_015174482.1
OG0000001	XP_033326710.1	XP_015174918.1
OG0000001	XP_033338373.1	XP_015173619.1
OG0000002	XP_033330629.1	XP_015179442.1
OG0000004	XP_033326525.1, XP_033326528.1	XP_015189742.1, XP_015189577.1
OG0000004	XP_033320948.1	XP_015189652.1
OG0000004	XP_033329035.1	XP_015189661.1, XP_015189546.1
OG0000004	XP_033334494.1	XP_015187797.1
OG0000004	XP_033335211.1, XP_033339814.1, XP_033335543.1	XP_015177516.1
OG0000004	XP_033323539.1	XP_015176563.1, XP_015189937.1, XP_015177623.1
OG0000004	XP_033342845.1, XP_033331114.1, XP_033323310.1	XP_015171070.1
OG0000004	XP_033335544.1, XP_033324576.1	XP_015189732.1
OG0000004	XP_033339841.1	XP_015186432.1
OG0000006	XP_033332254.1	XP_015180561.1
OG0000006	XP_033331536.1	XP_015180690.1, XP_015180565.1, XP_015180566.1, XP_015180564.1
OG0000006	XP_033325709.1	XP_015184251.1
OG0000008	XP_033329050.1	XP_015180320.1
OG0000008	XP_033329521.1	XP_015182812.1
OG0000008	XP_033329051.1	XP_015180327.1, XP_015180328.1
OG0000008	XP_033329032.1, XP_033329033.1, XP_033329034.1	XP_015180322.1, XP_015180321.1, XP_015180323.1
OG0000008	XP_033321020.1, XP_033321019.1	XP_015180324.1, XP_015180325.1
OG0000009	XP_033323903.1, XP_033323904.1, XP_033323905.1	XP_015177367.1
OG0000009	XP_033323894.1, XP_033323884.1, XP_033323895.1, XP_033323898.1, XP_033323897.1, XP_033323886.1, XP_033323896.1, XP_033323885.1, XP_033323887.1	XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1
OG0000012	XP_033333560.1	XP_015181488.1
OG0000012	XP_033333685.1	XP_015181463.1
OG0000012	XP_033324767.1	XP_015184231.1
OG0000012	XP_033324764.1	XP_015181630.1
OG0000013	XP_033328624.1, XP_033328965.1	XP_015172623.1
OG0000013	XP_033328623.1	XP_015174269.1
OG0000013	XP_033330794.1, XP_033330796.1, XP_033330795.1	XP_015172185.1
OG0000014	XP_033328582.1, XP_033328621.1, XP_033328603.1, XP_033328576.1	XP_015177523.1
OG0000016	XP_033327074.1	XP_015189959.1
OG0000017	XP_033323611.1	XP_015172927.1, XP_015172893.1, XP_015172912.1, XP_015172903.1, XP_015172883.1
OG0000017	XP_033341626.1	XP_015180945.1
OG0000018	XP_033334915.1	XP_015184408.1
OG0000018	XP_033342252.1	XP_015186827.1
OG0000018	XP_033342250.1	XP_015186828.1
OG0000018	XP_033327648.1	XP_015175602.1
OG0000019	XP_033335083.1	XP_015184618.1, XP_015184619.1, XP_015189804.1, XP_015189805.1
OG0000019	XP_033321516.1	XP_015182221.1, XP_015189673.1
OG0000020	XP_033333974.1	XP_015172633.1
OG0000020	XP_033341111.1	XP_015183576.1
OG0000020	XP_033336086.1	XP_015183590.1
OG0000020	XP_033329902.1	XP_015171445.1
OG0000020	XP_033340707.1	XP_015183950.1, XP_015183951.1, XP_015183952.1
OG0000020	XP_033323952.1, XP_033323953.1	XP_015181633.1
OG0000021	XP_033334588.1	XP_015190080.1
OG0000021	XP_033336486.1, XP_033336485.1	XP_015183774.1, XP_015183791.1, XP_015183783.1
OG0000022	XP_033337184.1	XP_015174052.1
OG0000022	XP_033326609.1	XP_015173497.1
OG0000022	XP_033328967.1	XP_015177598.1
OG0000024	XP_033339085.1, XP_033339401.1, XP_033329817.1	XP_015188584.1, XP_015188403.1, XP_015171793.1
OG0000024	XP_033340779.1	XP_015182123.1
OG0000024	XP_033341678.1	XP_015181825.1
OG0000025	XP_033330636.1	XP_015189019.1
OG0000025	XP_033340892.1	XP_015189308.1
OG0000025	XP_033322610.1	XP_015176372.1, XP_015189823.1
OG0000025	XP_033340902.1	XP_015174442.1
OG0000026	XP_033339312.1	XP_015181461.1, XP_015181460.1
OG0000026	XP_033332814.1	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1
OG0000026	XP_033330956.1, XP_033330958.1	XP_015174903.1
OG0000026	XP_033321049.1	XP_015191534.1
OG0000026	XP_033333310.1, XP_033333311.1, XP_033333313.1, XP_033333314.1	XP_015187302.1
OG0000027	XP_033328969.1, XP_033328626.1, XP_033328968.1	XP_015172634.1
OG0000027	XP_033328627.1	XP_015190876.1, XP_015177661.1, XP_015177662.1, XP_015172645.1
OG0000028	XP_033332580.1	XP_015180764.1, XP_015189418.1, XP_015189902.1
OG0000029	XP_033327291.1	XP_015172519.1, XP_015172507.1
OG0000029	XP_033338642.1	XP_015185507.1
OG0000029	XP_033327383.1	XP_015172137.1
OG0000030	XP_033328822.1, XP_033328819.1, XP_033328820.1, XP_033328821.1	XP_015180792.1, XP_015180789.1, XP_015172637.1
OG0000030	XP_033335422.1, XP_033335421.1, XP_033331554.1, XP_033335506.1, XP_033335423.1, XP_033335414.1, XP_033335507.1, XP_033339400.1	XP_015186638.1
OG0000032	XP_033338046.1	XP_015190440.1
OG0000032	XP_033335963.1	XP_015191817.1
OG0000032	XP_033322500.1, XP_033322501.1, XP_033322502.1, XP_033339875.1, XP_033322503.1	XP_015190537.1
OG0000032	XP_033340631.1	XP_015182537.1, XP_015182533.1
OG0000035	XP_033326685.1	XP_015172482.1
OG0000036	XP_033340580.1, XP_033340619.1, XP_033331129.1, XP_033339844.1, XP_033340605.1, XP_033340632.1, XP_033340595.1, XP_033324439.1, XP_033340568.1, XP_033341377.1, XP_033341389.1, XP_033323972.1	XP_015175890.1
OG0000036	XP_033341270.1, XP_033341293.1, XP_033341282.1	XP_015174610.1
OG0000036	XP_033341364.1	XP_015174768.1
OG0000037	XP_033322268.1	XP_015184679.1
OG0000038	XP_033330101.1	XP_015179360.1
OG0000038	XP_033340658.1	XP_015179091.1
OG0000038	XP_033327650.1	XP_015185565.1
OG0000038	XP_033322343.1	XP_015184119.1
OG0000039	XP_033321520.1	XP_015189936.1
OG0000040	XP_033322715.1, XP_033322612.1	XP_015176239.1
OG0000041	XP_033322537.1	XP_015179142.1
OG0000041	XP_033322535.1	XP_015179141.1
OG0000042	XP_033329807.1, XP_033329806.1	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1
OG0000042	XP_033329812.1	XP_015171717.1, XP_015171718.1, XP_015171719.1
OG0000043	XP_033340088.1	XP_015177490.1, XP_015177491.1
OG0000043	XP_033339691.1	XP_015187201.1
OG0000043	XP_033330269.1	XP_015180729.1
OG0000044	XP_033322614.1	XP_015184594.1
OG0000044	XP_033334549.1	XP_015184599.1
OG0000045	XP_033323543.1	XP_015183311.1, XP_015183284.1
OG0000045	XP_033329211.1	XP_015173221.1
OG0000045	XP_033323567.1, XP_033323555.1	XP_015183312.1
OG0000045	XP_033327991.1	XP_015172085.1
OG0000046	XP_033341697.1	XP_015179269.1
OG0000046	XP_033341090.1	XP_015177712.1
OG0000048	XP_033333675.1	XP_015178594.1
OG0000048	XP_033333474.1	XP_015178617.1
OG0000048	XP_033333347.1	XP_015178621.1
OG0000048	XP_033333345.1	XP_015178587.1
OG0000048	XP_033333355.1	XP_015178618.1
OG0000048	XP_033333662.1	XP_015178612.1
OG0000048	XP_033333353.1, XP_033333663.1	XP_015178590.1
OG0000048	XP_033333354.1	XP_015178619.1
OG0000048	XP_033333403.1	XP_015178620.1
OG0000048	XP_033333671.1	XP_015178616.1
OG0000048	XP_033333664.1	XP_015178592.1
OG0000052	XP_033323679.1	XP_015186733.1
OG0000053	XP_033339815.1, XP_033323538.1, XP_033323537.1, XP_033323540.1, XP_033335402.1, XP_033331112.1, XP_033339896.1	XP_015189792.1, XP_015186004.1
OG0000054	XP_033321308.1	XP_015175390.1
OG0000054	XP_033321391.1, XP_033321390.1	XP_015175295.1, XP_015175296.1, XP_015175389.1
OG0000055	XP_033327524.1, XP_033327522.1, XP_033327526.1, XP_033327525.1	XP_015171080.1
OG0000055	XP_033330133.1	XP_015176664.1
OG0000055	XP_033323580.1	XP_015173765.1, XP_015173767.1
OG0000056	XP_033329125.1	XP_015176704.1
OG0000056	XP_033343017.1	XP_015178312.1
OG0000056	XP_033329947.1	XP_015175416.1
OG0000056	XP_033321060.1	XP_015181793.1
OG0000056	XP_033332176.1	XP_015173622.1
OG0000056	XP_033342931.1, XP_033342927.1	XP_015181325.1
OG0000057	XP_033338100.1	XP_015171970.1
OG0000057	XP_033330917.1	XP_015173587.1
OG0000057	XP_033338102.1	XP_015171878.1
OG0000057	XP_033338099.1	XP_015171877.1
OG0000057	XP_033338103.1	XP_015171777.1
OG0000058	XP_033339143.1, XP_033339144.1	XP_015182294.1, XP_015182349.1, XP_015182350.1
OG0000060	XP_033325149.1, XP_033325147.1	XP_015185766.1, XP_015185775.1
OG0000060	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1	XP_015181080.1, XP_015181079.1
OG0000061	XP_033328585.1	XP_015188543.1
OG0000061	XP_033333649.1	XP_015177990.1
OG0000062	XP_033339725.1	XP_015173092.1
OG0000062	XP_033323498.1	XP_015178479.1
OG0000065	XP_033320904.1	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1
OG0000066	XP_033339069.1, XP_033339070.1, XP_033322899.1, XP_033336647.1, XP_033325791.1, XP_033330914.1, XP_033331125.1, XP_033335269.1, XP_033339072.1, XP_033339073.1, XP_033339079.1, XP_033339076.1, XP_033339080.1, XP_033322435.1	XP_015189741.1, XP_015189693.1, XP_015189896.1, XP_015176551.1
OG0000066	XP_033326446.1, XP_033325792.1, XP_033332603.1	XP_015189876.1
OG0000067	XP_033333911.1	XP_015179349.1
OG0000067	XP_033335042.1	XP_015180637.1
OG0000067	XP_033335708.1	XP_015184670.1
OG0000067	XP_033336615.1	XP_015182629.1
OG0000069	XP_033334725.1	XP_015175625.1
OG0000069	XP_033334726.1, XP_033334728.1	XP_015175624.1
OG0000070	XP_033333759.1	XP_015181201.1
OG0000070	XP_033333736.1, XP_033333776.1	XP_015181189.1
OG0000071	XP_033329354.1	XP_015181519.1, XP_015184877.1
OG0000072	XP_033326117.1	XP_015176122.1
OG0000073	XP_033341264.1, XP_033341263.1, XP_033341369.1	XP_015173919.1
OG0000074	XP_033343118.1	XP_015188226.1, XP_015188225.1, XP_015174533.1, XP_015179365.1, XP_015174735.1
OG0000077	XP_033333760.1	XP_015188023.1
OG0000077	XP_033332959.1	XP_015179002.1, XP_015185970.1
OG0000078	XP_033342126.1	XP_015185284.1, XP_015185291.1, XP_015185285.1
OG0000079	XP_033333904.1, XP_033333901.1	XP_015176392.1
OG0000080	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1	XP_015185202.1, XP_015185201.1, XP_015185203.1
OG0000080	XP_033335311.1	XP_015188705.1, XP_015188706.1
OG0000080	XP_033326285.1	XP_015185196.1
OG0000082	XP_033336170.1	XP_015175969.1
OG0000082	XP_033336010.1	XP_015175974.1
OG0000082	XP_033336011.1, XP_033336012.1	XP_015175968.1
OG0000084	XP_033339433.1	XP_015180887.1
OG0000084	XP_033339432.1	XP_015180880.1
OG0000085	XP_033339267.1, XP_033339268.1, XP_033339265.1, XP_033339264.1	XP_015172015.1
OG0000085	XP_033337654.1	XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1
OG0000086	XP_033331032.1	XP_015175698.1
OG0000087	XP_033330624.1, XP_033324927.1	XP_015179311.1
OG0000087	XP_033324926.1	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1
OG0000088	XP_033340711.1	XP_015175828.1
OG0000089	XP_033329242.1, XP_033329243.1, XP_033329244.1	XP_015191649.1
OG0000089	XP_033320834.1	XP_015191842.1
OG0000091	XP_033327591.1, XP_033327610.1	XP_015190282.1, XP_015190273.1
OG0000092	XP_033328764.1	XP_015182560.1
OG0000092	XP_033322679.1, XP_033322678.1	XP_015171266.1
OG0000092	XP_033322688.1	XP_015171261.1
OG0000092	XP_033332253.1	XP_015180692.1
OG0000093	XP_033330936.1	XP_015185820.1
OG0000094	XP_033328912.1	XP_015176150.1, XP_015184885.1
OG0000094	XP_033338575.1	XP_015175380.1
OG0000095	XP_033334699.1, XP_033334698.1	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1, XP_015188693.1
OG0000096	XP_033336669.1	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1
OG0000096	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1	XP_015178304.1
OG0000097	XP_033322825.1	XP_015172032.1, XP_015172041.1
OG0000098	XP_033321452.1, XP_033321450.1, XP_033321451.1	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1
OG0000099	XP_033322301.1	XP_015176643.1
OG0000099	XP_033322345.1	XP_015176645.1
OG0000099	XP_033341688.1	XP_015179938.1
OG0000100	XP_033332436.1, XP_033332438.1, XP_033332435.1	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1
OG0000101	XP_033329295.1	XP_015184968.1
OG0000101	XP_033329294.1, XP_033329291.1	XP_015178204.1, XP_015178201.1
OG0000102	XP_033337546.1	XP_015177204.1
OG0000102	XP_033327585.1	XP_015177230.1, XP_015177232.1
OG0000103	XP_033320987.1, XP_033320986.1, XP_033320989.1, XP_033320988.1	XP_015173914.1
OG0000103	XP_033321001.1	XP_015174400.1, XP_015174392.1
OG0000103	XP_033320999.1, XP_033321000.1	XP_015174420.1, XP_015174451.1, XP_015174437.1, XP_015174429.1, XP_015174443.1, XP_015174411.1
OG0000106	XP_033325290.1	XP_015189668.1
OG0000106	XP_033320766.1, XP_033320765.1, XP_033333838.1, XP_033333876.1, XP_033320767.1	XP_015179304.1
OG0000107	XP_033342710.1	XP_015172211.1, XP_015172212.1
OG0000108	XP_033333478.1	XP_015181990.1, XP_015182011.1, XP_015191850.1
OG0000109	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1
OG0000110	XP_033334675.1, XP_033333647.1	XP_015180892.1
OG0000111	XP_033327466.1	XP_015188005.1
OG0000112	XP_033342648.1, XP_033342649.1, XP_033342647.1, XP_033342644.1, XP_033342645.1	XP_015188234.1, XP_015188235.1, XP_015188236.1
OG0000112	XP_033338986.1	XP_015180272.1, XP_015180273.1
OG0000113	XP_033339074.1	XP_015185884.1
OG0000113	XP_033343072.1, XP_033343071.1, XP_033343075.1	XP_015172979.1, XP_015172980.1
OG0000114	XP_033328279.1	XP_015171119.1
OG0000115	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1, XP_033336981.1	XP_015171184.1, XP_015171185.1
OG0000115	XP_033335187.1	XP_015183848.1, XP_015183846.1
OG0000116	XP_033334929.1, XP_033334945.1, XP_033334936.1, XP_033334954.1, XP_033334963.1	XP_015173852.1, XP_015173854.1, XP_015173853.1
OG0000116	XP_033334348.1, XP_033334350.1, XP_033334349.1	XP_015173840.1, XP_015173841.1
OG0000117	XP_033329862.1	XP_015176195.1
OG0000117	XP_033333385.1	XP_015171648.1, XP_015171595.1
OG0000119	XP_033333666.1, XP_033327860.1, XP_033327861.1, XP_033327858.1, XP_033327862.1	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1
