GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0007476	imaginal disc-derived wing morphogenesis	254	54	27.95	1.7e-10	1.7e-10	1.122e-7	3.868965517241379e-9
GO:0007424	open tracheal system development	230	37	25.31	2.4e-07	2.4e-07	7.919999999999999e-5	2.3641791044776116e-6
GO:0001738	morphogenesis of a polarized epithelium	106	20	11.66	4.0e-07	4.0e-07	8.8e-5	3.428571428571428e-6
GO:0007411	axon guidance	233	41	25.64	5.4e-07	5.4e-07	8.91e-5	4.4e-6
GO:0050804	modulation of chemical synaptic transmission	119	29	13.1	1.2e-06	1.2e-06	1.584e-4	9.10344827586207e-6
GO:0001505	regulation of neurotransmitter levels	104	19	11.44	3.6e-06	3.6e-06	3.96e-4	2.2846153846153845e-5
GO:0007613	memory	107	20	11.77	8.3e-06	8.3e-06	7.825714285714286e-4	4.642372881355933e-5
GO:0006836	neurotransmitter transport	108	20	11.88	1.1e-05	1.1e-05	9.075e-4	5.902439024390244e-5
GO:0099504	synaptic vesicle cycle	106	20	11.66	1.3e-05	1.3e-05	9.533333333333332e-4	6.919354838709677e-5
GO:0007611	learning or memory	147	33	16.18	1.5e-05	1.1e-08	9.9e-4	1.7707317073170732e-7
GO:0007163	establishment or maintenance of cell polarity	190	32	20.91	1.9e-05	1.9e-05	0.00114	9.646153846153846e-5
GO:0001700	embryonic development via the syncytial blastoderm	133	21	14.64	2.4e-05	2.4e-05	0.0012692307692307692	1.1909774436090226e-4
GO:0016049	cell growth	132	24	14.53	2.5e-05	2.5e-05	0.0012692307692307692	1.2313432835820895e-4
GO:0060249	anatomical structure homeostasis	134	20	14.75	3.1e-05	3.1e-05	0.0014614285714285716	1.5044117647058824e-4
GO:0032879	regulation of localization	438	85	48.2	4.6e-05	2.4e-08	0.002024	3.3e-7
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	184	35	20.25	7.9e-05	7.9e-05	0.00325875	3.522972972972973e-4
GO:0023061	signal release	119	22	13.1	0.00012	0.00012	0.004399999999999999	5.142857142857143e-4
GO:0007626	locomotory behavior	163	28	17.94	0.00012	0.00012	0.004399999999999999	5.142857142857143e-4
GO:0090066	regulation of anatomical structure size	235	42	25.86	0.00013	1.4e-06	0.00451578947368421	1.05e-5
GO:0001751	compound eye photoreceptor cell differentiation	154	25	16.95	0.00024	0.00024	0.00792	9.77777777777778e-4
GO:0016331	morphogenesis of embryonic epithelium	102	16	11.22	0.00028	0.00028	0.008321739130434783	0.00112
GO:0007417	central nervous system development	236	36	25.97	0.00028	0.00028	0.008321739130434783	0.00112
GO:0007265	Ras protein signal transduction	131	20	14.42	0.00029	0.00029	0.008321739130434783	0.001153012048192771
GO:0048666	neuron development	516	91	56.78	0.00032	1.2e-08	0.008448	1.8e-7
GO:0000904	cell morphogenesis involved in differentiation	407	73	44.79	0.00032	5.0e-08	0.008448	6e-7
GO:0032535	regulation of cellular component size	165	29	18.16	0.00038	0.00038	0.009646153846153846	0.0014752941176470588
GO:0048589	developmental growth	341	57	37.52	0.00041	2.1e-06	0.01002222222222222	1.490322580645161e-5
GO:0009968	negative regulation of signal transduction	310	53	34.11	0.00050	0.00058	0.011785714285714287	0.002175
GO:0033554	cellular response to stress	506	59	55.68	0.00052	0.10391	0.011834482758620687	0.1727471032745592
GO:0030855	epithelial cell differentiation	329	52	36.2	0.00057	4.1e-06	0.012135483870967741	2.577142857142857e-5
GO:0045664	regulation of neuron differentiation	163	33	17.94	0.00057	5.4e-06	0.012135483870967741	3.24e-5
GO:0035282	segmentation	205	23	22.56	0.00065	0.00068	0.013	0.002479558011049724
GO:0045927	positive regulation of growth	101	15	11.11	0.00065	0.00065	0.013	0.0023966480446927373
GO:0007015	actin filament organization	142	24	15.63	0.00067	0.00067	0.013005882352941176	0.0024566666666666665
GO:0010648	negative regulation of cell communication	333	61	36.64	0.00071	3.8e-05	0.013388571428571428	1.8173913043478262e-4
GO:0045165	cell fate commitment	281	41	30.92	0.00079	4.9e-05	0.014270270270270271	2.2936170212765956e-4
GO:0030036	actin cytoskeleton organization	259	45	28.5	0.00080	1.1e-05	0.014270270270270271	5.902439024390244e-5
GO:0000165	MAPK cascade	135	22	14.86	0.00087	0.01042	0.015061538461538461	0.025951698113207546
GO:0009266	response to temperature stimulus	100	14	11	0.00089	0.00089	0.015061538461538461	0.003141176470588235
GO:0030001	metal ion transport	183	32	20.14	0.00098	0.00098	0.01617	0.0033687499999999998
GO:0051049	regulation of transport	264	49	29.05	0.00103	0.00025	0.016499999999999997	0.0010122699386503067
GO:0016477	cell migration	260	52	28.61	0.00105	1.9e-08	0.016499999999999997	2.6680851063829786e-7
GO:1902903	regulation of supramolecular fiber organization	101	15	11.11	0.00110	0.00110	0.01688372093023256	0.0037616580310880833
GO:0007447	imaginal disc pattern formation	104	22	11.44	0.00116	0.00116	0.0174	0.003926153846153846
GO:0048523	negative regulation of cellular process	1079	167	118.74	0.00128	1.1e-07	0.01867659574468085	1.1901639344262296e-6
GO:0023057	negative regulation of signaling	334	61	36.75	0.00132	4.4e-05	0.01867659574468085	2.0742857142857143e-4
GO:0007298	border follicle cell migration	107	20	11.77	0.00133	0.00133	0.01867659574468085	0.004478571428571429
GO:0048512	circadian behavior	101	23	11.11	0.00137	0.00137	0.018722448979591837	0.004566666666666667
GO:0030534	adult behavior	131	23	14.42	0.00139	0.00139	0.018722448979591837	0.004587
GO:0098609	cell-cell adhesion	108	20	11.88	0.00152	0.00152	0.020064	0.004966336633663367
GO:0010975	regulation of neuron projection development	100	22	11	0.00162	0.00162	0.02096470588235294	0.005241176470588235
GO:0032101	regulation of response to external stimulus	202	23	22.23	0.00176	0.02076	0.02233846153846154	0.04500983606557377
GO:0001745	compound eye morphogenesis	256	50	28.17	0.00191	5.4e-06	0.02378490566037736	3.24e-5
GO:0032970	regulation of actin filament-based process	101	17	11.11	0.00227	0.00227	0.02774444444444444	0.007066981132075471
GO:0006897	endocytosis	158	28	17.39	0.00248	0.00248	0.029464285714285717	0.007542857142857143
GO:0022008	neurogenesis	754	125	82.97	0.00250	4.5e-12	0.029464285714285717	2.7e-10
GO:0051493	regulation of cytoskeleton organization	146	21	16.07	0.00271	0.00271	0.031065517241379306	0.008167123287671234
GO:0001709	cell fate determination	134	21	14.75	0.00273	0.00273	0.031065517241379306	0.00819
GO:0009953	dorsal/ventral pattern formation	132	30	14.53	0.00281	0.00281	0.031433898305084744	0.00839185520361991
GO:0120036	plasma membrane bounded cell projection organization	570	84	62.72	0.00295	5.6e-05	0.03245	2.5666666666666665e-4
GO:0050769	positive regulation of neurogenesis	102	16	11.22	0.00342	0.00342	0.0367258064516129	0.010032
GO:0007297	ovarian follicle cell migration	117	21	12.88	0.00345	5.6e-05	0.0367258064516129	2.5666666666666665e-4
GO:0022604	regulation of cell morphogenesis	128	27	14.09	0.00357	0.00357	0.037399999999999996	0.010425663716814158
GO:0048468	cell development	1147	169	126.22	0.00463	4.4e-08	0.047746874999999994	5.694117647058823e-7
GO:0007167	enzyme linked receptor protein signaling pathway	235	49	25.86	0.00495	7.8e-06	0.05026153846153846	4.476521739130434e-5
GO:1901576	organic substance biosynthetic process	1883	220	207.21	0.00521	0.50879	0.05184347826086957	0.6335875471698112
GO:0007268	chemical synaptic transmission	268	52	29.49	0.00533	1.8e-07	0.05184347826086957	1.85625e-6
GO:0001754	eye photoreceptor cell differentiation	162	29	17.83	0.00542	1.6e-05	0.05184347826086957	8.186046511627907e-5
GO:0120031	plasma membrane bounded cell projection assembly	155	10	17.06	0.00542	0.73618	0.05184347826086957	0.8446166666666666
GO:0061061	muscle structure development	209	32	23	0.00576	0.00087	0.054308571428571435	0.0030870967741935484
GO:0007600	sensory perception	237	33	26.08	0.00601	0.10950	0.055867605633802817	0.17888613861386138
GO:0034329	cell junction assembly	206	36	22.67	0.00611	6.6e-06	0.05600833333333333	3.8210526315789476e-5
GO:0048813	dendrite morphogenesis	132	29	14.53	0.00634	0.00634	0.05732054794520548	0.017149180327868854
GO:0006468	protein phosphorylation	373	47	41.05	0.00657	0.00038	0.05808000000000001	0.0014752941176470588
GO:0060341	regulation of cellular localization	149	24	16.4	0.00660	0.00660	0.05808000000000001	0.017779591836734693
GO:0098542	defense response to other organism	274	21	30.15	0.00731	0.22075	0.06348157894736842	0.3223340707964602
GO:0006355	regulation of transcription, DNA-templated	800	112	88.03	0.00761	0.00678	0.06522857142857143	0.018096774193548385
GO:0051130	positive regulation of cellular component organization	271	36	29.82	0.00815	0.10754	0.06896153846153846	0.177639
GO:0043087	regulation of GTPase activity	100	20	11	0.00834	0.00834	0.06967594936708861	0.021334883720930235
GO:1901360	organic cyclic compound metabolic process	1922	211	211.5	0.00846	0.15942	0.06979500000000001	0.2464103044496487
GO:0003002	regionalization	404	68	44.46	0.00882	1.7e-06	0.07164578313253013	1.2466666666666667e-5
GO:0048583	regulation of response to stimulus	838	117	92.22	0.00893	4.0e-05	0.07164578313253013	1.8992805755395684e-4
GO:0007416	synapse assembly	154	26	16.95	0.00901	0.00038	0.07164578313253013	0.0014752941176470588
GO:0050877	nervous system process	404	68	44.46	0.00994	2.3e-06	0.07809999999999999	1.5978947368421052e-5
GO:0048732	gland development	146	19	16.07	0.01014	0.01014	0.07873411764705882	0.025446387832699622
GO:0060627	regulation of vesicle-mediated transport	117	20	12.88	0.01124	0.01124	0.08626046511627908	0.02747555555555556
GO:0019725	cellular homeostasis	184	23	20.25	0.01188	0.00085	0.09012413793103448	0.003048913043478261
GO:0009611	response to wounding	104	16	11.44	0.01263	0.01263	0.094725	0.03009314079422383
GO:0050793	regulation of developmental process	672	113	73.95	0.01287	5.0e-06	0.09544044943820225	3.084112149532711e-5
GO:0023056	positive regulation of signaling	395	54	43.47	0.01357	0.00058	0.09841978021978022	0.002175
GO:0010647	positive regulation of cell communication	395	54	43.47	0.01357	0.00058	0.09841978021978022	0.002175
GO:0051239	regulation of multicellular organismal process	656	117	72.19	0.01442	1.0e-08	0.10240645161290322	1.6923076923076923e-7
GO:0055085	transmembrane transport	460	72	50.62	0.01443	0.00091	0.10240645161290322	0.0031777777777777776
GO:0048598	embryonic morphogenesis	190	30	20.91	0.01471	0.00055	0.10328297872340425	0.0020982658959537576
GO:0009896	positive regulation of catabolic process	115	13	12.65	0.01504	0.21258	0.10445510204081632	0.31178399999999995
GO:0000122	negative regulation of transcription by RNA polymerase II	189	30	20.8	0.01532	0.01532	0.10445510204081632	0.03504827586206897
GO:0042594	response to starvation	109	19	11.99	0.01540	0.01540	0.10445510204081632	0.03504827586206897
GO:0051240	positive regulation of multicellular organismal process	249	44	27.4	0.01551	0.00023	0.10445510204081632	9.42857142857143e-4
GO:0009416	response to light stimulus	114	20	12.54	0.01578	0.01578	0.1052	0.035667123287671236
GO:0009987	cellular process	5533	621	608.87	0.01714	0.41832	0.11312399999999999	0.5410579256360079
GO:0008582	regulation of synaptic growth at neuromuscular junction	100	12	11	0.01749	0.01749	0.11429108910891088	0.03913016949152542
GO:0007264	small GTPase mediated signal transduction	148	23	16.29	0.01795	2.2e-05	0.11501941747572815	1.0999999999999999e-4
