Orthogroup	Osmia_lignaria	Ceratina_calcarata
OG0000000	XP_034194192.1	XP_017882355.1
OG0000000	XP_034195039.1	XP_017887274.1
OG0000000	XP_034194643.1	XP_026671887.1
OG0000000	XP_034194536.1	XP_017875370.2
OG0000000	XP_034194634.1	XP_017884602.1
OG0000000	XP_034192189.1, XP_034179509.1	XP_017874999.1, XP_017879660.1, XP_017887576.1, XP_017877626.1, XP_017882359.1
OG0000000	XP_034174770.1	XP_017887262.1
OG0000001	XP_034194619.1, XP_034194603.1, XP_034194594.1	XP_017891081.1
OG0000001	XP_034178689.1, XP_034178688.1, XP_034178687.1, XP_034178696.1	XP_017888667.1, XP_026673601.1
OG0000001	XP_034178690.1	XP_017888037.1
OG0000001	XP_034178111.1	XP_026674593.1, XP_017891764.1, XP_017891756.1
OG0000002	XP_034195189.1, XP_034192544.1, XP_034194984.1	XP_026667095.1
OG0000002	XP_034186984.1	XP_017891277.1, XP_017891019.1
OG0000004	XP_034183052.1	XP_026668068.1
OG0000004	XP_034183283.1	XP_026671157.1, XP_026671137.1, XP_026671130.1
OG0000004	XP_034183284.1, XP_034183285.1, XP_034183048.1	XP_026671131.1, XP_017883644.1, XP_026671140.1, XP_026671158.1, XP_026671138.1, XP_026671141.1, XP_017883640.2, XP_017883641.2, XP_026671143.1, XP_026671129.1, XP_026671149.1, XP_026671151.1, XP_017883621.2, XP_017883632.2, XP_026671133.1
OG0000005	XP_034175224.1, XP_034175225.1, XP_034176024.1	XP_017889271.2
OG0000006	XP_034191426.1	XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1, XP_026671801.1, XP_026671800.1, XP_017884545.1, XP_017884546.1
OG0000006	XP_034171306.1, XP_034174016.1, XP_034173944.1	XP_017875197.1
OG0000006	XP_034171451.1	XP_017888231.1
OG0000007	XP_034196577.1, XP_034179608.1, XP_034196053.1, XP_034179620.1, XP_034191910.1	XP_026669980.1, XP_026669747.1, XP_026667260.1, XP_026669995.1
OG0000008	XP_034174481.1, XP_034174489.1	XP_017892322.1, XP_026675486.1, XP_017892323.1
OG0000008	XP_034186914.1	XP_017893662.1
OG0000008	XP_034183066.1	XP_017880123.1, XP_017880121.1
OG0000008	XP_034183064.1	XP_017880124.1
OG0000009	XP_034188385.1	XP_026671941.1
OG0000010	XP_034179226.1, XP_034179208.1, XP_034179214.1, XP_034179212.1, XP_034179508.1, XP_034179507.1, XP_034179211.1	XP_017889350.1, XP_026674208.1, XP_026674209.1, XP_017889349.2
OG0000011	XP_034186670.1, XP_034186666.1, XP_034186667.1, XP_034186658.1, XP_034186654.1, XP_034186665.1, XP_034186664.1, XP_034186663.1, XP_034186662.1, XP_034186661.1, XP_034186660.1, XP_034186659.1, XP_034186656.1, XP_034186655.1, XP_034186669.1	XP_026672740.1, XP_026672741.1, XP_026672742.1
OG0000012	XP_034186457.1, XP_034186455.1, XP_034186454.1, XP_034186459.1, XP_034186458.1, XP_034186462.1, XP_034186460.1, XP_034186461.1, XP_034186464.1, XP_034186463.1	XP_017877808.2
OG0000013	XP_034194692.1	XP_017884306.1, XP_026668765.1
OG0000013	XP_034174822.1, XP_034182100.1	XP_017878373.1, XP_017892959.1
OG0000014	XP_034195019.1, XP_034171801.1, XP_034174017.1, XP_034173430.1	XP_017888171.1
OG0000014	XP_034173516.1	XP_017887569.1
OG0000015	XP_034178504.1, XP_034178505.1, XP_034178500.1, XP_034178499.1, XP_034178576.1, XP_034178578.1, XP_034178513.1, XP_034178575.1	XP_017883370.2
OG0000017	XP_034173428.1	XP_017892537.1
OG0000017	XP_034183944.1, XP_034173515.1, XP_034171836.1, XP_034173514.1	XP_017881017.1
OG0000017	XP_034195016.1	XP_026673239.1
OG0000018	XP_034187723.1, XP_034187722.1, XP_034187720.1, XP_034187719.1, XP_034187724.1	XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1, XP_017877144.1
OG0000019	XP_034195722.1, XP_034195724.1, XP_034195725.1, XP_034195721.1, XP_034195720.1, XP_034195717.1, XP_034195716.1, XP_034195719.1, XP_034195718.1, XP_034195715.1, XP_034195714.1	XP_026668667.1, XP_026668668.1, XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_017878669.1
OG0000021	XP_034194686.1, XP_034177277.1, XP_034196681.1, XP_034194632.1	XP_017887382.1
OG0000022	XP_034190542.1, XP_034190549.1, XP_034190548.1, XP_034190550.1, XP_034190544.1, XP_034190547.1, XP_034190545.1, XP_034190543.1	XP_026667393.1, XP_026667391.1, XP_026667392.1, XP_017876039.1, XP_026667394.1
OG0000023	XP_034194812.1	XP_026671442.1, XP_017884089.1
OG0000025	XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182855.1, XP_034182851.1, XP_034182850.1, XP_034182856.1	XP_026674597.1, XP_026674600.1, XP_026674596.1, XP_017890658.1, XP_026674598.1
OG0000026	XP_034189435.1, XP_034189434.1, XP_034189436.1, XP_034189437.1, XP_034189438.1	XP_026670298.1
OG0000027	XP_034176177.1, XP_034176176.1, XP_034176171.1, XP_034176175.1, XP_034176174.1, XP_034176173.1, XP_034176178.1, XP_034176172.1	XP_026673236.1, XP_026673235.1, XP_017887874.1
OG0000028	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1	XP_026667338.1, XP_026667337.1, XP_017875902.1, XP_026667339.1, XP_017875900.1
