Orthogroup	Osmia_lignaria	Dufourea_novaeangliae
OG0000000	XP_034174770.1	XP_015437077.1, XP_015438112.1
OG0000000	XP_034195039.1, XP_034174768.1	XP_015438109.1
OG0000000	XP_034194643.1	XP_015437079.1
OG0000000	XP_034179313.1	XP_015437064.1, XP_015437899.1, XP_015434762.1
OG0000000	XP_034192368.1, XP_034194837.1, XP_034195324.1	XP_015437066.1
OG0000000	XP_034195203.1	XP_015436978.1
OG0000000	XP_034179509.1, XP_034192189.1	XP_015437823.1, XP_015433132.1, XP_015433592.1
OG0000001	XP_034175979.1	XP_015431819.1
OG0000001	XP_034194603.1, XP_034194619.1, XP_034194593.1, XP_034194594.1	XP_015434764.1, XP_015434777.1, XP_015434775.1, XP_015434757.1, XP_015434758.1
OG0000001	XP_034194581.1, XP_034194582.1, XP_034194583.1	XP_015434772.1, XP_015434773.1, XP_015434778.1
OG0000001	XP_034178690.1	XP_015434774.1
OG0000001	XP_034178111.1	XP_015438122.1
OG0000001	XP_034194601.1	XP_015438123.1
OG0000001	XP_034187550.1	XP_015437062.1
OG0000001	XP_034182179.1	XP_015431466.1
OG0000001	XP_034190826.1, XP_034190827.1	XP_015436985.1, XP_015436987.1, XP_015436980.1, XP_015436981.1, XP_015436982.1
OG0000002	XP_034171929.1	XP_015431056.1, XP_015431069.1
OG0000002	XP_034171933.1	XP_015431184.1
OG0000002	XP_034171931.1	XP_015431151.1, XP_015431173.1
OG0000002	XP_034171014.1	XP_015431092.1
OG0000002	XP_034171928.1	XP_015431116.1, XP_015431127.1
OG0000002	XP_034171012.1	XP_015431105.1, XP_015431162.1
OG0000003	XP_034183870.1, XP_034174050.1	XP_015432072.1, XP_015433583.1
OG0000004	XP_034182484.1, XP_034184622.1	XP_015436031.1
OG0000004	XP_034194812.1	XP_015437622.1, XP_015437540.1, XP_015440316.1
OG0000004	XP_034178409.1	XP_015431440.1
OG0000004	XP_034194807.1	XP_015437848.1
OG0000004	XP_034195009.1, XP_034194636.1	XP_015437624.1
OG0000004	XP_034195065.1	XP_015436732.1
OG0000005	XP_034196431.1, XP_034175159.1, XP_034175160.1	XP_015429410.1
OG0000005	XP_034192460.1	XP_015433678.1, XP_015437078.1, XP_015435707.1
OG0000005	XP_034194826.1	XP_015433189.1
