Orthogroup	Osmia_bicornis	Bombus_terrestris
OG0000000	XP_029054585.1, XP_029054548.1	XP_012175230.1
OG0000000	XP_029053969.1	XP_012174870.1, XP_012171987.1, XP_012175227.1
OG0000000	XP_029053863.1	XP_012174418.1
OG0000001	XP_029044867.1	XP_020720552.1, XP_003398646.1
OG0000001	XP_029053627.1, XP_029053628.1, XP_029054076.1, XP_029054175.1	XP_003400131.1, XP_012170860.1
OG0000001	XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1	XP_003400126.1
OG0000001	XP_029053697.1	XP_003400119.1
OG0000001	XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1	XP_020721796.1, XP_012170859.1
OG0000001	XP_029053876.1	XP_012170861.1
OG0000001	XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1, XP_029053704.1	XP_012170855.1
OG0000001	XP_029036021.1	XP_012168947.1
OG0000001	XP_029033204.1, XP_029033205.1	XP_012175298.1, XP_003393848.1, XP_012170233.1, XP_020721551.1, XP_012170221.2, XP_012170223.1, XP_003399696.2, XP_003403418.2, XP_003403397.3
OG0000002	XP_029034426.1	XP_020724018.1, XP_003393988.2
OG0000002	XP_029048273.1	XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175715.1, XP_012175716.1, XP_012175714.1, XP_012175717.1, XP_012175609.1
OG0000002	XP_029048274.1	XP_003393920.1, XP_003403429.1, XP_003394006.1, XP_003393921.1
OG0000002	XP_029048309.1	XP_012175711.1
OG0000002	XP_029034429.1	XP_020722331.1
OG0000002	XP_029034428.1	XP_020722344.1
OG0000002	XP_029054354.1, XP_029048279.1	XP_003393905.1, XP_020723934.1
OG0000002	XP_029048308.1	XP_012175710.2, XP_012175708.2, XP_003394005.1, XP_003393918.1
OG0000002	XP_029054353.1	XP_003394003.1, XP_003393998.1
OG0000004	XP_029043188.1	XP_003399806.1
OG0000004	XP_029054728.1	XP_012175515.1
OG0000004	XP_029055008.1	XP_012173923.2
OG0000005	XP_029054911.1, XP_029040190.1, XP_029048965.1, XP_029054068.1, XP_029054719.1, XP_029055018.1, XP_029055181.1	XP_012174537.1, XP_012173838.1, XP_003402808.1, XP_012173837.1, XP_012175341.1
OG0000006	XP_029036167.1	XP_020721955.1
OG0000006	XP_029033655.1	XP_012174904.1
OG0000008	XP_029037761.1	XP_012168744.1
OG0000008	XP_029037757.1	XP_012168771.1
OG0000008	XP_029037755.1	XP_003398745.1
OG0000008	XP_029037762.1	XP_020721002.1
OG0000009	XP_029039355.1	XP_003393388.3
OG0000009	XP_029039416.1	XP_003393376.1, XP_003393377.1
OG0000009	XP_029039350.1, XP_029039348.1, XP_029039349.1	XP_003393379.1
OG0000010	XP_029054044.1, XP_029054342.1, XP_029053689.1, XP_029053833.1, XP_029054571.1, XP_029055204.1, XP_029055000.1, XP_029054706.1, XP_029054282.1, XP_029054238.1	XP_012174385.1, XP_020723418.1
OG0000010	XP_029053688.1, XP_029055081.1	XP_012174211.1
OG0000011	XP_029054367.1	XP_020722450.1, XP_020722451.1
OG0000011	XP_029039510.1, XP_029039509.1, XP_029039508.1	XP_003401503.2
OG0000011	XP_029053128.1, XP_029053127.1, XP_029052576.1, XP_029054131.1, XP_029054129.1, XP_029052577.1, XP_029053130.1, XP_029053132.1, XP_029053134.1, XP_029052579.1, XP_029053590.1, XP_029053754.1, XP_029053755.1, XP_029053123.1, XP_029054135.1, XP_029053126.1, XP_029053131.1, XP_029054368.1, XP_029054370.1, XP_029052586.1, XP_029054369.1	XP_020722621.1, XP_003401565.2, XP_020720720.1
OG0000012	XP_029040151.1	XP_003402915.1
OG0000012	XP_029040169.1	XP_020723675.1
OG0000012	XP_029036967.1	XP_003401050.2
OG0000013	XP_029054967.1	XP_003392965.1, XP_003392969.1
OG0000013	XP_029035638.1	XP_020718381.1
OG0000013	XP_029037650.1	XP_003400771.1, XP_003400772.1, XP_003400767.1
OG0000014	XP_029051694.1	XP_012175524.1
OG0000014	XP_029051987.1	XP_003393114.1
OG0000017	XP_029036237.1	XP_012175461.1, XP_012175513.1, XP_012175528.1
OG0000017	XP_029039562.1	XP_012172021.1, XP_012172020.1, XP_012172019.1, XP_012172018.1, XP_020722711.1, XP_012172017.1
OG0000017	XP_029039565.1, XP_029039563.1, XP_029039564.1	XP_012172050.1
OG0000018	XP_029051327.1	XP_012169775.2
OG0000018	XP_029048068.1, XP_029048069.1, XP_029048067.1	XP_012164635.1, XP_012164634.1, XP_012164629.1, XP_012164630.1
OG0000018	XP_029049739.1, XP_029049738.1, XP_029049740.1	XP_012169298.1
OG0000018	XP_029049735.1	XP_003399081.1
OG0000019	XP_029052871.1, XP_029052872.1	XP_003398973.1, XP_020721097.1, XP_020721100.1, XP_020721101.1, XP_020721098.1, XP_020721099.1
OG0000019	XP_029052293.1	XP_003401753.1
OG0000019	XP_029033414.1	XP_003401949.1
OG0000020	XP_029050516.1	XP_012167183.1
OG0000020	XP_029055041.1	XP_003393559.1
OG0000020	XP_029042549.1	XP_012164798.2
OG0000020	XP_029051090.1	XP_003403319.2
OG0000020	XP_029034229.1	XP_012173392.1
OG0000020	XP_029032757.1	XP_020723566.1
OG0000021	XP_029039360.1, XP_029039361.1, XP_029039362.1	XP_012171597.1, XP_020722326.1, XP_003400632.1
OG0000021	XP_029032147.1	XP_003396414.1, XP_012165450.1, XP_012165451.1
OG0000021	XP_029046571.1	XP_012169135.1
OG0000021	XP_029049609.1	XP_020722863.1, XP_003403430.2
