Orthogroup	Ceratina_calcarata	Aedes_aegypti
OG0000001	XP_017879813.1, XP_017879816.1, XP_017891081.1, XP_017891747.1, XP_017888037.1, XP_026674593.1, XP_017891756.1, XP_017891764.1, XP_026675117.1, XP_017888667.1, XP_026673601.1, XP_017884717.1, XP_017886303.1, XP_017882560.1, XP_017883314.2, NP_001352268.1, XP_026670615.1	XP_021704701.1
OG0000002	XP_017878917.2, XP_017878885.1, XP_017878886.1, XP_026668779.1, XP_026668780.1, XP_017878890.2, XP_026668774.1, XP_017878891.1, XP_017878915.2, XP_026668772.1, XP_026668777.1, XP_026669569.1, XP_026669568.1, XP_026669563.1, XP_017880491.1, XP_017878910.1, XP_026670968.1, XP_017878912.1, XP_017878909.1, XP_017878913.1, XP_017883164.2, XP_026669570.1, XP_017878908.2, XP_017878907.2, XP_017878894.2, XP_026672267.1, XP_026668770.1, XP_026668781.1, XP_026668773.1, XP_026668785.1, XP_017878897.1, XP_017878896.1, XP_017878895.1, XP_017878899.1, XP_017878898.1, XP_026668778.1, XP_026668788.1, XP_017885095.1	XP_021711562.1
OG0000003	XP_017884413.1	XP_021694215.1
OG0000005	XP_017891414.1	XP_021706484.1
OG0000006	XP_026667224.1	XP_001651754.2, XP_001651756.3
OG0000007	XP_026667908.1, XP_017875316.1, XP_017881154.1	XP_021697170.1, XP_021709698.1, XP_021708773.1, XP_021712875.1, XP_021711983.1, XP_021697510.1, XP_021700679.1, XP_021694728.1, XP_021706451.1
OG0000007	XP_026673863.1	XP_021709737.1, XP_021708700.1, XP_021712884.1, XP_021707298.1, XP_021708190.1, XP_021699796.1, XP_021700128.1, XP_021701239.1, XP_021708882.1
OG0000008	XP_026675049.1	XP_001648300.1
OG0000008	XP_017877132.1, XP_017887927.2	XP_001648297.2
OG0000008	XP_026667992.1	XP_001661923.2
OG0000008	XP_026675083.1	XP_021710654.1
OG0000008	XP_017891654.1	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1
OG0000008	XP_017891655.1	XP_001648302.1
OG0000008	XP_026666941.1	XP_021710647.1
OG0000009	XP_017887163.1, XP_017887153.1, XP_017887158.1, XP_017887159.1, XP_017887161.1, XP_017882285.1, XP_017888595.2, XP_017882209.1, XP_017882161.1, XP_017882162.1, XP_026672903.1	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1
OG0000012	XP_017890720.1, XP_017889198.1, XP_026674581.1, XP_017875047.1	XP_001655419.1, XP_021709641.1
OG0000012	XP_026666907.1	XP_001658080.2, XP_001663002.1, XP_001652943.1, XP_001663900.2, XP_001658491.2, XP_001663898.2, XP_021707969.1, XP_001663895.2, XP_001660673.2, XP_001660676.2, XP_021703076.1, XP_001657786.1, XP_001650145.1, XP_021712427.1, XP_021707394.1
OG0000012	XP_017890257.1, XP_026672566.1, XP_017889230.1, XP_017890394.1, XP_017886295.1	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1
OG0000013	XP_017875197.1	XP_001657279.1, XP_021705634.1, XP_021711156.1, XP_021711154.1, XP_001656985.1, XP_001656989.1, XP_021711158.1, XP_021711157.1, XP_021711153.1, XP_021701440.1
OG0000013	XP_017887567.1	XP_021706175.1, XP_021701438.1, XP_021705825.1, XP_021705826.1, XP_001657268.1, XP_021707704.1, XP_021708004.1, XP_001657265.1
OG0000013	XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1	XP_001657554.1, XP_001655332.2
OG0000014	XP_017887641.1, XP_017875203.1, XP_017888173.1	XP_021712022.1, XP_021712028.1
OG0000016	XP_017878645.1, XP_017879462.1, XP_017877665.1, XP_017875193.1, XP_017878763.1, XP_026675337.1, XP_026675334.1, XP_026675631.1, XP_026675630.1, XP_017884306.1, XP_026668765.1, XP_017891439.1, XP_017884068.1, XP_017878373.1	XP_021712581.1, XP_021694278.1, XP_021695205.1
OG0000017	XP_017892800.1	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1
OG0000017	XP_026675002.1	XP_001658010.2
OG0000017	XP_026675010.1, XP_026675012.1, XP_026675011.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	XP_026673006.1, XP_026673004.1	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1
OG0000018	XP_017890591.1, XP_026674563.1, XP_017890593.1	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2
OG0000018	XP_017890581.1, XP_017889371.1	XP_021706781.1
OG0000019	XP_017887380.2, XP_026668832.1, XP_017890717.1, XP_017877436.1, XP_017885792.1	XP_021694331.1, XP_021694068.1
OG0000019	XP_017885630.1	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	XP_017881798.1, XP_026672764.1	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	XP_017892668.1	XP_021700919.1, XP_001650147.2
OG0000020	XP_017878233.1	XP_021706790.1
OG0000020	XP_017876760.1	XP_021703783.1
OG0000020	XP_026668767.1	XP_021699908.1
OG0000021	XP_017892171.1	XP_001654997.1, XP_021710336.1, XP_021710335.1
OG0000021	XP_026674526.1, XP_017890431.1	XP_021699404.1
OG0000022	XP_017887568.1	XP_001657157.1, XP_001657152.1, XP_001657149.1, XP_001662624.1
OG0000022	XP_017888174.1	XP_001652489.1, XP_001656988.1, XP_021706565.1, XP_021706568.1
OG0000023	XP_017888175.1	XP_021706557.1
OG0000026	XP_017886012.1	XP_021708568.1, XP_021708571.1
OG0000027	XP_017875198.1	XP_001663888.1, XP_021706536.1
OG0000027	XP_017887602.1	XP_001656994.2
OG0000027	XP_017888171.1	XP_021705635.1, XP_021705023.1, XP_021705301.1, XP_021705299.1, XP_021705297.1, XP_021706523.1
OG0000027	XP_017887569.1	XP_001657275.1
OG0000029	XP_017879055.1, XP_017878925.1	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	XP_017883728.1	XP_001664018.2
OG0000029	XP_026668846.1, XP_026671320.1, XP_017878918.1	XP_021704637.1, XP_021704641.1, XP_021712735.1
OG0000030	XP_026669786.1, XP_026668326.1	XP_001658050.1
OG0000032	XP_017879113.1	XP_021702783.1
OG0000032	XP_026669191.1, XP_017879823.1, XP_017891597.1	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1
OG0000033	XP_026675149.1, XP_017888593.2	XP_021705680.1, XP_021704128.1
OG0000033	XP_017881686.1	XP_021702767.1
OG0000035	XP_017886557.1	XP_001659549.2, XP_001653600.1, XP_021695840.1, XP_011493156.1, XP_001653602.1, XP_021702436.1, XP_001660379.1, XP_021702428.1, XP_021696237.1, XP_021696236.1, XP_001663166.2, XP_001663167.2, XP_001663165.2, XP_001654498.2, XP_021699048.1, XP_021699049.1, XP_001654514.2, XP_021699050.1
OG0000036	XP_017889438.1, XP_017889422.1, XP_017888379.2	XP_021695536.1
OG0000037	XP_017893255.1	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1
OG0000038	XP_017875625.1, XP_017877449.1	XP_001652144.1, XP_001663407.1
OG0000038	XP_017889363.1	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1
OG0000040	XP_026667575.1	XP_001659969.2, XP_001659962.1
OG0000040	XP_017877450.1, XP_017888048.1, XP_017889733.1, XP_017888163.1	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1
OG0000041	XP_017880124.1, XP_017880121.1, XP_017880123.1	XP_001659963.1
OG0000041	XP_017893662.1	XP_001649531.1
OG0000042	XP_017883943.2, XP_026673615.1	XP_021693433.1
OG0000043	XP_017886026.1	XP_001660749.1
OG0000043	XP_017878064.1	XP_001660756.1
OG0000043	XP_017877704.1	XP_001660753.1
OG0000044	XP_026674447.1, XP_026673576.1	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2
OG0000044	XP_026675544.1	XP_021712943.1
OG0000045	XP_017885494.1, XP_017885495.1, XP_026672577.1	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	XP_017880728.1	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	XP_017877146.1, XP_017889622.1	XP_021707697.1
OG0000046	XP_017876333.1	XP_021698547.1, XP_021698548.1
OG0000047	XP_017880334.1, XP_017892805.1, XP_017875626.1, XP_017888678.1, XP_026675543.1	XP_021713287.1, XP_021713290.1, XP_021698064.1, XP_021698875.1, XP_021705066.1, XP_021697550.1
OG0000048	XP_026672955.1	XP_001663296.2
OG0000050	XP_017877630.1, XP_026668996.1, XP_017881679.1, XP_017888731.1, XP_017879668.1, XP_017890628.2	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1
OG0000052	XP_017886239.1	XP_021711564.1
OG0000054	XP_017882628.1, XP_017882621.1, XP_017879473.2	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	XP_026669288.1, XP_026670741.1	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1
OG0000055	XP_026669873.1	XP_001654841.2
OG0000056	XP_026668599.1	XP_021702305.1
OG0000056	XP_017878877.2	XP_021704129.1
OG0000056	XP_026673034.1	XP_021704390.1
OG0000057	XP_017893620.1	XP_001656025.1
OG0000057	XP_017893593.1	XP_021701591.1
OG0000057	XP_017893591.1	XP_001656026.2
OG0000057	XP_026666868.1	XP_001650054.1
OG0000059	XP_017885313.1	XP_021694291.1, XP_021712004.1, XP_021711614.1, XP_021699997.1, XP_021708414.1, XP_021703427.1, XP_021694822.1
OG0000060	XP_017886873.1	XP_001663993.2
OG0000060	XP_017888800.1, XP_017888809.1, XP_017888818.1, XP_017888829.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	XP_017875889.1	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	XP_017878262.1	XP_001664194.1, XP_001664195.2, XP_001661118.2
OG0000063	XP_017879825.1	XP_021706514.1, XP_021712878.1
OG0000065	XP_026668887.1	XP_011493201.1
OG0000065	XP_017879155.1, XP_017882484.1, XP_017882497.1	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1
