Orthogroup	Osmia_bicornis	Polistes_dominula
OG0000000	XP_029053837.1, XP_029053874.1, XP_029054235.1, XP_029054585.1, XP_029054548.1, XP_029055099.1	XP_015189866.1, XP_015189951.1
OG0000000	XP_029054552.1	XP_015191278.1, XP_015180767.1
OG0000000	XP_029053969.1	XP_015189697.1, XP_015189651.1, XP_015189739.1
OG0000000	XP_029054398.1	XP_015186015.1, XP_015189812.1, XP_015189416.1
OG0000000	XP_029054627.1, XP_029054117.1, XP_029053951.1	XP_015191151.1
OG0000001	XP_029044867.1	XP_015182412.1, XP_015182413.1, XP_015181295.1
OG0000001	XP_029047550.1, XP_029047546.1, XP_029047548.1, XP_029047547.1, XP_029055795.1	XP_015190970.1
OG0000001	XP_029053627.1, XP_029053628.1, XP_029054076.1, XP_029054175.1, XP_029053437.1, XP_029048982.1, XP_029048983.1, XP_029048984.1, XP_029048981.1, XP_029053439.1, XP_029053440.1, XP_029054094.1, XP_029053433.1, XP_029053438.1, XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1, XP_029053697.1, XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1, XP_029053876.1, XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1, XP_029053704.1	XP_015183493.1
OG0000001	XP_029036021.1	XP_015174482.1
OG0000002	XP_029034426.1	XP_015179442.1
OG0000002	XP_029048273.1	XP_015179331.1
OG0000002	XP_029048274.1, XP_029048309.1	XP_015179329.1, XP_015179330.1, XP_015179496.1
OG0000002	XP_029034429.1, XP_029034428.1, XP_029034389.1, XP_029054354.1, XP_029048279.1	XP_015179320.1, XP_015179321.1
OG0000002	XP_029054356.1, XP_029048299.1	XP_015179497.1
OG0000003	XP_029054798.1	XP_015189778.1
OG0000004	XP_029043188.1	XP_015189180.1
OG0000004	XP_029055059.1, XP_029055222.1, XP_029055135.1	XP_015177516.1
OG0000004	XP_029054728.1	XP_015189681.1, XP_015175257.1
OG0000004	XP_029054531.1	XP_015175256.1
OG0000004	XP_029055109.1	XP_015171070.1
OG0000004	XP_029054008.1, XP_029046929.1	XP_015189976.1
OG0000004	XP_029055315.1	XP_015189729.1, XP_015189948.1, XP_015189979.1
OG0000004	XP_029055010.1	XP_015189887.1
OG0000004	XP_029055230.1	XP_015189689.1
OG0000004	XP_029054487.1, XP_029054704.1	XP_015186432.1
OG0000005	XP_029054911.1	XP_015187494.1
OG0000005	XP_029054068.1	XP_015186874.1
OG0000006	XP_029036167.1	XP_015180561.1
OG0000006	XP_029033655.1	XP_015184251.1
OG0000008	XP_029037761.1	XP_015180320.1
OG0000008	XP_029041248.1	XP_015182812.1
OG0000008	XP_029037757.1	XP_015180327.1, XP_015180328.1
OG0000008	XP_029037755.1	XP_015180322.1, XP_015180321.1, XP_015180323.1
OG0000008	XP_029037762.1	XP_015180324.1, XP_015180325.1
OG0000009	XP_029039353.1, XP_029039355.1, XP_029039354.1	XP_015177367.1
OG0000009	XP_029039416.1, XP_029039350.1, XP_029039348.1, XP_029039349.1	XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1
OG0000010	XP_029054229.1, XP_029053726.1, XP_029053824.1	XP_015187532.1, XP_015189777.1
OG0000012	XP_029040151.1	XP_015181488.1
OG0000012	XP_029040169.1	XP_015181463.1
OG0000012	XP_029036967.1	XP_015184231.1
OG0000012	XP_029036856.1	XP_015181630.1
OG0000013	XP_029053452.1, XP_029054967.1, XP_029053453.1	XP_015172623.1
OG0000013	XP_029035638.1	XP_015174269.1
OG0000013	XP_029037650.1	XP_015172185.1
