Ob_GeneID,Dm_GeneID
LOC114879606,FBgn0261563
LOC114882918,FBgn0263197
LOC114876641,FBgn0024234
LOC114876009,FBgn0040235
LOC114875907,FBgn0037482
LOC114881443,FBgn0026361
LOC114881443,FBgn0014029
LOC114880711,FBgn0266098
LOC114877458,FBgn0029662
LOC114877458,FBgn0051559
LOC114872837,FBgn0086704
LOC114872649,FBgn0013973
LOC114872511,FBgn0013972
LOC114873298,FBgn0032484
LOC114873298,FBgn0031016
LOC114876157,FBgn0051004
LOC114877096,FBgn0036239
LOC114878657,FBgn0262010
LOC114878657,FBgn0039077
LOC114878657,FBgn0051609
LOC114878657,FBgn0051515
LOC114878657,FBgn0259954
LOC114878657,FBgn0262721
LOC114878657,FBgn0031561
LOC114878657,FBgn0031560
LOC114878657,FBgn0051779
LOC114878657,FBgn0031559
LOC114878657,FBgn0085305
LOC114878657,FBgn0031558
LOC114878657,FBgn0263842
LOC114878657,FBgn0033355
LOC114878657,FBgn0031554
LOC114878657,FBgn0031562
LOC114878657,FBgn0031563
LOC114878657,FBgn0031564
LOC114883227,FBgn0261574
LOC114870864,FBgn0026761
LOC114882974,FBgn0002643
LOC114882998,FBgn0031711
LOC114879245,FBgn0043550
LOC114875069,FBgn0001325
LOC114883138,FBgn0027091
LOC114883155,FBgn0036897
LOC114883125,FBgn0003891
LOC114874258,FBgn0041164
LOC114874325,FBgn0025582
LOC114871134,FBgn0033317
LOC114871225,FBgn0261381
LOC114871289,FBgn0261353
LOC114871388,FBgn0264606
LOC114874075,FBgn0001139
LOC114882642,FBgn0001139
LOC114882647,FBgn0268063
LOC114882338,FBgn0035793
LOC114882664,FBgn0259785
LOC114882626,FBgn0027567
LOC114876787,FBgn0043458
LOC114876477,FBgn0011703
LOC114876501,FBgn0039915
LOC114876550,FBgn0031315
LOC114882782,FBgn0005660
LOC114882790,FBgn0286213
LOC114882767,FBgn0038381
LOC114882767,FBgn0030251
LOC114883065,FBgn0266709
LOC114882756,FBgn0034314
LOC114882742,FBgn0027560
LOC114873240,FBgn0010323
LOC114878893,FBgn0033836
LOC114878893,FBgn0260475
LOC114878579,FBgn0052707
LOC114879191,FBgn0036211
LOC114878785,FBgn0030086
LOC114878472,FBgn0011674
LOC114879289,FBgn0050398
LOC114879289,FBgn0035482
LOC114878673,FBgn0037182
LOC114879134,FBgn0035143
LOC114879134,FBgn0035425
LOC114878939,FBgn0030787
LOC114877709,FBgn0004865
LOC114870901,FBgn0031854
LOC114870924,FBgn0030692
LOC114870926,FBgn0051148
LOC114870926,FBgn0051414
LOC114870932,FBgn0051148
LOC114870932,FBgn0051414
LOC114870941,FBgn0052600
LOC114882837,FBgn0052600
LOC114881106,FBgn0029791
LOC114882970,FBgn0263911
LOC114876427,FBgn0030482
LOC114874718,FBgn0038180
LOC114874789,FBgn0038180
LOC114876377,FBgn0030482
LOC114870960,FBgn0263911
LOC114883034,FBgn0029791
LOC114883220,FBgn0052600
LOC114870850,FBgn0031854
LOC114874214,FBgn0052600
LOC114872164,FBgn0051148
LOC114872164,FBgn0051414
LOC114873581,FBgn0051148
LOC114873581,FBgn0051414
LOC114883102,FBgn0030692
LOC114877331,FBgn0004865
LOC114880255,FBgn0035143
LOC114880255,FBgn0035425
LOC114880056,FBgn0030787
LOC114879865,FBgn0037182
LOC114880428,FBgn0050398
LOC114880428,FBgn0035482
LOC114879660,FBgn0011674
LOC114879961,FBgn0030086
LOC114880325,FBgn0036211
LOC114879760,FBgn0052707
LOC114878052,FBgn0033836
LOC114878052,FBgn0260475
LOC114874398,FBgn0010323
LOC114882803,FBgn0027560
LOC114882822,FBgn0034314
LOC114882829,FBgn0038381
LOC114882829,FBgn0030251
LOC114883109,FBgn0266709
LOC114882841,FBgn0286213
LOC114877276,FBgn0005660
LOC114877174,FBgn0031315
LOC114877115,FBgn0039915
LOC114876318,FBgn0011703
LOC114876711,FBgn0043458
LOC114881976,FBgn0027567
LOC114882299,FBgn0259785
LOC114882176,FBgn0268063
LOC114881687,FBgn0035793
LOC114882120,FBgn0001139
LOC114873746,FBgn0001139
LOC114871593,FBgn0264606
LOC114871927,FBgn0261353
LOC114871867,FBgn0261381
LOC114871788,FBgn0033317
LOC114874528,FBgn0025582
LOC114874466,FBgn0041164
LOC114883170,FBgn0003891
LOC114883212,FBgn0036897
LOC114883185,FBgn0027091
LOC114875372,FBgn0001325
LOC114883115,FBgn0043550
LOC114879888,FBgn0043550
LOC114883044,FBgn0031711
LOC114883027,FBgn0002643
LOC114870894,FBgn0026761
LOC114870869,FBgn0261574
LOC114880490,FBgn0262010
LOC114880490,FBgn0039077
LOC114880490,FBgn0051609
LOC114880490,FBgn0051515
LOC114880490,FBgn0259954
LOC114880490,FBgn0262721
LOC114880490,FBgn0031561
LOC114880490,FBgn0031560
LOC114880490,FBgn0051779
LOC114880490,FBgn0031559
LOC114880490,FBgn0085305
LOC114880490,FBgn0031558
LOC114880490,FBgn0263842
LOC114880490,FBgn0033355
LOC114880490,FBgn0031554
LOC114880490,FBgn0031562
LOC114880490,FBgn0031563
LOC114880490,FBgn0031564
LOC114878365,FBgn0036239
LOC114874972,FBgn0051004
LOC114872988,FBgn0032484
LOC114872988,FBgn0031016
LOC114872165,FBgn0013973
LOC114872023,FBgn0013972
LOC114872363,FBgn0086704
LOC114876854,FBgn0029662
LOC114876854,FBgn0051559
LOC114882671,FBgn0266098
LOC114882735,FBgn0027546
LOC114882727,FBgn0027546
LOC114882714,FBgn0026361
LOC114882714,FBgn0014029
LOC114875653,FBgn0037482
LOC114875754,FBgn0040235
LOC114876262,FBgn0024234
LOC114882860,FBgn0263197
LOC114882853,FBgn0261563
LOC114870974,FBgn0015338
LOC114870962,FBgn0260750
LOC114870957,FBgn0025352
LOC114870967,FBgn0032487
LOC114870951,FBgn0036557
LOC114872173,FBgn0004655
LOC114872131,FBgn0085437
LOC114872159,FBgn0032456
LOC114872176,FBgn0031590
LOC114872181,FBgn0033526
LOC114871268,FBgn0030178
LOC114871275,FBgn0034478
LOC114871275,FBgn0263233
LOC114871275,FBgn0024196
LOC114871255,FBgn0052579
LOC114871282,FBgn0031753
LOC114871633,FBgn0015664
LOC114871638,FBgn0035464
LOC114871613,FBgn0023441
LOC114871609,FBgn0031571
LOC114871112,FBgn0011305
LOC114871108,FBgn0032017
LOC114871094,FBgn0032018
LOC114871226,FBgn0031955
LOC114871659,FBgn0026403
LOC114871680,FBgn0265416
LOC114871665,FBgn0034733
LOC114871712,FBgn0034999
LOC114871705,FBgn0085419
LOC114871390,FBgn0026079
LOC114871384,FBgn0032800
LOC114871160,FBgn0032799
LOC114872401,FBgn0033159
LOC114871156,FBgn0032293
LOC114871156,FBgn0035491
LOC114871477,FBgn0051690
LOC114871477,FBgn0028481
LOC114871022,FBgn0042179
LOC114872628,FBgn0283500
LOC114872634,FBgn0262782
LOC114872606,FBgn0032208
LOC114871524,FBgn0015600
LOC114871544,FBgn0011648
LOC114871573,FBgn0010750
LOC114871560,FBgn0032409
LOC114871316,FBgn0040391
LOC114871316,FBgn0035674
LOC114871325,FBgn0031250
LOC114871335,FBgn0086768
LOC114870982,FBgn0010434
LOC114872719,FBgn0040513
LOC114872717,FBgn0050502
LOC114872701,FBgn0262476
LOC114872711,FBgn0033277
LOC114872711,FBgn0050371
LOC114872711,FBgn0050375
LOC114871794,FBgn0266708
LOC114871729,FBgn0013733
LOC114871830,FBgn0000256
LOC114871842,FBgn0051774
LOC114871842,FBgn0000547
LOC114872080,FBgn0031703
LOC114871800,FBgn0016920
LOC114871974,FBgn0003401
LOC114871974,FBgn0050075
LOC114872001,FBgn0032451
LOC114871989,FBgn0001084
LOC114871855,FBgn0011739
LOC114872067,FBgn0038662
LOC114871917,FBgn0051195
LOC114871930,FBgn0038826
LOC114871872,FBgn0261262
LOC114871920,FBgn0037757
LOC114871824,FBgn0039728
LOC114871908,FBgn0285911
LOC114872026,FBgn0261285
LOC114872073,FBgn0052230
LOC114871883,FBgn0000723
LOC114872030,FBgn0039726
LOC114872202,FBgn0261788
LOC114872254,FBgn0035166
LOC114872285,FBgn0030645
LOC114872243,FBgn0030330
LOC114871210,FBgn0259222
LOC114872108,FBgn0266581
LOC114872118,FBgn0264491
LOC114872103,FBgn0002791
LOC114872364,FBgn0031814
LOC114872391,FBgn0033906
LOC114872391,FBgn0039371
LOC114872351,FBgn0033454
LOC114872289,FBgn0036727
LOC114872289,FBgn0039840
LOC114872289,FBgn0029733
LOC114872370,FBgn0027610
LOC114872370,FBgn0037668
LOC114871290,FBgn0000542
LOC114871166,FBgn0037443
LOC114871203,FBgn0034327
LOC114871203,FBgn0037156
LOC114871371,FBgn0038301
LOC114871503,FBgn0038165
LOC114871117,FBgn0030969
LOC114872640,FBgn0265778
LOC114872318,FBgn0037188
LOC114872318,FBgn0034230
LOC114871410,FBgn0037188
LOC114871410,FBgn0034230
LOC114872598,FBgn0036232
LOC114872590,FBgn0035960
LOC114872328,FBgn0015381
LOC114871122,FBgn0038146
LOC114871142,FBgn0052246
LOC114871142,FBgn0039125
LOC114871149,FBgn0039055
LOC114871130,FBgn0267033
LOC114871400,FBgn0000416
LOC114871521,FBgn0032431
LOC114871428,FBgn0020912
LOC114871038,FBgn0011747
LOC114871083,FBgn0261596
LOC114871455,FBgn0038145
LOC114871512,FBgn0016754
LOC114874273,FBgn0038318
LOC114874289,FBgn0030746
LOC114874289,FBgn0030747
LOC114874310,FBgn0035240
LOC114874310,FBgn0010352
LOC114874318,FBgn0033391
LOC114873564,FBgn0036343
LOC114873564,FBgn0085213
LOC114873564,FBgn0085471
LOC114873564,FBgn0085473
LOC114873564,FBgn0085472
LOC114873798,FBgn0036343
LOC114873798,FBgn0085213
LOC114873798,FBgn0085471
LOC114873798,FBgn0085473
LOC114873798,FBgn0085472
LOC114873451,FBgn0053262
LOC114873451,FBgn0085458
LOC114873896,FBgn0053262
LOC114873896,FBgn0085458
LOC114873903,FBgn0039193
LOC114873903,FBgn0261993
LOC114873903,FBgn0261994
LOC114873263,FBgn0039197
LOC114873806,FBgn0039196
LOC114873806,FBgn0039195
LOC114873472,FBgn0039196
LOC114873472,FBgn0039195
LOC114873350,FBgn0039200
LOC114873391,FBgn0000036
LOC114873268,FBgn0000039
LOC114873848,FBgn0000352
LOC114873811,FBgn0003382
LOC114873864,FBgn0053303
LOC114873869,FBgn0033117
LOC114873858,FBgn0053129
LOC114873753,FBgn0038593
LOC114872792,FBgn0250788
LOC114872848,FBgn0037217
LOC114873945,FBgn0037797
LOC114872882,FBgn0023175
LOC114872868,FBgn0050438
LOC114872824,FBgn0038279
LOC114872824,FBgn0032752
LOC114873285,FBgn0036560
LOC114873285,FBgn0032402
LOC114873302,FBgn0029800
LOC114873295,FBgn0000659
LOC114873652,FBgn0037234
LOC114873598,FBgn0085443
LOC114873954,FBgn0020277
LOC114873954,FBgn0031109
LOC114873668,FBgn0010235
LOC114874240,FBgn0030719
LOC114874247,FBgn0030878
LOC114874267,FBgn0040376
LOC114874265,FBgn0040377
LOC114874265,FBgn0022097
LOC114874262,FBgn0065035
LOC114872898,FBgn0028550
LOC114873015,FBgn0031049
LOC114873015,FBgn0033691
LOC114873002,FBgn0037358
LOC114872905,FBgn0262125
LOC114872935,FBgn0029858
LOC114872989,FBgn0052687
LOC114872947,FBgn0046332
LOC114872947,FBgn0003371
LOC114872922,FBgn0005775
LOC114873739,FBgn0010391
LOC114874138,FBgn0052685
LOC114874155,FBgn0040321
LOC114874155,FBgn0040323
LOC114874155,FBgn0040322
LOC114874166,FBgn0034563
LOC114873972,FBgn0083951
LOC114874148,FBgn0052451
LOC114873484,FBgn0035407
LOC114873491,FBgn0010830
LOC114873475,FBgn0039293
LOC114873571,FBgn0031682
LOC114874200,FBgn0043806
LOC114874220,FBgn0083967
LOC114874205,FBgn0260467
LOC114874210,FBgn0043001
LOC114874234,FBgn0054015
LOC114874234,FBgn0031378
LOC114873992,FBgn0264817
LOC114873992,FBgn0283521
LOC114873165,FBgn0250869
LOC114873147,FBgn0032233
LOC114873554,FBgn0032233
LOC114873579,FBgn0053517
LOC114873220,FBgn0262738
LOC114873033,FBgn0085224
LOC114874333,FBgn0261446
LOC114874039,FBgn0035873
LOC114874044,FBgn0035873
LOC114874340,FBgn0040823
LOC114874060,FBgn0035873
LOC114872776,FBgn0001170
LOC114872786,FBgn0029587
LOC114872741,FBgn0030716
LOC114873790,FBgn0263512
LOC114873790,FBgn0263511
LOC114873502,FBgn0025641
LOC114873531,FBgn0004650
LOC114874116,FBgn0024366
LOC114873214,FBgn0036834
LOC114873338,FBgn0021742
LOC114873199,FBgn0039478
LOC114873206,FBgn0031381
LOC114874966,FBgn0052112
LOC114875347,FBgn0261618
LOC114875365,FBgn0032209
LOC114875308,FBgn0259229
LOC114875308,FBgn0031034
LOC114875308,FBgn0031033
LOC114875308,FBgn0038873
LOC114875308,FBgn0053337
LOC114875308,FBgn0039091
LOC114875308,FBgn0033792
LOC114875308,FBgn0039092
LOC114875308,FBgn0039093
LOC114875308,FBgn0031032
LOC114875308,FBgn0030148
LOC114875334,FBgn0028833
LOC114875315,FBgn0037574
LOC114875321,FBgn0260464
LOC114874489,FBgn0015721
LOC114874474,FBgn0037569
LOC114874481,FBgn0038607
LOC114874680,FBgn0034060
LOC114874464,FBgn0260456
LOC114874610,FBgn0033524
LOC114874583,FBgn0033753
LOC114874420,FBgn0086679
LOC114874428,FBgn0035872
LOC114874950,FBgn0267366
LOC114874950,FBgn0040345
LOC114874950,FBgn0015268
LOC114874943,FBgn0284246
LOC114874918,FBgn0264357
LOC114875148,FBgn0270926
LOC114875228,FBgn0051866
LOC114875228,FBgn0051865
LOC114875200,FBgn0000330
LOC114875135,FBgn0024689
LOC114875197,FBgn0033273
LOC114875097,FBgn0260486
LOC114875179,FBgn0027515
LOC114875209,FBgn0031298
LOC114875160,FBgn0038799
LOC114874878,FBgn0031871
LOC114874869,FBgn0015553
LOC114874845,FBgn0000228
LOC114874887,FBgn0261067
LOC114874850,FBgn0034249
LOC114874836,FBgn0261279
