HOG	OG	Gene Tree Parent Clade	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
N15.HOG0000000	OG0000000	n3																XP_029054064.1, XP_029054855.1	XP_034174770.1				
N15.HOG0000001	OG0000000	n16																XP_029054805.1, XP_029054649.1					
N15.HOG0000002	OG0000000	n26																	XP_034195039.1, XP_034174768.1				
N15.HOG0000003	OG0000000	n32												XP_012153563.1					XP_034194643.1				
N15.HOG0000004	OG0000000	n36												XP_012135784.1				XP_029054992.1					
N15.HOG0000005	OG0000000	n53												XP_012152116.1, XP_012152117.1, XP_012147726.1									
N15.HOG0000006	OG0000000	n63												XP_012153195.1				XP_029053837.1					
N15.HOG0000007	OG0000000	n66												XP_012152411.1				XP_029053874.1					
N15.HOG0000008	OG0000000	n81																XP_029054235.1					
N15.HOG0000009	OG0000000	n83																XP_029054585.1, XP_029054548.1	XP_034179313.1				
N15.HOG0000010	OG0000000	n102																XP_029055099.1					
N15.HOG0000011	OG0000000	n117																XP_029054802.1					
N15.HOG0000012	OG0000000	n118																XP_029054961.1					
N15.HOG0000013	OG0000000	n129												XP_012152959.1				XP_029054552.1	XP_034192368.1				
N15.HOG0000014	OG0000000	n135												XP_012145736.1, XP_012148636.1					XP_034194837.1, XP_034195324.1				
N15.HOG0000015	OG0000000	n140												XP_012153198.1									
N15.HOG0000016	OG0000000	n146												XP_012153201.1, XP_012152388.1									
N15.HOG0000017	OG0000000	n157												XP_012151877.1				XP_029055095.1					
N15.HOG0000018	OG0000000	n163																XP_029054261.1, XP_029054346.1					
N15.HOG0000019	OG0000000	n170												XP_012152724.1				XP_029053969.1	XP_034195203.1				
N15.HOG0000020	OG0000000	n191												XP_012152122.1, XP_003708045.1				XP_029054942.1, XP_029054772.1					
N15.HOG0000021	OG0000000	n201												XP_012136801.1, XP_012152727.1									
N15.HOG0000022	OG0000000	n203												XP_012136208.1									
N15.HOG0000023	OG0000000	n207												XP_012151339.1									
N15.HOG0000024	OG0000000	n216												XP_012152147.1, XP_012152740.1				XP_029054672.1	XP_034194995.1, XP_034195295.1				
N15.HOG0000025	OG0000000	n223																XP_029053863.1					
N15.HOG0000026	OG0000000	n243																XP_029054398.1					
N15.HOG0000027	OG0000000	n311												XP_012143819.1, XP_012153233.1				XP_029054870.1					
N15.HOG0000028	OG0000000	n313												XP_012146525.1				XP_029054786.1, XP_029054770.1	XP_034194536.1				
N15.HOG0000029	OG0000000	n321												XP_012147281.1									
N15.HOG0000030	OG0000000	n325												XP_012136802.1				XP_029054913.1					
N15.HOG0000031	OG0000000	n326																XP_029053897.1					
N15.HOG0000032	OG0000000	n331												XP_012145447.1, XP_012153566.1									
N15.HOG0000033	OG0000000	n346																XP_029054778.1, XP_029054823.1					
N15.HOG0000034	OG0000000	n353												XP_012134488.1									
N15.HOG0000035	OG0000000	n377												XP_012143823.1, XP_012136214.1, XP_012135024.1				XP_029054415.1	XP_034195330.1, XP_034195249.1, XP_034195331.1, XP_034194829.1				
N15.HOG0000036	OG0000000	n384												XP_012152412.1				XP_029055002.1					
N15.HOG0000037	OG0000000	n479																	XP_034179509.1, XP_034192189.1				
N15.HOG0000038	OG0000000	n488																XP_029054627.1, XP_029054117.1, XP_029053951.1	XP_034194808.1				
N15.HOG0000039	OG0000000	n495																XP_029054286.1	XP_034194882.1, XP_034182478.1				
N15.HOG0000040	OG0000000	n499																XP_029054703.1	XP_034194838.1, XP_034190401.1, XP_034194793.1, XP_034195178.1, XP_034195131.1				
N15.HOG0000041	OG0000000	n609												XP_012151963.1				XP_029054177.1, XP_029054739.1	XP_034195313.1, XP_034177367.1, XP_034195165.1, XP_034195149.1, XP_034195129.1				
N15.HOG0000042	OG0000000	n616												XP_012142755.1				XP_029054402.1, XP_029054850.1, XP_029054450.1, XP_029054401.1	XP_034194954.1, XP_034195055.1, XP_034195057.1, XP_034194871.1, XP_034195227.1, XP_034182490.1, XP_034194953.1, XP_034195179.1, XP_034194794.1, XP_034195185.1, XP_034195329.1, XP_034195156.1				
N15.HOG0000043	OG0000001	n73												XP_012153916.1, XP_012153915.1				XP_029044867.1	XP_034175979.1				
N15.HOG0000044	OG0000001	n194												XP_012136792.1				XP_029047550.1, XP_029047546.1, XP_029047548.1, XP_029047547.1	XP_034183758.1, XP_034183757.1				
N15.HOG0000045	OG0000001	n200												XP_012150537.1, XP_003707539.1, XP_012146067.1				XP_029055795.1	XP_034177877.1				
N15.HOG0000046	OG0000001	n224												XP_003704416.1				XP_029053627.1, XP_029053628.1	XP_034194603.1, XP_034194619.1				
N15.HOG0000047	OG0000001	n228												XP_012143065.1, XP_012143066.1, XP_003704415.1				XP_029054076.1	XP_034194593.1				
N15.HOG0000048	OG0000001	n232												XP_003704279.1, XP_012143067.1				XP_029054175.1	XP_034194594.1				
N15.HOG0000049	OG0000001	n263																XP_029053437.1, XP_029048982.1, XP_029048983.1, XP_029048984.1, XP_029048981.1, XP_029053439.1, XP_029053440.1, XP_029054094.1, XP_029053433.1, XP_029053438.1	XP_034178693.1, XP_034178694.1, XP_034178695.1, XP_034178692.1, XP_034178691.1, XP_034178244.1, XP_034178676.1				
N15.HOG0000050	OG0000001	n283												XP_003704414.1				XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1	XP_034194581.1, XP_034194582.1, XP_034194583.1				
N15.HOG0000051	OG0000001	n302												XP_012140371.1, XP_012140372.1, XP_003703231.1				XP_029053697.1	XP_034178690.1				
N15.HOG0000052	OG0000001	n318												XP_012143070.1, XP_012143071.1, XP_012143072.1, XP_003704281.1				XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1	XP_034178111.1				
N15.HOG0000053	OG0000001	n347												XP_012143073.1				XP_029053876.1	XP_034194601.1				
N15.HOG0000054	OG0000001	n372												XP_012143061.1				XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1	XP_034178688.1, XP_034178687.1, XP_034178689.1				
N15.HOG0000055	OG0000001	n379												XP_003704412.1				XP_029053704.1	XP_034178696.1				
N15.HOG0000056	OG0000001	n395												XP_003703200.1				XP_029036021.1	XP_034187550.1				
N15.HOG0000057	OG0000001	n447												XP_003699913.1					XP_034182179.1				
N15.HOG0000058	OG0000001	n472												XP_003701310.1, XP_003701343.1, XP_012136078.1, XP_012136077.1, XP_003701345.1, XP_012136079.1				XP_029033204.1, XP_029033205.1	XP_034190826.1, XP_034190827.1				
N15.HOG0000059	OG0000002	n8												XP_003700910.2					XP_034171936.1				
N15.HOG0000060	OG0000002	n73												XP_003700909.2				XP_029034426.1	XP_034171929.1				
N15.HOG0000061	OG0000002	n100												XP_003700936.1, XP_003700935.1				XP_029048273.1	XP_034171933.1				
N15.HOG0000062	OG0000002	n144												XP_003700845.1, XP_003700846.1, XP_003700844.1				XP_029048274.1	XP_034171931.1				
N15.HOG0000063	OG0000002	n175												XP_003700934.1				XP_029048309.1	XP_034170982.1				
N15.HOG0000064	OG0000002	n193												XP_003700932.1, XP_003700933.2									
N15.HOG0000065	OG0000002	n233																XP_029034429.1	XP_034171014.1				
N15.HOG0000066	OG0000002	n242												XP_003700913.1, XP_003700912.1, XP_012135096.1, XP_003700836.1, XP_003700837.1				XP_029034428.1	XP_034171015.1				
N15.HOG0000067	OG0000002	n261												XP_003700911.2				XP_029034389.1	XP_034171927.1				
N15.HOG0000068	OG0000002	n265												XP_003700914.1, XP_012135238.1, XP_012135239.1, XP_012135236.1, XP_003700918.2				XP_029054354.1, XP_029048279.1					
N15.HOG0000069	OG0000002	n319												XP_012135244.1, XP_012135242.1				XP_029048307.1	XP_034170983.1				
N15.HOG0000070	OG0000002	n322												XP_012135246.1, XP_003700930.1				XP_029048304.1	XP_034170985.1				
N15.HOG0000071	OG0000002	n325																XP_029048306.1	XP_034170984.1				
N15.HOG0000072	OG0000002	n327												XP_003700925.1, XP_003700923.1				XP_029048298.1, XP_029054355.1, XP_029054352.1	XP_034171930.1, XP_034171932.1				
N15.HOG0000073	OG0000002	n333												XP_003700922.1, XP_012135243.1, XP_012135245.1				XP_029054358.1	XP_034171011.1				
N15.HOG0000074	OG0000002	n337												XP_003700843.1, XP_003700842.2				XP_029048308.1	XP_034171928.1				
N15.HOG0000075	OG0000002	n385												XP_012135240.1				XP_029054353.1	XP_034171012.1				
N15.HOG0000076	OG0000002	n399												XP_012135237.1, XP_012135097.1, XP_012135098.1				XP_029054356.1, XP_029048299.1					
N15.HOG0000077	OG0000003	n8																XP_029054701.1					
N15.HOG0000078	OG0000003	n13																XP_029054797.1					
N15.HOG0000079	OG0000003	n39												XP_012152452.1				XP_029054798.1	XP_034194163.1				
N15.HOG0000080	OG0000003	n56																XP_029054894.1					
N15.HOG0000081	OG0000003	n82												XP_012146541.1				XP_029053950.1, XP_029054738.1					
N15.HOG0000082	OG0000003	n85												XP_003708371.1, XP_012149741.1				XP_029054525.1	XP_034195049.1				
N15.HOG0000083	OG0000003	n93												XP_012149735.1, XP_012137589.1									
N15.HOG0000084	OG0000003	n94																XP_029053944.1					
N15.HOG0000085	OG0000003	n131																XP_029053297.1					
N15.HOG0000086	OG0000003	n134																XP_029053920.1, XP_029055270.1	XP_034195035.1				
N15.HOG0000087	OG0000003	n172																XP_029055276.1, XP_029055313.1	XP_034195209.1, XP_034195334.1				
N15.HOG0000088	OG0000003	n183																XP_029054611.1					
N15.HOG0000089	OG0000003	n191																XP_029055262.1					
N15.HOG0000090	OG0000003	n203																XP_029054746.1	XP_034195210.1, XP_034194824.1, XP_034194797.1, XP_034195117.1, XP_034195051.1, XP_034194543.1, XP_034195139.1, XP_034194986.1				
N15.HOG0000091	OG0000003	n218												XP_012148418.1									
N15.HOG0000092	OG0000003	n223												XP_012151327.1									
N15.HOG0000093	OG0000003	n235																XP_029054707.1	XP_034192371.1, XP_034192425.1, XP_034192437.1, XP_034195197.1, XP_034195316.1, XP_034195201.1, XP_034174769.1, XP_034195346.1				
N15.HOG0000094	OG0000003	n243																XP_029054973.1	XP_034195041.1				
N15.HOG0000095	OG0000003	n248																XP_029055100.1, XP_029053801.1	XP_034194962.1				
N15.HOG0000096	OG0000003	n268																XP_029054258.1					
N15.HOG0000097	OG0000003	n279																XP_029054750.1, XP_029054771.1					
N15.HOG0000098	OG0000003	n282												XP_012138507.1									
N15.HOG0000099	OG0000003	n287												XP_012146049.1, XP_012143887.1, XP_012145355.1, XP_012150982.1					XP_034183870.1, XP_034174050.1				
N15.HOG0000100	OG0000003	n307																XP_029055044.1					
N15.HOG0000101	OG0000003	n310												XP_012145059.1									
N15.HOG0000102	OG0000004	n10												XP_012145429.1									
N15.HOG0000103	OG0000004	n23												XP_012152144.1									
N15.HOG0000104	OG0000004	n24												XP_012147783.1									
N15.HOG0000105	OG0000004	n26												XP_012149743.1									
N15.HOG0000106	OG0000004	n27																	XP_034184622.1				
N15.HOG0000107	OG0000004	n30												XP_012153565.1, XP_012152102.1, XP_012146326.1									
N15.HOG0000108	OG0000004	n34												XP_012145435.1									
N15.HOG0000109	OG0000004	n39												XP_012151871.1									
N15.HOG0000110	OG0000004	n42												XP_012148632.1									
N15.HOG0000111	OG0000004	n53												XP_012152409.1									
N15.HOG0000112	OG0000004	n68												XP_012153684.1				XP_029043188.1					
N15.HOG0000113	OG0000004	n72												XP_012145948.1									
N15.HOG0000114	OG0000004	n75												XP_012153556.1									
N15.HOG0000115	OG0000004	n87												XP_012152733.1				XP_029055059.1					
N15.HOG0000116	OG0000004	n92												XP_003708235.1									
N15.HOG0000117	OG0000004	n93																XP_029055222.1, XP_029055135.1					
N15.HOG0000118	OG0000004	n118												XP_012142569.1, XP_012151017.1				XP_029054728.1					
N15.HOG0000119	OG0000004	n127												XP_012152967.1				XP_029054531.1					
N15.HOG0000120	OG0000004	n146												XP_012151870.1									
N15.HOG0000121	OG0000004	n150												XP_012146535.1									
N15.HOG0000122	OG0000004	n159												XP_012151143.1				XP_029054008.1	XP_034175783.1				
N15.HOG0000123	OG0000004	n167												XP_012138587.1									
N15.HOG0000124	OG0000004	n168												XP_012143764.1, XP_012153187.1				XP_029046929.1	XP_034178409.1				
N15.HOG0000125	OG0000004	n190												XP_012147779.1				XP_029054294.1	XP_034194807.1				
N15.HOG0000126	OG0000004	n202												XP_012145925.1				XP_029054867.1					
N15.HOG0000127	OG0000004	n216												XP_003706746.2									
N15.HOG0000128	OG0000004	n219												XP_003706754.1									
N15.HOG0000129	OG0000004	n230												XP_012153575.1				XP_029055008.1	XP_034195176.1				
N15.HOG0000130	OG0000004	n242												XP_012145432.1				XP_029055315.1	XP_034195009.1				
N15.HOG0000131	OG0000004	n249												XP_012145431.1				XP_029054950.1	XP_034194636.1				
N15.HOG0000132	OG0000004	n253												XP_012145448.1									
N15.HOG0000133	OG0000004	n272												XP_012138586.1, XP_003702422.1				XP_029055010.1					
N15.HOG0000134	OG0000004	n275												XP_003701631.1				XP_029055230.1					
N15.HOG0000135	OG0000004	n279												XP_012152390.1, XP_012146360.1									
N15.HOG0000136	OG0000004	n288																XP_029054487.1, XP_029054704.1	XP_034195065.1				
N15.HOG0000137	OG0000005	n46																XP_029040939.1					
N15.HOG0000138	OG0000005	n79												XP_012141417.1									
N15.HOG0000139	OG0000005	n86												XP_012140925.1									
N15.HOG0000140	OG0000005	n89																XP_029054911.1					
N15.HOG0000141	OG0000005	n103												XP_012154410.1, XP_012154409.1									
N15.HOG0000142	OG0000005	n107												XP_012139976.1				XP_029040190.1	XP_034196431.1				
N15.HOG0000143	OG0000005	n109												XP_012134537.1				XP_029048965.1	XP_034175159.1, XP_034175160.1				
N15.HOG0000144	OG0000005	n116												XP_012146667.1				XP_029054068.1					
N15.HOG0000145	OG0000005	n121																XP_029054719.1					
