Orthogroup	Acyrthosiphon_pisum	Osmia_bicornis
OG0000000	XP_008182367.1, XP_008182376.2, XP_008179509.1, XP_029348283.1	XP_029054805.1, XP_029054649.1
OG0000000	XP_008178810.1	XP_029053837.1
OG0000000	XP_029346889.1, XP_029340893.1	XP_029054235.1, XP_029054585.1, XP_029054548.1
OG0000000	XP_008180484.1	XP_029055099.1
OG0000000	XP_016655727.1, XP_008189037.1, XP_029348568.1, XP_008189492.1, XP_008180316.1, XP_029348389.1, XP_016657058.1, XP_008189073.1, XP_008179733.1, XP_008187555.1, XP_008185172.2	XP_029054415.1, XP_029055002.1
OG0000000	XP_008184172.1, XP_008180656.1, XP_029345710.1, XP_008188479.1, XP_016661094.1, XP_008190177.1, XP_008178392.1, XP_008185772.1, XP_008183343.1, XP_008185678.1, XP_016659921.1, XP_008183820.1, XP_008183356.1, XP_008180654.1, XP_008183411.1, XP_029341258.1, XP_008179897.1, XP_008188489.1, XP_016660804.1, XP_029348271.1, XP_029345921.1, XP_008188687.1, XP_008179256.2, XP_008190111.1, XP_029345859.1, XP_008183355.1, XP_008179257.1, XP_008179517.1, XP_008186006.1, XP_008189836.2, XP_008183743.1, XP_008179879.1, XP_008187844.1, XP_008187709.1, XP_008179336.1, XP_008187708.1, XP_008189587.1, XP_029341173.1, XP_008182614.1, XP_008189367.1, XP_008183050.1, XP_008190090.1, XP_029344208.1, XP_008187869.1, XP_029348398.1, XP_008181739.1, XP_016659286.1, XP_008181643.1, XP_008180158.1, XP_008180526.1, XP_008180527.1	XP_029053795.1, XP_029054177.1, XP_029054739.1, XP_029054402.1, XP_029054850.1, XP_029054450.1, XP_029054401.1
OG0000001	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1	XP_029036021.1
OG0000003	XP_008180445.1	XP_029054701.1, XP_029054797.1
OG0000003	XP_008178248.1	XP_029054798.1
OG0000003	XP_008181385.1, XP_008182760.1, XP_008179884.1, XP_008189838.1, XP_029348460.1	XP_029054894.1
OG0000003	XP_016659882.1	XP_029053944.1
OG0000003	XP_008179662.1	XP_029053920.1, XP_029055270.1
OG0000003	XP_029347937.1, XP_008179862.1	XP_029055276.1, XP_029055313.1
OG0000003	XP_008183716.1, XP_029345821.1, XP_008178234.1, XP_008181766.1	XP_029055262.1
OG0000003	XP_016661947.1	XP_029054746.1, XP_029054707.1, XP_029054973.1
OG0000003	XP_008179909.1, XP_008182083.1	XP_029054258.1
OG0000004	XP_008184892.1, XP_008189998.1, XP_016658202.2, XP_029348322.1, XP_029348356.1, XP_008186742.1, XP_008178409.1, XP_008189971.1, XP_029348597.1, XP_016661423.2, XP_008180700.1	XP_029043188.1, XP_029055059.1, XP_029055222.1, XP_029055135.1
OG0000004	XP_008188519.1, XP_008178932.1, XP_008181865.1, XP_008189921.1, XP_029347881.1, XP_008184523.1, XP_016659515.1	XP_029054728.1, XP_029054531.1
OG0000004	XP_008182727.1	XP_029055109.1
OG0000004	XP_016656673.1, XP_008178407.1, XP_029340984.1	XP_029054008.1
OG0000004	XP_029348167.1	XP_029046929.1
OG0000004	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1	XP_029054294.1, XP_029054867.1, XP_029055008.1, XP_029055315.1, XP_029054950.1, XP_029055010.1, XP_029055230.1, XP_029054487.1, XP_029054704.1
OG0000005	XP_016662685.1	XP_029040939.1
OG0000005	XP_001944491.1	XP_029040190.1, XP_029048965.1
OG0000005	XP_008183396.1	XP_029054068.1
OG0000006	XP_016661819.1	XP_029036176.1, XP_029036174.1, XP_029036173.1, XP_029036170.1, XP_029036167.1, XP_029036178.1, XP_029036177.1, XP_029033655.1
OG0000007	XP_008180990.1, XP_016656682.1, XP_029348000.1, XP_008178602.1, XP_008189457.1, XP_008178603.1, XP_008183255.1, XP_008182423.1, XP_008178158.1, XP_008179800.1, XP_008182703.1, XP_029341371.1, XP_008185795.1, XP_029340983.1	XP_029054123.1, XP_029055261.1, XP_029055254.1
OG0000007	XP_016657553.1, XP_029345916.1, XP_008179824.1, XP_008179707.1, XP_008181182.1, XP_001946487.2, XP_029341506.1, XP_008181718.1, XP_008186308.1, XP_008180535.1, XP_008185414.1	XP_029054451.1, XP_029054587.1
OG0000007	XP_029347711.1	XP_029053574.1
OG0000007	XP_008180335.1, XP_029340906.1	XP_029054695.1, XP_029055216.1
OG0000007	XP_008180263.1	XP_029054809.1
OG0000007	XP_029341475.1	XP_029055155.1, XP_029054680.1
OG0000007	XP_016658575.2	XP_029054781.1
OG0000008	XP_016663037.1	XP_029037761.1
OG0000008	XP_029347046.1	XP_029037752.1, XP_029037753.1
OG0000008	XP_001942555.1, XP_008181935.1	XP_029041248.1
OG0000008	XP_001945226.1	XP_029037757.1
OG0000008	XP_001948787.1, XP_008186873.1	XP_029037755.1
OG0000008	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3	XP_029037762.1
OG0000010	XP_008180149.1, XP_016655915.1, XP_008190142.1	XP_029054229.1, XP_029053726.1, XP_029053824.1
OG0000010	XP_016657651.1	XP_029054044.1, XP_029054342.1, XP_029053689.1, XP_029053833.1, XP_029054571.1, XP_029055204.1, XP_029055000.1, XP_029054706.1, XP_029054282.1, XP_029054238.1, XP_029054090.1, XP_029054267.1, XP_029053688.1, XP_029055081.1
