Orthogroup	Nomia_melanderi	Osmia_bicornis
OG0000000	XP_031836774.1	XP_029054064.1, XP_029054855.1
OG0000000	XP_031839043.1	XP_029054805.1, XP_029054649.1
OG0000000	XP_031836982.1, XP_031836767.1	XP_029053837.1, XP_029053874.1, XP_029054235.1, XP_029054585.1, XP_029054548.1, XP_029055099.1
OG0000000	XP_031848769.1	XP_029054961.1
OG0000000	XP_031848962.1, XP_031848506.1	XP_029054672.1
OG0000000	XP_031836772.1	XP_029053863.1
OG0000000	XP_031842135.1	XP_029053897.1
OG0000000	XP_031829449.1	XP_029054778.1, XP_029054823.1
OG0000001	XP_031834821.1	XP_029044867.1
OG0000001	XP_031826095.1, XP_031826094.1, XP_031826097.1, XP_031826099.1, XP_031826098.1, XP_031826091.1, XP_031826092.1, XP_031826093.1	XP_029053627.1, XP_029053628.1, XP_029054076.1, XP_029054175.1
OG0000001	XP_031842466.1	XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1
OG0000001	XP_031836145.1, XP_031836144.1	XP_029053876.1
OG0000001	XP_031828824.1	XP_029036021.1
OG0000001	XP_031848708.1, XP_031848953.1, XP_031848952.1	XP_029033204.1, XP_029033205.1
OG0000002	XP_031834615.1, XP_031834770.1	XP_029034426.1
OG0000002	XP_031834897.1, XP_031834893.1, XP_031834896.1, XP_031834895.1, XP_031834894.1	XP_029048273.1
OG0000002	XP_031834534.1, XP_031834533.1, XP_031834884.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834538.1, XP_031834879.1, XP_031834881.1, XP_031834536.1, XP_031834824.1	XP_029048274.1
OG0000002	XP_031834886.1	XP_029048309.1
OG0000002	XP_031834873.1	XP_029034429.1, XP_029034428.1, XP_029034389.1, XP_029054354.1, XP_029048279.1
OG0000002	XP_031834876.1, XP_031834875.1, XP_031834877.1	XP_029048308.1
OG0000002	XP_031834874.1	XP_029054353.1
OG0000004	XP_031848014.1	XP_029054728.1
OG0000004	XP_031848017.1	XP_029054531.1
OG0000004	XP_031842129.1	XP_029054294.1
OG0000004	XP_031847633.1	XP_029055008.1
OG0000005	XP_031836533.1	XP_029040939.1
