Orthogroup	Polistes_dominula	Solenopsis_invicta
OG0000000	XP_015189866.1, XP_015189951.1	XP_011171895.1, XP_025997771.2, XP_039314220.1, XP_039312430.1, XP_011170871.3, XP_039310450.1, XP_011175024.3
OG0000000	XP_015191278.1, XP_015180767.1	XP_011169834.2, XP_039302930.1
OG0000000	XP_015190535.1, XP_015189697.1, XP_015189651.1, XP_015189739.1	XP_025997408.1, XP_039309650.1, XP_011174413.3
OG0000000	XP_015186015.1, XP_015189812.1, XP_015189416.1	XP_039305212.1, XP_039306364.1, XP_011170664.3, XP_039315361.1, XP_039312857.1, XP_039309666.1, XP_039303445.1, XP_039309629.1, XP_039310754.1, XP_039304898.1, XP_011174758.3, XP_039303553.1, XP_039311986.1, XP_039306760.1, XP_039314225.1, XP_039315454.1, XP_039305157.1, XP_011174666.2, XP_039303966.1, XP_025997421.1, XP_039302112.1, XP_039311874.1, XP_011171639.2, XP_025996386.2, XP_011161658.3, XP_039313519.1, XP_039310248.1, XP_039310458.1, XP_025997894.2, XP_039315545.1
OG0000000	XP_015191151.1	XP_039305199.1, XP_039309110.1, XP_039310358.1
OG0000001	XP_015182412.1, XP_015182413.1, XP_015181295.1	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1
OG0000001	XP_015190970.1	NP_001306576.1, XP_011159731.1
OG0000001	XP_015183493.1	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2
OG0000001	XP_015174482.1	XP_011164185.1
OG0000001	XP_015174918.1	XP_011164532.2
OG0000001	XP_015173619.1	XP_011175846.1, XP_039302921.1, XP_039304528.1, XP_025997249.1, XP_025997248.1, XP_025994980.2, XP_025986982.2, XP_039301751.1
OG0000002	XP_015179319.1, XP_015179317.1	XP_025986773.2, XP_025986694.2, XP_039304867.1, XP_011159003.3
OG0000002	XP_015179443.1	XP_039304863.1, XP_025987073.2, XP_039304876.1, XP_011158994.1, XP_025986823.2, XP_039305193.1, XP_039305192.1, XP_011158759.1, XP_025986706.2, XP_011158999.2
OG0000002	XP_015179442.1	XP_011175322.2, XP_011158991.3
OG0000002	XP_015179331.1	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1
OG0000002	XP_015179329.1, XP_015179330.1, XP_015179496.1	XP_011159024.2
OG0000002	XP_015179323.1	XP_011159023.1, XP_039305194.1
OG0000002	XP_015179394.1	XP_039304869.1
OG0000002	XP_015179320.1, XP_015179321.1	XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1
OG0000002	XP_015179322.1	XP_011159019.1, XP_039304872.1, XP_039304868.1
OG0000003	XP_015189778.1	XP_039306769.1
OG0000003	XP_015187531.1	XP_039304384.1, XP_039309058.1, XP_039309227.1, XP_039309229.1, XP_039309228.1, XP_039309226.1, XP_039309225.1, XP_039309224.1, XP_039309223.1, XP_025997281.2, XP_039308822.1
OG0000004	XP_015189976.1	XP_039315091.1
OG0000004	XP_015189979.1	XP_039303478.1
OG0000004	XP_015185818.1	XP_025989297.2
OG0000006	XP_015180561.1	XP_025989821.2
OG0000006	XP_015180690.1	XP_039307826.1, XP_025989709.2, XP_039302413.1, XP_039302410.1, XP_025989687.2, XP_011164849.2, XP_011164848.3
OG0000006	XP_015180565.1, XP_015180566.1, XP_015180564.1	XP_025994613.2, XP_039309023.1, XP_039308762.1, XP_025994617.2, XP_039309001.1, XP_011163479.2, XP_039309032.1, XP_039308749.1, XP_039309026.1, XP_039309013.1, XP_039309018.1, XP_039309027.1, XP_039309014.1, XP_039309007.1, XP_039309030.1, XP_039309029.1, XP_025994615.2, XP_039308995.1
OG0000006	XP_015176242.1	XP_039311113.1
OG0000006	XP_015184251.1	XP_011171479.2, XP_039306260.1
OG0000008	XP_015180320.1	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_015182812.1	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_015180327.1, XP_015180328.1	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	XP_015180322.1, XP_015180321.1, XP_015180323.1	XP_011158386.1, XP_039305296.1
OG0000008	XP_015180324.1, XP_015180325.1	XP_039305528.1
OG0000009	XP_015177367.1	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1
OG0000009	XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1	XP_011172780.1, XP_011160035.1, XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2
OG0000011	XP_015180925.1	XP_011169700.2
OG0000012	XP_015181488.1	XP_011167036.2
OG0000012	XP_015184244.1	XP_025991007.1
OG0000013	XP_015172623.1	XP_011165753.2
OG0000013	XP_015174269.1	XP_011166327.1
OG0000013	XP_015172185.1	XP_011158467.1, XP_011158466.1, XP_039315701.1
OG0000014	XP_015177523.1	XP_011156264.2, XP_011163196.1
OG0000016	XP_015189959.1	XP_025994129.1, XP_039306761.1
OG0000016	XP_015184181.1, XP_015189904.1, XP_015182291.1, XP_015176614.1, XP_015189259.1, XP_015184966.1, XP_015171454.1, XP_015189561.1	XP_039313966.1, XP_039309074.1, XP_039304382.1, XP_039314252.1, XP_039306750.1, XP_039304356.1, XP_039301762.1, XP_039309915.1, XP_039303543.1, XP_039303418.1, XP_039303421.1, XP_039309887.1
OG0000017	XP_015183882.1	XP_025996377.1
OG0000018	XP_015184408.1	XP_025993846.1, XP_039312756.1
OG0000018	XP_015186827.1	XP_011168181.2, XP_011168177.2
OG0000018	XP_015186828.1	XP_039312480.1, XP_039312479.1
OG0000019	XP_015184618.1, XP_015184619.1	XP_025990211.2
OG0000019	XP_015172147.1	XP_025993384.1, XP_025996194.1, XP_039304954.1, XP_011171050.2, XP_011171052.2, XP_039306693.1, XP_011163180.2, XP_039309449.1, XP_025993961.1, XP_025987780.2, XP_025987781.2, XP_025987782.2, XP_039314384.1, XP_039314385.1
OG0000019	XP_015182221.1, XP_015189673.1	XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	XP_015172633.1	XP_025986429.1
OG0000020	XP_015183576.1	XP_011159576.2
OG0000020	XP_015171445.1	XP_025987337.1
OG0000020	XP_015181633.1	XP_011157847.1
OG0000021	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1
OG0000021	XP_015184436.1	XP_011162935.1
OG0000021	XP_015190080.1	XP_011159438.1
OG0000021	XP_015183774.1, XP_015183791.1, XP_015183783.1	XP_025991392.1
OG0000022	XP_015173497.1	XP_011163652.1
OG0000022	XP_015179778.1, XP_015177598.1	XP_011166335.1
OG0000023	XP_015177524.1, XP_015173448.1	XP_011166349.1
OG0000024	XP_015188584.1, XP_015188403.1, XP_015171793.1	XP_025992331.1
OG0000024	XP_015182123.1	XP_011168449.1, XP_011168448.1
OG0000024	XP_015181825.1	XP_025991932.1
OG0000024	XP_015181824.1	XP_025991934.1
OG0000025	XP_015189848.1	XP_039304822.1
OG0000025	XP_015189019.1	XP_039305170.1
OG0000026	XP_015181461.1, XP_015181460.1	XP_039304799.1
OG0000026	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1
OG0000027	XP_015172634.1	XP_011156268.1, XP_039307731.1
OG0000028	XP_015180764.1, XP_015189418.1, XP_015189902.1	XP_039307886.1, XP_025993453.2, XP_025997479.2, XP_011171716.1
OG0000029	XP_015172519.1, XP_015172507.1	XP_011175216.3
