Orthogroup	Ceratina_calcarata	Anopheles_gambiae
OG0000001	XP_017879813.1, XP_017879816.1, XP_017891081.1, XP_017891747.1, XP_017888037.1, XP_026674593.1, XP_017891756.1, XP_017891764.1, XP_026675117.1, XP_017888667.1, XP_026673601.1, XP_017884717.1, XP_017886303.1, XP_017882560.1, XP_017883314.2, NP_001352268.1, XP_026670615.1	XP_563971.3
OG0000002	XP_017878917.2, XP_017878885.1, XP_017878886.1, XP_026668779.1, XP_026668780.1, XP_017878890.2, XP_026668774.1, XP_017878891.1, XP_017878915.2, XP_026668772.1, XP_026668777.1, XP_026669569.1, XP_026669568.1, XP_026669563.1, XP_017880491.1, XP_017878910.1, XP_026670968.1, XP_017878912.1, XP_017878909.1, XP_017878913.1, XP_017883164.2, XP_026669570.1, XP_017878908.2, XP_017878907.2, XP_017878894.2, XP_026672267.1, XP_026668770.1, XP_026668781.1, XP_026668773.1, XP_026668785.1, XP_017878897.1, XP_017878896.1, XP_017878895.1, XP_017878899.1, XP_017878898.1, XP_026668778.1, XP_026668788.1, XP_017885095.1	XP_317343.1
OG0000003	XP_017890377.1, XP_017884413.1, XP_017881808.1, XP_017891009.1, XP_017885064.1, XP_017891010.1, XP_017875587.1, XP_017887400.1, XP_026668696.1, XP_017885066.1, XP_017886019.1, XP_026672572.1, XP_017892179.1, XP_017888063.1, XP_017884305.1	XP_001688581.1
OG0000005	XP_017891414.1	XP_308124.5
OG0000006	XP_026667224.1	XP_310173.1, XP_310172.2
OG0000007	XP_026673863.1	XP_003435875.1, XP_003435876.1
OG0000008	XP_026675049.1	XP_310333.7
OG0000008	XP_017877132.1, XP_017887927.2	XP_310338.7, XP_310337.6
OG0000008	XP_026667992.1	XP_312388.4, XP_312387.5
OG0000008	XP_026675083.1	XP_003436608.1, XP_003436609.1, XP_003436607.1
OG0000008	XP_017891654.1	XP_310332.7, XP_003436611.1
OG0000008	XP_017891655.1	XP_559558.6, XP_003436610.1
OG0000008	XP_026666941.1	XP_310340.1
OG0000009	XP_017887163.1, XP_017887153.1, XP_017887158.1, XP_017887159.1, XP_017887161.1, XP_017882285.1, XP_017888595.2, XP_017882209.1, XP_017882161.1, XP_017882162.1, XP_026672903.1	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2
OG0000012	XP_017890720.1, XP_017889198.1, XP_026674581.1, XP_017875047.1	XP_317829.4
OG0000012	XP_026666907.1	XP_554157.3, XP_319603.2, XP_317170.2, XP_317171.2, XP_317172.2, XP_555167.1, XP_317173.2, XP_317175.2, XP_317174.2, XP_318046.3, XP_319102.4, XP_001231167.2
OG0000012	XP_017890257.1, XP_026672566.1, XP_017889230.1, XP_017890394.1, XP_017886295.1	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2
OG0000013	XP_017875197.1	XP_305996.3, XP_307081.3, XP_315130.3
OG0000013	XP_017887567.1	XP_318362.3, XP_307606.3, XP_307601.3
OG0000013	XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1	XP_320335.2, XP_320336.2
OG0000017	XP_017892800.1	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1
OG0000017	XP_026675002.1	XP_562676.3
OG0000017	XP_026675010.1, XP_026675012.1, XP_026675011.1	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1
OG0000018	XP_026673006.1, XP_026673004.1	XP_316463.3, XP_557101.2
OG0000018	XP_017890591.1, XP_026674563.1, XP_017890593.1	XP_558678.4, XP_551022.4, XP_321300.4
OG0000018	XP_017890581.1, XP_017889371.1	XP_312930.5
OG0000019	XP_017887380.2, XP_026668832.1, XP_017890717.1, XP_017877436.1, XP_017885792.1	XP_321444.5
OG0000019	XP_017885630.1	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4
OG0000020	XP_017881798.1, XP_026672764.1	XP_314903.3, XP_554132.3
OG0000020	XP_017892668.1	XP_001238085.2, XP_319101.4
OG0000020	XP_017878233.1	XP_321843.5
OG0000020	XP_017876760.1	XP_555858.3
OG0000020	XP_026668767.1	XP_001231126.3
OG0000021	XP_017892171.1	XP_313342.5, XP_003436532.1
OG0000021	XP_026674526.1, XP_017890431.1	XP_320239.4, XP_312638.5
OG0000021	XP_017878927.1	XP_321592.4
OG0000022	XP_017887568.1	XP_320674.3
OG0000022	XP_017892302.1	XP_551996.1
OG0000022	XP_017879112.1	XP_318365.3
OG0000022	XP_017888174.1	XP_307083.3
OG0000026	XP_017881604.1	XP_558069.3
OG0000026	XP_017886012.1	XP_003436038.1, XP_308060.4
OG0000026	XP_026667172.1, XP_026667174.1, XP_026667173.1, XP_026667176.1, XP_026667175.1, XP_026667177.1	XP_322033.4
OG0000027	XP_017875198.1	XP_315129.4
OG0000027	XP_017888171.1	XP_307607.3
OG0000027	XP_017887569.1	XP_307600.4
OG0000029	XP_017879055.1, XP_017878925.1	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1
OG0000029	XP_017883728.1	XP_319711.4
OG0000029	XP_026668846.1, XP_026671320.1, XP_017878918.1	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4
OG0000030	XP_026669786.1, XP_026668326.1	XP_320774.4
OG0000032	XP_026669191.1, XP_017879823.1, XP_017891597.1	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6
OG0000035	XP_017886557.1	XP_309943.4, XP_001687884.1, XP_308284.4, XP_317047.3, XP_555044.3, XP_308459.4, XP_308744.4, XP_001688832.1, XP_316292.4, XP_308743.3
OG0000036	XP_017881584.1	XP_316611.2
OG0000036	XP_017889438.1, XP_017889422.1, XP_017888379.2	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1
OG0000037	XP_017893255.1	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1
OG0000038	XP_017875625.1, XP_017877449.1	XP_551626.4, XP_321937.5, XP_309723.4
OG0000038	XP_017889363.1	XP_312152.5
OG0000040	XP_017877450.1, XP_017888048.1, XP_017889733.1, XP_017888163.1	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7
OG0000041	XP_017880124.1, XP_017880121.1, XP_017880123.1	XP_313971.4
OG0000041	XP_017893662.1	XP_315271.4
OG0000042	XP_017883943.2, XP_026673615.1	XP_311704.5
OG0000043	XP_017886026.1	XP_317400.2
OG0000043	XP_017877704.1	XP_317404.2
OG0000044	XP_026674447.1, XP_026673576.1	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5
OG0000044	XP_026675544.1	XP_003436574.1
OG0000045	XP_017885494.1, XP_017885495.1, XP_026672577.1	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3
OG0000046	XP_017880728.1	XP_313085.3
