Orthogroup	Megalopta_genalis	Anopheles_gambiae
OG0000001	XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326758.1, XP_033326756.1, XP_033326755.1, XP_033326754.1, XP_033326753.1, XP_033326752.1, XP_033326751.1, XP_033326750.1, XP_033323542.1, XP_033326762.1, XP_033326763.1, XP_033326774.1, XP_033326767.1, XP_033326559.1, XP_033326766.1, XP_033326768.1, XP_033329022.1, XP_033329019.1, XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1, XP_033339718.1, XP_033326710.1, XP_033338373.1, XP_033338371.1, XP_033322509.1	XP_563971.3
OG0000002	XP_033330629.1	XP_317343.1
OG0000004	XP_033323473.1	XP_310729.1
OG0000004	XP_033323539.1	XP_320414.1
OG0000005	XP_033329942.1, XP_033329941.1, XP_033329937.1, XP_033321098.1, XP_033328818.1, XP_033331348.1, XP_033331346.1	XP_308124.5
OG0000006	XP_033325709.1	XP_310173.1, XP_310172.2
OG0000008	XP_033329050.1	XP_310333.7
OG0000008	XP_033321018.1, XP_033321034.1	XP_310338.7, XP_310337.6
OG0000008	XP_033329521.1	XP_312388.4, XP_312387.5
OG0000008	XP_033329051.1	XP_310332.7, XP_003436611.1
OG0000008	XP_033329032.1, XP_033329033.1, XP_033329034.1	XP_559558.6, XP_003436610.1
OG0000008	XP_033321020.1, XP_033321019.1	XP_310340.1
OG0000009	XP_033323903.1, XP_033323904.1, XP_033323905.1, XP_033321090.1, XP_033323894.1, XP_033323884.1, XP_033323895.1, XP_033323898.1, XP_033323897.1, XP_033323886.1, XP_033323896.1, XP_033323885.1, XP_033323887.1	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2
OG0000012	XP_033333560.1, XP_033333685.1	XP_317829.4
OG0000012	XP_033324767.1, XP_033324764.1	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2
OG0000013	XP_033328965.1	XP_307081.3, XP_315130.3
OG0000013	XP_033328768.1, XP_033328623.1	XP_307601.3
OG0000013	XP_033330794.1, XP_033330796.1	XP_320335.2, XP_320336.2
OG0000017	XP_033323611.1	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1
OG0000017	XP_033341624.1, XP_033341626.1	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1
OG0000018	XP_033334915.1	XP_316463.3, XP_557101.2
OG0000018	XP_033342252.1	XP_558678.4, XP_551022.4, XP_321300.4
OG0000018	XP_033342250.1, XP_033327648.1	XP_312930.5
OG0000019	XP_033335083.1	XP_321444.5
OG0000019	XP_033321516.1	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4
OG0000020	XP_033333974.1	XP_554133.3
OG0000020	XP_033341111.1, XP_033336086.1	XP_314903.3, XP_554132.3
OG0000020	XP_033329902.1	XP_001238085.2, XP_319101.4
OG0000020	XP_033340707.1	XP_312941.4
OG0000020	XP_033341861.1	XP_321843.5
OG0000020	XP_033323952.1, XP_033323953.1	XP_001231126.3
OG0000021	XP_033334588.1	XP_320239.4, XP_312638.5
OG0000021	XP_033327467.1	XP_321592.4
OG0000022	XP_033337184.1	XP_320674.3
OG0000022	XP_033328481.1	XP_551996.1
OG0000022	XP_033326609.1	XP_318365.3
OG0000022	XP_033328967.1	XP_306256.1, XP_307083.3
OG0000026	XP_033339312.1	XP_558069.3
OG0000026	XP_033332814.1	XP_321915.5
OG0000026	XP_033330956.1, XP_033330958.1	XP_003436038.1, XP_308060.4
OG0000026	XP_033340742.1	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3
OG0000026	XP_033321049.1, XP_033333310.1, XP_033333311.1, XP_033333313.1, XP_033333314.1	XP_322033.4
OG0000027	XP_033328626.1	XP_305995.3
OG0000027	XP_033328968.1	XP_315129.4
OG0000027	XP_033328627.1	XP_306825.4, XP_307607.3
OG0000027	XP_033328773.1	XP_306004.3
OG0000029	XP_033327291.1, XP_033327295.1	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1
OG0000029	XP_033338642.1	XP_319711.4
OG0000029	XP_033327378.1, XP_033327383.1	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4
OG0000030	XP_033328822.1, XP_033328819.1, XP_033328820.1, XP_033328821.1	XP_320774.4
OG0000032	XP_033335963.1	XP_309525.4
OG0000032	XP_033322500.1, XP_033322501.1, XP_033322502.1, XP_033339875.1, XP_033322503.1, XP_033340631.1	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6
OG0000035	XP_033326685.1	XP_317561.4
OG0000035	XP_033326629.1, XP_033326628.1	XP_309943.4, XP_001687884.1, XP_308284.4, XP_317047.3, XP_555044.3, XP_308459.4, XP_308744.4, XP_001688832.1, XP_316292.4, XP_308743.3
OG0000036	XP_033324439.1	XP_316611.2
OG0000036	XP_033340191.1, XP_033340178.1, XP_033341270.1, XP_033341293.1, XP_033341282.1, XP_033341364.1, XP_033324523.1, XP_033324493.1	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1
OG0000037	XP_033322268.1	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1
OG0000038	XP_033322848.1, XP_033330101.1	XP_551626.4, XP_321937.5, XP_309723.4
OG0000038	XP_033340658.1	XP_312152.5
OG0000040	XP_033342116.1, XP_033323605.1, XP_033323606.1	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7
OG0000041	XP_033333605.1	XP_003437049.1
OG0000041	XP_033339804.1, XP_033322547.1, XP_033322535.1, XP_033322540.1	XP_313971.4
OG0000041	XP_033338815.1	XP_315271.4
OG0000042	XP_033329807.1, XP_033329806.1	XP_311704.5
OG0000042	XP_033339770.1, XP_033333624.1, XP_033342791.1	XP_003436850.1, XP_313877.5
OG0000042	XP_033329812.1	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3
OG0000043	XP_033340088.1	XP_317400.2
OG0000043	XP_033339691.1	XP_317404.2
OG0000044	XP_033322614.1, XP_033323078.1, XP_033323667.1	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5
OG0000044	XP_033334549.1	XP_003436574.1
OG0000045	XP_033323543.1, XP_033329211.1, XP_033323567.1, XP_033323555.1	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3
OG0000046	XP_033341697.1	XP_313085.3
OG0000046	XP_033341090.1	XP_001689308.2
OG0000050	XP_033332897.1, XP_033332837.1	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5
OG0000052	XP_033323679.1	XP_319685.4
OG0000054	XP_033321308.1	XP_556684.2
OG0000054	XP_033321391.1, XP_033321390.1	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3
OG0000055	XP_033327524.1, XP_033327522.1, XP_033327526.1, XP_033327525.1	XP_553645.3
OG0000055	XP_033330133.1	XP_312790.4
OG0000055	XP_033323580.1	XP_321277.5
OG0000056	XP_033329125.1, XP_033343017.1	XP_318579.4
