Orthogroup	Polistes_dominula	Acyrthosiphon_pisum
OG0000000	XP_015189866.1, XP_015189951.1	XP_008178810.1, XP_029346889.1, XP_029340893.1, XP_008187343.1, XP_016664979.2, XP_008185105.1, XP_008182963.1, XP_008180484.1
OG0000000	XP_015189737.1	XP_029345873.1, XP_008185412.1
OG0000000	XP_015180763.1, XP_015189653.1, XP_015189502.1, XP_015187776.1	XP_029341016.1
OG0000001	XP_015174482.1	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1
OG0000003	XP_015189778.1	XP_008178248.1
OG0000004	XP_015189180.1, XP_015189178.1, XP_015187797.1, XP_015177516.1	XP_008184892.1, XP_008189998.1, XP_016658202.2, XP_029348322.1, XP_029348356.1, XP_008186742.1, XP_008178409.1, XP_008189971.1, XP_029348597.1, XP_016661423.2, XP_008180700.1
OG0000004	XP_015176563.1, XP_015189937.1, XP_015177623.1, XP_015189681.1, XP_015175257.1, XP_015175256.1, XP_015185948.1	XP_008188519.1, XP_008178932.1, XP_008181865.1, XP_008189921.1, XP_029347881.1, XP_008184523.1, XP_016659515.1
OG0000004	XP_015171070.1	XP_008182727.1
OG0000004	XP_015189976.1	XP_016656673.1, XP_008178407.1, XP_029340984.1, XP_029348167.1, XP_008179963.1, XP_008184804.1, XP_029340968.1, XP_008178448.1, XP_008189833.1, XP_008188370.1, XP_008189696.1, XP_008179057.1
OG0000004	XP_015189732.1, XP_015175258.1, XP_015185810.1, XP_015180955.1, XP_015189729.1, XP_015189948.1, XP_015189979.1, XP_015180194.1, XP_015189887.1, XP_015189689.1, XP_015185818.1, XP_015186432.1	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1
OG0000005	XP_015186874.1	XP_008183396.1
OG0000006	XP_015180561.1, XP_015180690.1, XP_015180565.1, XP_015180566.1, XP_015180564.1, XP_015176242.1, XP_015184251.1	XP_016661819.1
OG0000008	XP_015180320.1	XP_016663037.1
OG0000008	XP_015182812.1	XP_001942555.1, XP_008181935.1
OG0000008	XP_015180327.1, XP_015180328.1	XP_001945226.1
OG0000008	XP_015180322.1, XP_015180321.1, XP_015180323.1	XP_001948787.1, XP_008186873.1
OG0000008	XP_015180324.1, XP_015180325.1	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3
OG0000010	XP_015187532.1, XP_015189777.1	XP_008180149.1, XP_016655915.1, XP_008190142.1
OG0000013	XP_015172623.1	XP_001950199.1, XP_001952101.2, XP_008190047.2, XP_008190048.2, XP_003246588.2, XP_003248421.1
OG0000013	XP_015172185.1	XP_008188188.1
OG0000015	XP_015171967.1	XP_029343966.1, XP_029343965.1, XP_029348486.1
OG0000015	XP_015175981.1	XP_008178712.1, XP_016663080.1, XP_029345242.1
OG0000015	XP_015189929.1	XP_008190259.1, XP_029342176.1
OG0000015	XP_015189382.1	XP_008184153.1, XP_008181530.1, XP_016662279.1, XP_016660325.1, XP_008184146.1, XP_016657818.1, XP_029347974.1, XP_008190127.1, XP_008179598.1, XP_008180455.1, XP_008180286.1, XP_008184081.1
OG0000015	XP_015189381.1	XP_029348190.1
OG0000015	XP_015189315.1	XP_029342141.1, XP_029340950.1
OG0000015	XP_015185694.1	XP_008190260.2
OG0000015	XP_015189530.1	XP_029342163.1
OG0000015	XP_015189839.1	XP_008187231.1
OG0000015	XP_015189716.1	XP_008188095.2
OG0000015	XP_015189914.1	XP_008178705.1, XP_008182253.1
OG0000015	XP_015189385.1	XP_008184419.1
OG0000016	XP_015189959.1, XP_015184181.1, XP_015189904.1, XP_015182291.1, XP_015176614.1, XP_015189259.1, XP_015184966.1, XP_015171454.1, XP_015189561.1, XP_015190988.1, XP_015189498.1, XP_015189980.1, XP_015189915.1	XP_008179439.1, XP_008188179.1, XP_008189245.1
OG0000017	XP_015183882.1, XP_015180945.1	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1
OG0000018	XP_015184408.1, XP_015186827.1, XP_015186828.1, XP_015175602.1	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2
OG0000019	XP_015184618.1, XP_015184619.1, XP_015189804.1, XP_015189805.1	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1
OG0000019	XP_015172147.1	XP_001947401.1
OG0000020	XP_015172633.1	XP_003244194.1
OG0000020	XP_015183576.1	XP_029343120.1
OG0000020	XP_015183590.1	XP_029345653.1
OG0000020	XP_015171445.1	XP_029344335.1, XP_016664934.1
OG0000020	XP_015183950.1, XP_015183951.1, XP_015183952.1	XP_029347131.1
OG0000020	XP_015184365.1	XP_001947843.1
OG0000020	XP_015181633.1	XP_029343394.1
OG0000021	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1	XP_001945018.2
OG0000021	XP_015184436.1	XP_001944401.2
OG0000021	XP_015190080.1	XP_016663029.1, XP_003240228.1, XP_029342725.1
OG0000021	XP_015188837.1, XP_015184407.1, XP_015183774.1, XP_015183791.1, XP_015183783.1	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1
