GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0007268	chemical synaptic transmission	279	124	62.1	2.5e-13	2.5e-13	1.2475e-10	5.670454545454546e-12
GO:0007411	axon guidance	256	99	56.98	5.9e-10	5.9e-10	1.0811666666666667e-7	4.826393442622951e-9
GO:0051049	regulation of transport	288	118	64.11	6.5e-10	6.5e-10	1.0811666666666667e-7	5.148412698412699e-9
GO:0051649	establishment of localization in cell	750	191	166.95	5.2e-09	0.00691	6.487e-7	0.012602481751824818
GO:0010631	epithelial cell migration	162	65	36.06	2.9e-08	2.9e-08	2.8942e-6	1.556021505376344e-7
GO:0007476	imaginal disc-derived wing morphogenesis	267	100	59.43	7.0e-08	7.0e-08	5.821666666666667e-6	3.5282828282828285e-7
GO:0007166	cell surface receptor signaling pathway	675	224	150.25	9.1e-08	2.4e-10	6.487e-6	2.1010526315789474e-9
GO:0007623	circadian rhythm	195	80	43.41	1.9e-07	1.9e-07	1.0534444444444444e-5	8.541441441441441e-7
GO:0045165	cell fate commitment	296	102	65.89	1.9e-07	1.9e-07	1.0534444444444444e-5	8.541441441441441e-7
GO:0032940	secretion by cell	213	81	47.41	2.5e-07	2.5e-07	1.2474999999999998e-5	1.1138392857142859e-6
GO:0007155	cell adhesion	194	77	43.18	3.3e-07	3.3e-07	1.4970000000000002e-5	1.431913043478261e-6
GO:0007416	synapse assembly	164	67	36.51	3.9e-07	3.9e-07	1.573769230769231e-5	1.6353781512605044e-6
GO:0007610	behavior	464	171	103.28	4.1e-07	4.5e-11	1.573769230769231e-5	4.4910000000000003e-10
GO:0050877	nervous system process	410	139	91.26	6.6e-07	6.9e-06	2.3524285714285717e-5	2.47705035971223e-5
GO:0007528	neuromuscular junction development	173	69	38.51	9.4e-07	9.4e-07	3.1270666666666665e-5	3.7827419354838714e-6
GO:0065008	regulation of biological quality	1195	380	266	2.0e-06	2.1e-12	6.2375e-5	2.910833333333333e-11
