Orthogroup	Solenopsis_invicta	Habropoda_laboriosa
OG0000000	XP_025997408.1, XP_039309650.1, XP_011174413.3	XP_017791907.1, XP_017791919.1
OG0000000	XP_011173050.1, XP_025997552.2	XP_017797013.1
OG0000000	XP_025995820.2, XP_025996528.2, XP_039303369.1, XP_039303384.1, XP_039315197.1, XP_025995613.2, XP_039305162.1, XP_039304826.1, XP_039304354.1, XP_039303464.1, XP_039311280.1, XP_039304376.1, XP_011175283.1, XP_025997196.2, XP_039302109.1, XP_039311320.1, XP_011175794.1, XP_011165058.1, XP_039310735.1, XP_011172569.3, XP_039311166.1, XP_039315241.1, XP_039309085.1, XP_039303563.1, XP_039309247.1, XP_039307953.1, XP_039301763.1, XP_039315534.1, XP_039301764.1, XP_039310346.1, XP_039311317.1, XP_011174949.3, XP_025997375.2	XP_017797004.1, XP_017794325.1, XP_017792102.1
OG0000001	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1	XP_017795702.1
OG0000001	NP_001306576.1, XP_011159731.1	XP_017793598.1
OG0000001	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2	XP_017796836.1, XP_017796838.1, XP_017795399.1, XP_017796200.1, XP_017791301.1, XP_017795398.1
OG0000001	XP_011164185.1	XP_017791778.1
OG0000001	XP_011162032.2, XP_039315612.1	XP_017791425.1
OG0000002	XP_025986773.2, XP_025986694.2, XP_039304867.1, XP_011159003.3	XP_017795928.1
OG0000002	XP_011175322.2, XP_011158991.3	XP_017795926.1
OG0000002	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1	XP_017795970.1
OG0000002	XP_011159024.2	XP_017795940.1
OG0000002	XP_011159023.1, XP_039305194.1	XP_017795948.1
OG0000002	XP_039304869.1	XP_017795929.1
OG0000002	XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1	XP_017795932.1, XP_017795931.1, XP_017795930.1
OG0000002	XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1	XP_017795934.1, XP_017797103.1, XP_017797055.1, XP_017797089.1, XP_017795969.1, XP_017795975.1, XP_017797057.1, XP_017795939.1, XP_017795938.1, XP_017795937.1
OG0000002	XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1	XP_017795933.1
OG0000003	XP_039315381.1, XP_039315265.1	XP_017795781.1
OG0000003	XP_039315287.1, XP_039313009.1	XP_017797025.1
OG0000003	XP_039309943.1, XP_039306054.1, XP_039308728.1, XP_025995779.1, XP_039309113.1, XP_039303430.1, XP_039306052.1, XP_039310737.1, XP_039304384.1, XP_039309058.1, XP_039309227.1, XP_039309229.1, XP_039309228.1, XP_039309226.1, XP_039309225.1, XP_039309224.1, XP_039309223.1, XP_025997281.2, XP_039308822.1, XP_039313505.1, XP_039315493.1, XP_011165440.1, XP_039311338.1	XP_017795844.1
OG0000004	XP_039303478.1	XP_017795920.1
OG0000005	XP_025990901.2	XP_017790206.1
OG0000006	XP_025989821.2	XP_017788744.1
OG0000006	XP_039308764.1, XP_011163434.2	XP_017788741.1
OG0000006	XP_039307826.1, XP_025989709.2, XP_039302413.1, XP_039302410.1, XP_025989687.2, XP_011164849.2, XP_011164848.3	XP_017788745.1
OG0000006	XP_011171479.2, XP_039306260.1	XP_017789424.1
OG0000007	XP_025990628.2, XP_039303538.1, XP_039310339.1, XP_025996264.2, XP_039304171.1	XP_017787674.1
OG0000008	XP_011158384.1, XP_039305295.1, XP_039307163.1	XP_017797987.1
OG0000008	XP_039314393.1, XP_039314392.1, XP_025990966.2	XP_017793615.1
OG0000008	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1	XP_017797940.1
OG0000008	XP_039305326.1, XP_039305325.1, XP_039305297.1	XP_017797975.1
OG0000008	XP_011158386.1, XP_039305296.1	XP_017797962.1
OG0000008	XP_039305528.1	XP_017798022.1
OG0000009	XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1	XP_017789192.1
OG0000009	XP_011172780.1, XP_011160035.1	XP_017794617.1, XP_017794731.1, XP_017794737.1
OG0000010	XP_011159070.2, XP_011173832.1, XP_011169352.1, XP_039303454.1, XP_039303415.1, XP_011169957.2, XP_011169498.1, XP_039309670.1	XP_017795382.1, XP_017792761.1
OG0000010	XP_025985789.1, XP_025996848.1, XP_011171529.1, XP_011165198.1, XP_039315521.1, XP_011173322.1, XP_039309946.1	XP_017792996.1, XP_017796553.1
OG0000012	XP_011166798.2, XP_039314082.1	XP_017797590.1
OG0000013	XP_011165753.2	XP_017799299.1
OG0000013	XP_011166327.1	XP_017799274.1, XP_017795688.1
OG0000013	XP_011158467.1, XP_011158466.1, XP_039315701.1	XP_017797795.1
OG0000014	XP_011163196.1	XP_017799148.1, XP_017799145.1
OG0000016	XP_011170184.2, XP_039310366.1, XP_039313041.1, XP_011159853.1, XP_011171075.1	XP_017796994.1, XP_017797009.1
OG0000017	XP_039311373.1	XP_017795363.1
OG0000018	XP_025993846.1, XP_039312756.1	XP_017793008.1
OG0000018	XP_011164408.2, XP_039302267.1, XP_025988897.1, XP_025988898.1, XP_011164281.1, XP_025988901.1	XP_017797482.1
OG0000018	XP_011168181.2, XP_011168177.2	XP_017793490.1
OG0000018	XP_039312480.1, XP_039312479.1	XP_017793336.1
OG0000019	XP_025990211.2	XP_017790272.1
OG0000019	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1	XP_017787413.1
OG0000019	XP_011155421.1, XP_025990075.1, XP_039308626.1	XP_017788514.1
OG0000020	XP_025986429.1	XP_017791573.1
OG0000020	XP_011159576.2	XP_017790081.1
OG0000020	XP_025986409.1	XP_017791574.1
OG0000020	XP_025987337.1	XP_017794423.1
OG0000020	XP_025991589.1	XP_017796526.1
OG0000020	XP_011157847.1	XP_017794610.1
OG0000021	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1	XP_017798657.1
OG0000021	XP_011162935.1	XP_017790331.1
OG0000021	XP_011159438.1	XP_017790276.1
OG0000021	XP_025991392.1	XP_017798692.1
OG0000022	XP_011165726.1	XP_017799300.1
OG0000022	XP_011163652.1	XP_017798138.1
OG0000022	XP_011166335.1	XP_017799306.1
OG0000023	XP_011156269.1	XP_017799140.1
OG0000024	XP_025992331.1	XP_017798115.1
OG0000024	XP_011168449.1, XP_011168448.1	XP_017788217.1
OG0000025	XP_039305170.1	XP_017791901.1
OG0000026	XP_039304799.1	XP_017799538.1
OG0000026	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1	XP_017790381.1
OG0000027	XP_011156268.1, XP_039307731.1	XP_017799307.1
OG0000028	XP_011170007.1	XP_017796995.1, XP_017796351.1
OG0000028	XP_011171790.2, XP_011166516.2, XP_025992254.2, XP_025990428.2	XP_017791905.1, XP_017797006.1, XP_017792950.1, XP_017797074.1, XP_017794490.1, XP_017788507.1
OG0000029	XP_011175277.3	XP_017792656.1, XP_017792675.1
OG0000029	XP_025987625.1	XP_017798436.1
OG0000030	XP_025986100.1	XP_017799391.1, XP_017799392.1
OG0000030	XP_011165417.3, XP_039308147.1, XP_039313768.1	XP_017791372.1
OG0000031	XP_025994108.1	XP_017797833.1
OG0000032	XP_011159466.2	XP_017793574.1
OG0000032	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2	XP_017790226.1
OG0000033	XP_039315453.1	XP_017791631.1
OG0000034	XP_039302507.1, XP_039315321.1, XP_039307234.1	XP_017795546.1, XP_017795548.1, XP_017795547.1
OG0000035	XP_039312187.1	XP_017797282.1
OG0000035	XP_025987669.2	XP_017793793.1, XP_017793792.1
OG0000036	XP_011166052.2, XP_011166051.2, XP_011166050.1	XP_017791875.1
OG0000036	XP_011166049.1	XP_017791824.1, XP_017791822.1, XP_017791523.1, XP_017791522.1
OG0000037	XP_011161783.1	XP_017798855.1
OG0000038	XP_011172049.1	XP_017789191.1, XP_017795058.1
OG0000038	XP_011173370.1	XP_017796401.1
OG0000038	XP_011174246.2	XP_017796596.1
OG0000038	XP_025991821.1	XP_017796281.1
OG0000039	XP_011156429.1, XP_039311353.1, XP_039306735.1, XP_039312872.1, XP_025996405.1, XP_039303491.1, XP_039306765.1, XP_025995650.1, XP_039315519.1, XP_025996976.1, XP_011161413.1, XP_039307954.1, XP_011164139.3, XP_039315258.1, XP_039309669.1, XP_011171625.1, XP_039306397.1, XP_039304359.1, XP_011170179.1, XP_039301770.1, XP_039311331.1, XP_039303495.1, XP_039303407.1, XP_039303449.1, XP_039312874.1, XP_039315492.1, XP_039312525.1, XP_039311327.1, XP_039305149.1, XP_025994381.1, XP_011162982.1, XP_039315449.1, XP_039309120.1, XP_039310752.1, XP_039304385.1, XP_011169959.1, XP_039301724.1, XP_039303416.1	XP_017793816.1
OG0000040	XP_011164376.1, XP_011164378.1	XP_017793196.1
OG0000040	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1	XP_017797297.1, XP_017797034.1
OG0000040	XP_011170816.1	XP_017789776.1
OG0000041	XP_011173672.1	XP_017795667.1, XP_017795668.1
OG0000041	XP_039304942.1, XP_011173639.1	XP_017796748.1
OG0000041	XP_011173634.1, XP_011173641.1	XP_017796749.1
OG0000041	XP_011167847.1	XP_017798373.1
OG0000042	XP_025988401.1, XP_025988400.1	XP_017797246.1
OG0000042	XP_025993549.1, XP_011172554.1	XP_017797230.1
OG0000043	XP_011166108.1	XP_017797621.1
OG0000043	XP_011172450.1	XP_017794273.1
OG0000044	XP_039306340.1, XP_025986513.2	XP_017792515.1
OG0000044	XP_025986454.1	XP_017792514.1
OG0000044	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1	XP_017792527.1, XP_017792526.1
OG0000045	XP_011157503.2	XP_017797443.1
OG0000045	XP_025992324.2	XP_017797444.1
OG0000045	XP_039312826.1	XP_017793667.1
OG0000046	XP_011168512.1	XP_017789468.1
OG0000046	XP_011168531.1	XP_017790988.1
OG0000046	XP_039310878.1, XP_039310880.1, XP_039310879.1	XP_017792943.1
OG0000048	XP_011160449.2	XP_017799581.1
OG0000052	XP_039313337.1	XP_017790871.1
OG0000052	XP_011160846.1	XP_017798778.1
OG0000052	XP_025995966.1	XP_017793145.1
OG0000053	XP_039315547.1	XP_017796105.1, XP_017795845.1
OG0000053	XP_011162891.2	XP_017788510.1, XP_017795065.1
OG0000054	XP_011164393.2	XP_017797421.1
OG0000054	XP_011164215.1, XP_011164214.2	XP_017797389.1, XP_017797390.1
OG0000055	XP_039311167.1	XP_017799533.1
OG0000055	XP_039311121.1	XP_017789854.1
OG0000055	XP_011169776.2	XP_017787951.1, XP_017787952.1
OG0000055	XP_011162045.1	XP_017791354.1
OG0000056	XP_039301684.1	XP_017795795.1
OG0000056	XP_025992809.2	XP_017792816.1
OG0000056	XP_011167471.3	XP_017792926.1
OG0000056	XP_039313454.1	XP_017789030.1
OG0000057	XP_011165693.1	XP_017798095.1
OG0000057	XP_011161996.1	XP_017798766.1
OG0000057	XP_011165691.1	XP_017798094.1
OG0000057	XP_011165692.1	XP_017798097.1
