GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0006813	potassium ion transport	35	19	7.7	9.1e-05	8.1e-05	0.055783	0.004513909090909091
GO:0007166	cell surface receptor signaling pathway	68	30	14.97	0.00022	0.00047	0.0658975	0.012526521739130434
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	14	10	3.08	0.00033	0.00033	0.0658975	0.01050857142857143
GO:0006355	regulation of transcription, DNA-templated	332	91	73.07	0.00043	0.01137	0.0658975	0.09547684931506849
GO:0007165	signal transduction	393	137	86.5	0.00061	2.6e-08	0.07478599999999999	5.312666666666667e-6
GO:0007411	axon guidance	11	8	2.42	0.00076	0.00076	0.07764666666666667	0.013310857142857145
GO:0070588	calcium ion transmembrane transport	15	7	3.3	0.00261	0.00261	0.175318	0.035553999999999995
GO:0030163	protein catabolic process	75	21	16.51	0.00273	0.08842	0.175318	0.354257908496732
GO:0055085	transmembrane transport	316	91	69.55	0.00281	0.00684	0.175318	0.07623490909090908
GO:0070972	protein localization to endoplasmic reticulum	10	5	2.2	0.00286	0.00286	0.175318	0.03652458333333334
GO:0007186	G protein-coupled receptor signaling pathway	96	36	21.13	0.00347	0.00347	0.19337363636363636	0.0434104081632653
GO:0046578	regulation of Ras protein signal transduction	11	6	2.42	0.00499	0.00499	0.2333778571428571	0.05771452830188679
GO:0006820	anion transport	51	18	11.22	0.00508	0.06351	0.2333778571428571	0.2994740769230769
GO:0006816	calcium ion transport	19	11	4.18	0.00533	7.0e-05	0.2333778571428571	0.004291
GO:0065008	regulation of biological quality	60	20	13.21	0.00834	0.00036	0.32105875	0.01050857142857143
GO:0045010	actin nucleation	10	3	2.2	0.00838	0.00838	0.32105875	0.08153873015873016
GO:0006979	response to oxidative stress	14	7	3.08	0.01381	0.01381	0.49074055555555557	0.11287373333333334
GO:0065004	protein-DNA complex assembly	14	2	3.08	0.01441	0.01441	0.49074055555555557	0.11622802631578946
GO:0051260	protein homooligomerization	11	5	2.42	0.01666	0.01666	0.525341	0.12454365853658537
GO:0015698	inorganic anion transport	16	8	3.52	0.01714	0.01714	0.525341	0.12658819277108432
GO:0032268	regulation of cellular protein metabolic process	37	10	8.14	0.02066	0.53870	0.6030752380952381	1
GO:0090150	establishment of protein localization to membrane	13	4	2.86	0.02284	0.02284	0.6364054545454545	0.1489459574468085
GO:0009057	macromolecule catabolic process	105	22	23.11	0.02404	0.13588	0.6407182608695652	0.48996729411764706
GO:0007155	cell adhesion	44	22	9.68	0.02527	0.00036	0.6451212	0.01050857142857143
GO:0048518	positive regulation of biological process	64	16	14.09	0.02631	0.42517	0.6451212	0.9506130575539569
GO:1901361	organic cyclic compound catabolic process	45	3	9.9	0.02947	0.21274	0.6948119230769231	0.6510303980099502
GO:0007264	small GTPase mediated signal transduction	43	18	9.46	0.03296	0.00040	0.7483140740740741	0.011145454545454545
GO:0006468	protein phosphorylation	198	61	43.58	0.03659	0.03659	0.76548375	0.21160066037735847
GO:0044093	positive regulation of molecular function	21	6	4.62	0.03712	0.21347	0.76548375	0.6510303980099502
GO:0016485	protein processing	14	2	3.08	0.03803	0.03803	0.76548375	0.21280612068965515
GO:0016043	cellular component organization	359	71	79.01	0.03979	0.25688	0.76548375	0.719029406392694
GO:0007268	chemical synaptic transmission	16	8	3.52	0.03996	0.03996	0.76548375	0.21280612068965515
