Orthogroup	Nomia_melanderi	Polistes_dominula
OG0000000	XP_031836982.1, XP_031836767.1	XP_015189866.1, XP_015189951.1
OG0000000	XP_031848883.1	XP_015180763.1, XP_015189653.1, XP_015189502.1, XP_015187776.1
OG0000000	XP_031848866.1	XP_015189872.1, XP_015189734.1, XP_015190534.1, XP_015189881.1
OG0000001	XP_031834821.1	XP_015182412.1, XP_015182413.1, XP_015181295.1
OG0000001	XP_031826095.1, XP_031826094.1, XP_031826097.1, XP_031826099.1, XP_031826098.1, XP_031826091.1, XP_031826092.1, XP_031826093.1, XP_031842466.1, XP_031836145.1, XP_031836144.1	XP_015183493.1
OG0000001	XP_031828824.1	XP_015174482.1
OG0000001	XP_031840935.1	XP_015174918.1
OG0000002	XP_031834615.1, XP_031834770.1	XP_015179442.1
OG0000002	XP_031834897.1, XP_031834893.1, XP_031834896.1, XP_031834895.1, XP_031834894.1	XP_015179331.1
OG0000002	XP_031834534.1, XP_031834533.1, XP_031834884.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834538.1, XP_031834879.1, XP_031834881.1, XP_031834536.1, XP_031834824.1, XP_031834886.1	XP_015179329.1, XP_015179330.1, XP_015179496.1
OG0000002	XP_031834878.1	XP_015179323.1
OG0000002	XP_031834537.1, XP_031834872.1, XP_031834871.1, XP_031834873.1	XP_015179320.1, XP_015179321.1
OG0000004	XP_031830869.1, XP_031830868.1, XP_031830867.1	XP_015189652.1
OG0000004	XP_031836773.1	XP_015187797.1
OG0000004	XP_031850304.1, XP_031848018.1	XP_015177516.1
OG0000004	XP_031848014.1	XP_015189681.1, XP_015175257.1
OG0000004	XP_031848017.1	XP_015175256.1
OG0000004	XP_031842150.1	XP_015189976.1
OG0000004	XP_031847540.1	XP_015189732.1
OG0000006	XP_031827661.1	XP_015180561.1
OG0000006	XP_031827716.1	XP_015180690.1, XP_015180565.1, XP_015180566.1, XP_015180564.1
OG0000006	XP_031847963.1, XP_031847958.1, XP_031847960.1	XP_015184251.1
OG0000008	XP_031838197.1	XP_015180320.1
OG0000008	XP_031845812.1	XP_015182812.1
OG0000008	XP_031838213.1	XP_015180327.1, XP_015180328.1
OG0000008	XP_031838205.1	XP_015180322.1, XP_015180321.1, XP_015180323.1
OG0000008	XP_031838211.1	XP_015180324.1, XP_015180325.1
OG0000009	XP_031837183.1	XP_015177367.1
OG0000009	XP_031837097.1, XP_031848283.1, XP_031848703.1, XP_031848282.1, XP_031847205.1, XP_031848281.1, XP_031848280.1, XP_031837098.1, XP_031848136.1, XP_031842170.1	XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1
OG0000011	XP_031838228.1	XP_015180925.1, XP_015183883.1, XP_015183802.1
OG0000012	XP_031836558.1	XP_015181488.1
OG0000012	XP_031836778.1	XP_015181463.1
OG0000012	XP_031842887.1	XP_015184231.1
OG0000012	XP_031842731.1	XP_015184244.1
OG0000013	XP_031839362.1, XP_031839304.1	XP_015172623.1
OG0000013	XP_031829654.1	XP_015172184.1, XP_015172183.1, XP_015172185.1
OG0000014	XP_031839329.1, XP_031848785.1, XP_031848784.1, XP_031839374.1, XP_031839487.1	XP_015177523.1
OG0000017	XP_031840004.1, XP_031840003.1, XP_031840002.1, XP_031840001.1	XP_015172927.1, XP_015172893.1, XP_015172912.1, XP_015172903.1, XP_015172883.1
OG0000017	XP_031829474.1	XP_015180943.1, XP_015180944.1
OG0000017	XP_031829454.1	XP_015180945.1
OG0000018	XP_031835584.1	XP_015186827.1
OG0000018	XP_031835583.1	XP_015186828.1
OG0000018	XP_031847312.1	XP_015175602.1
OG0000019	XP_031838473.1, XP_031838474.1, XP_031838475.1	XP_015184618.1, XP_015184619.1, XP_015189804.1, XP_015189805.1
OG0000019	XP_031838060.1	XP_015182221.1, XP_015189673.1
OG0000020	XP_031839751.1	XP_015172633.1
OG0000020	XP_031845392.1	XP_015183576.1
OG0000020	XP_031837838.1	XP_015183590.1
OG0000020	XP_031828635.1	XP_015171445.1
OG0000020	XP_031830731.1	XP_015183950.1, XP_015183951.1, XP_015183952.1
OG0000020	XP_031843286.1	XP_015184365.1
OG0000020	XP_031837242.1, XP_031837243.1	XP_015181633.1
OG0000021	XP_031837236.1	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1
OG0000021	XP_031838575.1	XP_015190080.1
OG0000021	XP_031830175.1	XP_015188837.1
OG0000022	XP_031833191.1	XP_015173497.1
OG0000022	XP_031839488.1, XP_031838234.1	XP_015177598.1
OG0000024	XP_031849116.1, XP_031849133.1, XP_031849117.1	XP_015188584.1, XP_015188403.1, XP_015171793.1
OG0000024	XP_031825693.1, XP_031825694.1	XP_015181825.1
