Orthogroup	Apis_mellifera	Osmia_bicornis
OG0000001	XP_624795.3, XP_026302253.1, XP_016772837.1	XP_029044867.1
OG0000001	NP_001352128.1	XP_029053627.1, XP_029053628.1, XP_029054076.1, XP_029054175.1
OG0000001	XP_026300343.1, NP_001035324.1	XP_029053437.1, XP_029048982.1, XP_029048983.1, XP_029048984.1, XP_029048981.1, XP_029053439.1, XP_029053440.1, XP_029054094.1, XP_029053433.1, XP_029053438.1
OG0000001	XP_006565062.2, XP_397347.4	XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1
OG0000001	XP_016771320.1	XP_029053876.1
OG0000001	XP_026300535.1, XP_395671.3	XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1, XP_029053704.1
OG0000001	XP_026296210.1	XP_029036021.1
OG0000001	NP_001191991.1, XP_016770827.2	XP_029033204.1, XP_029033205.1
OG0000002	XP_003250769.3, XP_026294905.1, XP_026294912.1	XP_029034426.1
OG0000002	XP_006565883.2, NP_001229910.1, XP_026294765.1, NP_001229909.1, XP_006572517.1, NP_001229911.1, XP_016773537.1, XP_016773528.1, XP_016773529.1, XP_006565970.2	XP_029048273.1
OG0000002	NP_001229907.1, NP_001229906.1	XP_029048274.1
OG0000002	NP_001229905.1, XP_026302143.1	XP_029048309.1
OG0000002	XP_016773538.1, XP_003250765.1	XP_029034428.1
OG0000002	XP_006565947.2	XP_029034389.1
OG0000002	NP_001229896.1, XP_016773454.2, XP_006565887.1, NP_001229899.1	XP_029054354.1, XP_029048279.1
OG0000002	XP_026294907.1, XP_026294903.1, XP_016773531.1, XP_016773532.1, XP_001121864.2, NP_001229904.1, XP_026302131.1, XP_006565964.1, XP_026294957.1, XP_016773539.1, NP_001229902.1, XP_003250750.1, XP_003250751.1, XP_006565958.1, XP_016773535.1, XP_006565962.1, XP_026294766.1, XP_003250754.2, XP_016773534.1, XP_006565886.1, NP_001229901.1, XP_006565953.2	XP_029048308.1
OG0000002	NP_001229897.1	XP_029054353.1
OG0000005	XP_016771095.2	XP_029054911.1, XP_029040190.1, XP_029048965.1, XP_029054068.1, XP_029054719.1, XP_029055018.1, XP_029055181.1, XP_029038971.1, XP_029054264.1, XP_029054697.1, XP_029053461.1, XP_029054741.1, XP_029052591.1, XP_029053451.1, XP_029054831.1, XP_029055253.1, XP_029053867.1, XP_029055265.1, XP_029052800.1, XP_029054775.1, XP_029054745.1, XP_029055162.1, XP_029055178.1, XP_029054077.1, XP_029054700.1, XP_029054036.1, XP_029054427.1, XP_029054618.1, XP_029055048.1, XP_029055241.1, XP_029055047.1, XP_029036971.1, XP_029055156.1, XP_029053759.1, XP_029054660.1, XP_029054922.1, XP_029055229.1
OG0000006	XP_016771362.2	XP_029036167.1
OG0000006	XP_003250826.2	XP_029033655.1
OG0000008	XP_006565046.2	XP_029037761.1
OG0000008	XP_026301320.1	XP_029037752.1, XP_029037753.1
OG0000008	XP_396549.3	XP_029041248.1
OG0000008	XP_003250567.1	XP_029037755.1
OG0000008	XP_016769477.1	XP_029037762.1
OG0000009	XP_006562365.2	XP_029039355.1, XP_029039354.1
OG0000009	XP_006562363.1, XP_006562364.1, XP_392000.1	XP_029039416.1
OG0000011	XP_026300224.1, XP_026300227.1	XP_029054371.1
OG0000011	XP_026300228.1	XP_029054367.1
OG0000011	XP_001120948.1, XP_003249278.2	XP_029039510.1, XP_029039509.1, XP_029039508.1
OG0000011	XP_016771075.1, XP_003249229.1	XP_029053128.1, XP_029053127.1, XP_029052576.1, XP_029054131.1, XP_029054129.1, XP_029052577.1, XP_029053130.1, XP_029053132.1, XP_029053134.1, XP_029052579.1, XP_029053590.1, XP_029053754.1, XP_029053755.1, XP_029053123.1, XP_029054135.1, XP_029053126.1, XP_029053131.1, XP_029054368.1, XP_029054370.1, XP_029052586.1, XP_029054369.1
OG0000012	XP_026298215.1	XP_029044618.1
OG0000012	XP_026297101.1, XP_026297165.1	XP_029040169.1
OG0000012	XP_026301256.1	XP_029036967.1
OG0000012	XP_026301257.1	XP_029036856.1
OG0000013	XP_001120132.1	XP_029054967.1
OG0000013	XP_006570899.1	XP_029051686.1, XP_029053957.1, XP_029035638.1, XP_029053372.1
OG0000013	XP_006563135.1, XP_006563134.1, XP_624499.1	XP_029037650.1
OG0000014	XP_003251627.1	XP_029051694.1
OG0000014	XP_006570861.2	XP_029051987.1
OG0000017	XP_006563394.1, NP_001171499.1	XP_029039555.1
OG0000018	XP_393750.5	XP_029051327.1
OG0000018	XP_006564136.1	XP_029048068.1, XP_029048069.1, XP_029048067.1
OG0000018	XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2	XP_029049739.1, XP_029049738.1, XP_029049740.1
OG0000018	XP_026299794.1	XP_029049735.1
OG0000018	XP_006563569.1	XP_029036695.1
OG0000019	XP_026299702.1	XP_029052871.1, XP_029052872.1
OG0000019	XP_394827.4	XP_029052293.1
OG0000019	XP_006572051.3	XP_029033414.1
OG0000020	XP_026301504.1	XP_029043034.1
OG0000020	XP_006560785.2	XP_029055041.1
OG0000020	XP_026300927.1	XP_029032757.1
OG0000021	XP_026299753.1	XP_029041225.1
OG0000022	XP_624700.1	XP_029035866.1
OG0000022	XP_001120186.1	XP_029054087.1, XP_029053362.1, XP_029053958.1, XP_029055198.1, XP_029053955.1, XP_029054818.1, XP_029053454.1, XP_029053455.1
OG0000023	XP_003251626.1	XP_029051698.1, XP_029053456.1, XP_029054574.1, XP_029054086.1, XP_029053954.1, XP_029055089.1, XP_029053953.1, XP_029051696.1, XP_029051697.1, XP_029053457.1
OG0000023	XP_001120014.1, XP_003251406.1	XP_029051991.1
OG0000024	XP_026299083.1, XP_001120613.2	XP_029051585.1, XP_029051584.1, XP_029051583.1
OG0000024	XP_016773395.2	XP_029052345.1
OG0000024	NP_001011620.1	XP_029045870.1
OG0000025	XP_026294993.1, XP_026295496.1	XP_029052233.1, XP_029054180.1
OG0000026	XP_392530.3	XP_029039364.1
OG0000026	XP_026295189.1	XP_029035302.1
OG0000026	XP_003251584.1	XP_029055886.1, XP_029031842.1, XP_029032017.1, XP_029055971.1, XP_029055800.1, XP_029031929.1
OG0000027	XP_003251624.1	XP_029053460.1, XP_029053459.1, XP_029053373.1
OG0000027	XP_006570863.1	XP_029051993.1, XP_029051689.1, XP_029035641.1, XP_029053960.1, XP_029053959.1, XP_029053445.1, XP_029035639.1
OG0000029	NP_001257747.1	XP_029041154.1
OG0000029	NP_001257746.1	XP_029041149.1
OG0000029	NP_001257750.1	XP_029049864.1, XP_029049863.1
OG0000029	NP_001257749.1	XP_029041266.1
OG0000030	NP_001177849.1, XP_006572276.1	XP_029038012.1
OG0000030	XP_026300187.1	XP_029049282.1
OG0000032	XP_026298886.1	XP_029050538.1
OG0000034	NP_001229914.1, XP_026299613.1, XP_016770782.1, XP_016770780.1, XP_016770788.1	XP_029052867.1, XP_029052866.1, XP_029052851.1, XP_029052877.1
OG0000035	XP_392319.3	XP_029032235.1
OG0000036	XP_016771997.1, XP_001120999.2	XP_029047761.1
OG0000036	XP_006563422.1	XP_029047765.1
OG0000036	XP_001121077.2	XP_029047764.1
OG0000036	XP_003250085.1	XP_029043016.1, XP_029043017.1
OG0000037	NP_001257751.1	XP_029047042.1
OG0000038	XP_623220.1	XP_029041947.1, XP_029050411.1
OG0000038	XP_006558759.1	XP_029032964.1
OG0000038	XP_394092.3	XP_029039496.1
OG0000038	XP_006563567.1	XP_029036717.1, XP_029036716.1
OG0000038	XP_026300252.1	XP_029034840.1
OG0000038	XP_396338.2	XP_029045842.1, XP_029045843.1, XP_029045841.1
OG0000040	XP_394370.2	XP_029055961.1, XP_029055960.1, XP_029055959.1
OG0000041	NP_001172074.1, NP_001172075.1	XP_029032654.1, XP_029032653.1
OG0000041	XP_026296530.1	XP_029038902.1
OG0000041	XP_016767697.1	XP_029038901.1, XP_029038899.1
OG0000041	XP_625015.1	XP_029053007.1
OG0000042	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1	XP_029048713.1
OG0000043	XP_016768084.1, NP_001071287.1	XP_029038126.1
OG0000043	NP_001011583.1	XP_029042859.1
OG0000043	XP_006557941.1, NP_001071282.1	XP_029042860.1
OG0000044	XP_006565547.1	XP_029033389.1, XP_029033390.1
OG0000044	XP_006565544.2	XP_029033388.1
OG0000044	XP_006565537.1	XP_029033272.1, XP_029033270.1, XP_029033271.1
OG0000045	NP_001035326.1	XP_029050902.1, XP_029050927.1, XP_029050914.1
OG0000045	NP_001035349.1	XP_029043746.1
OG0000046	NP_001153524.1	XP_029046126.1
OG0000046	NP_001153522.1	XP_029054140.1
OG0000046	NP_001153544.1	XP_029049335.1
OG0000048	XP_016769367.1	XP_029038641.1
OG0000048	XP_026298613.1	XP_029038651.1
OG0000048	XP_006567535.1	XP_029038664.1
OG0000050	XP_026299635.1, XP_392696.5	XP_029035421.1
OG0000050	XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1	XP_029047238.1
OG0000052	XP_006570493.1	XP_029042748.1
OG0000054	NP_001257759.1	XP_029050144.1
OG0000054	NP_001257754.1	XP_029050156.1
OG0000054	NP_001257753.1	XP_029050150.1
OG0000055	XP_016771370.1	XP_029035680.1
OG0000055	XP_006562397.1	XP_029033281.1, XP_029033290.1, XP_029033297.1
OG0000055	XP_393860.4	XP_029033206.1
OG0000056	XP_026297251.1	XP_029043848.1, XP_029043447.1
OG0000056	XP_026301167.1	XP_029041052.1
OG0000056	XP_026297087.1	XP_029050404.1
OG0000056	XP_026296769.1	XP_029048153.1
OG0000056	XP_026299492.1	XP_029044167.1
OG0000057	XP_392313.1	XP_029035838.1
OG0000057	XP_026300739.1	XP_029041778.1
OG0000057	XP_394471.1	XP_029035983.1
OG0000057	XP_394469.1	XP_029035967.1
OG0000058	XP_026294942.1	XP_029038287.1
OG0000058	XP_026298536.1	XP_029038900.1, XP_029038888.1, XP_029038873.1, XP_029038863.1
OG0000060	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2	XP_029056239.1, XP_029056240.1
OG0000060	NP_001180219.1, XP_006565210.1	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1
OG0000061	XP_397017.3	XP_029042514.1
OG0000061	XP_624322.1, XP_016773033.1	XP_029037437.1
OG0000062	XP_001119884.1	XP_029054767.1
OG0000062	XP_001120194.1	XP_029054389.1
OG0000062	XP_001120006.2	XP_029054437.1
OG0000062	XP_001120137.1	XP_029054447.1
OG0000064	XP_016770849.2, NP_001229916.1, XP_026299914.1, NP_001229917.1, XP_006562273.2, XP_006562271.1	XP_029049217.1, XP_029049232.1, XP_029049008.1
OG0000066	XP_006569791.3	XP_029053476.1
OG0000067	XP_006561513.1	XP_029053164.1
OG0000067	XP_026299464.1	XP_029042775.1
OG0000067	XP_006560064.1	XP_029032763.1
OG0000067	XP_395774.2	XP_029039161.1
OG0000069	XP_006564460.2, XP_392727.4	XP_029035424.1, XP_029035422.1
OG0000069	XP_016770442.2	XP_029035425.1, XP_029035429.1
OG0000073	XP_003251791.2	XP_029054983.1, XP_029052801.1, XP_029050690.1
OG0000073	XP_003251779.1, XP_016773440.1	XP_029051176.1, XP_029051151.1
OG0000074	XP_001120594.2	XP_029038270.1
OG0000077	XP_006567467.1	XP_029041461.1
OG0000077	XP_395426.5	XP_029051620.1
OG0000078	XP_026294928.1	XP_029038384.1
OG0000078	XP_026294841.1	XP_029038253.1
OG0000079	XP_026295829.1	XP_029035221.1
OG0000080	XP_397228.2	XP_029048618.1, XP_029048619.1
OG0000080	XP_623221.2	XP_029048621.1, XP_029048620.1
OG0000080	XP_006559470.1	XP_029048655.1
OG0000081	XP_006563549.2, NP_001229913.1, XP_016772002.2, XP_394081.6, XP_026301357.1, XP_016772004.2, XP_026301413.1	XP_029040924.1, XP_029040923.1, XP_029040922.1, XP_029040928.1, XP_029040927.1, XP_029040929.1, XP_029040930.1, XP_029040871.1
OG0000082	XP_006565018.1	XP_029037393.1
OG0000082	XP_026300908.1, XP_006565021.2, XP_006565022.2, XP_016773421.2	XP_029037432.1, XP_029037434.1, XP_029037430.1, XP_029037431.1, XP_029037428.1, XP_029037429.1, XP_029037433.1
OG0000084	NP_001257744.1	XP_029034284.1
OG0000084	NP_001257757.1	XP_029034285.1
OG0000084	NP_001257743.1	XP_029034302.1
OG0000084	XP_026300413.1	XP_029039752.1
OG0000085	XP_394579.2	XP_029036566.1, XP_029036567.1
OG0000086	XP_016772088.2	XP_029036714.1
OG0000087	XP_624353.1	XP_029056468.1, XP_029056467.1
OG0000088	XP_006566240.1, XP_006566239.1, XP_026299220.1	XP_029051133.1
OG0000089	XP_003249883.2, XP_016768850.2	XP_029053161.1, XP_029053163.1, XP_029053162.1
OG0000089	XP_001120425.1	XP_029051588.1
OG0000091	XP_026299597.1, XP_026299596.1	XP_029041126.1, XP_029041124.1
OG0000092	XP_006558182.1, XP_396653.1	XP_029041975.1, XP_029041991.1
OG0000092	XP_396654.1, XP_016768016.1	XP_029043422.1, XP_029044965.1, XP_029044957.1
OG0000092	XP_006560146.1	XP_029036169.1
OG0000094	XP_394160.3, XP_016770351.2	XP_029033929.1
OG0000094	XP_026299983.1	XP_029034646.1, XP_029034647.1
OG0000094	XP_006572211.1	XP_029050994.1
OG0000095	XP_006564430.1	XP_029035463.1
OG0000096	XP_026300868.1	XP_029039146.1
OG0000096	XP_003250667.2, XP_006562163.1	XP_029053037.1
OG0000097	XP_006566906.1, NP_001011628.1	XP_029033159.1, XP_029033157.1, XP_029033158.1
OG0000097	NP_001014993.1	XP_029042191.1, XP_029042190.1
OG0000098	XP_006561279.1	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1
OG0000099	XP_026301459.1	XP_029034823.1
OG0000099	XP_026301457.1, XP_026301458.1	XP_029034765.1
OG0000099	XP_006563474.1	XP_029045960.1
OG0000100	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1
OG0000101	XP_016769181.1	XP_029038150.1
OG0000101	XP_016769182.2	XP_029038151.1
OG0000102	XP_026298009.1	XP_029052948.1
OG0000103	XP_395932.2, XP_016769753.1, XP_006559124.1, XP_006559125.1	XP_029044547.1
OG0000103	XP_026298877.1	XP_029044558.1, XP_029044556.1
OG0000103	XP_006558409.1, XP_016770073.1, XP_006558410.1	XP_029034468.1, XP_029034469.1, XP_029034466.1, XP_029034467.1
OG0000106	XP_001120660.2	XP_029044943.1
OG0000107	XP_006570363.1	XP_029051339.1
OG0000108	XP_026296997.1, XP_026296995.1, XP_026296996.1	XP_029040200.1, XP_029040201.1
OG0000109	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1
OG0000110	XP_016771484.1, XP_026300877.1	XP_029038421.1, XP_029038418.1, XP_029038419.1
OG0000110	XP_016771820.2	XP_029043468.1
OG0000111	XP_016767388.2	XP_029036880.1
OG0000111	XP_016769305.2	XP_029047148.1
OG0000112	XP_016770669.1	XP_029046532.1, XP_029046533.1
OG0000112	XP_395840.2	XP_029048168.1
OG0000113	XP_001120149.1	XP_029037699.1
OG0000113	XP_001121347.2	XP_029048517.1
OG0000114	XP_026296673.1	XP_029036590.1
OG0000115	NP_001136128.1, XP_006560566.1	XP_029035566.1
OG0000116	XP_001119871.2, XP_006567638.1, XP_006567639.1, XP_006567636.1	XP_029036993.1, XP_029036999.1
OG0000117	XP_006566844.1	XP_029050106.1
OG0000117	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1
OG0000119	XP_006567540.1, XP_006567591.1	XP_029036980.1
OG0000119	XP_016769352.1	XP_029036815.1, XP_029036844.1
OG0000120	XP_026295458.1	XP_029051756.1
OG0000120	XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1	XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1
OG0000122	XP_396281.5	XP_029051575.1
OG0000122	XP_006569022.1	XP_029054705.1
OG0000123	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1
OG0000124	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1
OG0000125	XP_016768147.1	XP_029038301.1, XP_029032057.1, XP_029036162.1, XP_029037018.1, XP_029032043.1, XP_029035307.1, XP_029032032.1, XP_029032023.1
OG0000126	XP_016772382.1, NP_001011571.1	XP_029049817.1, XP_029049833.1, XP_029049843.1, XP_029049826.1, XP_029049807.1, XP_029049849.1
OG0000127	XP_396819.2	XP_029049523.1, XP_029049524.1
OG0000129	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1	XP_029038381.1, XP_029038382.1, XP_029038380.1, XP_029038379.1, XP_029038378.1, XP_029038377.1, XP_029038376.1, XP_029038375.1
OG0000130	XP_006568433.1, XP_006568428.1	XP_029040004.1
OG0000130	XP_394686.4	XP_029040144.1, XP_029040135.1, XP_029040130.1
OG0000130	XP_026297554.1, XP_394687.3, XP_006565573.1	XP_029040646.1
OG0000131	XP_006564418.1	XP_029035464.1
OG0000131	XP_392990.2, XP_003251503.1	XP_029032564.1, XP_029032565.1, XP_029032563.1
OG0000132	XP_006569358.1, XP_006569359.1, XP_016767260.1	XP_029042885.1, XP_029042884.1
OG0000132	XP_006567280.1, XP_006567283.1, XP_006567281.1	XP_029046706.1, XP_029046715.1
OG0000133	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1	XP_029032942.1, XP_029032943.1, XP_029032944.1
OG0000134	XP_006566587.1, XP_026299656.1, XP_623559.1, XP_026299657.1	XP_029037364.1
OG0000135	XP_392723.3	XP_029032688.1
OG0000135	XP_006570858.1, XP_026300893.1	XP_029052001.1
OG0000136	XP_001123230.2	XP_029051548.1
OG0000136	XP_001122953.3	XP_029055196.1, XP_029055024.1
OG0000136	XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2	XP_029051623.1
OG0000137	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1	XP_029048064.1
OG0000137	XP_026298341.1	XP_029046790.1, XP_029046789.1, XP_029046791.1, XP_029046788.1
OG0000138	XP_006561534.1	XP_029043735.1, XP_029043737.1, XP_029043736.1, XP_029043739.1, XP_029043738.1, XP_029043741.1, XP_029043740.1
OG0000138	XP_006561540.1	XP_029043742.1
OG0000139	XP_026302052.1	XP_029050502.1
OG0000141	XP_396377.3, XP_016771703.1	XP_029038466.1, XP_029038465.1
OG0000141	XP_393772.4	XP_029044664.1
OG0000142	XP_026300389.1	XP_029044489.1, XP_029044511.1
OG0000142	XP_026300390.1	XP_029053705.1, XP_029044543.1, XP_029054183.1, XP_029044512.1
OG0000143	XP_394342.1	XP_029041592.1, XP_029041591.1, XP_029041594.1
OG0000143	XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1	XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1
OG0000144	NP_001104234.1	XP_029035145.1
OG0000145	XP_006571519.1, NP_001128406.1	XP_029047376.1, XP_029047377.1
OG0000145	XP_006557552.1, NP_001011643.1	XP_029043895.1, XP_029045165.1
OG0000146	XP_006569990.1	XP_029045164.1, XP_029045163.1
OG0000146	XP_001120801.1	XP_029038795.1, XP_029038794.1
OG0000149	XP_624573.2	XP_029047226.1
OG0000149	XP_006560541.1	XP_029047230.1, XP_029047231.1, XP_029047232.1
OG0000150	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1	XP_029041950.1
OG0000151	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1	XP_029031892.1, XP_029031893.1, XP_029031895.1, XP_029031894.1, XP_029031896.1
OG0000152	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1	XP_029047059.1
OG0000153	XP_006557622.1	XP_029039104.1, XP_029039105.1, XP_029039106.1, XP_029039101.1, XP_029039103.1
OG0000154	XP_003249939.3	XP_029038796.1
OG0000156	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1	XP_029035328.1
OG0000157	XP_016771183.1	XP_029051283.1
OG0000157	XP_016771274.2	XP_029051281.1
OG0000158	XP_026296664.1	XP_029046478.1, XP_029046471.1, XP_029046469.1, XP_029046468.1, XP_029042113.1
OG0000160	XP_006570492.2	XP_029042735.1
OG0000161	NP_001011563.1	XP_029049654.1, XP_029049653.1
OG0000162	NP_001091691.1, XP_006562616.1	XP_029035080.1
OG0000162	NP_001091690.1, XP_026298411.1	XP_029037503.1
OG0000164	XP_016768018.2	XP_029053418.1, XP_029053381.1
OG0000164	XP_006558190.2	XP_029053407.1
OG0000165	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2	XP_029038180.1, XP_029038179.1
OG0000165	XP_006566324.1	XP_029047501.1
OG0000166	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3	XP_029043654.1, XP_029043635.1, XP_029043629.1
OG0000168	XP_016766381.2	XP_029036231.1
OG0000168	XP_016767974.1, NP_001035325.2	XP_029043972.1
OG0000169	XP_026296993.1	XP_029040131.1
OG0000170	XP_026299163.1	XP_029033620.1, XP_029033633.1
OG0000170	XP_006566079.2	XP_029033625.1
OG0000171	XP_623922.2	XP_029047311.1
OG0000172	XP_006565262.1, XP_006565259.1, XP_006565261.1	XP_029040332.1, XP_029040337.1, XP_029040338.1, XP_029040333.1, XP_029040334.1, XP_029040335.1, XP_029040336.1
OG0000173	XP_006560020.1, XP_006560019.1	XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045881.1, XP_029045880.1
OG0000174	XP_394018.2	XP_029038443.1, XP_029038444.1, XP_029038447.1, XP_029038446.1, XP_029038448.1
OG0000175	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1	XP_029032769.1, XP_029032767.1, XP_029032768.1
OG0000176	XP_003251204.1	XP_029041606.1
OG0000177	XP_001121910.1	XP_029035382.1, XP_029035383.1
OG0000177	XP_016770327.1, XP_006566372.1	XP_029035403.1
OG0000177	XP_016770328.1	XP_029035380.1
OG0000178	XP_026295366.1, XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1	XP_029039971.1, XP_029039967.1
OG0000179	XP_026301506.1	XP_029046643.1
OG0000179	XP_393381.2	XP_029038918.1
OG0000179	XP_001119897.1	XP_029037996.1
OG0000180	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1	XP_029046844.1, XP_029046842.1, XP_029046843.1
OG0000181	XP_393751.2, XP_006570397.2, XP_016770282.2	XP_029051355.1, XP_029051353.1, XP_029051352.1, XP_029051351.1, XP_029051350.1, XP_029051349.1, XP_029051354.1, XP_029051348.1
OG0000182	XP_006561855.2	XP_029044796.1, XP_029044797.1, XP_029044799.1, XP_029044800.1, XP_029044801.1, XP_029044793.1, XP_029044794.1, XP_029044795.1
OG0000183	XP_026298476.1, XP_026298477.1	XP_029047940.1
OG0000183	XP_395404.2	XP_029053202.1
OG0000184	XP_016773569.1, XP_026300573.1	XP_029034044.1, XP_029034077.1
OG0000185	XP_003250560.1	XP_029037641.1, XP_029037640.1
OG0000185	XP_006565025.1	XP_029037652.1, XP_029037651.1
OG0000186	XP_001119981.4	XP_029043658.1, XP_029043698.1, XP_029043697.1
OG0000187	XP_016769442.2	XP_029047831.1
OG0000188	XP_394855.4	XP_029045188.1
OG0000188	XP_395697.2	XP_029035546.1
