,ProteinID,Length
0,NP_001007096.1,1525
1,NP_001014453.1,1135
2,NP_001014456.1,386
3,NP_001014457.1,117
4,NP_001014458.3,468
5,NP_001014459.2,522
6,NP_001014460.1,294
7,NP_001014461.1,298
8,NP_001014469.1,721
9,NP_001014474.3,1054
10,NP_001014475.1,323
11,NP_001014480.4,410
12,NP_001014482.2,917
13,NP_001014485.3,1064
14,NP_001014488.1,157
15,NP_001014489.1,186
16,NP_001014490.1,150
17,NP_001014491.1,599
18,NP_001014492.2,415
19,NP_001014493.2,426
20,NP_001014494.1,389
21,NP_001014495.1,460
22,NP_001014498.1,566
23,NP_001014501.1,186
24,NP_001014504.1,1155
25,NP_001014505.1,634
26,NP_001014513.1,834
27,NP_001014515.1,248
28,NP_001014521.2,1125
29,NP_001014522.2,189
30,NP_001014525.1,646
31,NP_001014528.1,320
32,NP_001014529.1,484
33,NP_001014530.1,226
34,NP_001014531.1,204
35,NP_001014532.1,124
36,NP_001014533.1,152
37,NP_001014543.1,1329
38,NP_001014547.1,508
39,NP_001014548.1,396
40,NP_001014551.1,25
41,NP_001014556.1,1188
42,NP_001014557.3,625
43,NP_001014558.1,311
44,NP_001014559.1,322
45,NP_001014576.1,1027
46,NP_001014577.1,337
47,NP_001014579.1,235
48,NP_001014582.1,670
49,NP_001014583.1,1052
50,NP_001014589.1,960
51,NP_001014590.1,883
52,NP_001014591.1,1983
53,NP_001014592.1,576
54,NP_001014599.2,670
55,NP_001014600.1,271
56,NP_001014605.1,1008
57,NP_001014607.1,337
58,NP_001014608.1,276
59,NP_001014610.1,1045
60,NP_001014611.1,399
61,NP_001014612.1,178
62,NP_001014614.1,968
63,NP_001014616.2,323
64,NP_001014619.2,355
65,NP_001014620.1,430
66,NP_001014632.3,962
67,NP_001014633.2,139
68,NP_001014636.1,562
69,NP_001014639.1,94
70,NP_001014646.1,515
71,NP_001014650.2,1268
72,NP_001014665.1,509
73,NP_001014671.1,471
74,NP_001014681.2,2045
75,NP_001014689.3,1255
76,NP_001014693.1,898
77,NP_001014695.1,618
78,NP_001014703.1,663
79,NP_001014714.1,1083
80,NP_001014717.1,462
81,NP_001014719.2,377
82,NP_001014720.1,1095
83,NP_001014722.1,1894
84,NP_001014723.1,545
85,NP_001014725.1,376
86,NP_001014730.1,150
87,NP_001014742.1,974
88,NP_001014746.1,140
89,NP_001014758.2,905
90,NP_001015096.2,505
91,NP_001015100.2,767
92,NP_001015119.2,268
93,NP_001015122.1,376
94,NP_001015132.1,715
95,NP_001015155.1,204
96,NP_001015157.2,694
97,NP_001015164.3,184
98,NP_001015167.2,226
99,NP_001015174.1,396
100,NP_001015187.2,780
101,NP_001015212.1,421
102,NP_001015221.1,1641
103,NP_001015223.1,142
104,NP_001015241.3,765
105,NP_001015254.1,421
106,NP_001015255.1,124
107,NP_001015257.2,522
108,NP_001015261.3,542
109,NP_001015316.1,2630
110,NP_001015319.1,459
111,NP_001015349.2,566
112,NP_001015352.3,855
113,NP_001015354.3,364
114,NP_001015359.1,1124
115,NP_001015384.1,349
116,NP_001015387.1,206
117,NP_001015389.1,189
118,NP_001015401.1,173
119,NP_001015402.3,72
120,NP_001015405.3,2394
121,NP_001015473.1,468
122,NP_001015476.1,94
123,NP_001015497.4,313
124,NP_001015498.5,914
125,NP_001015499.4,4559
126,NP_001015502.3,569
127,NP_001015505.5,4459
128,NP_001027032.1,715
129,NP_001027038.3,4479
130,NP_001027041.1,297
131,NP_001027042.2,160
132,NP_001027043.2,160
133,NP_001027044.2,160
134,NP_001027045.2,160
135,NP_001027046.2,160
136,NP_001027047.2,160
137,NP_001027048.1,175
138,NP_001027049.1,721
139,NP_001027068.1,1186
140,NP_001027069.3,279
141,NP_001027070.1,455
142,NP_001027071.1,387
143,NP_001027074.1,117
144,NP_001027078.1,167
145,NP_001027079.1,148
146,NP_001027081.1,590
147,NP_001027082.1,447
148,NP_001027083.1,90
149,NP_001027085.1,243
150,NP_001027087.1,769
151,NP_001027089.1,696
152,NP_001027091.1,115
153,NP_001027093.1,332
154,NP_001027095.1,517
155,NP_001027097.1,495
156,NP_001027100.1,1282
157,NP_001027105.2,417
158,NP_001027106.1,460
159,NP_001027107.1,180
160,NP_001027108.1,172
161,NP_001027109.2,182
162,NP_001027114.1,174
163,NP_001027116.1,111
164,NP_001027118.1,205
165,NP_001027119.1,181
166,NP_001027120.1,179
167,NP_001027121.3,175
168,NP_001027122.2,480
169,NP_001027123.1,383
170,NP_001027125.1,181
171,NP_001027126.1,39
172,NP_001027127.1,194
173,NP_001027128.1,179
174,NP_001027129.2,178
175,NP_001027130.2,169
176,NP_001027131.1,175
177,NP_001027132.2,178
178,NP_001027134.1,202
179,NP_001027136.1,190
180,NP_001027137.1,162
181,NP_001027138.2,4699
182,NP_001027139.1,165
183,NP_001027140.1,178
184,NP_001027141.1,188
185,NP_001027142.2,175
186,NP_001027143.1,179
187,NP_001027144.2,185
188,NP_001027145.3,178
189,NP_001027146.4,185
190,NP_001027147.1,182
191,NP_001027150.1,180
192,NP_001027151.1,555
193,NP_001027152.1,478
194,NP_001027154.1,491
195,NP_001027155.1,1041
196,NP_001027159.2,372
197,NP_001027161.1,199
198,NP_001027165.1,168
199,NP_001027166.1,212
200,NP_001027167.1,195
201,NP_001027168.1,164
202,NP_001027169.1,183
203,NP_001027174.1,189
204,NP_001027175.1,317
205,NP_001027179.1,157
206,NP_001027182.1,501
207,NP_001027183.1,502
208,NP_001027186.1,155
209,NP_001027188.1,164
210,NP_001027191.1,190
211,NP_001027201.1,562
212,NP_001027208.1,1288
213,NP_001027209.1,181
214,NP_001027210.1,538
215,NP_001027211.3,417
216,NP_001027213.1,179
217,NP_001027214.1,180
218,NP_001027215.1,199
219,NP_001027216.2,178
220,NP_001027217.1,178
221,NP_001027218.2,235
222,NP_001027219.1,844
223,NP_001027221.1,224
224,NP_001027230.1,1236
225,NP_001027233.1,209
226,NP_001027234.1,469
227,NP_001027235.1,180
228,NP_001027236.1,154
229,NP_001027237.1,205
230,NP_001027247.1,1931
231,NP_001027248.1,305
232,NP_001027253.1,690
233,NP_001027255.2,178
234,NP_001027256.1,181
235,NP_001027257.1,187
236,NP_001027258.1,178
237,NP_001027259.1,158
238,NP_001027260.3,189
239,NP_001027262.1,361
240,NP_001027263.1,148
241,NP_001027265.2,178
242,NP_001027266.1,256
243,NP_001027272.1,272
244,NP_001027273.1,173
245,NP_001027274.2,1031
246,NP_001027276.1,180
247,NP_001027277.1,3101
248,NP_001027281.1,234
249,NP_001027282.1,256
250,NP_001027283.1,123
251,NP_001027284.1,103
252,NP_001027285.1,136
253,NP_001027286.1,256
254,NP_001027287.1,123
255,NP_001027288.1,103
256,NP_001027289.1,136
257,NP_001027290.1,256
258,NP_001027291.1,123
259,NP_001027292.1,124
260,NP_001027293.1,103
261,NP_001027294.1,136
262,NP_001027295.1,256
263,NP_001027296.1,123
264,NP_001027297.1,103
265,NP_001027298.1,136
266,NP_001027299.1,256
267,NP_001027300.1,123
268,NP_001027301.1,124
269,NP_001027302.1,103
270,NP_001027303.1,136
271,NP_001027304.1,256
272,NP_001027305.1,123
273,NP_001027306.1,124
274,NP_001027307.1,103
275,NP_001027308.1,136
276,NP_001027309.1,256
277,NP_001027310.1,123
278,NP_001027311.1,124
279,NP_001027312.1,103
280,NP_001027313.1,136
281,NP_001027314.1,256
282,NP_001027315.1,123
283,NP_001027316.1,124
284,NP_001027317.1,103
285,NP_001027318.1,136
286,NP_001027319.1,256
287,NP_001027320.1,123
288,NP_001027321.1,124
289,NP_001027322.1,103
290,NP_001027323.1,136
291,NP_001027324.1,256
292,NP_001027325.1,123
293,NP_001027326.1,124
294,NP_001027327.1,103
295,NP_001027328.1,136
296,NP_001027329.1,256
297,NP_001027330.1,123
298,NP_001027331.1,124
299,NP_001027332.1,103
300,NP_001027333.1,136
301,NP_001027334.1,256
302,NP_001027335.1,123
303,NP_001027336.1,124
304,NP_001027337.1,103
305,NP_001027338.1,136
306,NP_001027339.1,256
307,NP_001027340.1,123
308,NP_001027341.1,124
309,NP_001027342.1,103
310,NP_001027343.1,136
311,NP_001027344.1,256
312,NP_001027345.1,123
313,NP_001027346.1,124
314,NP_001027347.1,103
315,NP_001027348.1,136
316,NP_001027349.1,256
317,NP_001027350.1,123
318,NP_001027351.1,124
319,NP_001027352.1,103
320,NP_001027353.1,136
321,NP_001027354.1,256
322,NP_001027355.1,123
323,NP_001027356.1,124
324,NP_001027357.1,103
325,NP_001027358.1,136
326,NP_001027359.1,256
327,NP_001027360.1,123
328,NP_001027361.1,124
329,NP_001027362.1,103
330,NP_001027363.1,136
331,NP_001027364.1,256
332,NP_001027365.1,123
333,NP_001027366.1,124
334,NP_001027367.1,103
335,NP_001027368.1,136
336,NP_001027369.1,256
337,NP_001027370.1,123
338,NP_001027371.1,124
339,NP_001027372.1,103
340,NP_001027373.1,136
341,NP_001027374.1,256
342,NP_001027375.1,123
343,NP_001027376.1,124
344,NP_001027377.1,103
345,NP_001027378.1,136
346,NP_001027379.1,256
347,NP_001027380.1,123
348,NP_001027381.1,124
349,NP_001027382.1,103
350,NP_001027383.1,136
351,NP_001027384.1,256
352,NP_001027385.1,123
353,NP_001027386.1,124
354,NP_001027387.1,136
355,NP_001027388.1,183
356,NP_001027393.1,191
357,NP_001027394.2,189
358,NP_001027395.1,393
359,NP_001027396.1,40
360,NP_001027397.1,178
361,NP_001027398.1,178
362,NP_001027399.1,177
363,NP_001027401.1,366
364,NP_001027403.2,899
365,NP_001027405.2,167
366,NP_001027406.1,183
367,NP_001027409.1,185
368,NP_001027410.1,182
369,NP_001027411.2,225
370,NP_001027412.1,390
371,NP_001027413.1,86
372,NP_001027414.1,178
373,NP_001027415.1,882
374,NP_001027416.2,374
375,NP_001027417.1,60
376,NP_001027420.2,2194
377,NP_001027422.1,203
378,NP_001027424.2,600
379,NP_001027428.1,610
380,NP_001027433.1,456
381,NP_001027435.2,491
382,NP_001027438.1,180
383,NP_001027441.1,267
384,NP_001027443.1,108
385,NP_001027444.1,248
386,NP_001027445.1,63
387,NP_001027447.1,71
388,NP_001027448.1,278
389,NP_001027571.3,2176
390,NP_001027574.2,2895
391,NP_001027575.1,1407
392,NP_001027577.2,755
393,NP_001033801.3,2289
394,NP_001033805.1,404
395,NP_001033810.1,828
396,NP_001033816.1,441
397,NP_001033818.1,162
398,NP_001033835.2,2020
399,NP_001033838.1,189
400,NP_001033839.1,117
401,NP_001033842.2,224
402,NP_001033843.1,120
403,NP_001033845.1,827
404,NP_001033847.1,568
405,NP_001033848.1,139
406,NP_001033852.1,209
407,NP_001033853.1,187
408,NP_001033857.1,666
409,NP_001033860.1,730
410,NP_001033861.1,677
411,NP_001033870.1,783
412,NP_001033871.2,306
413,NP_001033873.1,266
414,NP_001033874.2,181
415,NP_001033875.1,127
416,NP_001033878.3,276
417,NP_001033883.2,278
418,NP_001033884.2,1684
419,NP_001033885.1,151
420,NP_001033891.1,218
421,NP_001033893.2,338
422,NP_001033894.1,485
423,NP_001033895.1,228
424,NP_001033896.1,361
425,NP_001033898.1,340
426,NP_001033899.1,282
427,NP_001033900.2,318
428,NP_001033904.1,844
429,NP_001033905.1,122
430,NP_001033913.1,581
431,NP_001033916.1,223
432,NP_001033929.1,94
433,NP_001033932.2,554
434,NP_001033936.1,332
435,NP_001033937.1,168
436,NP_001033939.2,243
437,NP_001033940.1,161
438,NP_001033941.1,494
439,NP_001033942.1,161
440,NP_001033943.2,1488
441,NP_001033948.1,1327
442,NP_001033949.1,275
443,NP_001033950.2,488
444,NP_001033953.1,362
445,NP_001033956.2,419
446,NP_001033957.2,185
447,NP_001033958.1,710
448,NP_001033959.1,119
449,NP_001033961.2,164
450,NP_001033962.1,46
451,NP_001033963.1,281
452,NP_001033964.1,114
453,NP_001033966.1,168
454,NP_001033967.1,490
455,NP_001033971.2,553
456,NP_001033972.1,1241
457,NP_001033973.1,381
458,NP_001033975.2,271
459,NP_001033979.1,341
460,NP_001033980.2,355
461,NP_001033983.1,317
462,NP_001033984.1,310
463,NP_001033986.1,606
464,NP_001033987.2,325
465,NP_001033989.1,356
466,NP_001033991.1,421
467,NP_001033993.1,273
468,NP_001033999.2,149
469,NP_001034001.1,158
470,NP_001034002.1,306
471,NP_001034004.1,235
472,NP_001034012.2,198
473,NP_001034016.1,1063
474,NP_001034017.2,277
475,NP_001034018.1,277
476,NP_001034019.2,185
477,NP_001034020.1,269
478,NP_001034027.2,252
479,NP_001034029.2,350
480,NP_001034030.1,169
481,NP_001034031.2,473
482,NP_001034034.1,410
483,NP_001034042.1,209
484,NP_001034048.2,1256
485,NP_001034050.1,319
486,NP_001034051.1,94
487,NP_001034052.2,1001
488,NP_001034055.1,1288
489,NP_001034060.2,112
490,NP_001034062.1,212
491,NP_001034065.1,471
492,NP_001034068.2,1519
493,NP_001034071.1,777
494,NP_001034073.1,991
495,NP_001034074.1,346
496,NP_001034075.1,255
497,NP_001034077.5,568
498,NP_001036250.1,899
499,NP_001036254.1,1094
500,NP_001036255.1,93
501,NP_001036256.2,92
502,NP_001036260.3,569
503,NP_001036262.2,263
504,NP_001036265.1,533
505,NP_001036266.1,582
506,NP_001036269.2,3145
507,NP_001036273.2,107
508,NP_001036275.1,1270
509,NP_001036283.1,1520
510,NP_001036284.1,1918
511,NP_001036303.2,1817
512,NP_001036309.1,123
513,NP_001036311.2,247
514,NP_001036313.1,247
515,NP_001036316.1,850
516,NP_001036318.2,1262
517,NP_001036320.3,425
518,NP_001036321.2,222
519,NP_001036323.1,266
520,NP_001036330.1,78
521,NP_001036331.1,415
522,NP_001036333.1,2003
523,NP_001036334.1,159
524,NP_001036336.1,211
525,NP_001036338.1,630
526,NP_001036339.1,338
527,NP_001036341.2,531
528,NP_001036342.1,763
529,NP_001036344.1,84
530,NP_001036345.1,384
531,NP_001036347.1,119
532,NP_001036351.2,800
533,NP_001036353.1,99
534,NP_001036355.1,345
535,NP_001036356.1,893
536,NP_001036357.2,1331
537,NP_001036360.1,1597
538,NP_001036361.1,661
539,NP_001036362.1,474
540,NP_001036365.1,122
541,NP_001036368.2,1799
542,NP_001036369.3,4236
543,NP_001036371.1,77
544,NP_001036372.2,493
545,NP_001036373.1,1002
546,NP_001036374.1,1394
547,NP_001036375.2,727
548,NP_001036384.1,246
549,NP_001036387.1,299
550,NP_001036395.2,707
551,NP_001036396.2,182
552,NP_001036397.2,897
553,NP_001036401.1,689
554,NP_001036404.1,171
555,NP_001036410.1,274
556,NP_001036415.2,841
557,NP_001036421.1,457
558,NP_001036422.1,2286
559,NP_001036426.1,403
560,NP_001036428.1,477
561,NP_001036433.1,95
562,NP_001036437.1,1068
563,NP_001036438.1,700
564,NP_001036440.1,70
565,NP_001036442.1,346
566,NP_001036444.1,781
567,NP_001036446.2,564
568,NP_001036448.1,378
569,NP_001036451.1,2077
570,NP_001036454.1,629
571,NP_001036460.1,717
572,NP_001036462.1,748
573,NP_001036466.2,116
574,NP_001036470.1,1034
575,NP_001036532.1,1542
576,NP_001036534.2,755
577,NP_001036537.1,180
578,NP_001036538.3,353
579,NP_001036539.1,353
580,NP_001036552.1,81
581,NP_001036553.1,379
582,NP_001036554.1,46
583,NP_001036555.1,733
584,NP_001036558.1,119
585,NP_001036564.1,77
586,NP_001036565.1,530
