Orthogroup	Aedes_aegypti	Megachile_rotundata
OG0000001	XP_021704701.1	XP_012136792.1, XP_012150537.1, XP_003707539.1, XP_012146067.1, XP_003704416.1, XP_012143065.1, XP_012143066.1, XP_003704415.1, XP_003704279.1, XP_012143067.1, XP_003704414.1, XP_012140371.1, XP_012140372.1, XP_003703231.1, XP_012143070.1, XP_012143071.1, XP_012143072.1, XP_003704281.1, XP_012143073.1, XP_003704278.1, XP_012143061.1, XP_003704412.1, XP_003703200.1, XP_003699913.1, XP_003701310.1, XP_003701343.1, XP_012136078.1, XP_012136077.1, XP_003701345.1, XP_012136079.1
OG0000002	XP_021711562.1	XP_003700910.2, XP_003700909.2, XP_003700936.1, XP_003700935.1, XP_003700845.1, XP_003700846.1, XP_003700844.1, XP_003700934.1, XP_003700932.1, XP_003700933.2, XP_003700913.1, XP_003700912.1, XP_012135096.1, XP_003700836.1, XP_003700837.1, XP_003700911.2, XP_003700914.1, XP_012135238.1, XP_012135239.1, XP_012135236.1, XP_003700918.2, XP_012135244.1, XP_012135242.1, XP_012135246.1, XP_003700930.1, XP_003700925.1, XP_003700923.1, XP_003700922.1, XP_012135243.1, XP_012135245.1, XP_003700843.1, XP_003700842.2, XP_012135240.1, XP_012135237.1, XP_012135097.1, XP_012135098.1
OG0000003	XP_021694215.1	XP_012152452.1
OG0000005	XP_021703263.1	XP_012141417.1
OG0000005	XP_021706484.1	XP_012147629.1, XP_012136356.1, XP_012148507.1
OG0000005	XP_021693623.1	XP_012151889.1, XP_012152114.1
OG0000006	XP_001651754.2, XP_001651756.3	XP_003707057.2, XP_012149242.1
OG0000008	XP_001648300.1	XP_003705710.1
OG0000008	XP_001648297.2	XP_003705708.1
OG0000008	XP_001661923.2	XP_012141335.1
OG0000008	XP_021710654.1	XP_003705713.2
OG0000008	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1	XP_003705711.1
OG0000008	XP_001648302.1	XP_003705712.1
OG0000008	XP_021710647.1	XP_003705707.1
OG0000009	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1	XP_012145773.1, XP_012145771.1, XP_012145774.1, XP_003703411.1, XP_003705489.1, XP_003705491.1
OG0000012	XP_001655419.1, XP_021709641.1	XP_003705464.1, XP_003705466.1
OG0000012	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1	XP_003705999.2, XP_012146828.1, XP_012146827.1
OG0000013	XP_001657279.1, XP_021705634.1, XP_021711156.1, XP_021711154.1, XP_001656985.1, XP_001656989.1, XP_021711158.1, XP_021711157.1, XP_021711153.1, XP_021701440.1	XP_003707914.1
OG0000013	XP_001657554.1, XP_001655332.2	XP_003708097.1
OG0000014	XP_021712022.1, XP_021712028.1	XP_003703733.1, XP_012153581.1, XP_012141730.1, XP_003707917.1
OG0000016	XP_021712581.1, XP_021694278.1, XP_021695205.1	XP_012147724.1, XP_012151016.1, XP_012141582.1, XP_012153435.1, XP_012148641.1, XP_012148353.1, XP_012150531.1, XP_012150588.1, XP_012152709.1, XP_012142648.1, XP_012146322.1, XP_012152965.1, XP_012147489.1, XP_012135752.1, XP_012146605.1, XP_012145822.1
OG0000017	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1	XP_012136742.1
OG0000017	XP_001658010.2	XP_012145418.1
OG0000017	XP_001658009.2, XP_021693938.1, XP_001658007.2	XP_012145417.1, XP_003705347.1, XP_012153570.1
OG0000018	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2	XP_003699290.1
OG0000018	XP_021706781.1	XP_012135493.1, XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1
OG0000019	XP_021694331.1, XP_021694068.1	XP_012138718.1, XP_012138710.1, XP_012138725.1
OG0000019	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1
OG0000020	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1	XP_012136049.1
OG0000020	XP_021703504.1	XP_012144181.1
OG0000020	XP_021700919.1, XP_001650147.2	XP_003701701.2
OG0000020	XP_021706790.1	XP_012136672.1
OG0000020	XP_021699908.1	XP_012137465.1
OG0000021	XP_001654997.1, XP_021710336.1, XP_021710335.1	XP_012152676.1, XP_003708291.1
OG0000021	XP_021699404.1	XP_012138701.1
OG0000021	XP_021713110.1, XP_001662165.1	XP_012135825.1
OG0000022	XP_001657157.1, XP_001657152.1, XP_001657149.1, XP_001662624.1	XP_012137783.1
OG0000023	XP_001657270.2	XP_003703728.2
OG0000024	XP_001653943.1, XP_021708435.1, XP_011492953.2, XP_011492954.2, XP_001659308.2, XP_011492952.2, XP_001661001.2, XP_001661002.2, XP_011493633.2, XP_021711830.1, XP_001660615.1, XP_001656527.2	XP_003700292.1
OG0000026	XP_021706420.1	XP_012144087.1
OG0000026	XP_021708568.1, XP_021708571.1	XP_012137100.1
OG0000026	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1	XP_012148280.1, XP_003706585.1
OG0000027	XP_001657155.1, XP_021705028.1, XP_001663888.1, XP_021706536.1, XP_021706547.1, XP_021706542.1	XP_012151723.1
OG0000027	XP_001656994.2	XP_003703732.1
OG0000027	XP_001657284.2	XP_012137782.1
OG0000029	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1	XP_003704047.1, XP_012142317.1
OG0000029	XP_001664018.2	XP_012154358.1
OG0000029	XP_021704637.1, XP_021704641.1, XP_021712735.1	XP_003704721.1
OG0000030	XP_001658050.1	XP_012151824.1
OG0000032	XP_021702783.1	XP_003700812.2
OG0000032	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1	XP_012153617.1, XP_012153679.1, XP_012153681.1, XP_003700221.1, XP_012153682.1, XP_003700222.2, XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1, XP_012148506.1
OG0000035	XP_001650274.2, XP_001662128.2	XP_003699462.1
OG0000036	XP_001655517.2, XP_021697914.1, XP_001655495.1, XP_021711882.1	XP_003700661.1
OG0000036	XP_021695536.1	XP_003708656.1, XP_003700660.1
OG0000037	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1	XP_012141146.1
