GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005515	protein binding	292	31	27.09	0.0082	0.0082	0.1312	0.1312
GO:0098772	molecular function regulator	105	17	9.74	0.0555	0.0555	0.444	0.444
GO:0016787	hydrolase activity	127	8	11.78	0.0966	0.0966	0.5152	0.5152
GO:0097367	carbohydrate derivative binding	101	7	9.37	0.1932	0.1932	0.7418	0.5934400000000001
GO:0097159	organic cyclic compound binding	188	20	17.44	0.2906	0.2378	0.7418	0.5934400000000001
GO:0046872	metal ion binding	100	10	9.28	0.3351	0.3351	0.7418	0.5934400000000001
GO:1901363	heterocyclic compound binding	184	20	17.07	0.3672	0.3120	0.7418	0.5934400000000001
GO:0003676	nucleic acid binding	111	12	10.3	0.3709	0.3709	0.7418	0.5934400000000001
GO:0043168	anion binding	103	8	9.56	0.6307	0.6307	1	0.7814153846153847
GO:0005488	binding	400	37	37.11	0.8934	0.2041	1	0.5934400000000001
GO:0016740	transferase activity	101	10	9.37	0.8968	0.8968	1	1
GO:0140096	catalytic activity, acting on a protein	129	9	11.97	0.9392	0.9392	1	1
GO:0003824	catalytic activity	256	20	23.75	0.9692	0.6243	1	0.7814153846153847
GO:0003674	molecular_function	485	45	45	1.0000	1.0000	1	1
GO:0043167	ion binding	190	17	17.63	1.0000	0.6349	1	0.7814153846153847
GO:0043169	cation binding	100	10	9.28	1.0000	0.3351	1	0.5934400000000001
