Orthogroup	Ceratina_calcarata	Eufriesea_mexicana
OG0000000	XP_017884602.1	XP_017763965.1, XP_017765119.1
OG0000001	XP_017891081.1	XP_017757759.1, XP_017757755.1, XP_017757765.1, XP_017757760.1
OG0000001	XP_017888667.1, XP_026673601.1	XP_017757738.1, XP_017757780.1
OG0000001	XP_017888037.1	XP_017757799.1, XP_017757796.1, XP_017757795.1, XP_017757798.1, XP_017757797.1
OG0000001	XP_026674593.1, XP_017891764.1, XP_017891756.1	XP_017757764.1, XP_017757740.1
OG0000002	XP_026667095.1, XP_017875389.1	XP_017757739.1
OG0000002	XP_017891277.1	XP_017759155.1
OG0000003	XP_026667471.1	XP_017765600.1
OG0000004	XP_017885481.2, XP_026673598.1, XP_026672990.1, XP_026673595.1, XP_026667535.1, XP_026668849.1, XP_026668673.1, XP_026671444.1	XP_017753410.1
OG0000004	XP_026671159.1	XP_017753436.1
OG0000004	XP_026671157.1, XP_026671137.1, XP_026671130.1	XP_017753407.1
OG0000004	XP_026671131.1, XP_017883644.1	XP_017753408.1, XP_017753432.1, XP_017753409.1
OG0000004	XP_026671140.1, XP_026671158.1, XP_026671138.1, XP_026671141.1, XP_017883640.2, XP_017883641.2, XP_026671143.1, XP_026671129.1, XP_026671149.1	XP_017753433.1, XP_017753435.1
OG0000005	XP_026673555.1, XP_026673556.1, XP_026673544.1, XP_026667346.1, XP_026667348.1, XP_026673541.1	XP_017754777.1
OG0000005	XP_026675078.1	XP_017754772.1
OG0000005	XP_017889271.2	XP_017754795.1, XP_017754776.1, XP_017754775.1, XP_017754778.1, XP_017754793.1
OG0000006	XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1, XP_026671801.1, XP_026671800.1, XP_017884545.1, XP_017884546.1, XP_026671795.1	XP_017760616.1
OG0000006	XP_017875197.1	XP_017764545.1, XP_017754146.1, XP_017764546.1
OG0000008	XP_017892322.1, XP_026675486.1, XP_017892323.1	XP_017765153.1
OG0000008	XP_017893662.1	XP_017754630.1
OG0000008	XP_017880123.1	XP_017759619.1, XP_017759620.1
OG0000009	XP_026671929.1, XP_017885114.1, XP_026671923.1, XP_026671924.1, XP_026671925.1, XP_026671926.1, XP_017885111.1, XP_017885112.1, XP_017885115.1, XP_026671928.1, XP_026671927.1, XP_017885113.1	XP_017760325.1, XP_017760326.1, XP_017760327.1
OG0000010	XP_026674182.1	XP_017758034.1
OG0000011	XP_026672740.1, XP_026672741.1, XP_026672742.1	XP_017762097.1
OG0000012	XP_017877808.2	XP_017756205.1, XP_017756206.1, XP_017756207.1, XP_017756208.1, XP_017756209.1, XP_017756212.1, XP_017756211.1, XP_017756210.1
OG0000013	XP_017884306.1	XP_017766957.1
OG0000014	XP_017887602.1, XP_017888171.1	XP_017754149.1
OG0000014	XP_017875198.1, XP_017887569.1	XP_017764550.1
OG0000016	XP_026671237.1	XP_017764768.1
OG0000017	XP_017892537.1, XP_017881017.1, XP_026673239.1	XP_017764548.1
OG0000017	XP_017888175.1	XP_017754148.1
OG0000017	XP_017887547.1	XP_017761097.1
OG0000018	XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1, XP_017877144.1	XP_017765545.1, XP_017765546.1, XP_017765543.1, XP_017765544.1, XP_017765541.1, XP_017765542.1, XP_017765540.1
OG0000019	XP_026668667.1, XP_026668668.1, XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_017878669.1	XP_017759439.1, XP_017759448.1
OG0000020	XP_026674945.1, XP_017881630.1, XP_017891472.2, XP_017879450.1, XP_026669011.1	XP_017766952.1, XP_017766939.1, XP_017766929.1, XP_017766928.1, XP_017766924.1, XP_017766923.1, XP_017766932.1
OG0000021	XP_017887382.1	XP_017759127.1
OG0000022	XP_026667393.1, XP_026667391.1, XP_026667392.1, XP_017876039.1, XP_026667394.1	XP_017752524.1, XP_017752525.1, XP_017752522.1, XP_017752521.1, XP_017752519.1, XP_017752523.1
OG0000023	XP_026671442.1	XP_017759221.1
OG0000023	XP_017884089.1	XP_017760971.1
OG0000025	XP_026674597.1, XP_026674600.1, XP_026674596.1, XP_017890658.1, XP_026674598.1	XP_017753605.1, XP_017753606.1, XP_017753607.1, XP_017753608.1, XP_017753604.1
OG0000026	XP_017882104.1, XP_017882103.1, XP_017882102.1, XP_026670298.1, XP_017882105.1	XP_017760518.1, XP_017760517.1, XP_017760519.1, XP_017760520.1, XP_017760522.1, XP_017760521.1, XP_017760524.1, XP_017760523.1
OG0000027	XP_026673236.1, XP_026673235.1, XP_017887874.1	XP_017753388.1
OG0000028	XP_026667338.1, XP_026667337.1, XP_017875902.1, XP_026667339.1, XP_017875900.1	XP_017754494.1, XP_017754495.1
OG0000029	XP_017885081.1, XP_017885084.1	XP_017760452.1, XP_017760451.1, XP_017760450.1, XP_017760449.1, XP_017760448.1
OG0000030	XP_026672362.1, XP_026668863.1	XP_017759130.1
OG0000030	XP_026668857.1	XP_017759129.1
OG0000031	XP_017888818.1, XP_017888829.1, XP_017888809.1, XP_017888800.1	XP_017764156.1, XP_017764173.1, XP_017756939.1, XP_017757028.1, XP_017757262.1, XP_017764182.1, XP_017764190.1, XP_017764164.1, XP_017757183.1, XP_017757105.1
OG0000032	XP_017879467.1, XP_026669096.1, XP_026669111.1, XP_017879474.1, XP_026669105.1	XP_017760292.1, XP_017760294.1, XP_017760295.1, XP_017760293.1, XP_017760298.1, XP_017760299.1, XP_017760296.1
OG0000033	XP_017893183.1, XP_017893184.1, XP_017893185.1	XP_017757082.1, XP_017757081.1, XP_017757084.1, XP_017757083.1
OG0000034	XP_017875842.1, XP_017875843.1, XP_026667285.1	XP_017755245.1
OG0000034	XP_026667896.1, XP_017877070.1, XP_017877071.1, XP_017877072.1	XP_017764859.1
OG0000035	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1	XP_017753788.1, XP_017753789.1
OG0000036	XP_017888470.1, XP_017888471.1, XP_017888469.1, XP_017888468.1, XP_017888467.1	XP_017753439.1, XP_017753440.1
OG0000037	XP_026673086.1, XP_026673087.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_017887763.1	XP_017764881.1
OG0000038	XP_026670731.1, XP_026670734.1, XP_026670732.1, XP_017882779.1, XP_017882777.1	XP_017759271.1, XP_017759272.1
OG0000038	XP_017879834.1, XP_026669182.1	XP_017755960.1, XP_017755959.1
OG0000039	XP_017880312.1, XP_017880311.1, XP_017880320.1, XP_017880319.1, XP_017880316.1, XP_017880314.1, XP_017880318.1, XP_017880317.1, XP_017880310.1	XP_017755128.1, XP_017755127.1, XP_017755129.1
OG0000040	XP_017877461.1	XP_017756955.1, XP_017756954.1, XP_017756957.1, XP_017756956.1, XP_017756953.1, XP_017756959.1, XP_017756958.1, XP_017756961.1
OG0000041	XP_017882798.1, XP_017881850.1	XP_017754682.1
OG0000041	XP_017880265.1, XP_017879099.1, XP_017885294.1, XP_017884160.1	XP_017756504.1
OG0000042	XP_017887190.1, XP_026672950.1, XP_017887196.1, XP_017887198.1, XP_017887192.1	XP_017756873.1, XP_017756878.1
OG0000043	XP_026667059.1	XP_017764300.1, XP_017764303.1, XP_017764301.1, XP_017764302.1, XP_017764299.1, XP_017764298.1
OG0000044	XP_017886339.1, XP_017886341.1, XP_017886340.1	XP_017762070.1
OG0000045	XP_017893334.1, XP_017881156.1	XP_017762444.1
OG0000046	XP_026668788.1, XP_026668778.1	XP_017759730.1, XP_017759712.1
OG0000047	XP_017892302.1	XP_017761001.1
OG0000047	XP_017887616.1, XP_017881012.1	XP_017764547.1
OG0000049	XP_026667851.1	XP_017761867.1
OG0000049	XP_017875573.2	XP_017761873.1
OG0000050	XP_017890818.1	XP_017764208.1, XP_017764210.1, XP_017764209.1
OG0000051	XP_017886873.1	XP_017755704.1
OG0000052	XP_026667172.1, XP_026667174.1, XP_026667177.1, XP_026667173.1, XP_026667176.1, XP_026667175.1	XP_017767765.1
OG0000053	XP_026670119.1, XP_017884091.1, XP_026673538.1, XP_026674938.1, XP_026669100.1, XP_017885362.1, XP_026675632.1, XP_026675047.1, XP_026673602.1, XP_026673855.1, XP_017889116.2, XP_026668993.1, XP_026672068.1, XP_026671363.1, XP_017885415.1, XP_017876325.2, XP_017889231.1, XP_017885815.1, XP_017885814.1, XP_026672067.1, XP_017891649.2, XP_026672436.1, XP_026672437.1, XP_026673854.1, XP_026671359.1, XP_017890614.1, XP_017888729.1	XP_017767300.1, XP_017767299.1
OG0000054	XP_017875567.1, XP_026667182.1, XP_026674457.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1	XP_017752159.1, XP_017752160.1, XP_017752157.1, XP_017752163.1, XP_017752162.1, XP_017752161.1, XP_017767778.1
OG0000055	XP_026672109.1, XP_026672110.1, XP_017885442.1, XP_017885441.1	XP_017755787.1, XP_017755788.1
