Orthogroup	Nomia_melanderi	Bombus_terrestris
OG0000000	XP_031847717.1	XP_012175323.1, XP_012175227.1, XP_012171987.1, XP_012174870.1, XP_012173834.1, XP_012174868.1
OG0000000	XP_031848866.1	XP_012174517.1, XP_020723248.1
OG0000001	XP_031826091.1, XP_031826099.1, XP_031826098.1, XP_031826097.1, XP_031826095.1, XP_031826093.1, XP_031826092.1, XP_031826094.1	XP_012170860.1, XP_003400131.1
OG0000002	XP_031843598.1, XP_031843599.1, XP_031836533.1, XP_031840851.1, XP_031840849.1, XP_031840848.1, XP_031825293.1, XP_031848748.1, XP_031844082.1, XP_031834591.1, XP_031844871.1	XP_012171355.1
OG0000006	XP_031829654.1	XP_003400772.1, XP_003400771.1
OG0000006	XP_031839362.1, XP_031839304.1	XP_003392969.1
OG0000007	XP_031838462.1, XP_031838489.1, XP_031838503.1, XP_031838476.1	XP_012167402.1, XP_020720438.1, XP_020719100.1, XP_020723333.1, XP_012173473.1, XP_012173466.1, XP_020720441.1, XP_003397834.1, XP_003403225.1, XP_020720439.1
OG0000008	XP_031836960.1, XP_031836959.1	XP_003396990.1
OG0000008	XP_031828119.1	XP_003394490.1
OG0000009	XP_031837140.1, XP_031837144.1, XP_031837147.1, XP_031837148.1, XP_031837149.1, XP_031837141.1, XP_031837143.1, XP_031837145.1, XP_031837139.1, XP_031837146.1	XP_012171450.1, XP_012171449.1, XP_012171451.1, XP_012171455.1, XP_012171452.1, XP_012171447.1, XP_012171454.1, XP_003400542.1
OG0000010	XP_031847372.1	XP_003401176.1
OG0000010	XP_031847521.1, XP_031847522.1, XP_031847371.1, XP_031847370.1	XP_020722486.1, XP_020722598.1, XP_003401178.1, XP_020722589.1, XP_003403234.2, XP_003403422.1, XP_003401115.1, XP_020722487.1, XP_003401116.2, XP_020722597.1, XP_003403027.1
OG0000011	XP_031841395.1, XP_031841408.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841403.1, XP_031841402.1, XP_031841400.1, XP_031841399.1, XP_031841409.1, XP_031841396.1, XP_031841397.1, XP_031841398.1	XP_012170379.1, XP_012170380.1, XP_020721435.1, XP_003399794.1, XP_020721436.1, XP_012170385.1, XP_012170387.1, XP_012170386.1
OG0000012	XP_031826024.1, XP_031826006.1, XP_031825979.1, XP_031825989.1, XP_031825998.1, XP_031826014.1	XP_012170544.1, XP_012170543.1, XP_012170542.1, XP_012170541.1, XP_012170540.1, XP_012170539.1, XP_020721690.1, XP_012170538.1
OG0000013	XP_031828440.1	XP_020723772.1, XP_012175517.1, XP_012175540.2
OG0000014	XP_031839376.1	XP_012166136.1
OG0000014	XP_031839490.1	XP_003392970.1, XP_003393115.1
OG0000015	XP_031827714.1, XP_031827713.1	XP_012171125.2, XP_012174398.2, XP_020721957.1
OG0000017	XP_031839375.1	XP_012175550.1
OG0000017	XP_031826007.1	XP_012165320.1
OG0000018	XP_031828712.1, XP_031828710.1, XP_031828711.1, XP_031828716.1, XP_031828715.1, XP_031828714.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828719.1, XP_031828720.1, XP_031828721.1, XP_031828713.1	XP_003398707.1, XP_003398706.1
OG0000019	XP_031838643.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838635.1, XP_031838641.1, XP_031838642.1	XP_012164839.1
OG0000020	XP_031849056.1, XP_031844739.1	XP_020720720.1, XP_003401565.2
OG0000021	XP_031836775.1	XP_020723728.1, XP_012171988.1, XP_020723723.1
OG0000021	XP_031848885.1, XP_031848883.1	XP_012175527.2
OG0000022	XP_031830368.1	XP_012173075.1, XP_012173068.1, XP_012173069.1, XP_012173070.1, XP_012173071.1, XP_012173067.1
OG0000023	XP_031836773.1	XP_003396672.1
OG0000023	XP_031848014.1	XP_012175515.1, XP_020722898.1
OG0000025	XP_031846352.1	XP_020723218.1, XP_003402194.1, XP_012173626.1, XP_020723220.1, XP_020723219.1, XP_012173627.1
OG0000026	XP_031830538.1, XP_031830540.1, XP_031830536.1, XP_031830537.1	XP_003398369.1, XP_012168085.1, XP_012168086.1, XP_012168083.1, XP_012168084.1
OG0000027	XP_031848648.1, XP_031848647.1	XP_003398638.1, XP_012168485.1, XP_012168486.1, XP_012168487.1, XP_012168488.1, XP_012168489.1, XP_012168490.1, XP_012168484.1
OG0000028	XP_031850487.1, XP_031850488.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1	XP_012174599.1, XP_012174600.1, XP_012174604.1, XP_012174601.1, XP_012174602.1, XP_003402871.1
OG0000029	XP_031829219.1	XP_012167211.1, XP_012167212.1, XP_012167209.1, XP_012167210.1, XP_003397633.1, XP_012167208.1
OG0000030	XP_031834455.1	XP_020718526.1, XP_020718527.1
OG0000030	XP_031849041.1, XP_031848852.1	XP_020718522.1, XP_020718528.1, XP_020718524.1, XP_020718520.1, XP_020718521.1, XP_020718529.1
OG0000031	XP_031827527.1	XP_020721716.1
OG0000032	XP_031841904.1, XP_031841905.1, XP_031841906.1	XP_012166697.1, XP_012166700.1, XP_003397323.1, XP_003397322.1, XP_003397324.1
OG0000033	XP_031837391.1, XP_031837392.1, XP_031837389.1, XP_031837388.1, XP_031837387.1, XP_031837386.1	XP_003400937.1, XP_020721993.1, XP_012171929.1, XP_012171930.1
OG0000034	XP_031846647.1	XP_012164119.1, XP_012164121.1, XP_012164120.1
OG0000035	XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1, XP_031842566.1, XP_031842564.1, XP_031842565.1, XP_031842567.1, XP_031842563.1, XP_031842562.1	XP_012172815.1, XP_012172814.1, XP_012172816.1, XP_012172817.1
OG0000036	XP_031841466.1, XP_031841465.1, XP_031841460.1, XP_031841461.1, XP_031841462.1, XP_031841463.1	XP_012169872.1, XP_012169873.1, XP_012169871.1, XP_003399621.1
OG0000037	XP_031828389.1, XP_031828386.1, XP_031828385.1, XP_031828380.1, XP_031828378.1, XP_031828387.1, XP_031828388.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828379.1, XP_031828382.1, XP_031828383.1, XP_031828384.1, XP_031828373.1	XP_003396400.1
OG0000038	XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827452.1, XP_031827413.1	XP_003399689.1, XP_012170206.1
OG0000038	XP_031831172.1, XP_031831171.1, XP_031831170.1	XP_012173498.1, XP_020723033.1
OG0000039	XP_031829822.1, XP_031829824.1, XP_031829823.1	XP_003399165.1, XP_003399166.1, XP_012169436.1, XP_012169438.1, XP_012169439.1, XP_012169441.1
OG0000040	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1	XP_012167037.1, XP_012167036.1, XP_012167034.1, XP_012167030.1, XP_012167031.1, XP_012167033.1
OG0000041	XP_031848783.1	XP_020723306.1
OG0000041	XP_031831007.1	XP_012173831.1, XP_012175491.1, XP_012171920.1, XP_012169517.1, XP_020723949.1, XP_020723189.1, XP_012171921.1
OG0000041	XP_031848981.1, XP_031848932.1	XP_012175480.1
