GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005887	integral component of plasma membrane	362	67	41.3	6.1e-07	6.1e-07	5.185e-5	1.0369999999999999e-5
GO:0098793	presynapse	209	41	23.85	2.7e-06	2.7e-06	1.1475e-4	3.278571428571428e-5
GO:0120025	plasma membrane bounded cell projection	579	88	66.06	7.2e-06	0.00174	2.0399999999999997e-4	0.007395
GO:0045177	apical part of cell	163	30	18.6	1.4e-05	1.4e-05	2.975e-4	1.0818181818181818e-4
GO:0030424	axon	210	45	23.96	3.8e-05	3.8e-05	6.460000000000001e-4	2.691666666666667e-4
GO:0005886	plasma membrane	1157	206	132	6.1e-05	1.8e-13	8.2875e-4	7.649999999999999e-12
GO:0098590	plasma membrane region	303	56	34.57	6.9e-05	6.9e-05	8.2875e-4	4.5115384615384614e-4
GO:0070161	anchoring junction	160	27	18.25	7.8e-05	7.8e-05	8.2875e-4	4.7357142857142856e-4
GO:0005938	cell cortex	189	40	21.56	0.00012	0.00012	0.0011333333333333334	6.375e-4
GO:0005700	polytene chromosome	185	33	21.11	0.00073	0.00073	0.006205	0.0036499999999999996
GO:0045202	synapse	380	75	43.35	0.00457	9.7e-06	0.035313636363636366	8.245e-5
GO:0036477	somatodendritic compartment	173	31	19.74	0.00543	0.00543	0.0384625	0.021978571428571427
GO:0005789	endoplasmic reticulum membrane	300	47	34.23	0.00623	0.00623	0.04073461538461538	0.023282608695652175
GO:0016021	integral component of membrane	1881	259	214.61	0.00957	8.7e-06	0.05810357142857143	8.216666666666667e-5
GO:0099081	supramolecular polymer	230	29	26.24	0.01221	0.45073	0.06919	0.9329858695652173
GO:0005615	extracellular space	306	57	34.91	0.01482	0.01482	0.07873125	0.0524875
GO:0005783	endoplasmic reticulum	410	61	46.78	0.01695	0.01695	0.08474999999999999	0.05763
GO:0099568	cytoplasmic region	162	30	18.48	0.02432	0.02432	0.11484444444444446	0.07950769230769231
GO:0005576	extracellular region	509	87	58.07	0.03220	0.00091	0.14405263157894738	0.004297222222222222
GO:0030054	cell junction	524	103	59.78	0.03412	1.9e-09	0.14501	5.383333333333333e-8
GO:0031410	cytoplasmic vesicle	415	45	47.35	0.05736	0.50491	0.22799318181818182	0.9329858695652173
GO:0005856	cytoskeleton	508	52	57.96	0.05901	0.45828	0.22799318181818182	0.9329858695652173
GO:0016020	membrane	2709	365	309.07	0.06341	8.5e-07	0.23434130434782607	1.2041666666666667e-5
GO:0043226	organelle	4411	456	503.26	0.07217	0.90250	0.250818	1
GO:0042995	cell projection	588	88	67.09	0.07377	0.00155	0.250818	0.006934210526315789
GO:0012505	endomembrane system	1073	132	122.42	0.08888	0.08369	0.29056923076923075	0.26346851851851855
GO:0031226	intrinsic component of plasma membrane	376	71	42.9	0.15373	2.8e-07	0.48396481481481485	5.950000000000001e-6
GO:0099512	supramolecular fiber	227	27	25.9	0.17771	0.48818	0.5324224137931034	0.9329858695652173
GO:1990904	ribonucleoprotein complex	530	36	60.47	0.18165	0.98393	0.5324224137931034	1
GO:0043232	intracellular non-membrane-bounded organelle	1503	151	171.48	0.23604	0.49133	0.651280303030303	0.9329858695652173
GO:0000785	chromatin	347	42	39.59	0.24088	0.17585	0.651280303030303	0.4982416666666667
GO:0098687	chromosomal region	159	17	18.14	0.25056	0.25056	0.651280303030303	0.6870193548387097
GO:0005634	nucleus	2275	243	259.56	0.25285	0.39288	0.651280303030303	0.9223394736842105
GO:0043005	neuron projection	385	65	43.93	0.27853	0.00011	0.696325	6.233333333333334e-4
GO:0005667	transcription regulator complex	158	17	18.03	0.31461	0.31461	0.7562638888888888	0.8103590909090909
GO:0019866	organelle inner membrane	205	8	23.39	0.32030	0.99911	0.7562638888888888	1
GO:0031982	vesicle	449	50	51.23	0.35207	0.44602	0.8088094594594595	0.9329858695652173
GO:0099080	supramolecular complex	325	42	37.08	0.36634	0.27440	0.8194447368421053	0.7288749999999999
GO:0000790	nuclear chromatin	241	25	27.5	0.39051	0.39051	0.8276232558139535	0.9223394736842105
GO:1990234	transferase complex	410	35	46.78	0.40485	0.40485	0.8276232558139535	0.9223394736842105
GO:0098796	membrane protein complex	442	53	50.43	0.40937	0.40937	0.8276232558139535	0.9223394736842105
GO:0000139	Golgi membrane	160	24	18.25	0.41234	0.41234	0.8276232558139535	0.9223394736842105
GO:0043229	intracellular organelle	4295	443	490.02	0.41868	0.93175	0.8276232558139535	1
GO:0005794	Golgi apparatus	349	42	39.82	0.44954	0.67249	0.8684295454545454	1
GO:0005730	nucleolus	203	8	23.16	0.53019	0.53019	0.9941563829787234	0.958854255319149
GO:0031967	organelle envelope	378	18	43.13	0.54845	0.99973	0.9941563829787234	1
GO:0005622	intracellular	5114	551	583.46	0.54971	0.96164	0.9941563829787234	1
GO:0031966	mitochondrial membrane	251	8	28.64	0.58080	0.99891	1	1
GO:0005654	nucleoplasm	555	64	63.32	0.61401	0.61401	1	1
GO:0070013	intracellular organelle lumen	1191	109	135.88	0.63587	0.89957	1	1
GO:0071944	cell periphery	1250	222	142.61	0.63694	3.3e-14	1	2.805e-12
GO:0005840	ribosome	174	6	19.85	0.67720	0.96974	1	1
GO:0031224	intrinsic component of membrane	1905	265	217.34	0.67920	6.6e-06	1	7.0125e-5
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	305	48	34.8	0.68010	0.00630	1	0.023282608695652175
GO:0099513	polymeric cytoskeletal fiber	163	19	18.6	0.75911	0.75911	1	1
GO:0005829	cytosol	910	102	103.82	0.76724	0.76724	1	1
GO:0031981	nuclear lumen	980	95	111.81	0.76831	0.61793	1	1
GO:0005768	endosome	230	16	26.24	0.82192	0.82192	1	1
GO:0043231	intracellular membrane-bounded organelle	3657	380	417.23	0.84507	0.84520	1	1
GO:0005681	spliceosomal complex	185	11	21.11	0.85587	0.85587	1	1
GO:0005815	microtubule organizing center	168	12	19.17	0.90255	0.90255	1	1
GO:0015630	microtubule cytoskeleton	324	30	36.97	0.90698	0.89016	1	1
GO:0098805	whole membrane	267	19	30.46	0.91851	0.91851	1	1
GO:0005759	mitochondrial matrix	166	9	18.94	0.92559	0.92559	1	1
GO:0098588	bounding membrane of organelle	404	42	46.09	0.93314	0.95306	1	1
GO:0005739	mitochondrion	674	42	76.9	0.93895	0.99583	1	1
GO:0005737	cytoplasm	3646	401	415.98	0.94855	0.93548	1	1
GO:1902494	catalytic complex	834	66	95.15	0.96426	0.95724	1	1
GO:0031090	organelle membrane	898	86	102.45	0.96793	0.98047	1	1
GO:0044391	ribosomal subunit	164	4	18.71	0.97149	0.97149	1	1
