Orthogroup	Drosophila_melanogaster	Aedes_aegypti
OG0000001	NP_001285631.1, NP_001286199.1, NP_610390.1, NP_001286431.1, NP_001286149.1, NP_001286435.1, NP_001287562.1, NP_523749.2, NP_523628.1, NP_611003.2, NP_523748.2, NP_001286433.1, NP_611000.2, NP_611002.3, NP_611001.2	XP_001649932.1, XP_021693513.1, XP_021693512.1, XP_011493176.1, XP_021703140.1, XP_021702543.1, XP_021702544.1, XP_001653676.1, XP_001653678.1, XP_001653677.1, XP_001653674.1, XP_001653673.1, XP_001653672.1, XP_021703143.1, XP_001653671.1, XP_021703139.1, XP_021703138.1, XP_011492959.1, XP_001653683.1, XP_001653686.1, XP_021703137.1, XP_021703135.1, XP_001653682.1, XP_001653687.3, XP_001653675.1
OG0000001	NP_611698.1, NP_609891.1, NP_650327.1	XP_001649311.2, XP_001649312.1, XP_021710387.1, XP_001653509.1, XP_001653903.2
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	XP_021704701.1
OG0000006	NP_524078.2, NP_524455.1, NP_524456.1	XP_021709039.1, XP_021709040.1
OG0000006	NP_523647.2, NP_523721.1	XP_001651754.2, XP_001651756.3
OG0000007	NP_648146.1	XP_021709737.1, XP_021708700.1, XP_021712884.1, XP_021707298.1, XP_021708190.1, XP_021699796.1, XP_021700128.1, XP_021701239.1, XP_021708882.1
OG0000008	NP_572981.1	XP_001648300.1
OG0000008	NP_572985.1	XP_001648297.2
OG0000008	NP_651466.1	XP_001661923.2
OG0000008	NP_572978.1, NP_572977.1	XP_021710654.1
OG0000008	NP_001285251.1	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1
OG0000008	NP_001285249.1	XP_001648302.1
OG0000008	NP_572987.1	XP_021710647.1
OG0000012	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1, NP_611479.2, NP_001027441.1, NP_001097340.1	XP_001655419.1, XP_021709641.1
OG0000012	NP_722915.1, NP_001285772.1	XP_001658080.2, XP_001663002.1, XP_001652943.1, XP_001663900.2, XP_001658491.2, XP_001663898.2, XP_021707969.1, XP_001663895.2, XP_001660673.2, XP_001660676.2, XP_021703076.1, XP_001657786.1, XP_001650145.1, XP_021712427.1, XP_021707394.1
OG0000012	NP_001036717.1	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1
OG0000013	NP_001027338.1	XP_021711158.1, XP_021711157.1
OG0000013	NP_001027353.1, NP_001027358.1, NP_001027348.1, NP_001027343.1, NP_001027289.1, NP_001027285.1, NP_001027333.1	XP_021707704.1
OG0000013	NP_001259374.1	XP_001657554.1, XP_001655332.2
