GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0003700	DNA-binding transcription factor activity	165	33	31.71	0.00084	0.20509	0.09102	0.4004138095238095
GO:0005515	protein binding	1377	293	264.66	0.00148	4.8e-07	0.09102	5.904e-5
GO:0004674	protein serine/threonine kinase activity	94	25	18.07	0.00331	0.00331	0.107625	0.035875000000000004
GO:0005543	phospholipid binding	71	17	13.65	0.00350	0.00350	0.107625	0.035875000000000004
GO:0003779	actin binding	87	28	16.72	0.00762	0.00762	0.187452	0.07209692307692307
GO:0003729	mRNA binding	104	16	19.99	0.01278	0.01278	0.26199	0.10479599999999999
GO:0019901	protein kinase binding	58	15	11.15	0.01951	0.01951	0.3428185714285715	0.149983125
GO:0008017	microtubule binding	64	17	12.3	0.03000	0.03000	0.394092	0.17913272727272728
GO:0017016	Ras GTPase binding	92	19	17.68	0.03118	0.03118	0.394092	0.17913272727272728
GO:0003712	transcription coregulator activity	80	15	15.38	0.03204	0.03204	0.394092	0.17913272727272728
GO:0042803	protein homodimerization activity	56	14	10.76	0.03744	0.03744	0.4124284615384615	0.19188
GO:0046872	metal ion binding	552	113	106.1	0.04327	0.07362	0.4124284615384615	0.282976875
GO:0060090	molecular adaptor activity	65	18	12.49	0.04359	0.04359	0.4124284615384615	0.20621423076923076
GO:0005085	guanyl-nucleotide exchange factor activity	52	8	9.99	0.04850	0.04850	0.4261071428571429	0.21555750000000004
GO:0000976	transcription regulatory region sequence-specific DNA binding	127	27	24.41	0.05905	0.12186	0.4842099999999999	0.3295865217391304
GO:0008509	anion transmembrane transporter activity	86	16	16.53	0.07199	0.28401	0.553423125	0.5137239705882353
GO:0008134	transcription factor binding	86	19	16.53	0.07822	0.07822	0.5659447058823529	0.2915472727272727
GO:0140096	catalytic activity, acting on a protein	442	84	84.95	0.08667	0.12140	0.5681985	0.3295865217391304
GO:0016773	phosphotransferase activity, alcohol group as acceptor	147	39	28.25	0.09179	0.00077	0.5681985	0.018942
GO:0005261	cation channel activity	66	18	12.69	0.09239	0.09239	0.5681985	0.3156658333333333
GO:0022836	gated channel activity	60	15	11.53	0.10431	0.10431	0.5918759999999998	0.3295865217391304
GO:0016772	transferase activity, transferring phosphorus-containing groups	204	48	39.21	0.11021	0.00057	0.5918759999999998	0.017527499999999998
GO:0005102	signaling receptor binding	102	25	19.6	0.11537	0.11537	0.5918759999999998	0.3295865217391304
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups	66	15	12.69	0.12127	0.12127	0.5918759999999998	0.3295865217391304
GO:0042578	phosphoric ester hydrolase activity	78	13	14.99	0.12459	0.53934	0.5918759999999998	0.7210741304347826
GO:0016740	transferase activity	510	110	98.02	0.13207	7.9e-05	0.5918759999999998	0.0048585
GO:0060589	nucleoside-triphosphatase regulator activity	57	10	10.96	0.13439	0.33359	0.5918759999999998	0.5598632
GO:0046873	metal ion transmembrane transporter activity	85	20	16.34	0.13936	0.13936	0.5918759999999998	0.35452052631578945
GO:0019899	enzyme binding	255	52	49.01	0.13984	0.00045	0.5918759999999998	0.017527499999999998
GO:0061630	ubiquitin protein ligase activity	70	16	13.45	0.14436	0.14436	0.5918759999999998	0.35452052631578945
GO:0003682	chromatin binding	89	14	17.11	0.16021	0.16021	0.6135649999999999	0.35452052631578945
GO:0016874	ligase activity	58	17	11.15	0.16858	0.16858	0.6135649999999999	0.3575058620689655
GO:0016301	kinase activity	175	46	33.64	0.16980	0.00252	0.6135649999999999	0.035875000000000004
GO:0043168	anion binding	497	105	95.52	0.17515	0.34705	0.6135649999999999	0.5616730263157895
GO:0008092	cytoskeletal protein binding	183	53	35.17	0.17798	0.00279	0.6135649999999999	0.035875000000000004
GO:0022804	active transmembrane transporter activity	85	16	16.34	0.17958	0.17958	0.6135649999999999	0.36210393442622946
GO:0019787	ubiquitin-like protein transferase activity	96	22	18.45	0.18553	0.04002	0.6167618918918919	0.1968984
GO:0008270	zinc ion binding	144	29	27.68	0.19267	0.19267	0.6236423684210527	0.3822324193548387
GO:0036094	small molecule binding	445	88	85.53	0.20213	0.71914	0.6374869230769231	0.8572530555555555
GO:0140110	transcription regulator activity	235	46	45.17	0.21107	0.03134	0.6490402500000001	0.17913272727272728
GO:0004842	ubiquitin-protein transferase activity	92	21	17.68	0.22293	0.04907	0.66879	0.21555750000000004
GO:0015077	monovalent inorganic cation transmembrane transporter activity	68	18	13.07	0.23988	0.23988	0.7025057142857143	0.45392676923076924
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	68	13	13.07	0.25061	0.25061	0.7168611627906977	0.46704590909090904
GO:0022857	transmembrane transporter activity	237	54	45.55	0.30224	0.15965	0.8448981818181819	0.35452052631578945
GO:0005509	calcium ion binding	80	21	15.38	0.30962	0.30962	0.8462946666666668	0.5519313043478261
GO:0005524	ATP binding	304	65	58.43	0.34100	0.34100	0.911804347826087	0.5598632
GO:0016787	hydrolase activity	528	90	101.48	0.35261	0.97435	0.9227878723404255	1
GO:0043169	cation binding	559	116	107.44	0.40350	0.06387	1	0.25341967741935484
GO:0003676	nucleic acid binding	533	88	102.44	0.40904	0.15584	1	0.35452052631578945
GO:0003924	GTPase activity	56	12	10.76	0.42165	0.42165	1	0.6541908750000001
GO:0044877	protein-containing complex binding	112	23	21.53	0.42549	0.42549	1	0.6541908750000001
GO:0032559	adenyl ribonucleotide binding	310	67	59.58	0.43543	0.32716	1	0.5588983333333333
GO:0005096	GTPase activator activity	53	9	10.19	0.46745	0.46745	1	0.6764276470588235
GO:0008289	lipid binding	95	22	18.26	0.47387	0.00334	1	0.035875000000000004
GO:0031267	small GTPase binding	94	20	18.07	0.48738	0.02398	1	0.17329333333333333
GO:0016746	transferase activity, transferring acyl groups	74	17	14.22	0.49250	0.13541	1	0.3543708510638298
GO:0019900	kinase binding	65	16	12.49	0.49327	0.02536	1	0.17329333333333333
GO:0046983	protein dimerization activity	109	27	20.95	0.50755	0.10020	1	0.3295865217391304
GO:0030234	enzyme regulator activity	126	16	24.22	0.52268	0.78433	1	0.8850696330275228
GO:0005216	ion channel activity	84	20	16.14	0.52382	0.16248	1	0.35452052631578945
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	115	21	22.1	0.52822	0.52822	1	0.7139676923076924
GO:0042802	identical protein binding	85	18	16.34	0.53414	0.05617	1	0.23431499999999997
GO:0032553	ribonucleotide binding	380	81	73.04	0.55085	0.45939	1	0.6764276470588235
GO:0004888	transmembrane signaling receptor activity	79	17	15.18	0.57382	0.57382	1	0.7508495744680851
GO:0003723	RNA binding	220	28	42.28	0.57479	0.03731	1	0.19188
GO:0005215	transporter activity	258	60	49.59	0.57490	0.12142	1	0.3295865217391304
GO:0015318	inorganic molecular entity transmembrane transporter activity	161	39	30.94	0.59286	0.11247	1	0.3295865217391304
GO:0004672	protein kinase activity	119	30	22.87	0.59295	0.00258	1	0.035875000000000004
GO:0003690	double-stranded DNA binding	146	29	28.06	0.60345	0.26617	1	0.48864044776119403
GO:0043565	sequence-specific DNA binding	170	36	32.67	0.60729	0.16385	1	0.35452052631578945
GO:0008324	cation transmembrane transporter activity	120	30	23.06	0.61244	0.12326	1	0.3295865217391304
GO:0016791	phosphatase activity	63	8	12.11	0.63862	0.63862	1	0.8015332653061223
GO:0005198	structural molecule activity	89	17	17.11	0.64642	0.64642	1	0.8031278787878788
GO:0061659	ubiquitin-like protein ligase activity	72	16	13.84	0.64682	0.16429	1	0.35452052631578945
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	100	19	19.22	0.64724	0.31781	1	0.5584375714285714
GO:0005488	binding	2124	422	408.24	0.66685	0.00343	1	0.035875000000000004
GO:1990837	sequence-specific double-stranded DNA binding	135	28	25.95	0.67461	0.22561	1	0.43359421875
GO:0038023	signaling receptor activity	102	21	19.6	0.69991	0.52442	1	0.7139676923076924
GO:0097367	carbohydrate derivative binding	409	84	78.61	0.73513	0.60724	1	0.7829267010309279
GO:0005525	GTP binding	69	15	13.26	0.75241	0.75241	1	0.8572530555555555
GO:0016757	transferase activity, transferring glycosyl groups	50	10	9.61	0.75271	0.75271	1	0.8572530555555555
GO:0000987	cis-regulatory region sequence-specific DNA binding	74	15	14.22	0.75921	0.34138	1	0.5598632
GO:1901363	heterocyclic compound binding	923	167	177.4	0.78580	0.42503	1	0.6541908750000001
