GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0019899	enzyme binding	252	46	41.02	0.00028	0.00028	0.01104	0.004293333333333333
GO:0005515	protein binding	1356	247	220.73	0.00048	1.1e-06	0.01104	5.0600000000000003e-5
GO:0008092	cytoskeletal protein binding	181	40	29.46	0.00123	0.00123	0.018860000000000002	0.014145
GO:0043168	anion binding	474	80	77.16	0.00981	0.02061	0.090528	0.099866
GO:0016301	kinase activity	168	44	27.35	0.00984	0.00984	0.090528	0.06466285714285713
GO:0003723	RNA binding	206	32	33.53	0.02171	0.02171	0.16113142857142856	0.099866
GO:0140110	transcription regulator activity	236	54	38.42	0.02452	0.01696	0.16113142857142856	0.09752
GO:0140096	catalytic activity, acting on a protein	432	74	70.32	0.03525	0.03525	0.2026875	0.14740909090909088
GO:0003700	DNA-binding transcription factor activity	167	40	27.18	0.06840	0.06840	0.34959999999999997	0.24203076923076924
GO:0015318	inorganic molecular entity transmembrane transporter activity	155	36	25.23	0.08144	0.08144	0.37462399999999996	0.2675885714285714
GO:0005488	binding	2071	361	337.12	0.12760	1.4e-05	0.5336	3.22e-4
GO:0015075	ion transmembrane transporter activity	173	37	28.16	0.16314	0.16314	0.5848369230769231	0.40584105263157894
GO:0016772	transferase activity, transferring phosphorus-containing groups	194	49	31.58	0.16528	0.00242	0.5848369230769231	0.022263999999999996
GO:0043565	sequence-specific DNA binding	173	36	28.16	0.18137	0.18137	0.5883670588235295	0.4079104761904762
GO:0046872	metal ion binding	544	93	88.55	0.19368	0.14334	0.5883670588235295	0.38786117647058826
GO:0003690	double-stranded DNA binding	150	33	24.42	0.20613	0.20613	0.5883670588235295	0.4309990909090909
GO:0016740	transferase activity	495	85	80.58	0.21744	0.00389	0.5883670588235295	0.029823333333333334
GO:0032553	ribonucleotide binding	355	64	57.79	0.23306	0.25786	0.5955977777777777	0.4564832258064516
GO:0000166	nucleotide binding	387	65	63	0.26209	0.38973	0.6345336842105262	0.4979883333333333
GO:0005524	ATP binding	290	54	47.21	0.29310	0.29310	0.67413	0.4564832258064516
GO:0036094	small molecule binding	419	72	68.21	0.41865	0.33973	0.9043953846153845	0.4735630303030303
GO:0022857	transmembrane transporter activity	232	47	37.77	0.45256	0.32593	0.9043953846153845	0.468524375
GO:0043169	cation binding	550	94	89.53	0.47268	0.13433	0.9043953846153845	0.38619875000000004
GO:0003677	DNA binding	299	56	48.67	0.47883	0.11608	0.9043953846153845	0.3559786666666667
GO:0032555	purine ribonucleotide binding	351	64	57.14	0.50846	0.30654	0.9043953846153845	0.4564832258064516
GO:0035639	purine ribonucleoside triphosphate binding	345	63	56.16	0.51118	0.35949	0.9043953846153845	0.48636882352941174
GO:0098772	molecular function regulator	435	79	70.81	0.57745	0.26754	0.937844827586207	0.4564832258064516
GO:0017111	nucleoside-triphosphatase activity	160	20	26.05	0.58443	0.58443	0.937844827586207	0.6557019512195122
GO:0032559	adenyl ribonucleotide binding	296	55	48.18	0.59125	0.24403	0.937844827586207	0.4564832258064516
GO:0005215	transporter activity	253	50	41.18	0.63138	0.41139	0.9681160000000002	0.5114578378378378
GO:0046914	transition metal ion binding	182	26	29.63	0.67874	0.67874	1	0.7433819047619048
GO:0016788	hydrolase activity, acting on ester bonds	172	28	28	0.82794	0.82794	1	0.8857032558139534
GO:0016462	pyrophosphatase activity	163	20	26.53	0.87756	0.56176	1	0.646024
GO:0097367	carbohydrate derivative binding	383	68	62.35	0.91966	0.27295	1	0.4564832258064516
GO:0097159	organic cyclic compound binding	890	156	144.88	0.92398	0.16763	1	0.40584105263157894
GO:1901363	heterocyclic compound binding	884	155	143.9	0.92653	0.18622	1	0.4079104761904762
GO:0016787	hydrolase activity	512	76	83.34	0.93034	0.97400	1	0.9956444444444443
GO:0003824	catalytic activity	1181	181	192.25	0.94552	0.89991	1	0.940815
GO:0003676	nucleic acid binding	516	89	84	0.98656	0.30763	1	0.4564832258064516
GO:1901265	nucleoside phosphate binding	387	65	63	1.00000	0.38973	1	0.4979883333333333
GO:0003674	molecular_function	2832	461	461	1.00000	1.00000	1	1
GO:0030554	adenyl nucleotide binding	296	55	48.18	1.00000	0.24403	1	0.4564832258064516
GO:0017076	purine nucleotide binding	351	64	57.14	1.00000	0.30654	1	0.4564832258064516
GO:0016817	hydrolase activity, acting on acid anhydrides	163	20	26.53	1.00000	0.56176	1	0.646024
GO:0043167	ion binding	914	156	148.78	1.00000	0.05288	1	0.20270666666666667
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	163	20	26.53	1.00000	0.56176	1	0.646024
