GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005509	calcium ion binding	14	4	1.41	0.00071	0.00071	0.0497	0.0497
GO:0098772	molecular function regulator	59	10	5.93	0.03080	0.01475	1	0.5051941176470588
GO:0005515	protein binding	119	19	11.97	0.05893	0.03834	1	0.5051941176470588
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	14	1	1.41	0.07476	0.07476	1	0.5051941176470588
GO:0004888	transmembrane signaling receptor activity	12	3	1.21	0.10295	0.10295	1	0.5051941176470588
GO:0004601	peroxidase activity	10	4	1.01	0.13581	0.13581	1	0.5051941176470588
GO:0005525	GTP binding	11	0	1.11	0.14889	0.14889	1	0.5051941176470588
GO:0140110	transcription regulator activity	40	6	4.02	0.16108	0.14853	1	0.5051941176470588
GO:0016787	hydrolase activity	83	3	8.35	0.16930	0.69934	1	0.8025213114754097
GO:0004713	protein tyrosine kinase activity	10	3	1.01	0.21577	0.21577	1	0.5051941176470588
GO:0020037	heme binding	12	4	1.21	0.22572	0.22572	1	0.5051941176470588
GO:0003924	GTPase activity	10	0	1.01	0.24265	0.24265	1	0.5051941176470588
GO:0016772	transferase activity, transferring phosphorus-containing groups	32	4	3.22	0.27862	0.42375	1	0.5586388888888889
GO:0008270	zinc ion binding	18	1	1.81	0.28982	0.28982	1	0.5182275000000001
GO:0005524	ATP binding	47	4	4.73	0.34098	0.34098	1	0.5304133333333334
GO:0016462	pyrophosphatase activity	27	0	2.72	0.34897	0.24538	1	0.5051941176470588
GO:0043565	sequence-specific DNA binding	15	2	1.51	0.36859	0.36859	1	0.548963829787234
GO:0003676	nucleic acid binding	67	5	6.74	0.41771	0.35157	1	0.5349978260869566
GO:0004386	helicase activity	12	0	1.21	0.43095	0.43095	1	0.5586388888888889
GO:0097367	carbohydrate derivative binding	63	4	6.34	0.47786	0.22367	1	0.5051941176470588
GO:0003700	DNA-binding transcription factor activity	35	4	3.52	0.48228	0.26353	1	0.5142540540540541
GO:0016887	ATPase activity	15	0	1.51	0.51446	0.40951	1	0.5586388888888889
GO:0003723	RNA binding	11	0	1.11	0.52377	0.52377	1	0.6547124999999999
GO:0043168	anion binding	63	5	6.34	0.53885	0.22367	1	0.5051941176470588
GO:0046983	protein dimerization activity	11	1	1.11	0.60578	0.60578	1	0.743940350877193
GO:0032559	adenyl ribonucleotide binding	48	4	4.83	0.61175	0.29613	1	0.5182275000000001
GO:0036094	small molecule binding	64	4	6.44	0.63910	0.17954	1	0.5051941176470588
GO:0003677	DNA binding	40	3	4.02	0.67243	0.64131	1	0.7608762711864407
GO:0032561	guanyl ribonucleotide binding	12	0	1.21	0.69594	0.27182	1	0.5142540540540541
GO:0016788	hydrolase activity, acting on ester bonds	10	2	1.01	0.69848	0.69848	1	0.8025213114754097
GO:0004672	protein kinase activity	30	4	3.02	0.70355	0.39644	1	0.5586388888888889
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	14	4	1.41	0.75570	0.32203	1	0.5304133333333334
GO:0000166	nucleotide binding	62	4	6.24	0.78020	0.16833	1	0.5051941176470588
GO:0017111	nucleoside-triphosphatase activity	26	0	2.62	0.78051	0.33647	1	0.5304133333333334
GO:0097159	organic cyclic compound binding	128	13	12.88	0.82151	0.32941	1	0.5304133333333334
GO:1901363	heterocyclic compound binding	128	13	12.88	0.82151	0.32941	1	0.5304133333333334
GO:0004252	serine-type endopeptidase activity	18	1	1.81	0.89294	0.89294	1	0.9766531249999999
GO:0005488	binding	249	29	25.05	0.90614	0.18572	1	0.5051941176470588
GO:0046914	transition metal ion binding	20	1	2.01	0.90994	0.40921	1	0.5586388888888889
GO:0003824	catalytic activity	171	13	17.2	0.95119	0.99424	1	1
GO:0016491	oxidoreductase activity	21	4	2.11	0.95198	0.62917	1	0.7593431034482758
GO:0046872	metal ion binding	38	5	3.82	0.96552	0.13671	1	0.5051941176470588
GO:0016301	kinase activity	31	4	3.12	0.97988	0.51838	1	0.6547124999999999
GO:0008233	peptidase activity	35	1	3.52	0.98800	0.97879	1	1
GO:0004175	endopeptidase activity	28	1	2.82	0.99277	0.94353	1	1
GO:0016209	antioxidant activity	16	4	1.61	0.99545	0.41757	1	0.5586388888888889
GO:0016740	transferase activity	57	6	5.73	0.99777	0.95476	1	1
GO:0140096	catalytic activity, acting on a protein	82	6	8.25	0.99957	1.00000	1	1
GO:0019001	guanyl nucleotide binding	12	0	1.21	1.00000	0.27182	1	0.5142540540540541
GO:0046906	tetrapyrrole binding	12	4	1.21	1.00000	0.22572	1	0.5051941176470588
GO:0032550	purine ribonucleoside binding	11	0	1.11	1.00000	0.14889	1	0.5051941176470588
GO:1901265	nucleoside phosphate binding	62	4	6.24	1.00000	0.16833	1	0.5051941176470588
GO:0035639	purine ribonucleoside triphosphate binding	58	4	5.83	1.00000	0.13007	1	0.5051941176470588
GO:0032553	ribonucleotide binding	60	4	6.04	1.00000	0.15714	1	0.5051941176470588
GO:0032555	purine ribonucleotide binding	60	4	6.04	1.00000	0.15714	1	0.5051941176470588
GO:0017076	purine nucleotide binding	60	4	6.04	1.00000	0.15714	1	0.5051941176470588
GO:0030554	adenyl nucleotide binding	48	4	4.83	1.00000	0.29613	1	0.5182275000000001
GO:0008236	serine-type peptidase activity	18	1	1.81	1.00000	0.89294	1	0.9766531249999999
GO:0060089	molecular transducer activity	12	3	1.21	1.00000	0.10295	1	0.5051941176470588
GO:0043167	ion binding	99	10	9.96	1.00000	0.10596	1	0.5051941176470588
GO:0043169	cation binding	38	5	3.82	1.00000	0.13671	1	0.5051941176470588
GO:0017171	serine hydrolase activity	18	1	1.81	1.00000	0.89294	1	0.9766531249999999
GO:0032549	ribonucleoside binding	11	0	1.11	1.00000	0.14889	1	0.5051941176470588
GO:0016773	phosphotransferase activity, alcohol group as acceptor	30	4	3.02	1.00000	0.39644	1	0.5586388888888889
GO:0001882	nucleoside binding	11	0	1.11	1.00000	0.14889	1	0.5051941176470588
GO:0003674	molecular_function	338	34	34	1.00000	1.00000	1	1
GO:0038023	signaling receptor activity	12	3	1.21	1.00000	0.10295	1	0.5051941176470588
GO:0001883	purine nucleoside binding	11	0	1.11	1.00000	0.14889	1	0.5051941176470588
GO:0016817	hydrolase activity, acting on acid anhydrides	27	0	2.72	1.00000	0.24538	1	0.5051941176470588
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	27	0	2.72	1.00000	0.24538	1	0.5051941176470588
