Orthogroup	Habropoda_laboriosa	Tribolium_castaneum
OG0000001	XP_017795702.1	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1
OG0000001	XP_017791778.1	XP_969875.1
OG0000001	XP_017791425.1	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1
OG0000002	XP_017795928.1, XP_017795926.1, XP_017795970.1, XP_017795940.1, XP_017795948.1, XP_017795929.1, XP_017795932.1, XP_017795931.1, XP_017795930.1, XP_017795934.1, XP_017797103.1, XP_017797055.1, XP_017797089.1, XP_017795969.1, XP_017795975.1, XP_017797057.1, XP_017795939.1, XP_017795938.1, XP_017795937.1, XP_017795933.1	XP_015839871.1
OG0000003	XP_017795844.1	XP_008199212.2, XP_015839387.1, XP_015834410.1, XP_001810078.1, XP_015834307.1, XP_015836638.1, XP_015833287.1
OG0000004	XP_017791302.1, XP_017795072.1, XP_017795982.1, XP_017795846.1, XP_017795920.1, XP_017792764.1, XP_017790882.1	XP_015834342.1
OG0000008	XP_017797987.1	XP_972338.1
OG0000008	XP_017793615.1	XP_969421.1
OG0000008	XP_017797940.1	XP_008191987.1, XP_972532.1
OG0000008	XP_017797975.1	XP_972430.2
OG0000008	XP_017797962.1	XP_015836551.1, XP_015836552.1
OG0000008	XP_017798022.1	XP_008191970.1
OG0000009	XP_017789192.1, XP_017794730.1, XP_017794617.1, XP_017794731.1, XP_017794737.1	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2
OG0000012	XP_017797590.1	XP_967167.2, XP_967253.1, NP_001164207.1, XP_015839971.1
OG0000012	XP_017796583.1, XP_017796672.1	XP_008192552.1
OG0000013	XP_017799299.1	XP_969677.1
OG0000013	XP_017795688.1	XP_966487.1
OG0000013	XP_017797795.1, XP_017797793.1	XP_008197392.1
OG0000014	XP_017799148.1, XP_017799145.1	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1
OG0000017	XP_017788278.1	XP_967395.1, XP_971136.1, XP_966872.2, XP_008200938.1, XP_966966.2, XP_967147.1, XP_971203.1, XP_966787.1, XP_015838196.1, XP_008201195.2, XP_015838248.1, XP_008190708.1, XP_015838206.1, XP_971509.1, XP_008200937.1
OG0000017	XP_017795363.1, XP_017795361.1	XP_015834775.1, XP_974273.1
OG0000018	XP_017793008.1	XP_008200429.1
OG0000018	XP_017797482.1	XP_008193119.1, XP_968748.1, XP_015835557.1, XP_973693.2, XP_015838295.1, XP_015838053.1, XP_969711.1, XP_008194698.1, XP_973658.2, XP_008193214.1, XP_008193215.1, XP_015835529.1, XP_008193213.1, XP_008193216.1, XP_972534.1
OG0000018	XP_017793490.1	XP_008194092.1, XP_969781.1
OG0000018	XP_017796703.1	XP_969849.1, XP_008194093.1, XP_008193834.1
OG0000019	XP_017790272.1	XP_975378.1
OG0000019	XP_017787413.1	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1
OG0000019	XP_017788514.1	XP_972874.1, XP_015834337.1, XP_008192577.2
OG0000020	XP_017790081.1	XP_008201408.1
OG0000020	XP_017792589.1	XP_008201409.2
OG0000020	XP_017793275.1	XP_969457.2
OG0000021	XP_017798657.1	XP_015838406.1, XP_015838407.1, XP_008197201.1
OG0000021	XP_017790331.1	XP_015838169.1
OG0000021	XP_017790276.1	XP_008197404.1
OG0000021	XP_017787416.1, XP_017790325.1	XP_008197199.1
OG0000021	XP_017798692.1	XP_008197203.1, XP_969207.1
OG0000022	XP_017798138.1	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1
OG0000026	XP_017799538.1	XP_015833705.1
OG0000026	XP_017790381.1	XP_008193329.1
OG0000026	XP_017797652.1	XP_969357.3
OG0000026	XP_017792231.1	XP_966472.1
OG0000026	XP_017795812.1, XP_017789050.1	XP_015840897.1
OG0000027	XP_017795687.1	XP_008199927.1
OG0000028	XP_017796995.1, XP_017796351.1	XP_015836641.1
OG0000029	XP_017792656.1, XP_017792675.1	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1
OG0000029	XP_017798436.1, XP_017792700.1	XP_015840495.1, XP_008201389.1, XP_008201390.1
OG0000030	XP_017799391.1, XP_017799392.1	XP_966905.1
OG0000030	XP_017791372.1	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2
OG0000031	XP_017795847.1	XP_008192426.1, XP_015840131.1, XP_015837232.1, XP_008192457.2
OG0000032	XP_017791965.1	XP_001807564.1
OG0000032	XP_017797625.1	XP_008200043.1
OG0000032	XP_017793574.1, XP_017790226.1	XP_969958.1, XP_970026.1
OG0000033	XP_017796735.1	XP_015837581.1, XP_015839927.1, XP_015839926.1
OG0000035	XP_017797282.1	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1
OG0000035	XP_017793793.1, XP_017793792.1	XP_973091.2, XP_008190471.1, XP_015838951.1, XP_015838653.1, XP_967762.1, XP_967685.3, XP_015838842.1, XP_967924.1, XP_015838843.1, XP_972644.2, XP_015838642.1, XP_015838857.1, XP_972496.1, XP_008197534.1, XP_015838775.1, XP_015838840.1, XP_015838776.1, XP_008197589.1, XP_972090.2, XP_008197588.1, XP_008197586.1, XP_972349.2, XP_008197585.1, XP_008197584.1, XP_972444.1
OG0000036	XP_017791875.1, XP_017791824.1, XP_017791822.1, XP_017791523.1, XP_017791522.1	XP_967476.1, XP_001811753.1
OG0000037	XP_017798855.1	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1
OG0000038	XP_017796596.1	XP_966584.1
OG0000040	XP_017793196.1	NP_001161088.1
OG0000040	XP_017797294.1, XP_017797297.1, XP_017797034.1, XP_017789776.1	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1
OG0000041	XP_017795667.1, XP_017795668.1	NP_001165843.1
OG0000041	XP_017796748.1, XP_017796749.1	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1
OG0000041	XP_017798373.1	XP_967305.1
OG0000042	XP_017797246.1	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1
OG0000042	XP_017797230.1	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1
OG0000043	XP_017797621.1	XP_008193777.1, NP_001039289.1
OG0000043	XP_017793789.1	NP_001039285.1
OG0000043	XP_017794273.1	NP_001039279.1, NP_001039280.1, NP_001039278.1
OG0000044	XP_017792527.1, XP_017792526.1	XP_008200957.1
OG0000045	XP_017797443.1, XP_017797444.1	XP_015834974.1, XP_015834972.1
OG0000046	XP_017789468.1	XP_008200986.2, XP_015838368.1
OG0000046	XP_017790988.1, XP_017792943.1	XP_966611.1
OG0000048	XP_017799483.1	XP_008193917.1
OG0000050	XP_017787690.1	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1
OG0000051	XP_017794405.1	XP_008196088.2
OG0000052	XP_017790871.1, XP_017790994.1	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1
OG0000052	XP_017798778.1	XP_008197196.2, XP_008197191.1
OG0000054	XP_017797389.1, XP_017797390.1	XP_970381.1
OG0000055	XP_017799533.1	XP_971821.3
OG0000055	XP_017789854.1	XP_969454.3
OG0000055	XP_017791354.1	XP_008194095.1
OG0000056	XP_017795795.1, XP_017792816.1	XP_015835680.1
OG0000056	XP_017792926.1	XP_008197222.1
OG0000056	XP_017789030.1	XP_015834565.1
OG0000056	XP_017792979.1	XP_970084.2
OG0000057	XP_017798095.1	XP_967267.1
OG0000057	XP_017798766.1	XP_969993.1
OG0000057	XP_017798097.1	XP_967348.1
OG0000057	XP_017798098.1	XP_968314.1
OG0000060	XP_017787543.1	XP_008194927.2
OG0000060	XP_017792478.1	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1
OG0000061	XP_017799273.1	XP_969936.2
OG0000061	XP_017788550.1, XP_017795246.1	XP_008197154.2
OG0000062	XP_017794533.1, XP_017794504.1, XP_017794445.1, XP_017794580.1, XP_017794526.1	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1
OG0000065	XP_017793945.1	XP_015834020.1
OG0000065	XP_017793851.1	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1
OG0000067	XP_017790603.1	XP_008200210.1
OG0000067	XP_017795551.1	NP_001164095.1, XP_008200192.1
OG0000067	XP_017787992.1	XP_008198995.1
OG0000069	XP_017795598.1, XP_017795596.1, XP_017795597.1, XP_017795595.1	XP_008191789.1
OG0000072	XP_017793474.1	XP_015840428.1
OG0000072	XP_017795069.1	XP_015840056.1, XP_008198792.1, XP_015839243.1
OG0000074	XP_017795199.1	XP_015837890.1, XP_970945.2
OG0000075	XP_017792483.1, XP_017795752.1	XP_008191221.1, XP_015833570.1, XP_015833569.1, XP_015840430.1
OG0000077	XP_017797118.1, XP_017795753.1	XP_008200285.1
OG0000077	XP_017789897.1	XP_008194480.2, XP_971466.1, XP_015836196.1
OG0000079	XP_017787942.1, XP_017787943.1, XP_017787958.1	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1
OG0000080	XP_017798424.1	XP_971544.1
OG0000080	XP_017798328.1	XP_015839289.1
OG0000080	XP_017798422.1	XP_015838833.1, XP_968784.1, XP_008199652.2
OG0000081	XP_017796643.1	XP_015833047.1
OG0000082	XP_017797726.1, XP_017797683.1, XP_017797684.1, XP_017797819.1	XP_008196787.1, XP_008196786.1
OG0000084	XP_017792624.1, XP_017792625.1, XP_017792708.1	XP_008194205.2
OG0000084	XP_017791300.1	XP_008194337.1, XP_969263.1
OG0000085	XP_017790689.1	XP_008190480.1, XP_008190479.1, XP_008190478.1
OG0000085	XP_017793167.1	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1
OG0000086	XP_017787894.1	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1
OG0000086	XP_017791806.1	XP_008200062.1, XP_015834290.1
OG0000087	XP_017792906.1, XP_017792917.1	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2
OG0000087	XP_017792908.1	XP_969383.1
OG0000087	XP_017792909.1	XP_001808639.1, XP_008200953.1, XP_974493.2
OG0000088	XP_017789815.1	XP_015837887.1
