Orthogroup	Solenopsis_invicta	Osmia_bicornis
OG0000000	XP_011171895.1	XP_029054585.1, XP_029054548.1
OG0000000	XP_025997771.2, XP_039314220.1, XP_039312430.1, XP_011170871.3, XP_039310450.1	XP_029055099.1
OG0000000	XP_011165769.1	XP_029054961.1
OG0000000	XP_011169834.2, XP_039302930.1	XP_029054552.1
OG0000000	XP_039309112.1	XP_029055095.1
OG0000000	XP_025997408.1, XP_039309650.1, XP_011174413.3	XP_029053969.1
OG0000000	XP_039305212.1, XP_039306364.1, XP_011170664.3, XP_039315361.1, XP_039312857.1, XP_039309666.1, XP_039303445.1, XP_039309629.1, XP_039310754.1, XP_039304898.1, XP_011174758.3, XP_039303553.1, XP_039311986.1, XP_039306760.1, XP_039314225.1, XP_039315454.1, XP_039305157.1, XP_011174666.2, XP_039303966.1, XP_025997421.1, XP_039302112.1, XP_039311874.1, XP_011171639.2, XP_025996386.2, XP_011161658.3, XP_039313519.1, XP_039310248.1, XP_039310458.1, XP_025997894.2, XP_039315545.1	XP_029054398.1
OG0000000	XP_011173050.1, XP_025997552.2	XP_029055002.1
OG0000000	XP_039305199.1, XP_039309110.1, XP_039310358.1	XP_029054627.1, XP_029054117.1, XP_029053951.1
OG0000000	XP_039303367.1, XP_039302117.1, XP_039309653.1	XP_029054703.1
OG0000000	XP_039304363.1, XP_011172230.1, XP_039303473.1, XP_039311979.1, XP_039303513.1, XP_011174810.3, XP_011174921.3, XP_011170487.1, XP_039311325.1, XP_039309665.1, XP_025997133.2, XP_011170486.2, XP_039303514.1	XP_029053795.1, XP_029054177.1, XP_029054739.1, XP_029054402.1, XP_029054850.1, XP_029054450.1, XP_029054401.1
OG0000001	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1	XP_029044867.1
OG0000001	NP_001306576.1, XP_011159731.1	XP_029047550.1, XP_029047546.1, XP_029047548.1, XP_029047547.1, XP_029055795.1
OG0000001	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2	XP_029053627.1, XP_029053628.1, XP_029054076.1, XP_029054175.1, XP_029053437.1, XP_029048982.1, XP_029048983.1, XP_029048984.1, XP_029048981.1, XP_029053439.1, XP_029053440.1, XP_029054094.1, XP_029053433.1, XP_029053438.1, XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1, XP_029053697.1, XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1, XP_029053876.1, XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1, XP_029053704.1
OG0000001	XP_011164185.1	XP_029036021.1
OG0000001	XP_011162032.2, XP_039315612.1	XP_029033204.1, XP_029033205.1
OG0000002	XP_011175322.2, XP_011158991.3	XP_029034426.1
OG0000002	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1	XP_029048273.1
OG0000002	XP_011159024.2	XP_029048274.1, XP_029048309.1
OG0000002	XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1	XP_029034429.1, XP_029034428.1, XP_029034389.1, XP_029054354.1, XP_029048279.1
OG0000002	XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1	XP_029048307.1, XP_029048304.1, XP_029048306.1, XP_029048298.1, XP_029054355.1, XP_029054352.1, XP_029054358.1, XP_029048308.1
OG0000002	XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1	XP_029054353.1
OG0000003	XP_039309362.1	XP_029054701.1
OG0000003	XP_039304913.1	XP_029054797.1
OG0000003	XP_039306769.1	XP_029054798.1
OG0000003	XP_039310749.1, XP_039310750.1	XP_029054894.1
OG0000003	XP_039311957.1, XP_039306745.1, XP_011164920.1, XP_025987873.2	XP_029054525.1
OG0000003	XP_011171782.2, XP_039310742.1, XP_011170649.2	XP_029053944.1
OG0000003	XP_039313506.1	XP_029053297.1
OG0000003	XP_039304988.1, XP_039307927.1, XP_039315442.1	XP_029055276.1, XP_029055313.1
OG0000003	XP_025996234.2	XP_029055262.1
OG0000003	XP_039310361.1, XP_039306742.1, XP_039303957.1, XP_039308185.1, XP_039315381.1, XP_039315265.1, XP_039315287.1, XP_039313009.1, XP_039312427.1, XP_039306748.1	XP_029054746.1
OG0000003	XP_039309943.1, XP_039306054.1, XP_039308728.1, XP_025995779.1, XP_039309113.1, XP_039303430.1	XP_029055100.1, XP_029053801.1
OG0000003	XP_039313505.1	XP_029055044.1
OG0000004	XP_039315091.1	XP_029054008.1
OG0000004	XP_039303478.1	XP_029055315.1
OG0000005	XP_025990901.2	XP_029040939.1
OG0000006	XP_025989821.2	XP_029036167.1
OG0000006	XP_011171479.2, XP_039306260.1	XP_029033655.1
OG0000007	XP_039304377.1, XP_039310340.1, XP_039308911.1	XP_029054123.1, XP_029055261.1, XP_029055254.1, XP_029054451.1, XP_029054587.1
OG0000007	XP_025990628.2, XP_039303538.1, XP_039310339.1, XP_025996264.2, XP_039304171.1	XP_029055077.1, XP_029053862.1, XP_029053484.1, XP_029053574.1, XP_029053982.1, XP_029054695.1, XP_029055216.1, XP_029054809.1
OG0000007	XP_039311885.1, XP_039311884.1, XP_039311883.1, XP_039310355.1, XP_039301901.1, XP_039314630.1, XP_039311747.1, XP_039311845.1, XP_039305718.1, XP_039308549.1, XP_011174600.3, XP_039306469.1, XP_039313182.1, XP_039304561.1, XP_039304533.1, XP_039311963.1, XP_039309385.1, XP_025989586.2, XP_039305688.1	XP_029055155.1, XP_029054680.1, XP_029054781.1
OG0000008	XP_011158384.1, XP_039305295.1, XP_039307163.1	XP_029037761.1
OG0000008	XP_039314393.1, XP_039314392.1, XP_025990966.2	XP_029041248.1
OG0000008	XP_039305326.1, XP_039305325.1, XP_039305297.1	XP_029037757.1
OG0000008	XP_011158386.1, XP_039305296.1	XP_029037755.1
OG0000008	XP_039305528.1	XP_029037762.1
OG0000009	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1	XP_029039353.1, XP_029039355.1, XP_029039354.1
OG0000009	XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1	XP_029050383.1
OG0000009	XP_011172780.1, XP_011160035.1	XP_029039350.1, XP_029039348.1, XP_029039349.1
OG0000010	XP_025997575.1, XP_011165199.1, XP_039315379.1, XP_039315378.1, XP_039315520.1, XP_011171567.1, XP_039313512.1, XP_039309910.1, XP_011173321.1, XP_011156630.1, XP_039313808.1, XP_039309913.1, XP_039312408.1, XP_039302116.1	XP_029054044.1, XP_029054342.1, XP_029053689.1, XP_029053833.1, XP_029054571.1, XP_029055204.1, XP_029055000.1, XP_029054706.1, XP_029054282.1, XP_029054238.1
OG0000010	XP_039312409.1, XP_011163118.1	XP_029054090.1
OG0000010	XP_025985789.1, XP_025996848.1, XP_011171529.1, XP_011165198.1, XP_039315521.1, XP_011173322.1, XP_039309946.1	XP_029054267.1, XP_029053688.1, XP_029055081.1
OG0000012	XP_011157834.1	XP_029044618.1
OG0000012	XP_011167036.2	XP_029040151.1
OG0000013	XP_011165753.2	XP_029054967.1
OG0000013	XP_011166327.1	XP_029051686.1, XP_029053957.1, XP_029035638.1, XP_029053372.1
OG0000013	XP_011158467.1, XP_011158466.1, XP_039315701.1	XP_029037650.1
OG0000014	XP_011156264.2	XP_029035522.1, XP_029053444.1, XP_029055146.1, XP_029053956.1, XP_029054088.1, XP_029051685.1
OG0000014	XP_011163196.1	XP_029051694.1, XP_029051987.1
OG0000016	XP_025994129.1, XP_039306761.1	XP_029054344.1, XP_029054391.1, XP_029053686.1
OG0000016	XP_039313966.1, XP_039309074.1, XP_039304382.1, XP_039314252.1, XP_039306750.1, XP_039304356.1, XP_039301762.1, XP_039309915.1, XP_039303543.1, XP_039303418.1, XP_039303421.1, XP_039309887.1	XP_029054495.1, XP_029055268.1, XP_029053711.1
OG0000016	XP_039304375.1, XP_039308808.1, XP_025991342.1	XP_029055014.1, XP_029051957.1, XP_029054619.1
OG0000016	XP_039308631.1	XP_029053691.1, XP_029054936.1
OG0000018	XP_025993846.1, XP_039312756.1	XP_029051327.1
OG0000018	XP_011164408.2, XP_039302267.1, XP_025988897.1, XP_025988898.1, XP_011164281.1, XP_025988901.1	XP_029048068.1, XP_029048069.1, XP_029048067.1
OG0000018	XP_011168181.2, XP_011168177.2	XP_029049739.1, XP_029049738.1, XP_029049740.1
OG0000018	XP_039312480.1, XP_039312479.1	XP_029049735.1
OG0000019	XP_025990211.2	XP_029052871.1, XP_029052872.1
OG0000019	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1	XP_029052293.1
OG0000019	XP_011155421.1, XP_025990075.1, XP_039308626.1	XP_029033414.1
OG0000020	XP_025986429.1	XP_029050516.1
OG0000020	XP_025987337.1	XP_029055041.1
OG0000020	XP_025991589.1	XP_029034229.1
OG0000020	XP_011157847.1	XP_029032757.1
OG0000021	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1	XP_029039360.1, XP_029039361.1, XP_029039362.1
OG0000021	XP_011162935.1	XP_029032147.1
OG0000021	XP_011159438.1	XP_029046571.1
OG0000021	XP_025991392.1	XP_029039365.1, XP_029039366.1, XP_029039367.1, XP_029039368.1, XP_029039369.1, XP_029039363.1
OG0000022	XP_011163652.1	XP_029035866.1
OG0000022	XP_011163198.1	XP_029054087.1, XP_029053362.1, XP_029053958.1, XP_029055198.1, XP_029053955.1, XP_029054818.1, XP_029053454.1, XP_029053455.1
OG0000023	XP_011166349.1	XP_029053360.1
OG0000024	XP_025992331.1	XP_029051585.1, XP_029051584.1, XP_029051583.1
OG0000024	XP_011168449.1, XP_011168448.1	XP_029052345.1
OG0000024	XP_025991932.1	XP_029045871.1
OG0000024	XP_025991934.1	XP_029045870.1
OG0000025	XP_039305170.1	XP_029054180.1
OG0000026	XP_039304799.1	XP_029039364.1
OG0000027	XP_011156268.1	XP_029053460.1, XP_029053459.1, XP_029053373.1
OG0000028	XP_039307886.1, XP_025993453.2, XP_025997479.2, XP_011171716.1	XP_029053767.1, XP_029054640.1, XP_029053970.1
OG0000028	XP_011171790.2, XP_011166516.2, XP_025992254.2, XP_025990428.2	XP_029054960.1, XP_029054456.1, XP_029053834.1
OG0000028	XP_039303527.1	XP_029055189.1
OG0000028	XP_039309129.1	XP_029054504.1, XP_029055176.1, XP_029053692.1, XP_029054588.1
OG0000029	XP_011175277.3	XP_029041154.1, XP_029041149.1
OG0000029	XP_025987625.1	XP_029049864.1, XP_029049863.1
OG0000029	XP_025994361.1	XP_029041266.1
OG0000030	XP_025986100.1	XP_029038012.1
OG0000030	XP_011165417.3, XP_039308147.1, XP_039313768.1	XP_029049282.1
OG0000031	XP_025994108.1	XP_029053793.1, XP_029054769.1, XP_029053898.1, XP_029033246.1, XP_029040500.1, XP_029055091.1, XP_029054466.1, XP_029055036.1, XP_029054675.1, XP_029055267.1, XP_029055215.1, XP_029054622.1
OG0000032	XP_011159466.2	XP_029055718.1, XP_029055719.1, XP_029055717.1
OG0000032	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2	XP_029050538.1
OG0000033	XP_025986730.2, XP_039303561.1, XP_025996385.1, XP_039315246.1, XP_039303378.1, XP_039303408.1	XP_029052819.1
OG0000033	XP_039306059.1, XP_039310198.1, XP_039302132.1	XP_029054900.1
OG0000033	XP_025996388.2	XP_029055236.1
OG0000033	XP_039315453.1	XP_029044380.1
OG0000034	XP_039302507.1, XP_039315321.1, XP_039307234.1	XP_029052867.1, XP_029052866.1, XP_029052851.1, XP_029052877.1, XP_029048590.1, XP_029048589.1, XP_029052850.1
OG0000035	XP_039312187.1	XP_029032235.1
