Orthogroup	Nomia_melanderi	Drosophila_melanogaster
OG0000001	XP_031826095.1, XP_031826094.1, XP_031826097.1, XP_031826099.1, XP_031826098.1, XP_031826091.1, XP_031826092.1, XP_031826093.1, XP_031842466.1, XP_031836145.1, XP_031836144.1, XP_031828824.1, XP_031840935.1, XP_031848708.1, XP_031848953.1, XP_031848952.1	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1
OG0000006	XP_031847963.1, XP_031847958.1, XP_031847960.1	NP_523647.2, NP_523721.1
OG0000008	XP_031838197.1	NP_572981.1
OG0000008	XP_031838199.1, XP_031838198.1	NP_572985.1
OG0000008	XP_031845812.1	NP_651466.1
OG0000008	XP_031838187.1	NP_572978.1, NP_572977.1
OG0000008	XP_031838213.1	NP_001285251.1
OG0000008	XP_031838205.1	NP_001285249.1
OG0000008	XP_031838211.1	NP_572987.1
OG0000009	XP_031837183.1, XP_031839007.1, XP_031837097.1, XP_031848283.1, XP_031848703.1, XP_031848282.1, XP_031847205.1, XP_031848281.1, XP_031848280.1, XP_031837098.1, XP_031848136.1, XP_031842170.1	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1
OG0000011	XP_031844817.1, XP_031844739.1, XP_031849049.1, XP_031849051.1, XP_031844818.1, XP_031849057.1, XP_031844741.1, XP_031844745.1, XP_031844742.1, XP_031844744.1, XP_031844743.1, XP_031844760.1, XP_031848956.1, XP_031844740.1, XP_031849056.1, XP_031838228.1	NP_523520.2
OG0000012	XP_031845723.1	NP_729270.1, NP_729271.1, NP_648134.1
OG0000012	XP_031836558.1	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1
OG0000012	XP_031836778.1	NP_611479.2, NP_001027441.1, NP_001097340.1
OG0000012	XP_031836638.1	NP_722915.1, NP_001285772.1
OG0000012	XP_031842887.1, XP_031842731.1	NP_001036717.1
OG0000013	XP_031839304.1	NP_724345.1, NP_001027303.1, NP_001027308.1, NP_001027298.1, NP_001027294.1, NP_001027338.1
OG0000013	XP_031829654.1	NP_001259374.1, NP_001260082.1
OG0000014	XP_031848839.1, XP_031848838.1, XP_031848831.1	NP_001027290.1, NP_001027282.1, NP_001027369.1, NP_001027374.1, NP_001027379.1, NP_001027334.1, NP_001027286.1, NP_001027344.1, NP_001027349.1, NP_001027359.1, NP_001027354.1, NP_001027364.1, NP_001027329.1, NP_001027324.1, NP_001027319.1, NP_001027314.1, NP_001027384.1, NP_724341.1, NP_001027304.1, NP_001027309.1, NP_001027299.1, NP_001027295.1, NP_001027339.1
OG0000017	XP_031840004.1, XP_031840003.1, XP_031840002.1, XP_031840001.1	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1
OG0000017	XP_031829474.1	NP_001138040.1
OG0000017	XP_031829453.1, XP_031829454.1	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1
OG0000018	XP_031835583.1, XP_031847312.1	NP_001247286.1
OG0000019	XP_031838060.1	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1
OG0000020	XP_031839751.1	NP_723103.1
OG0000020	XP_031845392.1, XP_031837838.1	NP_001097100.1, NP_001188701.2
OG0000020	XP_031845236.1	NP_723828.1
OG0000020	XP_031828635.1	NP_001137799.1, NP_723441.2
OG0000020	XP_031847183.1	NP_001097508.2
OG0000020	XP_031830731.1	NP_651649.1
OG0000020	XP_031843286.1	NP_001138225.1
OG0000020	XP_031837242.1, XP_031837243.1	NP_001259218.1
OG0000021	XP_031837236.1	NP_648539.1
OG0000021	XP_031838575.1	NP_001263113.1, NP_651812.1, NP_001189282.1
OG0000021	XP_031830175.1	NP_611262.1, NP_651761.2
OG0000021	XP_031846403.1	NP_650482.1, NP_732032.1
OG0000022	XP_031833191.1	NP_001027366.1, NP_001027371.1, NP_001027376.1
OG0000022	XP_031838234.1	NP_001027301.1, NP_001027341.1
OG0000023	XP_031839489.1	NP_001027291.1, NP_001027283.1, NP_001027287.1, NP_001027345.1, NP_001027350.1, NP_001027320.1, NP_001027360.1, NP_001027355.1, NP_001027370.1, NP_001027365.1, NP_001027330.1, NP_001027325.1, NP_001027380.1, NP_001027315.1, NP_724342.1, NP_001027385.1, NP_001027375.1, NP_001027300.1, NP_001027305.1, NP_001027310.1, NP_001027296.1, NP_001027340.1, NP_001027335.1
OG0000026	XP_031843508.1	NP_729591.1, NP_001287018.1
OG0000026	XP_031834026.1	NP_001014616.2
OG0000026	XP_031828159.1	NP_001163838.2
OG0000026	XP_031839037.1	NP_001285239.1
OG0000027	XP_031839376.1	NP_001027377.1, NP_001027284.1, NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1, NP_001027332.1, NP_001027288.1, NP_001027347.1
OG0000029	XP_031829744.1, XP_031829801.1	NP_647872.1, NP_650813.2
OG0000029	XP_031829841.1	NP_647875.1, NP_647873.2
OG0000032	XP_031845598.1	NP_609175.2
OG0000032	XP_031832803.1	NP_611166.2
OG0000032	XP_031833782.1, XP_031831095.1	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1
OG0000035	XP_031842253.1, XP_031842459.1	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2
OG0000035	XP_031834401.1	NP_001261394.1, NP_001287111.1, NP_001246079.1, NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4, NP_651153.1, NP_651152.1, NP_651154.1, NP_001262470.1, NP_652619.1, NP_524313.2, NP_652623.2, NP_652622.3, NP_651866.1, NP_524314.2, NP_001097744.1, NP_652625.2, NP_652626.1, NP_001287281.1
OG0000037	XP_031838355.1	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1
OG0000038	XP_031848143.1, XP_031835042.1	NP_476772.1, NP_524264.1
OG0000038	XP_031825712.1	NP_650674.1
OG0000040	XP_031843292.1, XP_031847213.1	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1
OG0000041	XP_031836959.1, XP_031836960.1	NP_001014725.1
OG0000041	XP_031848908.1, XP_031828119.1, XP_031828107.1	NP_001262200.1
OG0000042	XP_031842358.1	NP_731781.1
OG0000043	XP_031842101.1	NP_001286870.1
OG0000043	XP_031831862.1	NP_524121.2
OG0000044	XP_031831328.1	NP_732652.1, NP_001303538.1, NP_650979.1
OG0000044	XP_031848718.1, XP_031848716.1, XP_031848717.1	NP_651674.3
OG0000045	XP_031836513.1, XP_031839078.1, XP_031836517.1, XP_031836516.1, XP_031836515.1	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2
OG0000046	XP_031849512.1	NP_001285139.1
OG0000046	XP_031844716.1, XP_031825836.1	NP_001262586.1
OG0000046	XP_031827836.1	NP_524063.1
OG0000050	XP_031826510.1, XP_031826305.1, XP_031826306.1	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1
OG0000052	XP_031831624.1, XP_031831623.1	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2
OG0000054	XP_031843397.1, XP_031843398.1	NP_477282.2, NP_729146.1, NP_729147.1
OG0000055	XP_031825307.1	NP_001284925.1
OG0000055	XP_031844409.1	NP_650904.3
OG0000055	XP_031846127.1	NP_609815.1
OG0000055	XP_031827062.1	NP_001246914.1
OG0000056	XP_031840201.1, XP_031838488.1	NP_001369131.1
OG0000056	XP_031846527.1	NP_647937.2
OG0000056	XP_031835578.1	NP_995958.2
OG0000057	XP_031832931.1, XP_031845460.1	NP_524290.2
OG0000057	XP_031845459.1	NP_523842.2
OG0000057	XP_031845030.1	NP_729172.1
OG0000060	XP_031827529.1, XP_031827528.1	NP_650848.1
OG0000060	XP_031827527.1	NP_001163168.1
OG0000061	XP_031839331.1	NP_001097692.1
OG0000061	XP_031838029.1, XP_031840063.1	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1
OG0000065	XP_031830875.1, XP_031831100.1	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2
OG0000067	XP_031834066.1	NP_001284994.1
OG0000067	XP_031838504.1	NP_524243.2, NP_572330.2
OG0000067	XP_031837354.1	NP_001261491.1
OG0000077	XP_031841494.1, XP_031841485.1	NP_001137778.2, NP_001259986.1
OG0000077	XP_031831897.1	NP_001015405.3
OG0000080	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1	NP_001262255.1
OG0000080	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1	NP_001262254.1
OG0000082	XP_031829547.1, XP_031829549.1, XP_031829550.1	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1
OG0000085	XP_031843333.1, XP_031826359.1, XP_031826358.1, XP_031826356.1	NP_651221.1
OG0000086	XP_031842854.1	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1
OG0000087	XP_031843075.1, XP_031843076.1	NP_001261716.1
OG0000087	XP_031843049.1	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1
OG0000088	XP_031830799.1	NP_476589.4
OG0000089	XP_031841904.1, XP_031841905.1, XP_031841906.1	NP_001162840.1, NP_001259800.1
OG0000091	XP_031846471.1, XP_031846477.1, XP_031846470.1	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2
OG0000092	XP_031832478.1, XP_031836523.1, XP_031836568.1, XP_031827660.1	NP_001262592.1
OG0000094	XP_031827484.1	NP_001284983.1, NP_651446.2, NP_650069.2
OG0000094	XP_031826729.1, XP_031826728.1	NP_651889.3, NP_001189331.1, NP_651891.2
OG0000096	XP_031832678.1	NP_726022.1, NP_001246550.1
OG0000096	XP_031843327.1	NP_611542.2
OG0000097	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1, XP_031831172.1, XP_031831171.1, XP_031831170.1	NP_524611.1
OG0000098	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1	NP_001260487.1
OG0000099	XP_031844823.1, XP_031844824.1, XP_031844822.1	NP_608954.1
OG0000099	XP_031825801.1, XP_031825802.1	NP_001034071.1
OG0000099	XP_031843262.1	NP_651628.1
