Orthogroup	Bombyx_mori	Megachile_rotundata
OG0000000	XP_037873921.1, XP_037871812.1	XP_012153563.1
OG0000000	XP_037875266.1	XP_012152724.1
OG0000000	XP_037871995.1, XP_037871457.1, XP_037871459.1, XP_037874347.1, XP_037870555.1, XP_037873352.1, XP_037870375.1, XP_037871456.1, XP_004934341.2, XP_037874877.1, XP_037875254.1, XP_037868977.1, XP_037872500.1, XP_037868916.1, XP_037870348.1, XP_037877612.1, XP_037871971.1, XP_037866794.1, XP_037866960.1, XP_037871648.1, XP_037871120.1, XP_037871023.1, XP_037875881.1, XP_037868519.1, XP_037868121.1, XP_037869233.1, XP_037877020.1, XP_037872459.1, XP_037873687.1	XP_012151963.1, XP_012142755.1
OG0000001	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1	XP_012136792.1, XP_012150537.1, XP_003707539.1, XP_012146067.1, XP_003704416.1, XP_012143065.1, XP_012143066.1, XP_003704415.1, XP_003704279.1, XP_012143067.1, XP_003704414.1, XP_012140371.1, XP_012140372.1, XP_003703231.1, XP_012143070.1, XP_012143071.1, XP_012143072.1, XP_003704281.1, XP_012143073.1, XP_003704278.1, XP_012143061.1, XP_003704412.1
OG0000001	NP_001296520.1, NP_001266295.1	XP_003703200.1
OG0000001	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1	XP_003699913.1, XP_003701310.1, XP_003701343.1, XP_012136078.1, XP_012136077.1, XP_003701345.1, XP_012136079.1
OG0000003	XP_037869604.1, XP_037867144.1, XP_037876915.1, XP_037877219.1, XP_037877221.1	XP_012152452.1
OG0000003	XP_037870359.1, XP_037877164.1, XP_037869337.1, XP_037867960.1, XP_037866968.1, XP_037871610.1, XP_037873146.1, XP_037873148.1, XP_037873147.1, XP_037876654.1, XP_037870220.1	XP_012146541.1, XP_003708371.1, XP_012149741.1, XP_012149735.1, XP_012137589.1
OG0000003	XP_037870101.1, XP_021204964.2, XP_037875250.1, XP_037870130.1, XP_037870373.1, XP_037867208.1	XP_012148418.1, XP_012151327.1
OG0000003	XP_021204444.2, XP_037866490.1	XP_012145059.1
OG0000004	XP_037866663.1, XP_037874920.1	XP_012153684.1, XP_012145948.1, XP_012153556.1, XP_012152733.1, XP_003708235.1
OG0000004	XP_012549606.2	XP_012151870.1, XP_012146535.1
OG0000004	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1	XP_012147779.1, XP_012145925.1, XP_003706746.2, XP_003706754.1, XP_012153575.1, XP_012145432.1, XP_012145431.1, XP_012145448.1, XP_012138586.1, XP_003702422.1, XP_003701631.1, XP_012152390.1, XP_012146360.1
OG0000005	XP_037870301.1	XP_012141791.1
OG0000006	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1	XP_003707057.2, XP_012149242.1
OG0000008	XP_012548163.2	XP_003705710.1
OG0000008	XP_012548032.1	XP_012141335.1
OG0000008	XP_037872354.1	XP_003705713.2
OG0000008	XP_012548168.1	XP_003705711.1
