Orthogroup	Acyrthosiphon_pisum	Tribolium_castaneum
OG0000000	XP_029346889.1, XP_029340893.1	XP_015839988.1, XP_015839902.1, XP_015840447.1, XP_015840446.1, XP_015840340.1, XP_015840305.1
OG0000000	XP_008184172.1, XP_008180656.1, XP_029345710.1, XP_008188479.1, XP_016661094.1, XP_008190177.1, XP_008178392.1, XP_008185772.1, XP_008183343.1, XP_008185678.1, XP_016659921.1, XP_008183820.1, XP_008183356.1, XP_008180654.1, XP_008183411.1, XP_029341258.1, XP_008179897.1, XP_008188489.1, XP_016660804.1, XP_029348271.1, XP_029345921.1, XP_008188687.1, XP_008179256.2, XP_008190111.1, XP_029345859.1, XP_008183355.1, XP_008179257.1, XP_008179517.1, XP_008186006.1, XP_008189836.2, XP_008183743.1, XP_008179879.1, XP_008187844.1, XP_008187709.1, XP_008179336.1, XP_008187708.1, XP_008189587.1, XP_029341173.1	XP_015840338.1
OG0000001	XP_003243002.1	XP_974742.1
OG0000001	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1	XP_969875.1
OG0000003	XP_008180445.1	XP_015840258.1
OG0000003	XP_016660776.1	XP_008200522.1, XP_015840079.1, XP_015837003.1
OG0000003	XP_029348394.1, XP_008189883.1, XP_008189195.1, XP_008179138.1, XP_029343160.1, XP_008188102.2, XP_029347937.1, XP_008179862.1	XP_015833782.1
OG0000003	XP_008179909.1, XP_008182083.1	XP_015839387.1
OG0000004	XP_008181107.1	XP_008200478.1, XP_008200487.1
OG0000004	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1	XP_015834342.1
OG0000005	XP_016662746.1, XP_008180069.1, XP_008180354.1, XP_008189452.1, XP_008186895.1, XP_008188466.1, XP_008178281.1, XP_008184737.1, XP_008182065.1, XP_016662977.2, XP_016659159.1, XP_008178773.1, XP_008188361.1, XP_008179833.1, XP_008181899.1, XP_008179268.1, XP_008182612.1, XP_003248908.2, XP_001946731.2, XP_001942747.1, XP_008178826.1, XP_008189539.1, XP_008180353.1, XP_016664039.1, XP_008182923.1, XP_008181524.1, XP_016663781.2, XP_008185392.1, NP_001233106.1, XP_008185849.2	XP_015836998.1
OG0000006	XP_016661819.1	XP_008192407.1, XP_015839178.1, XP_015839074.1, XP_015839443.1, XP_015837918.1, XP_008200983.2, XP_015837915.1, XP_015832942.1, XP_015832943.1, XP_015839897.1, XP_015839868.1, XP_015839893.1, XP_015840911.1, XP_015839865.1, XP_015840926.1, XP_015839876.1, XP_015832877.1, XP_008195121.2, XP_008195116.2, XP_015840044.1, XP_015840913.1, XP_015839886.1, XP_015840914.1, XP_015839882.1, XP_015840915.1, XP_015838120.1, XP_015833039.1, XP_015838103.1, XP_008197157.2, XP_015838111.1, XP_015838098.1, XP_015833153.1, XP_015833154.1, XP_015838097.1, XP_015838114.1, XP_015837672.1, XP_015837670.1, XP_015833429.1, XP_015833045.1, XP_015833034.1, XP_015838052.1, XP_015838051.1, XP_015834939.1, XP_015838106.1
OG0000007	XP_008180990.1, XP_016656682.1, XP_029348000.1, XP_008178602.1, XP_008189457.1, XP_008178603.1, XP_008183255.1, XP_008182423.1, XP_008178158.1, XP_008179800.1, XP_008182703.1, XP_029341371.1, XP_008185795.1, XP_029340983.1, XP_016657553.1, XP_029345916.1, XP_008179824.1, XP_008179707.1, XP_008181182.1, XP_001946487.2, XP_029341506.1, XP_008181718.1, XP_008186308.1, XP_008180535.1, XP_008185414.1	XP_015837969.1
OG0000007	XP_008184164.2, XP_016657424.1, XP_008189913.1, XP_008183395.1, XP_008189418.1, XP_008185495.1	XP_015837964.1
OG0000008	XP_016663037.1	XP_972338.1
OG0000008	XP_029347046.1	XP_972175.3
OG0000008	XP_001945793.2, XP_003246165.2, XP_016661908.1, XP_016661905.1, XP_016661907.1, XP_016661906.1, XP_016664920.2, XP_003242859.1	XP_008192683.1
OG0000008	XP_001942555.1, XP_008181935.1	XP_969421.1
OG0000008	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1	XP_008191987.1, XP_972532.1
OG0000008	XP_001945226.1	XP_972430.2
OG0000008	XP_001948787.1, XP_008186873.1	XP_015836551.1, XP_015836552.1
OG0000008	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3	XP_008191970.1
OG0000010	XP_008180149.1, XP_016655915.1, XP_008190142.1	XP_008191471.1
OG0000013	XP_001952101.2, XP_008190047.2, XP_008190048.2, XP_003246588.2	XP_969677.1
OG0000013	XP_008188188.1, XP_008186887.1	XP_008197392.1
