Orthogroup	Eufriesea_mexicana	Apis_mellifera
OG0000001	XP_017753392.1, XP_017753391.1	XP_624795.3, XP_026302253.1, XP_016772837.1
OG0000001	XP_017758028.1	XP_623362.3
OG0000001	XP_017757765.1, XP_017757760.1, XP_017757755.1	XP_026300534.1, NP_001352129.1
OG0000001	XP_017757759.1	NP_001352128.1
OG0000001	XP_017757781.1	XP_026300343.1, NP_001035324.1
OG0000001	XP_017757757.1, XP_017757758.1	XP_006565062.2, XP_397347.4
OG0000001	XP_017757740.1	XP_026300531.1, XP_623595.1, NP_001352068.1, XP_006565077.1, XP_026300601.1, XP_006565076.1, NP_001352069.1, XP_026300602.1, XP_026300530.1
OG0000001	XP_017757780.1, XP_017757738.1	XP_026300535.1, XP_395671.3
OG0000001	XP_017759613.1	XP_026296210.1
OG0000001	XP_017767083.1	XP_006564499.3
OG0000001	XP_017759625.1	NP_001191991.1, XP_016770827.2
OG0000002	XP_017759720.1	XP_016773520.1, XP_016773523.1, NP_001229894.1, XP_026302135.1
OG0000002	XP_017759719.1	NP_001229893.1, XP_026302134.1
OG0000002	XP_017759718.1	NP_001229888.1, XP_006565941.2, XP_006565943.1, NP_001229887.1
OG0000002	XP_017759717.1	XP_003250767.2, XP_026294956.1
OG0000002	XP_017759746.1	XP_003250769.3, XP_026294905.1, XP_026294912.1
OG0000002	XP_017759702.1	XP_006565883.2, NP_001229910.1, XP_026294765.1, NP_001229909.1
OG0000002	XP_017759703.1	XP_006572517.1, NP_001229911.1
OG0000002	XP_017759734.1	XP_016773537.1, XP_016773528.1, XP_016773529.1, XP_006565970.2
OG0000002	XP_017759707.1, XP_017759704.1, XP_017759700.1	NP_001229907.1, NP_001229906.1
OG0000002	XP_017759706.1, XP_017759708.1	NP_001229905.1, XP_026302143.1
OG0000002	XP_017759729.1	NP_001229895.1, XP_003250726.1
OG0000002	XP_017759716.1	XP_016773538.1, XP_003250765.1
