Orthogroup	Solenopsis_invicta	Aedes_aegypti
OG0000000	XP_011171895.1	XP_021704707.1
OG0000001	NP_001306576.1, XP_011159731.1, XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2, XP_011164185.1, XP_011164532.2, XP_011164534.2, XP_011175846.1, XP_039302921.1, XP_039304528.1, XP_025997249.1, XP_025997248.1, XP_025994980.2, XP_025986982.2, XP_039301751.1, XP_011162032.2, XP_039315612.1	XP_021704701.1
OG0000002	XP_025986773.2, XP_025986694.2, XP_039304867.1, XP_011159003.3, XP_039304863.1, XP_025987073.2, XP_039304876.1, XP_011158994.1, XP_025986823.2, XP_039305193.1, XP_039305192.1, XP_011158759.1, XP_025986706.2, XP_011158999.2, XP_011175322.2, XP_011158991.3, XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1, XP_011159024.2, XP_039304874.1, XP_011159023.1, XP_039305194.1, XP_039304869.1, XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1, XP_011159019.1, XP_039304872.1, XP_039304868.1, XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1, XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1	XP_021711562.1
OG0000003	XP_039309362.1	XP_021712997.1
OG0000003	XP_039306769.1	XP_021694215.1
OG0000003	XP_011163878.2	XP_021709560.1
OG0000006	XP_039311113.1	XP_021709039.1, XP_021709040.1
OG0000006	XP_011171479.2, XP_039306260.1	XP_001651754.2, XP_001651756.3
OG0000007	XP_039304377.1, XP_039310340.1, XP_039308911.1	XP_021697170.1, XP_021709698.1, XP_021708773.1, XP_021712875.1, XP_021711983.1, XP_021697510.1, XP_021700679.1, XP_021694728.1, XP_021706451.1
OG0000007	XP_025990628.2, XP_039303538.1, XP_039310339.1, XP_025996264.2, XP_039304171.1, XP_039311885.1, XP_039311884.1, XP_039311883.1, XP_039310355.1, XP_039301901.1, XP_039314630.1, XP_039311747.1, XP_039311845.1, XP_039305718.1, XP_039308549.1, XP_011174600.3, XP_039306469.1, XP_039313182.1, XP_039304561.1, XP_039304533.1, XP_039311963.1, XP_039309385.1, XP_025989586.2, XP_039305688.1, XP_011160889.2, XP_011167920.1, XP_025997055.1, XP_025997174.2, XP_011174775.1, XP_039309126.1, XP_039302125.1, XP_025986035.2, XP_039311440.1, XP_025996798.2, XP_039303512.1, XP_025996764.1, XP_039307969.1, XP_011171502.1	XP_021709737.1, XP_021708700.1, XP_021712884.1, XP_021707298.1, XP_021708190.1, XP_021699796.1, XP_021700128.1, XP_021701239.1, XP_021708882.1
OG0000008	XP_011158384.1, XP_039305295.1, XP_039307163.1	XP_001648300.1
OG0000008	XP_039314393.1, XP_039314392.1, XP_025990966.2	XP_001661923.2
OG0000008	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1	XP_021710654.1
OG0000008	XP_039305326.1, XP_039305325.1, XP_039305297.1	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1
OG0000008	XP_011158386.1, XP_039305296.1	XP_001648302.1
OG0000008	XP_039305528.1	XP_021710647.1
OG0000009	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1, XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1, XP_011172780.1, XP_011160035.1, XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1
OG0000012	XP_011167036.2	XP_001655419.1, XP_021709641.1
OG0000012	XP_011166798.2, XP_039314082.1	XP_001658080.2, XP_001663002.1, XP_001652943.1, XP_001663900.2, XP_001658491.2, XP_001663898.2, XP_021707969.1, XP_001663895.2, XP_001660673.2, XP_001660676.2, XP_021703076.1, XP_001657786.1, XP_001650145.1, XP_021712427.1, XP_021707394.1
OG0000012	XP_025991007.1	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1
OG0000013	XP_011165753.2	XP_021711158.1, XP_021711157.1
OG0000013	XP_011166327.1	XP_021705825.1, XP_021705826.1, XP_001657268.1, XP_021707704.1, XP_021708004.1, XP_001657265.1
OG0000013	XP_011158467.1, XP_011158466.1	XP_001657554.1, XP_001655332.2
OG0000014	XP_011156264.2, XP_011163196.1	XP_021712022.1, XP_021712028.1
