Orthogroup	Bombyx_mori	Acyrthosiphon_pisum
OG0000000	XP_037873921.1, XP_037871812.1	XP_008182367.1, XP_008182376.2, XP_008179509.1, XP_029348283.1
OG0000000	XP_037873721.1	XP_029346889.1, XP_029340893.1
OG0000000	XP_037874474.1	XP_008187343.1, XP_016664979.2, XP_008185105.1, XP_008182963.1, XP_008180484.1
OG0000000	XP_037876336.1, XP_037876715.1, XP_037871352.1, XP_004934170.2, XP_037875621.1, XP_037873684.1, XP_037871945.1, XP_037868562.1	XP_029346803.1
OG0000000	XP_037871995.1, XP_037871457.1, XP_037871459.1, XP_037874347.1, XP_037870555.1, XP_037873352.1, XP_037870375.1, XP_037871456.1, XP_004934341.2, XP_037874877.1, XP_037875254.1, XP_037868977.1, XP_037872500.1, XP_037868916.1, XP_037870348.1, XP_037877612.1, XP_037871971.1, XP_037866794.1, XP_037866960.1	XP_008184172.1, XP_008180656.1, XP_029345710.1, XP_008188479.1, XP_016661094.1, XP_008190177.1, XP_008178392.1, XP_008185772.1, XP_008183343.1, XP_008185678.1, XP_016659921.1, XP_008183820.1, XP_008183356.1, XP_008180654.1, XP_008183411.1, XP_029341258.1, XP_008179897.1, XP_008188489.1, XP_016660804.1, XP_029348271.1, XP_029345921.1, XP_008188687.1, XP_008179256.2, XP_008190111.1, XP_029345859.1, XP_008183355.1, XP_008179257.1, XP_008179517.1, XP_008186006.1, XP_008189836.2, XP_008183743.1, XP_008179879.1, XP_008187844.1, XP_008187709.1, XP_008179336.1, XP_008187708.1, XP_008189587.1, XP_029341173.1
OG0000000	XP_037871648.1, XP_037871120.1, XP_037871023.1, XP_037875881.1, XP_037868519.1, XP_037868121.1, XP_037869233.1, XP_037877020.1, XP_037872459.1, XP_037873687.1	XP_008182614.1, XP_008189367.1, XP_008183050.1, XP_008190090.1, XP_029344208.1, XP_008187869.1, XP_029348398.1, XP_008181739.1, XP_016659286.1, XP_008181643.1, XP_008180158.1, XP_008180526.1, XP_008180527.1
OG0000001	NP_001296520.1	XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3
OG0000001	NP_001266295.1	XP_016660356.1
OG0000003	XP_037869604.1, XP_037867144.1, XP_037876915.1, XP_037877219.1, XP_037877221.1	XP_003241242.1, XP_008178499.1, XP_029345880.1, XP_016664851.1, XP_008180042.1, XP_008179051.1, XP_008190241.1, XP_008178248.1, XP_008178785.1, XP_029347897.1, XP_008188646.2, XP_008189968.2, XP_029341373.1, XP_008189522.1, XP_008184219.1, XP_008189014.1, XP_008184923.1
OG0000003	XP_037871022.1, XP_037871711.1, XP_037876186.1	XP_008181385.1, XP_008182760.1, XP_008179884.1, XP_008189838.1, XP_029348460.1
OG0000003	XP_037870359.1, XP_037877164.1, XP_037869337.1, XP_037867960.1, XP_037866968.1, XP_037871610.1, XP_037873146.1, XP_037873148.1, XP_037873147.1, XP_037876654.1, XP_037870220.1	XP_016659882.1
OG0000003	XP_021208702.2, XP_037872843.1, XP_037872077.1, XP_037876274.1, XP_037869860.1	XP_029348394.1
OG0000003	XP_037871122.1, XP_037866964.1, XP_037870356.1, XP_037872900.1, XP_037871229.1	XP_008189883.1, XP_008189195.1
OG0000003	XP_037870101.1, XP_021204964.2, XP_037875250.1, XP_037870130.1, XP_037870373.1, XP_037867208.1	XP_016661947.1
OG0000003	XP_037866749.1, XP_037875440.1, XP_037875446.1, XP_037875869.1, XP_037869897.1, XP_037868552.1, XP_037875805.1	XP_008179909.1, XP_008182083.1
OG0000004	XP_037866663.1, XP_037874920.1	XP_008184892.1, XP_008189998.1, XP_016658202.2, XP_029348322.1, XP_029348356.1, XP_008186742.1, XP_008178409.1, XP_008189971.1, XP_029348597.1, XP_016661423.2, XP_008180700.1
OG0000004	XP_012549606.2	XP_008182727.1
OG0000004	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1
OG0000005	XP_004928790.1	XP_008180069.1, XP_008180354.1, XP_008189452.1, XP_008186895.1, XP_008188466.1, XP_008178281.1, XP_008184737.1, XP_008182065.1, XP_016662977.2, XP_016659159.1, XP_008178773.1, XP_008188361.1, XP_008179833.1, XP_008181899.1, XP_008179268.1, XP_008182612.1, XP_003248908.2, XP_001946731.2, XP_001942747.1, XP_008178826.1, XP_008189539.1, XP_008180353.1, XP_016664039.1, XP_008182923.1, XP_008181524.1
OG0000005	XP_037875267.1, XP_037876843.1	XP_016663781.2
OG0000005	XP_037870301.1	XP_016662685.1
OG0000006	XP_021204320.2, XP_037874908.1, NP_001166611.1, NP_001091790.1, XP_012548737.1, NP_001166607.1, NP_001116806.1, NP_001104829.1, NP_001091789.1, NP_001166603.1, XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1	XP_016661819.1
OG0000007	XP_012547514.2, XP_037873313.1	XP_008180990.1, XP_016656682.1, XP_029348000.1, XP_008178602.1, XP_008189457.1, XP_008178603.1, XP_008183255.1, XP_008182423.1, XP_008178158.1, XP_008179800.1, XP_008182703.1, XP_029341371.1, XP_008185795.1, XP_029340983.1, XP_016657553.1, XP_029345916.1, XP_008179824.1, XP_008179707.1, XP_008181182.1, XP_001946487.2, XP_029341506.1, XP_008181718.1, XP_008186308.1, XP_008180535.1, XP_008185414.1
OG0000007	XP_012546308.1	XP_029347800.1, XP_008178355.1, XP_003248262.1, XP_001951483.2, XP_029345677.1, XP_029341023.1, XP_016658926.1, XP_008188731.1
OG0000007	XP_037876474.1, XP_037869966.1, XP_037867392.1, XP_037868939.1, XP_037870005.1, XP_037868218.1	XP_029340997.1, XP_008178190.1, XP_008181151.1
OG0000007	XP_037875795.1	XP_008189764.1, XP_029348277.1, XP_008181098.1, XP_029347796.1
OG0000007	XP_021202050.1	XP_029347711.1
OG0000007	XP_012546752.1	XP_003244198.1, XP_008181053.1, XP_029341068.1, XP_016660482.1, XP_029348538.1, XP_029340998.1, XP_008179485.1, XP_008179463.1, XP_008180335.1, XP_029340906.1, XP_008184270.1, XP_029346063.1, XP_029340971.1, XP_029343684.1, XP_008180263.1
OG0000007	XP_037871092.1	XP_029341475.1
OG0000007	XP_021203270.2, XP_037874531.1	XP_029348434.1, XP_008184869.1, XP_008188538.2, XP_029347402.1, XP_029341174.1, XP_008178220.1, XP_001951832.2, XP_003244309.1
OG0000007	XP_021203932.1, XP_037875444.1	XP_029342533.1, XP_008183714.1, XP_016662186.1, XP_008178249.1, XP_016662197.1, XP_016657859.1
OG0000008	XP_012548163.2	XP_016663037.1
OG0000008	XP_004929514.1	XP_001945793.2, XP_003246165.2, XP_016661908.1, XP_016661905.1, XP_016661907.1, XP_016661906.1, XP_016664920.2, XP_003242859.1
OG0000008	XP_012548032.1	XP_001942555.1, XP_008181935.1
OG0000008	XP_037872354.1	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1
OG0000008	XP_012548168.1	XP_001945226.1
OG0000008	XP_021205470.2	XP_001948787.1, XP_008186873.1
OG0000008	XP_037872353.1, XP_012548164.1	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3
OG0000010	XP_021208868.2, XP_037877292.1, XP_037870974.1, XP_037877378.1, XP_004925231.2, XP_037871371.1, XP_037869407.1, XP_037873430.1, XP_037874123.1, XP_037877306.1, XP_004922866.1, XP_037877604.1, XP_037877550.1, XP_037869235.1, XP_037872909.1, XP_037871048.1, XP_037874327.1, XP_037868974.1, XP_037866962.1, XP_037872910.1, XP_037876686.1, XP_037868130.1, XP_037875277.1, XP_037869503.1, XP_037868962.1, XP_037877008.1, XP_037875241.1, XP_037866479.1, XP_037866959.1, XP_037872517.1, XP_037874346.1, XP_037869607.1, XP_037869632.1, XP_037866497.1, XP_037871097.1, XP_037877012.1, XP_037874850.1, XP_037867751.1, XP_037868508.1, XP_037873738.1, XP_037871588.1, XP_037870366.1, XP_037873346.1	XP_016657651.1
OG0000013	XP_004933313.1	XP_001952101.2, XP_008190047.2, XP_008190048.2, XP_003246588.2
OG0000013	NP_001091756.1	XP_008188188.1, XP_008186887.1
OG0000015	XP_037867165.1	XP_008178712.1, XP_016663080.1, XP_029345242.1
OG0000015	XP_037868016.1	XP_016664373.2, XP_008178216.1
OG0000015	XP_037870072.1, XP_037875870.1, XP_037876882.1, XP_037877171.1, XP_037871468.1, XP_037872518.1, XP_037871047.1, XP_004932994.2, XP_037875930.1, XP_037877009.1	XP_008178766.1
OG0000015	XP_037869621.1, XP_037869019.1	XP_008188308.1, XP_029341343.1, XP_008186657.1, XP_008181178.1, XP_029341124.1, XP_008189727.1
OG0000015	XP_037867765.1	XP_029342163.1, XP_008187231.1
OG0000015	XP_037874319.1	XP_008188095.2, XP_008178705.1, XP_008182253.1
OG0000015	XP_037871430.1	XP_008182252.1, XP_008189910.1, XP_008186546.1, XP_029348245.1
