Orthogroup	Vespa_mandarinia	Osmia_bicornis
OG0000001	XP_035720574.1	XP_029044867.1
OG0000001	XP_035726105.1	XP_029047550.1, XP_029047546.1, XP_029047548.1, XP_029047547.1, XP_029055795.1
OG0000001	XP_035737410.1, XP_035737418.1, XP_035737424.1	XP_029053627.1, XP_029053628.1, XP_029054076.1, XP_029054175.1, XP_029053437.1, XP_029048982.1, XP_029048983.1, XP_029048984.1, XP_029048981.1, XP_029053439.1, XP_029053440.1, XP_029054094.1, XP_029053433.1, XP_029053438.1, XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1, XP_029053697.1, XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1, XP_029053876.1, XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1, XP_029053704.1
OG0000001	XP_035734021.1, XP_035734020.1, XP_035734019.1	XP_029036021.1
OG0000002	XP_035737326.1	XP_029034426.1
OG0000002	XP_035737177.1	XP_029048273.1
OG0000002	XP_035737160.1, XP_035737224.1	XP_029048274.1, XP_029048309.1
OG0000002	XP_035737172.1, XP_035737325.1, XP_035737203.1	XP_029034429.1, XP_029034428.1, XP_029034389.1, XP_029054354.1, XP_029048279.1
OG0000002	XP_035737210.1	XP_029048307.1, XP_029048304.1, XP_029048306.1, XP_029048298.1, XP_029054355.1, XP_029054352.1, XP_029054358.1, XP_029048308.1, XP_029054353.1
OG0000003	XP_035731237.1, XP_035742199.1	XP_029054746.1
OG0000003	XP_035731232.1	XP_029054973.1
OG0000004	XP_035737763.1	XP_029054294.1
OG0000004	XP_035734902.1	XP_029055230.1
OG0000006	XP_035718467.1	XP_029036167.1
OG0000006	XP_035740898.1	XP_029033655.1
OG0000008	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1	XP_029037761.1
OG0000008	XP_035736007.1	XP_029037757.1
OG0000008	XP_035736200.1, XP_035736201.1, XP_035736202.1	XP_029037755.1
OG0000008	XP_035739950.1, XP_035739951.1, XP_035739948.1	XP_029037762.1
OG0000009	XP_035722243.1	XP_029039353.1, XP_029039355.1, XP_029039354.1
OG0000009	XP_035733996.1	XP_029050383.1
OG0000009	XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1	XP_029039416.1, XP_029039350.1, XP_029039348.1, XP_029039349.1
OG0000010	XP_035740256.1, XP_035736363.1, XP_035723753.1, XP_035737757.1, XP_035742633.1, XP_035724078.1, XP_035736366.1, XP_035742251.1, XP_035737492.1, XP_035742783.1, XP_035737758.1, XP_035740321.1, XP_035737495.1, XP_035723442.1, XP_035742250.1	XP_029054229.1, XP_029053726.1, XP_029053824.1
OG0000010	XP_035740330.1, XP_035741893.1, XP_035731225.1, XP_035742782.1, XP_035739222.1	XP_029054044.1, XP_029054342.1, XP_029053689.1, XP_029053833.1, XP_029054571.1, XP_029055204.1, XP_029055000.1, XP_029054706.1, XP_029054282.1, XP_029054238.1, XP_029054090.1
OG0000012	XP_035733658.1	XP_029044618.1
OG0000012	XP_035729179.1	XP_029040169.1
OG0000012	XP_035731128.1	XP_029036967.1
OG0000013	XP_035732971.1	XP_029054967.1
OG0000013	XP_035725915.1	XP_029053957.1, XP_029035638.1, XP_029053372.1
OG0000013	XP_035732326.1, XP_035732327.1, XP_035732323.1, XP_035732322.1, XP_035732328.1	XP_029037650.1
OG0000014	XP_035717855.1, XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1	XP_029035522.1, XP_029053444.1, XP_029055146.1, XP_029053956.1, XP_029054088.1, XP_029051685.1, XP_029051694.1, XP_029051987.1
OG0000017	XP_035722701.1	XP_029036237.1
OG0000017	XP_035728385.1	XP_029039555.1, XP_029039565.1, XP_029039563.1, XP_029039564.1
OG0000018	XP_035730877.1	XP_029051327.1
OG0000018	XP_035718019.1	XP_029049739.1, XP_029049738.1, XP_029049740.1
OG0000018	XP_035718148.1	XP_029049735.1
OG0000018	XP_035735080.1	XP_029036695.1
OG0000019	XP_035725561.1, XP_035725574.1, XP_035725576.1	XP_029052871.1, XP_029052872.1
OG0000019	XP_035726985.1	XP_029033414.1
OG0000020	XP_035723591.1	XP_029050516.1
OG0000020	XP_035728836.1	XP_029055041.1
OG0000020	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1	XP_029051090.1, XP_029034229.1
OG0000021	XP_035729141.1	XP_029039360.1, XP_029039361.1, XP_029039362.1
OG0000021	XP_035721174.1, XP_035721172.1, XP_035721170.1, XP_035721169.1, XP_035721173.1	XP_029032147.1
OG0000021	XP_035723530.1	XP_029046571.1
OG0000021	XP_035723165.1, XP_035723164.1	XP_029049609.1
OG0000021	XP_035743843.1, XP_035743842.1	XP_029041225.1
OG0000021	XP_035729144.1	XP_029039365.1, XP_029039366.1, XP_029039367.1, XP_029039368.1, XP_029039369.1, XP_029039363.1
OG0000022	XP_035725918.1, XP_035725921.1, XP_035725917.1, XP_035725920.1	XP_029051703.1
OG0000022	XP_035721830.1	XP_029035866.1
OG0000023	XP_035735383.1	XP_029053360.1
OG0000024	XP_035742194.1	XP_029051585.1, XP_029051584.1, XP_029051583.1
OG0000024	XP_035728675.1, XP_035728676.1, XP_035728677.1	XP_029052345.1
