GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0003723	RNA binding	20	4	3.52	0.098	0.098	1	0.8372413793103448
GO:0008270	zinc ion binding	17	5	3	0.147	0.147	1	0.8372413793103448
GO:0005515	protein binding	157	29	27.67	0.200	0.297	1	0.8372413793103448
GO:0008092	cytoskeletal protein binding	12	3	2.11	0.201	0.201	1	0.8372413793103448
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	11	3	1.94	0.217	0.217	1	0.8372413793103448
GO:0004842	ubiquitin-protein transferase activity	13	4	2.29	0.254	0.119	1	0.8372413793103448
GO:0003924	GTPase activity	12	3	2.11	0.276	0.276	1	0.8372413793103448
GO:0005509	calcium ion binding	10	3	1.76	0.303	0.303	1	0.8372413793103448
GO:0019901	protein kinase binding	15	3	2.64	0.306	0.306	1	0.8372413793103448
GO:0016740	transferase activity	49	9	8.63	0.307	0.139	1	0.8372413793103448
GO:0036094	small molecule binding	52	9	9.16	0.312	0.525	1	0.8372413793103448
GO:0061630	ubiquitin protein ligase activity	10	3	1.76	0.325	0.325	1	0.8372413793103448
GO:0003682	chromatin binding	12	1	2.11	0.351	0.351	1	0.8372413793103448
GO:0016887	ATPase activity	11	2	1.94	0.380	0.380	1	0.8372413793103448
GO:0005525	GTP binding	14	4	2.47	0.389	0.389	1	0.8372413793103448
GO:0140110	transcription regulator activity	22	4	3.88	0.406	0.249	1	0.8372413793103448
GO:0005102	signaling receptor binding	26	7	4.58	0.413	0.413	1	0.8372413793103448
GO:0019787	ubiquitin-like protein transferase activity	15	4	2.64	0.441	0.178	1	0.8372413793103448
GO:0016772	transferase activity, transferring phosphorus-containing groups	27	4	4.76	0.442	0.594	1	0.8372413793103448
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	10	1	1.76	0.452	0.452	1	0.8372413793103448
GO:0019900	kinase binding	16	3	2.82	0.481	0.225	1	0.8372413793103448
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	12	2	2.11	0.484	0.435	1	0.8372413793103448
GO:0043565	sequence-specific DNA binding	16	3	2.82	0.494	0.178	1	0.8372413793103448
GO:0003700	DNA-binding transcription factor activity	16	3	2.82	0.497	0.408	1	0.8372413793103448
GO:0043168	anion binding	59	9	10.4	0.497	0.724	1	0.8622222222222223
GO:0046872	metal ion binding	51	10	8.99	0.517	0.419	1	0.8372413793103448
GO:0042802	identical protein binding	14	3	2.47	0.519	0.519	1	0.8372413793103448
GO:0004674	protein serine/threonine kinase activity	13	2	2.29	0.525	0.525	1	0.8372413793103448
GO:0005488	binding	195	36	34.36	0.564	0.563	1	0.8372413793103448
GO:0044877	protein-containing complex binding	10	2	1.76	0.567	0.567	1	0.8372413793103448
GO:0046983	protein dimerization activity	16	2	2.82	0.570	0.570	1	0.8372413793103448
GO:0000976	transcription regulatory region sequence-specific DNA binding	14	3	2.47	0.586	0.252	1	0.8372413793103448
GO:0008233	peptidase activity	24	3	4.23	0.622	0.840	1	0.9205479452054793
GO:0004713	protein tyrosine kinase activity	11	1	1.94	0.661	0.661	1	0.8622222222222223
GO:0003824	catalytic activity	122	19	21.5	0.689	0.766	1	0.8622222222222223
GO:0005524	ATP binding	36	5	6.34	0.695	0.695	1	0.8622222222222223
GO:0017111	nucleoside-triphosphatase activity	24	5	4.23	0.734	0.219	1	0.8372413793103448
GO:0016301	kinase activity	24	4	4.23	0.741	0.663	1	0.8622222222222223
GO:0019899	enzyme binding	36	5	6.34	0.763	0.511	1	0.8372413793103448
GO:0003677	DNA binding	34	4	5.99	0.768	0.461	1	0.8372413793103448
GO:0008134	transcription factor binding	14	1	2.47	0.775	0.775	1	0.8622222222222223
GO:0000166	nucleotide binding	51	9	8.99	0.835	0.607	1	0.8372413793103448
GO:0140096	catalytic activity, acting on a protein	68	10	11.98	0.869	0.774	1	0.8622222222222223
GO:0016788	hydrolase activity, acting on ester bonds	11	1	1.94	0.870	0.870	1	0.9309090909090908
GO:0061659	ubiquitin-like protein ligase activity	11	3	1.94	0.871	0.557	1	0.8372413793103448
GO:1901363	heterocyclic compound binding	96	15	16.92	0.884	0.776	1	0.8622222222222223
GO:0004175	endopeptidase activity	17	2	3	0.895	0.895	1	0.9309090909090908
GO:0098772	molecular function regulator	50	7	8.81	0.903	0.605	1	0.8372413793103448
GO:0030234	enzyme regulator activity	18	2	3.17	0.957	0.957	1	0.9782278481012658
GO:0008289	lipid binding	14	0	2.47	0.966	0.966	1	0.9782278481012658
GO:0016787	hydrolase activity	65	9	11.45	0.983	0.768	1	0.8622222222222223
GO:0097159	organic cyclic compound binding	98	15	17.27	0.991	0.896	1	0.9309090909090908
GO:0097367	carbohydrate derivative binding	54	9	9.52	0.993	0.896	1	0.9309090909090908
GO:0004672	protein kinase activity	21	3	3.7	1.000	0.735	1	0.8622222222222223
GO:0001067	regulatory region nucleic acid binding	14	3	2.47	1.000	0.252	1	0.8372413793103448
GO:0019001	guanyl nucleotide binding	14	4	2.47	1.000	0.389	1	0.8372413793103448
GO:1990837	sequence-specific double-stranded DNA binding	14	3	2.47	1.000	0.252	1	0.8372413793103448
GO:0032561	guanyl ribonucleotide binding	14	4	2.47	1.000	0.389	1	0.8372413793103448
GO:0016817	hydrolase activity, acting on acid anhydrides	24	5	4.23	1.000	0.219	1	0.8372413793103448
GO:0043167	ion binding	103	18	18.15	1.000	0.698	1	0.8622222222222223
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	24	5	4.23	1.000	0.219	1	0.8372413793103448
GO:0043169	cation binding	51	10	8.99	1.000	0.419	1	0.8372413793103448
GO:0046914	transition metal ion binding	17	5	3	1.000	0.147	1	0.8372413793103448
GO:0003690	double-stranded DNA binding	14	3	2.47	1.000	0.252	1	0.8372413793103448
GO:0032550	purine ribonucleoside binding	14	4	2.47	1.000	0.389	1	0.8372413793103448
GO:1901265	nucleoside phosphate binding	51	9	8.99	1.000	0.607	1	0.8372413793103448
