GO.ID,Term,Annotated,Significant,Expected,classicFisher,classicFisherPadj
GO:0005515,protein binding,2746,228,141.8,1.2e-21,4.739999999999999e-19
GO:0005488,binding,4800,299,247.86,4e-11,7.9e-9
GO:0140096,"catalytic activity, acting on a protein",885,89,45.7,1e-10,1.3166666666666665e-8
GO:0005102,signaling receptor binding,199,33,10.28,1.6e-9,1.58e-7
GO:0019900,kinase binding,106,22,5.47,1.4e-8,9.592857142857143e-7
GO:0008134,transcription factor binding,154,27,7.95,1.5e-8,9.592857142857143e-7
GO:0004713,protein tyrosine kinase activity,37,13,1.91,1.7e-8,9.592857142857143e-7
GO:0019899,enzyme binding,458,51,23.65,8.9e-8,4.345e-6
GO:0001228,DNA-binding transcription activator acti...,81,18,4.18,1e-7,4.345e-6
GO:0019901,protein kinase binding,90,19,4.65,1.1e-7,4.345e-6
GO:0001216,DNA-binding transcription activator acti...,83,18,4.29,1.5e-7,5.386363636363636e-6
GO:0098772,molecular function regulator,902,81,46.58,1.8e-7,5.469230769230769e-6
GO:0046983,protein dimerization activity,252,34,13.01,1.8e-7,5.469230769230769e-6
GO:0004672,protein kinase activity,198,29,10.22,2.7e-7,7.617857142857143e-6
GO:0003700,DNA-binding transcription factor activit...,362,41,18.69,1.2e-6,3.1599999999999996e-5
GO:0140110,transcription regulator activity,496,50,25.61,2.6e-6,6.418750000000001e-5
GO:0140297,DNA-binding transcription factor binding,48,12,2.48,3.8e-6,8.829411764705882e-5
GO:0003677,DNA binding,706,62,36.46,1.4e-5,3.072222222222222e-4
GO:0016773,"phosphotransferase activity, alcohol gro...",253,30,13.06,1.5e-5,3.1184210526315795e-4
GO:0061629,RNA polymerase II-specific DNA-binding t...,24,8,1.24,1.7e-5,3.197619047619048e-4
GO:0043167,ion binding,2106,145,108.75,1.7e-5,3.197619047619048e-4
GO:0042802,identical protein binding,176,23,9.09,3.2e-5,5.745454545454544e-4
GO:0048018,receptor ligand activity,61,12,3.15,5.2e-5,8.887499999999999e-4
GO:0000981,DNA-binding transcription factor activit...,284,31,14.67,5.4e-5,8.887499999999999e-4
GO:0008083,growth factor activity,21,7,1.08,5.7e-5,9.006000000000001e-4
GO:0030546,signaling receptor activator activity,63,12,3.25,7.3e-5,0.0011090384615384614
GO:0016301,kinase activity,305,32,15.75,8.8e-5,0.0012874074074074075
GO:0097367,carbohydrate derivative binding,927,73,47.87,9.6e-5,0.0013075862068965519
GO:0004674,protein serine/threonine kinase activity,152,20,7.85,9.6e-5,0.0013075862068965519
GO:0030545,receptor regulator activity,67,12,3.46,1.4e-4,0.0018433333333333331
GO:0032555,purine ribonucleotide binding,829,65,42.81,2.8e-4,0.003511111111111111
GO:0035639,purine ribonucleoside triphosphate bindi...,814,64,42.03,3e-4,0.003511111111111111
GO:0000976,transcription regulatory region sequence...,312,31,16.11,3.1e-4,0.003511111111111111
GO:0042803,protein homodimerization activity,117,16,6.04,3.1e-4,0.003511111111111111
GO:0008234,cysteine-type peptidase activity,53,10,2.74,3.2e-4,0.003511111111111111
GO:0001067,regulatory region nucleic acid binding,313,31,16.16,3.2e-4,0.003511111111111111
GO:0017076,purine nucleotide binding,834,65,43.07,3.4e-4,0.0036297297297297297
GO:0032553,ribonucleotide binding,837,65,43.22,3.7e-4,0.0038460526315789475
GO:0043565,sequence-specific DNA binding,404,37,20.86,4.1e-4,0.004152564102564102
GO:0019199,transmembrane receptor protein kinase ac...,23,6,1.19,8.7e-4,0.00857439024390244
GO:1990837,sequence-specific double-stranded DNA bi...,332,31,17.14,8.9e-4,0.00857439024390244
GO:0016740,transferase activity,1084,78,55.98,9.6e-4,0.00902857142857143
GO:0008233,peptidase activity,263,26,13.58,0.00101,0.009277906976744186
GO:0000977,RNA polymerase II transcription regulato...,268,26,13.84,0.00133,0.011939772727272726
GO:0016772,"transferase activity, transferring phosp...",403,35,20.81,0.00153,0.013430000000000001
GO:0004175,endopeptidase activity,163,18,8.42,0.00177,0.015198913043478262
GO:0000166,nucleotide binding,940,68,48.54,0.0019,0.015635416666666666
GO:1901265,nucleoside phosphate binding,940,68,48.54,0.0019,0.015635416666666666
GO:0004843,thiol-dependent ubiquitin-specific prote...,36,7,1.86,0.0021,0.016669
GO:0003713,transcription coactivator activity,67,10,3.46,0.00211,0.016669
GO:1901363,heterocyclic compound binding,2242,141,115.77,0.0022,0.01671153846153846
GO:0003712,transcription coregulator activity,153,17,7.9,0.0022,0.01671153846153846
GO:0101005,ubiquitinyl hydrolase activity,37,7,1.91,0.00248,0.018483018867924528
GO:0019787,ubiquitin-like protein transferase activ...,169,18,8.73,0.00265,0.01938425925925926
GO:0003690,double-stranded DNA binding,357,31,18.43,0.00284,0.02024375
GO:0097159,organic cyclic compound binding,2256,141,116.49,0.00287,0.02024375
GO:0004197,cysteine-type endopeptidase activity,29,6,1.5,0.00314,0.021759649122807017
GO:0036094,small molecule binding,1016,71,52.46,0.00367,0.02499396551724138
GO:0043168,anion binding,1072,74,55.36,0.0041,0.027449152542372884
GO:0005539,glycosaminoglycan binding,31,6,1.6,0.00446,0.029333606557377052
GO:0008242,omega peptidase activity,41,7,2.12,0.00453,0.029333606557377052
GO:0019001,guanyl nucleotide binding,166,17,8.57,0.00516,0.03235238095238095
GO:0032561,guanyl ribonucleotide binding,166,17,8.57,0.00516,0.03235238095238095
GO:0046872,metal ion binding,1216,81,62.79,0.00679,0.04190703125
GO:0019904,protein domain specific binding,79,10,4.08,0.00709,0.043085384615384616
GO:0004842,ubiquitin-protein transferase activity,159,16,8.21,0.00774,0.04630277777777777
GO:0008270,zinc ion binding,306,26,15.8,0.00804,0.04630277777777777
GO:0005089,Rho guanyl-nucleotide exchange factor ac...,25,5,1.29,0.00805,0.04630277777777777
GO:0000978,RNA polymerase II cis-regulatory region ...,174,17,8.98,0.00821,0.04630277777777777
GO:0032559,adenyl ribonucleotide binding,676,49,34.91,0.00834,0.04630277777777777
GO:0005088,Ras guanyl-nucleotide exchange factor ac...,57,8,2.94,0.00839,0.04630277777777777
GO:0003924,GTPase activity,133,14,6.87,0.00844,0.04630277777777777
GO:0042393,histone binding,69,9,3.56,0.00859,0.04648013698630137
GO:0005524,ATP binding,661,48,34.13,0.00873,0.04659932432432432
GO:0043169,cation binding,1229,81,63.46,0.00893,0.047031333333333335
GO:0030554,adenyl nucleotide binding,680,49,35.11,0.0093,0.048335526315789475
GO:0001883,purine nucleoside binding,163,16,8.42,0.00975,0.04875
GO:0005525,GTP binding,163,16,8.42,0.00975,0.04875
GO:0032550,purine ribonucleoside binding,163,16,8.42,0.00975,0.04875
