GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0007165	signal transduction	56	27	16.89	0.0014	0.00088	0.133	0.029608333333333334
GO:0050896	response to stimulus	78	36	23.53	0.0080	0.00014	0.38	0.0133
GO:0007264	small GTPase mediated signal transduction	12	5	3.62	0.0321	0.03208	1	0.2539666666666667
GO:0007275	multicellular organism development	12	6	3.62	0.0424	0.04236	1	0.3095538461538462
GO:0006355	regulation of transcription, DNA-templated	48	19	14.48	0.0697	0.29664	1	0.767526923076923
GO:0005975	carbohydrate metabolic process	10	3	3.02	0.1132	0.11320	1	0.672125
GO:0048856	anatomical structure development	13	7	3.92	0.1381	0.01470	1	0.13965
GO:0006979	response to oxidative stress	11	4	3.32	0.1567	0.15675	1	0.767526923076923
GO:0044249	cellular biosynthetic process	61	21	18.4	0.1601	0.72520	1	0.9899873563218392
GO:0009057	macromolecule catabolic process	12	2	3.62	0.1845	0.18447	1	0.767526923076923
GO:0006139	nucleobase-containing compound metabolic process	66	22	19.91	0.2377	0.40279	1	0.767526923076923
GO:0007166	cell surface receptor signaling pathway	15	7	4.52	0.2421	0.24211	1	0.767526923076923
GO:0016043	cellular component organization	20	4	6.03	0.2498	0.88558	1	0.9899873563218392
GO:0009058	biosynthetic process	62	22	18.7	0.2594	0.60869	1	0.9637591666666665
GO:1901565	organonitrogen compound catabolic process	11	3	3.32	0.2996	0.29960	1	0.767526923076923
GO:0009987	cellular process	235	76	70.89	0.3203	0.09686	1	0.6572642857142857
GO:0034641	cellular nitrogen compound metabolic process	73	23	22.02	0.3220	0.82404	1	0.9899873563218392
GO:0006950	response to stress	19	6	5.73	0.3527	0.25183	1	0.767526923076923
GO:1901564	organonitrogen compound metabolic process	110	24	33.18	0.3745	0.90387	1	0.9899873563218392
GO:0032501	multicellular organismal process	14	7	4.22	0.3755	0.02438	1	0.21055454545454547
GO:0006468	protein phosphorylation	33	10	9.95	0.3786	0.37863	1	0.767526923076923
GO:0023052	signaling	57	27	17.19	0.3836	0.00128	1	0.029608333333333334
GO:0007154	cell communication	57	27	17.19	0.3836	0.00128	1	0.029608333333333334
GO:0035556	intracellular signal transduction	25	10	7.54	0.3875	0.17908	1	0.767526923076923
GO:0055114	oxidation-reduction process	21	6	6.33	0.4723	0.47229	1	0.80120625
GO:0006464	cellular protein modification process	58	15	17.5	0.5785	0.46742	1	0.80120625
GO:0044248	cellular catabolic process	19	5	5.73	0.5912	0.59117	1	0.9518838983050847
GO:0065007	biological regulation	120	48	36.2	0.6054	0.00876	1	0.104025
GO:0016070	RNA metabolic process	63	21	19	0.6660	0.49046	1	0.8174333333333333
GO:0051716	cellular response to stimulus	58	27	17.5	0.6868	0.00183	1	0.029608333333333334
GO:0044260	cellular macromolecule metabolic process	115	32	34.69	0.6943	0.57403	1	0.940221551724138
GO:0044237	cellular metabolic process	145	41	43.74	0.7214	0.74737	1	0.9899873563218392
GO:0071704	organic substance metabolic process	186	48	56.1	0.7289	0.75106	1	0.9899873563218392
GO:0006357	regulation of transcription by RNA polymerase II	16	5	4.83	0.7330	0.73301	1	0.9899873563218392
GO:0050794	regulation of cellular process	111	47	33.48	0.7525	0.00187	1	0.029608333333333334
GO:0043412	macromolecule modification	61	16	18.4	0.7560	0.42012	1	0.767526923076923
GO:0034654	nucleobase-containing compound biosynthetic process	50	19	15.08	0.8339	0.38087	1	0.767526923076923
GO:0006396	RNA processing	10	1	3.02	0.8453	0.84527	1	0.9899873563218392
GO:0090304	nucleic acid metabolic process	64	21	19.3	0.8453	0.46026	1	0.80120625
GO:0010468	regulation of gene expression	54	19	16.29	0.8458	0.38952	1	0.767526923076923
GO:0046907	intracellular transport	14	3	4.22	0.8701	0.87012	1	0.9899873563218392
GO:1901566	organonitrogen compound biosynthetic process	11	1	3.32	0.8783	0.87828	1	0.9899873563218392
GO:0051641	cellular localization	15	3	4.52	0.8814	0.86107	1	0.9899873563218392
GO:0044267	cellular protein metabolic process	67	15	20.21	0.8847	0.76658	1	0.9899873563218392
GO:0051171	regulation of nitrogen compound metabolic process	50	19	15.08	0.8885	0.41930	1	0.767526923076923
GO:2000112	regulation of cellular macromolecule biosynthetic process	50	19	15.08	0.8885	0.41930	1	0.767526923076923
GO:0080090	regulation of primary metabolic process	50	19	15.08	0.8885	0.41930	1	0.767526923076923
GO:0006366	transcription by RNA polymerase II	17	5	5.13	0.9006	0.78869	1	0.9899873563218392
GO:0033036	macromolecule localization	10	3	3.02	0.9066	0.90662	1	0.9899873563218392
GO:0034645	cellular macromolecule biosynthetic process	58	20	17.5	0.9146	0.65180	1	0.9675156250000001
GO:0044271	cellular nitrogen compound biosynthetic process	57	19	17.19	0.9153	0.79720	1	0.9899873563218392
GO:0071840	cellular component organization or biogenesis	22	4	6.64	0.9344	0.94581	1	1
GO:0010467	gene expression	69	20	20.81	0.9385	0.77231	1	0.9899873563218392
GO:0006810	transport	26	5	7.84	0.9407	0.98892	1	1
GO:0006796	phosphate-containing compound metabolic process	41	11	12.37	0.9722	0.65150	1	0.9675156250000001
GO:0006508	proteolysis	45	7	13.57	0.9732	0.97324	1	1
GO:0044238	primary metabolic process	177	45	53.39	0.9771	0.79060	1	0.9899873563218392
GO:0016310	phosphorylation	34	10	10.26	0.9774	0.41346	1	0.767526923076923
GO:0006996	organelle organization	16	2	4.83	0.9916	0.99163	1	1
GO:0071702	organic substance transport	11	3	3.32	0.9990	0.99902	1	1
GO:0051179	localization	28	5	8.45	0.9995	0.99735	1	1
GO:0008150	biological_process	305	92	92	1.0000	1.00000	1	1
GO:0008152	metabolic process	217	58	65.46	1.0000	0.81146	1	0.9899873563218392
GO:0032502	developmental process	13	7	3.92	1.0000	0.01470	1	0.13965
GO:0051252	regulation of RNA metabolic process	48	19	14.48	1.0000	0.29664	1	0.767526923076923
GO:0019222	regulation of metabolic process	54	19	16.29	1.0000	0.38952	1	0.767526923076923
GO:0006807	nitrogen compound metabolic process	168	43	50.68	1.0000	0.80562	1	0.9899873563218392
GO:1901575	organic substance catabolic process	13	3	3.92	1.0000	0.10888	1	0.672125
GO:1901576	organic substance biosynthetic process	60	20	18.1	1.0000	0.75700	1	0.9899873563218392
GO:0060255	regulation of macromolecule metabolic process	54	19	16.29	1.0000	0.38952	1	0.767526923076923
GO:0009056	catabolic process	22	6	6.64	1.0000	0.34515	1	0.767526923076923
GO:0009059	macromolecule biosynthetic process	58	20	17.5	1.0000	0.65180	1	0.9675156250000001
GO:0019538	protein metabolic process	103	21	31.07	1.0000	0.90364	1	0.9899873563218392
GO:0036211	protein modification process	58	15	17.5	1.0000	0.46742	1	0.80120625
GO:0051234	establishment of localization	26	5	7.84	1.0000	0.98892	1	1
GO:0006793	phosphorus metabolic process	41	11	12.37	1.0000	0.65150	1	0.9675156250000001
