Orthogroup	Osmia_lignaria	Anopheles_gambiae
OG0000001	XP_034183758.1, XP_034183757.1, XP_034177877.1, XP_034194603.1, XP_034194619.1, XP_034194593.1, XP_034194594.1, XP_034178693.1, XP_034178694.1, XP_034178695.1, XP_034178692.1, XP_034178691.1, XP_034178244.1, XP_034178676.1, XP_034194581.1, XP_034194582.1, XP_034194583.1, XP_034178690.1, XP_034178111.1, XP_034194601.1, XP_034178688.1, XP_034178687.1, XP_034178689.1, XP_034178696.1, XP_034187550.1, XP_034182179.1, XP_034190826.1, XP_034190827.1	XP_563971.3
OG0000002	XP_034171936.1, XP_034171929.1, XP_034171933.1, XP_034171931.1, XP_034170982.1, XP_034171014.1, XP_034171015.1, XP_034171927.1, XP_034170983.1, XP_034170985.1, XP_034170984.1, XP_034171930.1, XP_034171932.1, XP_034171011.1, XP_034171928.1, XP_034171012.1	XP_317343.1
OG0000003	XP_034194163.1, XP_034195049.1, XP_034195035.1, XP_034195209.1, XP_034195334.1	XP_001688581.1
OG0000004	XP_034182484.1, XP_034184622.1	XP_310729.1
OG0000004	XP_034194812.1	XP_320414.1
OG0000005	XP_034196431.1, XP_034175159.1, XP_034175160.1, XP_034192460.1, XP_034194826.1	XP_308124.5
OG0000006	XP_034189642.1	XP_310173.1, XP_310172.2
OG0000007	XP_034192270.1	XP_003435875.1, XP_003435876.1
OG0000008	XP_034185974.1	XP_310333.7
OG0000008	XP_034185973.1	XP_310338.7, XP_310337.6
OG0000008	XP_034181671.1	XP_312388.4, XP_312387.5
OG0000008	XP_034185970.1	XP_003436608.1, XP_003436609.1, XP_003436607.1
OG0000008	XP_034185983.1	XP_310332.7, XP_003436611.1
OG0000008	XP_034185979.1, XP_034185978.1	XP_559558.6, XP_003436610.1
OG0000008	XP_034185982.1, XP_034185981.1, XP_034185980.1	XP_310340.1
OG0000009	XP_034180231.1, XP_034180230.1, XP_034180232.1, XP_034195958.1, XP_034180228.1, XP_034180226.1, XP_034180498.1, XP_034180227.1	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2
OG0000012	XP_034195538.1	XP_317829.4
OG0000012	XP_034193627.1, XP_034193628.1, XP_034193625.1	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2
OG0000013	XP_034195020.1	XP_307081.3
OG0000013	XP_034171451.1, XP_034184139.1, XP_034171306.1, XP_034173427.1, XP_034171174.1	XP_307601.3
OG0000013	XP_034191426.1	XP_320335.2, XP_320336.2
OG0000017	XP_034170905.1	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1
OG0000017	XP_034178979.1, XP_034178985.1, XP_034178984.1	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1
OG0000018	XP_034175482.1	XP_316463.3, XP_557101.2
