GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0004842	ubiquitin-protein transferase activity	39	12	7.59	0.0028	0.00119	0.28002857142857146	0.05544
GO:0008081	phosphoric diester hydrolase activity	11	5	2.14	0.0031	0.00309	0.28002857142857146	0.061182
GO:0022843	voltage-gated cation channel activity	14	8	2.72	0.0053	0.00532	0.28002857142857146	0.08778
GO:0003700	DNA-binding transcription factor activity	88	19	17.13	0.0080	0.08993	0.28002857142857146	0.3633906122448979
GO:0019899	enzyme binding	42	10	8.17	0.0091	0.00340	0.28002857142857146	0.0612
GO:0005515	protein binding	812	188	158.02	0.0095	0.00211	0.28002857142857146	0.0571725
GO:0004674	protein serine/threonine kinase activity	41	10	7.98	0.0099	0.00990	0.28002857142857146	0.14001428571428573
GO:0005262	calcium channel activity	10	6	1.95	0.0134	0.01335	0.32999999999999996	0.16121368421052631
GO:0003676	nucleic acid binding	337	58	65.58	0.0150	0.06393	0.32999999999999996	0.31595142857142855
GO:0004672	protein kinase activity	132	28	25.69	0.0214	0.00231	0.40499999999999997	0.0571725
GO:0043565	sequence-specific DNA binding	36	8	7.01	0.0225	0.02254	0.40499999999999997	0.21252000000000001
GO:0016772	transferase activity, transferring phosphorus-containing groups	190	41	36.98	0.0278	0.00085	0.4587	0.05544
GO:0005085	guanyl-nucleotide exchange factor activity	32	8	6.23	0.0328	0.03279	0.46704705882352937	0.23187214285714286
GO:0008080	N-acetyltransferase activity	13	2	2.53	0.0360	0.03602	0.46704705882352937	0.237732
GO:0003723	RNA binding	87	6	16.93	0.0381	0.06702	0.46704705882352937	0.31595142857142855
GO:0060090	molecular adaptor activity	10	4	1.95	0.0393	0.03928	0.46704705882352937	0.243045
GO:0016773	phosphotransferase activity, alcohol group as acceptor	156	36	30.36	0.0401	0.00042	0.46704705882352937	0.04158
GO:0016740	transferase activity	374	83	72.78	0.0475	6.6e-05	0.5225	0.013068000000000001
GO:0003712	transcription coregulator activity	21	3	4.09	0.0513	0.05127	0.5346	0.28198500000000004
GO:0003774	motor activity	30	5	5.84	0.0601	0.74673	0.59499	0.9716487804878048
GO:0046983	protein dimerization activity	35	11	6.81	0.0791	0.07906	0.7458	0.34030173913043477
GO:0036094	small molecule binding	407	83	79.21	0.0926	0.67421	0.7865379310344828	0.9716487804878048
GO:0005096	GTPase activator activity	20	7	3.89	0.0944	0.09439	0.7865379310344828	0.3737844
GO:0005543	phospholipid binding	25	5	4.87	0.1014	0.22297	0.7865379310344828	0.6131675
GO:0016874	ligase activity	34	10	6.62	0.1019	0.24725	0.7865379310344828	0.6357857142857143
GO:0022836	gated channel activity	45	19	8.76	0.1090	0.00205	0.7865379310344828	0.0571725
GO:0140110	transcription regulator activity	111	23	21.6	0.1118	0.04755	0.7865379310344828	0.2689971428571429
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	15	4	2.92	0.1137	0.11369	0.7865379310344828	0.4223266666666667
GO:0005524	ATP binding	281	61	54.69	0.1152	0.11518	0.7865379310344828	0.4223266666666667
GO:0008289	lipid binding	40	11	7.78	0.1484	0.05750	0.9578249999999999	0.3077027027027027
GO:0022824	transmitter-gated ion channel activity	13	5	2.53	0.1505	0.15050	0.9578249999999999	0.49665
GO:0015103	inorganic anion transmembrane transporter activity	11	3	2.14	0.1548	0.15477	0.9578249999999999	0.5023681967213115
GO:0015079	potassium ion transmembrane transporter activity	20	6	3.89	0.1827	0.39801	1	0.8955225
GO:0140096	catalytic activity, acting on a protein	337	62	65.58	0.1905	0.06095	1	0.31595142857142855
GO:0019001	guanyl nucleotide binding	62	13	12.07	0.1920	0.79735	1	0.9716487804878048
GO:0008276	protein methyltransferase activity	12	4	2.34	0.1920	0.19200	1	0.5819478260869565
GO:0038023	signaling receptor activity	87	15	16.93	0.1979	0.63604	1	0.9716487804878048
GO:0061630	ubiquitin protein ligase activity	14	3	2.72	0.1998	0.19983	1	0.5819478260869565
GO:0016301	kinase activity	171	39	33.28	0.2012	0.00140	1	0.05544
GO:0046872	metal ion binding	274	59	53.32	0.2035	0.44053	1	0.9010428865979381
GO:0008270	zinc ion binding	107	23	20.82	0.2229	0.22285	1	0.6131675
GO:0044877	protein-containing complex binding	20	5	3.89	0.2261	0.41435	1	0.9010428865979381
GO:0008170	N-methyltransferase activity	10	2	1.95	0.2354	0.23541	1	0.6214824000000001
GO:0005215	transporter activity	209	53	40.67	0.2399	0.07780	1	0.34030173913043477
GO:0000166	nucleotide binding	384	78	74.73	0.2409	0.65416	1	0.9716487804878048
GO:0005102	signaling receptor binding	25	9	4.87	0.2510	0.25096	1	0.6370523076923077
GO:0003779	actin binding	33	7	6.42	0.2638	0.29901	1	0.7309133333333334
GO:0015078	proton transmembrane transporter activity	12	4	2.34	0.2709	0.27089	1	0.6789394936708861
GO:0097367	carbohydrate derivative binding	363	75	70.64	0.3108	0.50522	1	0.9022378378378378
GO:0016758	transferase activity, transferring hexosyl groups	16	0	3.11	0.3643	0.36434	1	0.8691484337349398
GO:0004888	transmembrane signaling receptor activity	80	15	15.57	0.3693	0.57183	1	0.9716487804878048
GO:0016407	acetyltransferase activity	14	2	2.72	0.3704	0.01767	1	0.17493300000000003
GO:0030170	pyridoxal phosphate binding	15	4	2.92	0.3807	0.38070	1	0.8854974418604652
GO:0015631	tubulin binding	31	9	6.03	0.3816	0.22664	1	0.614722191780822
GO:0005267	potassium channel activity	16	5	3.11	0.3846	0.38461	1	0.8854974418604652
GO:0030695	GTPase regulator activity	22	7	4.28	0.4220	0.08588	1	0.354255
GO:0015085	calcium ion transmembrane transporter activity	13	7	2.53	0.4230	0.01462	1	0.16121368421052631
GO:0052689	carboxylic ester hydrolase activity	14	4	2.72	0.4312	0.43124	1	0.9010428865979381
GO:0004620	phospholipase activity	10	3	1.95	0.4313	0.43129	1	0.9010428865979381
GO:0008017	microtubule binding	26	7	5.06	0.4316	0.43161	1	0.9010428865979381
GO:0015318	inorganic molecular entity transmembrane transporter activity	105	32	20.43	0.4318	0.03846	1	0.243045
GO:0098772	molecular function regulator	197	37	38.34	0.4443	0.10347	1	0.4017070588235294
GO:0016879	ligase activity, forming carbon-nitrogen bonds	15	5	2.92	0.4479	0.44788	1	0.9022378378378378
GO:0008324	cation transmembrane transporter activity	71	23	13.82	0.4546	0.03279	1	0.23187214285714286
GO:0101005	ubiquitinyl hydrolase activity	16	1	3.11	0.4674	0.48174	1	0.9022378378378378
GO:0097159	organic cyclic compound binding	721	135	140.31	0.4714	0.10934	1	0.4163330769230769
GO:0051536	iron-sulfur cluster binding	14	2	2.72	0.4845	0.48448	1	0.9022378378378378
GO:0042626	ATPase-coupled transmembrane transporter activity	21	6	4.09	0.4923	0.49229	1	0.9022378378378378
GO:0030594	neurotransmitter receptor activity	14	5	2.72	0.4926	0.18634	1	0.5819478260869565
GO:0015276	ligand-gated ion channel activity	27	9	5.25	0.4951	0.20280	1	0.5819478260869565
GO:0008135	translation factor activity, RNA binding	12	0	2.34	0.5058	0.50580	1	0.9022378378378378
GO:0004721	phosphoprotein phosphatase activity	27	3	5.25	0.5221	0.96070	1	1
GO:0004843	thiol-dependent ubiquitin-specific protease activity	14	1	2.72	0.5281	0.52808	1	0.9253083185840708
GO:0008233	peptidase activity	102	10	19.85	0.5519	0.99006	1	1
GO:0015075	ion transmembrane transporter activity	115	34	22.38	0.5537	0.04548	1	0.2689971428571429
GO:0016817	hydrolase activity, acting on acid anhydrides	134	26	26.08	0.5786	0.58082	1	0.9716487804878048
GO:0008168	methyltransferase activity	26	7	5.06	0.5828	0.06951	1	0.3200693023255814
GO:0003924	GTPase activity	46	10	8.95	0.5946	0.59465	1	0.9716487804878048
GO:0016757	transferase activity, transferring glycosyl groups	33	5	6.42	0.5970	0.61343	1	0.9716487804878048
GO:0003677	DNA binding	158	29	30.75	0.5999	0.50474	1	0.9022378378378378
GO:0016741	transferase activity, transferring one-carbon groups	29	7	5.64	0.6029	0.06695	1	0.31595142857142855
GO:0035091	phosphatidylinositol binding	14	1	2.72	0.6055	0.60554	1	0.9716487804878048
GO:0004386	helicase activity	18	4	3.5	0.6093	0.60930	1	0.9716487804878048
GO:0008061	chitin binding	10	1	1.95	0.6096	0.60962	1	0.9716487804878048
GO:0022853	active ion transmembrane transporter activity	20	4	3.89	0.6114	0.61137	1	0.9716487804878048
GO:0015291	secondary active transmembrane transporter activity	20	2	3.89	0.6114	0.61137	1	0.9716487804878048
GO:0005261	cation channel activity	39	15	7.59	0.6223	0.03146	1	0.23187214285714286
GO:0016746	transferase activity, transferring acyl groups	46	11	8.95	0.6225	0.16461	1	0.52569
GO:0005319	lipid transporter activity	11	3	2.14	0.6228	0.62284	1	0.9716487804878048
GO:0005509	calcium ion binding	80	19	15.57	0.6231	0.62314	1	0.9716487804878048
GO:0004222	metalloendopeptidase activity	22	3	4.28	0.6293	0.62933	1	0.9716487804878048
GO:0005230	extracellular ligand-gated ion channel activity	22	7	4.28	0.6312	0.21739	1	0.6131675
GO:0043169	cation binding	278	60	54.1	0.6318	0.44142	1	0.9010428865979381
GO:0140101	catalytic activity, acting on a tRNA	18	2	3.5	0.6319	0.79353	1	0.9716487804878048
GO:0042578	phosphoric ester hydrolase activity	59	9	11.48	0.6325	0.61633	1	0.9716487804878048
GO:0016298	lipase activity	14	4	2.72	0.6352	0.36043	1	0.8691484337349398
GO:0016491	oxidoreductase activity	107	13	20.82	0.6387	0.77086	1	0.9716487804878048
GO:0005216	ion channel activity	69	23	13.43	0.6522	0.02933	1	0.23187214285714286
GO:0008238	exopeptidase activity	11	1	2.14	0.6619	0.66188	1	0.9716487804878048
GO:0008092	cytoskeletal protein binding	68	17	13.23	0.6656	0.28444	1	0.7039890000000001
GO:0005506	iron ion binding	23	1	4.48	0.6766	0.67662	1	0.9716487804878048
