ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880101"	NA	chrOU015519.1	-	8161944	8162274	8162162	8162274	8161702	8161819	0	1,5,3	0,1,0	21,24,9,5	2,3,1,1	317	99	0.00175514871189	0.024638313993323772	1.0,0.61,1.0	0.766,0.714,0.738,0.61	0.163
2	"LOC114872160"	NA	chrOU015519.1	-	7968196	7968639	7968469	7968639	7967782	7968031	2	6,4,7	0,0,1	25,14,10,11	1,0,0,0	372	99	1	1.0	1.0,1.0,0.651	0.869,1.0,1.0,1.0	-0.084
3	"LOC114872160"	NA	chrOU015519.1	-	7969418	7969623	7969470	7969623	7969178	7969350	3	4,2,1	1,1,0	24,4,10,6	0,0,0,0	151	99	1	1.0	0.724,0.567,1.0	1.0,1.0,1.0,1.0	-0.236
4	"LOC114872190"	NA	chrOU015519.1	-	7781846	7782062	7781960	7782062	7781572	7781767	4	52,82,62	60,91,70	191,33,35,39	221,38,47,60	213	99	0.495866634287	0.9751315662806908	0.287,0.295,0.292	0.287,0.288,0.257,0.232	0.025
5	"LOC114872233"	NA	chrOU015519.1	+	7676847	7678029	7676847	7677573	7678109	7679021	5	25,37,34	1,0,0	159,31,21,25	1,1,0,2	555	99	0.800800964126	1.0	0.817,1.0,1.0	0.966,0.847,1.0,0.69	0.063
6	"LOC114879960"	NA	chrOU015519.1	-	6701510	6701919	6701545	6701919	6701139	6701271	6	10,19,8	0,0,0	32,10,2,6	9,1,0,3	134	99	6.12540931177e-06	0.00029089177838022637	1.0,1.0,1.0	0.724,0.881,1.0,0.596	0.2
7	"LOC114880459"	NA	chrOU015519.1	-	6286214	6286473	6286307	6286473	6285912	6286068	7	66,104,84	9,7,11	359,87,63,75	42,5,6,8	192	99	0.919209999795	1.0	0.791,0.885,0.797	0.815,0.9,0.844,0.829	-0.023
8	"LOC114880458"	NA	chrOU015519.1	-	6269529	6269691	6269547	6269691	6268739	6269458	8	137,143,151	70,87,91	744,150,167,149	399,66,67,103	117	99	0.419547994464	0.9135913401401444	0.624,0.582,0.584	0.612,0.658,0.678,0.55	-0.028
9	"LOC114876703"	NA	chrOU015519.1	-	6022709	6022855	6022727	6022855	6021613	6021747	9	9,16,17	5,13,14	46,7,14,9	17,3,4,5	117	99	0.0369942829849	0.20090325942164672	0.604,0.51,0.507	0.696,0.664,0.748,0.604	-0.138
10	"LOC114876703"	NA	chrOU015519.1	-	6022709	6022855	6022727	6022855	6022042	6022090	10	16,19,18	53,47,66	50,7,15,11	151,24,33,23	117	99	0.547044292719	1.0	0.203,0.255,0.188	0.219,0.198,0.278,0.288	-0.03
