Orthogroup	Eufriesea_mexicana	Tribolium_castaneum
OG0000001	XP_017753392.1, XP_017753391.1	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1
OG0000001	XP_017759613.1	XP_969875.1
OG0000001	XP_017767083.1, XP_017759625.1	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1
OG0000002	XP_017759720.1, XP_017759719.1, XP_017759718.1, XP_017759717.1, XP_017759746.1, XP_017759702.1, XP_017759703.1, XP_017759734.1, XP_017759707.1, XP_017759704.1, XP_017759700.1, XP_017759706.1, XP_017759708.1, XP_017759729.1, XP_017759714.1, XP_017759715.1, XP_017759716.1, XP_017759712.1, XP_017759730.1, XP_017759757.1, XP_017759752.1, XP_017759759.1, XP_017759710.1, XP_017759755.1, XP_017759744.1, XP_017759709.1, XP_017759756.1, XP_017759713.1	XP_015839871.1
OG0000003	XP_017759422.1	XP_015836638.1
OG0000004	XP_017756490.1, XP_017765529.1, XP_017762446.1, XP_017759643.1, XP_017765018.1, XP_017762993.1, XP_017765344.1, XP_017756226.1, XP_017759329.1, XP_017752724.1, XP_017752718.1, XP_017765343.1, XP_017765490.1, XP_017752726.1, XP_017754359.1, XP_017763966.1, XP_017763517.1, XP_017754218.1	XP_015834342.1
OG0000008	XP_017764283.1	XP_972338.1
OG0000008	XP_017764386.1	XP_972175.3
OG0000008	XP_017752288.1	XP_969421.1
OG0000008	XP_017765710.1	XP_008191987.1, XP_972532.1
OG0000008	XP_017764163.1	XP_972430.2
OG0000008	XP_017764510.1	XP_015836551.1, XP_015836552.1
OG0000008	XP_017764053.1, XP_017763974.1	XP_008191970.1
OG0000009	XP_017757841.1, XP_017757840.1, XP_017765586.1, XP_017758639.1, XP_017758640.1, XP_017758638.1, XP_017765620.1, XP_017758637.1	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2
OG0000012	XP_017754933.1	XP_967167.2, XP_967253.1, NP_001164207.1, XP_015839971.1
OG0000012	XP_017765063.1, XP_017765064.1, XP_017765060.1	XP_008192552.1
OG0000013	XP_017764546.1	XP_969677.1
OG0000013	XP_017754146.1	XP_966487.1
OG0000013	XP_017760617.1, XP_017760618.1, XP_017760616.1	XP_008197392.1
OG0000014	XP_017764543.1, XP_017754143.1	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1
OG0000017	XP_017756241.1, XP_017756242.1, XP_017756232.1	XP_015834775.1, XP_974273.1
OG0000018	XP_017763433.1	XP_008200429.1
