geneID,geneDescription,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC114874675,uncharacterized LOC114874675,2057.641100459453,-6.736312869438183,0.20266260165009498,1202.9529123674456,1.3917125890407993e-263,1.4319330828640785e-259
LOC114878113,cytoplasmic polyadenylation element-binding protein 1,5260.739985317156,-6.642618584468386,0.17830969958925486,981.0946295076155,2.310208414763609e-215,1.1884867189751386e-211
LOC114874603,uncharacterized LOC114874603,785.8240342836565,-9.409066981774352,0.6603647190976916,948.3130571208219,3.0863382406772076e-208,1.0585111386109262e-204
LOC114873162,vitellogenin receptor,21300.61604266398,-4.736556027426927,0.13152694445166058,880.0028051776759,2.18285424930615e-193,5.614846842777744e-190
LOC114874576,uncharacterized LOC114874576,791.1616759940082,-7.418040214165852,0.3549630012850981,809.8610275172452,3.873579905417426e-178,7.971052729367979e-175
LOC114882916,targeting protein for Xklp2-like,949.5336817608684,-5.923615903322311,0.2269073953590383,759.218731699291,3.971308087566325e-167,6.810131485494986e-164
LOC114872548,uncharacterized LOC114872548,558.460563427617,-7.538002958798442,0.4279553914910738,719.3205152603649,1.8811001453749424e-158,2.764948485108969e-155
LOC114881604,protein maelstrom homolog,1061.7945175911377,-6.641863223874226,0.27332913611001813,640.7903657162607,2.2492980511765318e-141,2.892878456069417e-138
LOC114872019,insulin-like growth factor 2 mRNA-binding protein 1,2201.960690776912,-3.092637913202251,0.11974188540104626,565.1116241364318,6.496475273064377e-125,7.426914898284374e-122
LOC114873531,uncharacterized LOC114873531,699.4204503711836,-7.8641350983471145,0.44339801359344766,553.9419554126422,1.7476729580970153e-122,1.7981807065860192e-119
LOC114879098,homeobox protein six1b-like,331.41004562012915,-6.393500539330999,0.38188170861278403,548.3901959714776,2.8196086508136486e-121,2.637359400747421e-118
LOC114876355,uncharacterized LOC114876355,461.4735887004485,-7.263456773908132,0.437030039279839,541.9365549349473,7.14727433276855e-120,6.128192134154634e-117
LOC114876626,pro-resilin-like,983.3182661714501,-8.595498574276617,0.4883790492488109,496.42050732009443,5.712170982505274e-110,4.520963633768982e-107
LOC114878452,transcription initiation factor TFIID subunit 12b,1122.9055421698222,-4.084523754392713,0.16932523679361555,492.8122188792025,3.4826422137952617e-109,2.559493266981389e-106
LOC114878269,protein LSM14 homolog A,13948.235818560854,-2.8119629592763773,0.11577238859187268,482.58440548084053,5.853099722551906e-107,4.014836203022437e-104
LOC114876918,zinc finger protein 181-like,216.69905371793362,-6.8623728216105135,0.5331068000287476,477.7062917026496,6.742981020413655e-106,4.336158232439756e-103
LOC114871509,uncharacterized LOC114871509,2881.248540912646,-9.216402021758757,0.40962699985927953,463.7107587156128,7.488124452586829e-103,4.5320772054509346e-100
LOC114878248,ATP-dependent RNA helicase vasa,5265.574523163996,-3.8271907624755936,0.15536269125178465,457.405715804881,1.7638260255554884e-101,1.0082225542744677e-98
LOC114873792,calponin homology domain-containing protein DDB_G0272472,4048.8571007832534,-2.897630759480415,0.12351422262050495,455.479774960278,4.62999754293705e-101,2.507265511541016e-98
LOC114870902,kinesin-like protein KIF20B,879.0111601750191,-3.3040893438853214,0.14795315427344125,448.08051238323606,1.887344418379783e-99,9.709443360354795e-97
LOC114876802,zinc finger protein mnm-2-like,639.4128657559868,-8.264953138461143,0.5326832579598536,422.75828267882616,6.124604414745503e-94,3.000764515396023e-91
LOC114871897,uncharacterized LOC114871897,553.5500466078867,-5.756486321999367,0.2911783056822635,410.0726238498931,3.534419764768187e-91,1.65298386180454e-88
LOC114873346,uncharacterized LOC114873346,283.02046876835385,-3.369226178309455,0.1869905867976296,359.0916520861443,4.43991636253889e-80,1.9861869327896797e-77
LOC114871770,homeobox protein OTX2-like,646.2574305758355,-5.677207499554342,0.2885433693498751,357.17604144449064,1.1601107515028524e-79,4.9734914675886866e-77
LOC114876024,uncharacterized LOC114876024,1773.5329362425748,-8.441855881423752,0.4202972325503271,347.8640977520827,1.2367063526568004e-77,5.089788664994327e-75
LOC114875938,protein Spindly-like,974.1540263809663,-3.8042044081458095,0.18834132443780643,338.61669725354585,1.2768242051157329e-75,5.0527862486291443e-73
LOC114874078,uncharacterized LOC114874078,1349.3146465695154,-10.511795186785196,0.7891199661488154,317.69410685705947,4.604476751811188e-71,1.7546467147920487e-68
LOC114873741,protein nanos,231.18465149770122,-5.42743536789594,0.3597282489110896,307.59799123651317,7.286057597818139e-69,2.6773659508553867e-66
LOC114872488,uncharacterized LOC114872488,1094.8987639765157,-3.624168444768079,0.18941154565345436,299.52171316660645,4.1876871984688283e-67,1.4857625374153716e-64
LOC114876308,uncharacterized LOC114876308,818.0068891359066,-3.2974087134643892,0.17755120568393895,296.5771190279573,1.834492334673463e-66,6.291697210485086e-64
LOC114877206,paramyosin-like,1409.4040954865307,-5.269529486568312,0.263058218316268,291.0353406767391,2.9577830527709047e-65,9.816977364503172e-63
LOC114883149,uncharacterized LOC114883149,1239.7609373908922,-3.8745594898708373,0.2043253515589559,284.7474837814843,6.935337744132068e-64,2.229927814042964e-61
LOC114876835,uncharacterized LOC114876835,523.0139514896923,-11.047466716870366,1.2178314698712733,282.4399254815462,2.207507513485413e-63,6.882740850379217e-61
LOC114874615,UPF0489 protein C5orf22 homolog,368.1834254460679,-3.8113404364557018,0.2227969231019886,278.94372724332715,1.2757859000888e-62,3.8607532723569603e-60
LOC114872661,uncharacterized LOC114872661,1716.7973025057759,-9.049021850246561,0.5114977527077637,275.9987038000281,5.592036152918621e-62,1.6438988564965626e-59
LOC114879071,transcriptional regulator Myc-A,1128.1993718009721,-2.146993396434271,0.12447432616118982,271.2056468937345,6.196492041865395e-61,1.770991850520918e-58
LOC114873365,uncharacterized LOC114873365,1210.578929943889,-2.8485314303231766,0.16124108785394417,267.0461206749203,4.99697612031707e-60,1.3895645216741174e-57
LOC114878577,short-chain dehydrogenase/reductase family 16C member 6-like,2226.830586881181,1.4385534241251687,0.08849293965412895,266.4394550135923,6.775374129914623e-60,1.8345216953339882e-57
LOC114883016,NA,4740.252026014068,2.221378335581807,0.13536559220192557,264.2646135924248,2.01818367609193e-59,5.191272960827467e-57
LOC114883018,sorbitol dehydrogenase-like,4740.252026014068,2.221378335581807,0.13536559220192557,264.2646135924248,2.01818367609193e-59,5.191272960827467e-57
LOC114871567,protein hunchback-like,105.38172493880577,-9.705930788249821,1.1993865846324228,258.2922685877,4.043574412716896e-58,1.0147399300596132e-55
LOC114872636,histone H2A-like,3902.6537240084185,-1.9724180627920815,0.11844459710664493,247.07130858403673,1.1296283870990232e-55,2.7673205892528215e-53
LOC114875434,uncharacterized LOC114875434,317.9687955541868,-3.9546425734865744,0.2489720081282105,240.39661484988676,3.222745991390162e-54,7.711356629165902e-52
LOC114871334,uncharacterized LOC114871334,317.7205677207149,-3.3918422973165065,0.21434131274396287,238.67467500969087,7.650481979660407e-54,1.7889956611074076e-51
LOC114871579,NA,122.33778048544296,-8.941617026887766,1.2037941189911883,236.45721801422675,2.329236738543263e-53,5.3256704006381414e-51
