GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0035206	regulation of hemocyte proliferation	35	19	9.47	1.7e-05	1.7e-05	0.011271	0.008619
GO:0050832	defense response to fungus	38	19	10.28	0.00067	0.00067	0.222105	0.1110525
GO:0007626	locomotory behavior	34	18	9.19	0.00121	0.00121	0.26741	0.124644
GO:0006909	phagocytosis	31	16	8.38	0.00209	0.00209	0.34476	0.124644
GO:0043901	negative regulation of multi-organism process	21	6	5.68	0.00268	0.00268	0.34476	0.124644
GO:0048565	digestive tract development	31	13	8.38	0.00312	0.04185	0.34476	0.23715
GO:0007623	circadian rhythm	27	13	7.3	0.00415	0.00415	0.38719200000000004	0.15285833333333335
GO:0007416	synapse assembly	29	10	7.84	0.00488	0.53460	0.38719200000000004	0.6671965168539326
GO:0006897	endocytosis	25	13	6.76	0.00604	0.00604	0.38719200000000004	0.17077272727272727
GO:0007297	ovarian follicle cell migration	37	17	10.01	0.00626	0.05005	0.38719200000000004	0.24399374999999998
GO:0009968	negative regulation of signal transduction	73	26	19.74	0.00666	0.05757	0.38719200000000004	0.2686750344827586
GO:0000122	negative regulation of transcription by RNA polymerase II	24	12	6.49	0.00715	0.00715	0.38719200000000004	0.17077272727272727
GO:0044281	small molecule metabolic process	28	14	7.57	0.00766	0.00766	0.38719200000000004	0.17077272727272727
GO:1901700	response to oxygen-containing compound	59	22	15.96	0.00848	0.05763	0.38719200000000004	0.2686750344827586
GO:0007422	peripheral nervous system development	22	13	5.95	0.00876	0.00876	0.38719200000000004	0.17082
GO:0042692	muscle cell differentiation	21	12	5.68	0.00992	0.00992	0.41106	0.17151521739130435
GO:0006979	response to oxidative stress	38	19	10.28	0.01190	0.01190	0.4641	0.17151521739130435
GO:0060249	anatomical structure homeostasis	23	13	6.22	0.01330	0.01330	0.4696831578947368	0.17498
GO:0008340	determination of adult lifespan	37	17	10.01	0.01346	0.01346	0.4696831578947368	0.17498
GO:0044249	cellular biosynthetic process	173	54	46.79	0.01737	0.05158	0.5490271428571428	0.2478082608695652
GO:0060627	regulation of vesicle-mediated transport	21	10	5.68	0.01739	0.01739	0.5490271428571428	0.1832195238095238
GO:0002164	larval development	62	23	16.77	0.01899	0.09367	0.5722895454545455	0.316853112244898
GO:0007265	Ras protein signal transduction	23	8	6.22	0.02136	0.02136	0.6022692000000001	0.1962318292682927
GO:0007411	axon guidance	49	20	13.25	0.02213	0.02213	0.6022692000000001	0.1962318292682927
GO:1900425	negative regulation of defense response to bacterium	22	7	5.95	0.02271	0.02271	0.6022692000000001	0.1962318292682927
GO:0022412	cellular process involved in reproduction in multicellular organism	138	45	37.32	0.02860	0.07478	0.7293000000000001	0.2933676923076923
GO:0007507	heart development	31	14	8.38	0.03009	0.03009	0.7388766666666667	0.2134295744680851
GO:0006355	regulation of transcription, DNA-templated	106	35	28.67	0.03201	0.03919	0.747946875	0.22792078947368424
GO:0001736	establishment of planar polarity	25	13	6.76	0.03345	0.03345	0.747946875	0.21531407766990293
GO:0007419	ventral cord development	24	9	6.49	0.03424	0.03424	0.747946875	0.21828
GO:0007600	sensory perception	22	11	5.95	0.03509	0.03509	0.747946875	0.21897588785046732
GO:0042440	pigment metabolic process	47	19	12.71	0.03610	0.15456	0.747946875	0.40503272727272727
GO:0007391	dorsal closure	34	15	9.19	0.03899	0.03899	0.7620816666666668	0.22792078947368424
GO:0048569	post-embryonic animal organ development	101	34	27.31	0.04001	0.15113	0.7620816666666668	0.4024063855421686
GO:0045088	regulation of innate immune response	74	19	20.01	0.04033	0.64405	0.7620816666666668	0.7537853968253968
GO:0010629	negative regulation of gene expression	79	24	21.36	0.04138	0.00337	0.7620816666666668	0.13964437500000002
GO:0098609	cell-cell adhesion	23	12	6.22	0.04265	0.04265	0.764241891891892	0.23778857142857143
GO:0009267	cellular response to starvation	24	11	6.49	0.04687	0.04687	0.7897987499999999	0.24034977777777777
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	56	20	15.14	0.04754	0.08913	0.7897987499999999	0.311168
GO:0009888	tissue development	164	50	44.35	0.04765	0.14664	0.7897987499999999	0.3993488114754098
GO:0060322	head development	24	8	6.49	0.05231	0.05231	0.8458909756097562	0.24950741007194244
GO:0061058	regulation of peptidoglycan recognition protein signaling pathway	29	8	7.84	0.05984	0.05984	0.8781867391304348	0.2717391780821918
GO:0061024	membrane organization	20	9	5.41	0.06061	0.06061	0.8781867391304348	0.27290513513513515
GO:0023051	regulation of signaling	155	51	41.92	0.06077	0.02159	0.8781867391304348	0.1962318292682927
GO:0010646	regulation of cell communication	155	51	41.92	0.06077	0.02159	0.8781867391304348	0.1962318292682927
GO:0000165	MAPK cascade	38	15	10.28	0.06093	0.12255	0.8781867391304348	0.3727094036697248
GO:0007166	cell surface receptor signaling pathway	152	53	41.11	0.06617	0.01020	0.9072491999999999	0.17151521739130435
GO:0031324	negative regulation of cellular metabolic process	92	31	24.88	0.06730	0.03173	0.9072491999999999	0.21531407766990293
GO:0048523	negative regulation of cellular process	181	56	48.95	0.06732	0.00954	0.9072491999999999	0.17151521739130435
GO:0001752	compound eye photoreceptor fate commitment	20	9	5.41	0.06842	0.06842	0.9072491999999999	0.2853340490797546
GO:0065003	protein-containing complex assembly	38	9	10.28	0.06998	0.37442	0.90974	0.5578437303370786
GO:0048863	stem cell differentiation	27	12	7.3	0.07176	0.07176	0.9149400000000001	0.2893776646706587
GO:0007163	establishment or maintenance of cell polarity	41	17	11.09	0.07549	0.07549	0.91936	0.294411
GO:0000280	nuclear division	23	9	6.22	0.07824	0.07824	0.91936	0.2981213793103448
GO:0018130	heterocycle biosynthetic process	115	40	31.1	0.08063	0.01415	0.91936	0.17753666666666668
GO:0031349	positive regulation of defense response	71	22	19.2	0.08222	0.13682	0.91936	0.3938163090128755
GO:0048749	compound eye development	71	24	19.2	0.08292	0.19604	0.91936	0.4318090365448505
GO:0032535	regulation of cellular component size	33	10	8.92	0.08449	0.56888	0.91936	0.6933225000000001
GO:0007267	cell-cell signaling	57	22	15.42	0.08475	0.03571	0.91936	0.21921972222222222
GO:0007268	chemical synaptic transmission	34	14	9.19	0.08855	0.08855	0.91936	0.311168
GO:0007476	imaginal disc-derived wing morphogenesis	45	19	12.17	0.08913	0.08913	0.91936	0.311168
