Orthogroup	Anopheles_gambiae	Bombus_terrestris
OG0000001	XP_563971.3	XP_003395878.1, XP_003400131.1, XP_012170860.1, XP_003400126.1, XP_003400119.1, XP_020721795.1, XP_012170857.1, XP_020721796.1, XP_012170859.1, XP_012170861.1, XP_012170855.1, XP_012168947.1, XP_012175298.1, XP_003393848.1, XP_012170233.1, XP_020721551.1, XP_012170221.2, XP_012170223.1, XP_003399696.2, XP_003403418.2, XP_003403397.3
OG0000002	XP_317343.1	XP_003393901.1, XP_020722318.1, XP_020722314.1, XP_020723992.1, XP_020723938.1, XP_020724018.1, XP_003393988.2, XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175715.1, XP_012175716.1, XP_012175714.1, XP_012175717.1, XP_012175609.1, XP_003393920.1, XP_003403429.1, XP_003394006.1, XP_003393921.1, XP_012175711.1, XP_003393917.1, XP_003393994.1, XP_020722331.1, XP_020722344.1, XP_003393905.1, XP_020723934.1, XP_012175700.1, XP_012175702.1, XP_003394000.1, XP_020723889.1, XP_012175705.1, XP_020722356.1, XP_012175707.1, XP_003393910.1, XP_003393907.1, XP_003393999.1, XP_003393913.1, XP_012175710.2, XP_012175708.2, XP_003394005.1, XP_003393918.1, XP_003394003.1, XP_003393998.1
OG0000004	XP_320414.1	XP_012175515.1
OG0000005	XP_308124.5	XP_012174537.1, XP_012173838.1, XP_003402808.1, XP_012173837.1, XP_012175341.1
OG0000006	XP_310173.1, XP_310172.2	XP_012174904.1
OG0000008	XP_310333.7	XP_012168744.1
OG0000008	XP_310332.7, XP_003436611.1	XP_012168771.1
OG0000008	XP_559558.6, XP_003436610.1	XP_003398745.1
OG0000008	XP_310340.1	XP_003402021.1, XP_012173573.1, XP_003402067.2, XP_003402064.1, XP_012173606.2, XP_003403320.2, XP_012176687.1, XP_012176691.1, XP_003394740.1, XP_020718362.1, XP_020718363.1, XP_020718364.1, XP_020718365.1, XP_012176686.1, XP_012176685.1, XP_012176683.1, XP_003394739.1, XP_012176688.1, XP_012176689.1, XP_012176690.1, XP_020721002.1
OG0000009	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2	XP_003393388.3, XP_003393376.1, XP_003393377.1, XP_020723850.1, XP_003393379.1
OG0000012	XP_317829.4	XP_003402915.1, XP_020723675.1
OG0000012	XP_554157.3, XP_319603.2, XP_317170.2, XP_317171.2, XP_317172.2, XP_555167.1, XP_317173.2, XP_317175.2, XP_317174.2, XP_318046.3, XP_319102.4, XP_001231167.2	XP_003402916.2
OG0000012	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2	XP_003401050.2, XP_003401048.1
OG0000013	XP_307081.3	XP_003392965.1, XP_003392969.1
OG0000013	XP_307601.3	XP_020718381.1
OG0000013	XP_320335.2, XP_320336.2	XP_003400771.1, XP_003400772.1
OG0000017	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1	XP_012175461.1, XP_012175513.1, XP_012175528.1
OG0000017	XP_562676.3	XP_012172021.1, XP_012172020.1, XP_012172019.1, XP_012172018.1, XP_020722711.1, XP_012172017.1
