ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"LOC114880101"	NA	chrOU015519.1	-	8161944	8162274	8162162	8162274	8161702	8161819
1	"LOC114880101"	NA	chrOU015519.1	-	8162522	8162716	8162601	8162716	8161944	8162274
2	"LOC114872160"	NA	chrOU015519.1	-	7968196	7968639	7968469	7968639	7967782	7968031
3	"LOC114872160"	NA	chrOU015519.1	-	7969418	7969623	7969470	7969623	7969178	7969350
4	"LOC114872190"	NA	chrOU015519.1	-	7781846	7782062	7781960	7782062	7781572	7781767
5	"LOC114872233"	NA	chrOU015519.1	+	7676847	7678029	7676847	7677573	7678109	7679021
6	"LOC114879960"	NA	chrOU015519.1	-	6701510	6701919	6701545	6701919	6701139	6701271
7	"LOC114880459"	NA	chrOU015519.1	-	6286214	6286473	6286307	6286473	6285912	6286068
8	"LOC114880458"	NA	chrOU015519.1	-	6269529	6269691	6269547	6269691	6268739	6269458
9	"LOC114876703"	NA	chrOU015519.1	-	6022709	6022855	6022727	6022855	6021613	6021747
10	"LOC114876703"	NA	chrOU015519.1	-	6022709	6022855	6022727	6022855	6022042	6022090
11	"LOC114876663"	NA	chrOU015519.1	-	5900124	5900443	5900193	5900443	5899825	5900008
12	"LOC114876663"	NA	chrOU015519.1	-	5900707	5901632	5900833	5901632	5899825	5900008
13	"LOC114871527"	NA	chrOU015519.1	-	5477917	5478443	5478022	5478443	5477139	5477802
14	"LOC114871529"	NA	chrOU015519.1	+	5447418	5447680	5447418	5447533	5448185	5449081
15	"LOC114871522"	NA	chrOU015519.1	+	4784506	4785814	4784506	4785775	4824129	4824318
16	"LOC114871549"	NA	chrOU015519.1	-	4633324	4633639	4633402	4633639	4632966	4633049
17	"LOC114871526"	NA	chrOU015519.1	-	4594291	4594444	4594298	4594444	4593369	4594203
18	"LOC114871490"	NA	chrOU015519.1	-	4403214	4403393	4403239	4403393	4402800	4403147
19	"LOC114879061"	NA	chrOU015519.1	+	4146157	4146365	4146157	4146344	4147004	4147205
20	"LOC114879042"	NA	chrOU015519.1	-	3951361	3951496	3951368	3951496	3948738	3948858
21	"LOC114879042"	NA	chrOU015519.1	-	3951767	3952323	3951877	3952323	3951368	3951496
22	"LOC114880250"	NA	chrOU015519.1	+	3811186	3811416	3811186	3811405	3818516	3818982
23	"LOC114880249"	NA	chrOU015519.1	-	3748935	3749280	3749004	3749280	3748377	3748564
24	"LOC114877992"	NA	chrOU015519.1	-	3691555	3692381	3691781	3692381	3690482	3691463
25	"LOC114877993"	NA	chrOU015519.1	+	3672161	3672640	3672161	3672630	3672707	3673702
26	"LOC114880466"	NA	chrOU015519.1	+	6215038	6215245	6215038	6215239	6215417	6215823
27	"LOC114880466"	NA	chrOU015519.1	+	6215038	6215245	6215038	6215239	6215420	6215823
28	"LOC114878004"	NA	chrOU015519.1	+	3439060	3439314	3439060	3439217	3439517	3439603
29	"LOC114878004"	NA	chrOU015519.1	+	3439060	3439314	3439060	3439217	3439874	3440449
30	"LOC114879766"	NA	chrOU015519.1	-	3177471	3177709	3177477	3177709	3177082	3177235
31	"LOC114879761"	NA	chrOU015519.1	+	3162908	3163228	3162908	3163225	3164874	3165520
32	"LOC114879763"	NA	chrOU015519.1	-	3154596	3154747	3154600	3154747	3153042	3154033
33	"LOC114879763"	NA	chrOU015519.1	-	3154596	3154747	3154600	3154747	3154073	3154493
34	"LOC114879755"	NA	chrOU015519.1	-	3149317	3149493	3149325	3149493	3149123	3149231
35	"LOC114877868"	NA	chrOU015519.1	-	3022225	3022995	3022234	3022995	3021911	3022146
36	"LOC114877844"	NA	chrOU015519.1	+	2977588	2977927	2977588	2977775	2978013	2978400
37	"LOC114877855"	NA	chrOU015519.1	-	2951079	2951202	2951082	2951202	2950310	2951007
38	"LOC114877854"	NA	chrOU015519.1	+	2922810	2923007	2922810	2922875	2923416	2923539
39	"LOC114877851"	NA	chrOU015519.1	-	2906519	2906694	2906528	2906694	2905434	2905670
