HOG	OG	Gene Tree Parent Clade	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
N1.HOG0000000	OG0000000	n2														XP_031780061.1, XP_031781368.1, XP_031784232.1, XP_031778443.1, XP_031777962.1, XP_031784690.1, XP_031783006.1, XP_031783907.1, XP_031784231.1, XP_031777109.1, XP_031786049.1, XP_031783025.1, XP_031788733.1, XP_031784230.1, XP_031789087.1, XP_031785918.1, XP_008213166.2, XP_008213161.2, XP_031777957.1, XP_008213162.2, XP_031784229.1, XP_031777963.1, XP_032457383.1, XP_031777472.1, XP_008213165.2							
N1.HOG0000001	OG0000000	n27							XP_017884602.1								XP_031848507.1						
N1.HOG0000002	OG0000000	n32												XP_012151339.1				XP_029054398.1					
N1.HOG0000003	OG0000000	n34																		XP_015189416.1, XP_015189812.1, XP_015186015.1			
N1.HOG0000004	OG0000000	n43						XP_037868519.1, XP_037868121.1, XP_037877020.1, XP_037871023.1, XP_037871648.1, XP_037871120.1, XP_037869233.1, XP_037875881.1, XP_037872459.1, XP_037873687.1	XP_017889631.1		XP_015437833.1, XP_015437066.1, XP_015433444.1			XP_012151347.1, XP_012153201.1, XP_012152388.1, XP_012153198.1, XP_012151851.1, XP_012150518.1							XP_039311985.1, XP_039315440.1, XP_039309112.1		
N1.HOG0000005	OG0000000	n67									XP_015435716.1, XP_015440280.1, XP_015438118.1, XP_015436991.1, XP_015437886.1		XP_017791904.1, XP_017796554.1, XP_017797028.1, XP_017788509.1	XP_012152116.1, XP_012152117.1, XP_003708538.1	XP_033334293.1		XP_031848769.1	XP_029054802.1, XP_029054961.1			XP_011165769.1		
N1.HOG0000006	OG0000000	n85						XP_037871812.1, XP_037873921.1, XP_037876715.1						XP_012147726.1				XP_029054649.1, XP_029054805.1			XP_039309922.1, XP_039311290.1, XP_039306064.1		
N1.HOG0000007	OG0000000	n98							XP_017882812.1				XP_017796961.1, XP_017797535.1, XP_017794620.1, XP_017797043.1, XP_017796727.1, XP_017794319.1		XP_033334388.1, XP_033325360.1, XP_033340297.1, XP_033326120.1		XP_031836767.1, XP_031836982.1						
N1.HOG0000008	OG0000000	n111							XP_026671887.1, XP_017887274.1, XP_017881156.1, XP_017893334.1		XP_015432787.1, XP_015438034.1, XP_015438109.1, XP_015437823.1		XP_017797005.1, XP_017797012.1				XP_031839043.1		XP_034195039.1	XP_015189866.1, XP_015189951.1	XP_011175024.3		
N1.HOG0000009	OG0000000	n129																			XP_039315241.1, XP_039309085.1, XP_011172996.1		
N1.HOG0000010	OG0000000	n132									XP_015434762.1, XP_015437064.1, XP_015437899.1			XP_012152959.1	XP_033333383.1							XP_015839988.1	
N1.HOG0000011	OG0000000	n140									XP_015437079.1	XP_017765285.1											
N1.HOG0000012	OG0000000	n144											XP_017797129.1, XP_017797014.1	XP_012153195.1, XP_012152411.1							XP_011173049.1		
N1.HOG0000013	OG0000000	n149						XP_037874474.1													XP_025997771.2		
N1.HOG0000014	OG0000000	n150																				XP_015839902.1, XP_015840340.1, XP_015840446.1, XP_015840447.1, XP_015840305.1	
N1.HOG0000015	OG0000000	n154					XP_012174903.1, XP_012174868.1, XP_012174870.1, XP_012171987.1, XP_012175227.1, XP_012175323.1, XP_012173834.1, XP_012167635.1, XP_012174527.1, XP_012174218.1, XP_012174900.1, XP_020723247.1, XP_012174418.1, XP_012175537.2		XP_017887262.1, XP_017879465.1, XP_017883322.1, XP_017875143.1, XP_017882355.1, XP_017875371.1, XP_017881790.1		XP_015437138.1, XP_015437077.1, XP_015438112.1, XP_015437418.1, XP_015436978.1	XP_017765119.1, XP_017763965.1, XP_017764141.1	XP_017796956.1, XP_017797085.1, XP_017796821.1, XP_017797138.1, XP_017791629.1, XP_017791907.1, XP_017791919.1, XP_017797095.1, XP_017792099.1, XP_017797059.1, XP_017795696.1, XP_017797537.1, XP_017795384.1, XP_017791920.1, XP_017793555.1, XP_017791908.1	XP_012147360.1, XP_012152724.1, XP_012152727.1, XP_012136801.1, XP_012136208.1, XP_003708045.1, XP_012152122.1, XP_012152740.1, XP_012152147.1, XP_012147281.1	XP_033332143.1, XP_033322446.1, XP_033339901.1, XP_033329061.1		XP_031836774.1, XP_031848506.1, XP_031848962.1, XP_031836772.1, XP_031847716.1, XP_031848466.1	XP_029054992.1, XP_029054064.1, XP_029054855.1, XP_029054346.1, XP_029054261.1, XP_029053969.1, XP_029054124.1, XP_029053863.1, XP_029054772.1, XP_029054942.1, XP_029054672.1	XP_034174770.1, XP_034194634.1, XP_034195203.1, XP_034194192.1, XP_034195295.1, XP_034194995.1	XP_015189651.1, XP_015189697.1, XP_015189739.1, XP_015189791.1, XP_015189501.1, XP_015189415.1	XP_025997408.1, XP_039309650.1, XP_011174413.3		
N1.HOG0000016	OG0000000	n246					XP_012174539.1, XP_012174517.1		XP_017875370.2				XP_017797032.1, XP_017795923.1, XP_017796726.1	XP_012146525.1, XP_012153233.1, XP_012143819.1, XP_012153583.1			XP_031842135.1	XP_029054786.1, XP_029054770.1, XP_029054870.1	XP_034194536.1				
N1.HOG0000017	OG0000000	n265					XP_020723248.1					XP_017765120.1	XP_017796820.1, XP_017797015.1, XP_017793544.1, XP_017796209.1, XP_017796989.1, XP_017797538.1	XP_012153566.1, XP_012136802.1		XP_031781371.1	XP_031848883.1, XP_031848885.1	XP_029053897.1, XP_029054913.1, XP_029054361.1					
N1.HOG0000018	OG0000000	n281										XP_017765495.1, XP_017765002.1											
N1.HOG0000019	OG0000000	n283																		XP_015180763.1, XP_015187776.1, XP_015189502.1, XP_015189653.1, XP_015189902.1			
N1.HOG0000020	OG0000000	n287						XP_037867490.1	XP_017875755.1		XP_015431641.1		XP_017796995.1, XP_017796351.1	XP_012151867.1, XP_012145743.1, XP_012152397.1, XP_012151332.1, XP_012145447.1	XP_033323544.1, XP_033323536.1						XP_025993453.2, XP_039312392.1, XP_011174949.3, XP_025997375.2		
N1.HOG0000021	OG0000000	n302											XP_017797536.1, XP_017795695.1, XP_017792100.1, XP_017796984.1		XP_033325358.1, XP_033320862.1, XP_033339065.1, XP_033338067.1		XP_031829449.1	XP_029054778.1, XP_029054823.1					
N1.HOG0000022	OG0000000	n315									XP_015433132.1		XP_017794325.1, XP_017792102.1, XP_017797004.1										
N1.HOG0000023	OG0000000	n321							XP_017876324.1				XP_017788506.1, XP_017797013.1	XP_012143823.1, XP_012135024.1, XP_012136214.1, XP_012152412.1	XP_033321268.1		XP_031836768.1	XP_029054415.1, XP_029055002.1	XP_034195330.1		XP_039312439.1, XP_039308831.1, XP_011173050.1, XP_011165208.1, XP_011171523.1, XP_039309123.1, XP_025996322.1, XP_025997856.2		
N1.HOG0000024	OG0000000	n351						XP_037873684.1, XP_037875621.1, XP_037871945.1, XP_037868562.1, XP_004934170.2													XP_039304826.1, XP_025995613.2, XP_039305162.1, XP_039315197.1, XP_039303384.1, XP_039303369.1, XP_039303464.1, XP_025997196.2, XP_039311320.1, XP_039310735.1, XP_011165058.1, XP_039314220.1, XP_039310450.1, XP_039302109.1, XP_011156998.1, XP_039311166.1, XP_025987222.1, XP_011172569.3, XP_025995820.2, XP_025996528.2		
N1.HOG0000025	OG0000000	n401						XP_037876336.1, XP_037871352.1, XP_037873843.1, XP_037876794.1, XP_037868698.1													XP_039311317.1, XP_039310346.1, XP_039315534.1, XP_039309247.1, XP_039301764.1, XP_039303563.1		
N1.HOG0000026	OG0000000	n412																	XP_034192189.1, XP_034179509.1				
N1.HOG0000027	OG0000000	n413							XP_017887576.1, XP_017882359.1, XP_017877626.1, XP_017879660.1, XP_017874999.1														
N1.HOG0000028	OG0000000	n417																		XP_015190534.1, XP_015189734.1, XP_015189881.1, XP_015189872.1			
N1.HOG0000029	OG0000000	n422						XP_037872500.1, XP_037868916.1														XP_015840338.1	
N1.HOG0000030	OG0000000	n438						XP_037868977.1, XP_037875254.1, XP_037874877.1, XP_037870555.1, XP_037871459.1, XP_037874347.1, XP_037871457.1, XP_037873352.1, XP_037870375.1, XP_037871456.1, XP_004934341.2, XP_037871995.1, XP_037876482.1, XP_037867970.1, XP_037877015.1, XP_037866942.1, XP_037871132.1, XP_037873349.1, XP_037873726.1, XP_037870089.1, XP_037875303.1, XP_037875903.1, XP_037868123.1, XP_037876472.1	XP_017875322.1						XP_033323553.1			XP_029054286.1			XP_011169834.2		
N1.HOG0000031	OG0000000	n473									XP_015438108.1		XP_017796988.1, XP_017796388.1				XP_031848866.1						
N1.HOG0000032	OG0000000	n476											XP_017796207.1		XP_033339063.1, XP_033339068.1, XP_033339380.1, XP_033322444.1	XP_008214147.2, XP_031781320.1, XP_031779811.1					XP_039315361.1, XP_011170664.3, XP_039306364.1, XP_039305212.1, XP_011171639.2, XP_039311874.1, XP_039302112.1, XP_025997421.1, XP_039305157.1, XP_011174666.2, XP_039303966.1, XP_039315454.1, XP_039306760.1, XP_039311986.1, XP_039314225.1, XP_039304898.1, XP_039310754.1, XP_039309629.1, XP_011174758.3, XP_039303553.1, XP_039312857.1, XP_039309666.1, XP_039303445.1, XP_039307919.1, XP_039304380.1, XP_025996386.2, XP_011161658.3, XP_039315545.1, XP_025997894.2, XP_039313519.1, XP_039310248.1, XP_039310458.1		
N1.HOG0000033	OG0000001	n1		XP_021694388.1, XP_001649932.1, XP_001649935.3, XP_011493176.1, XP_021703140.1, XP_001653676.1, XP_001653678.1, XP_001653677.1, XP_021702544.1, XP_021702543.1, XP_001653671.1, XP_021703143.1, XP_001653672.1, XP_001653673.1, XP_001653674.1, XP_011492959.1, XP_001653683.1, XP_001653686.1, XP_001653682.1, XP_001653687.3, XP_001653675.1, XP_021693512.1, XP_021693513.1, XP_001649312.1, XP_021710387.1, XP_001649311.2, XP_001653903.2, XP_001653509.1	XP_001237905.2, XP_312050.1, XP_312049.4, XP_312048.1, XP_563271.1, XP_312047.2, XP_312046.4, XP_001688205.1, XP_309693.4, XP_317261.1, XP_317260.1, XP_317263.1, XP_555257.2, XP_317257.2, XP_001237903.1, XP_001237902.1, XP_317256.3, XP_306845.4, XP_317264.2, XP_555259.1, XP_312054.2, XP_003436271.1	XP_016772837.1	XP_003398646.1			NP_001285631.1, NP_001286431.1, NP_611000.2, NP_001286433.1, NP_611001.2, NP_611002.3, NP_001286149.1, NP_001286435.1, NP_523749.2, NP_001287562.1, NP_523628.1, NP_523748.2, NP_611003.2, NP_001286199.1, NP_610390.1, NP_611698.1, NP_650327.1	XP_015431819.1	XP_017753391.1	XP_017795702.1	XP_012153915.1, XP_012153916.1	XP_033341784.1	NP_001165974.1, NP_001166007.1, XP_001607043.2, XP_001606687.2, NP_001165941.1, NP_001166008.1, XP_001602787.1, NP_001166004.1, NP_001166003.1	XP_031834821.1	XP_029044867.1	XP_034175979.1	XP_015182412.1, XP_015181295.1	XP_011170312.2, XP_039312609.1, XP_039312733.1, XP_039312352.1, XP_039312340.1, XP_039312605.1, XP_039312730.1, XP_039312353.1, XP_039312724.1, XP_039312723.1, XP_039306128.1, XP_011164151.3, XP_025997129.2, XP_039301776.1, XP_039312725.1, XP_039312734.1, XP_039312722.1, XP_039312861.1, XP_025992592.1, XP_039306285.1, XP_011165642.3	XP_969746.4, XP_969875.1, XP_969982.1, XP_970699.2, XP_015836266.1, XP_008194722.1, XP_969048.1, XP_970556.2, XP_969948.1, XP_008200098.2, XP_008200093.1, XP_970481.1, XP_966437.1, NP_001123875.1, XP_968370.1, XP_008190374.1, XP_008200096.1, XP_970215.1, XP_969633.1, XP_974742.1, XP_008192266.1, NP_001164249.1, NP_001280531.1, NP_001177722.1, NP_001280532.1, XP_975562.1, XP_975569.1, XP_008192269.1, XP_008192267.1, XP_015834511.1, XP_015834510.1, NP_001137200.1	XP_035720574.1
N1.HOG0000034	OG0000001	n146				XP_026296210.1	XP_012168947.1		XP_017884717.1		XP_015437062.1	XP_017759613.1	XP_017791778.1	XP_003703200.1	XP_033339718.1	XP_001599214.2	XP_031828824.1	XP_029036021.1	XP_034187550.1	XP_015174482.1	XP_011164185.1		XP_035734019.1
N1.HOG0000035	OG0000001	n161						NP_001266427.1, NP_001073135.1, XP_012545238.2, NP_001104007.1, XP_037869378.1, NP_001106226.1, NP_001296520.1															
N1.HOG0000036	OG0000001	n168						NP_001266295.1															
