Orthogroup	Osmia_lignaria	Drosophila_melanogaster
OG0000001	XP_034183758.1, XP_034183757.1, XP_034177877.1, XP_034194603.1, XP_034194619.1, XP_034194593.1, XP_034194594.1, XP_034178693.1, XP_034178694.1, XP_034178695.1, XP_034178692.1, XP_034178691.1, XP_034178244.1, XP_034178676.1, XP_034194581.1, XP_034194582.1, XP_034194583.1, XP_034178690.1, XP_034178111.1, XP_034194601.1, XP_034178688.1, XP_034178687.1, XP_034178689.1, XP_034178696.1, XP_034187550.1, XP_034182179.1, XP_034190826.1, XP_034190827.1	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1
OG0000006	XP_034189642.1	NP_523647.2, NP_523721.1
OG0000008	XP_034185974.1	NP_572981.1
OG0000008	XP_034185973.1	NP_572985.1
OG0000008	XP_034181671.1	NP_651466.1
OG0000008	XP_034185970.1	NP_572978.1, NP_572977.1
OG0000008	XP_034185983.1	NP_001285251.1
OG0000008	XP_034185979.1, XP_034185978.1	NP_001285249.1
OG0000008	XP_034185982.1, XP_034185981.1, XP_034185980.1	NP_572987.1
OG0000009	XP_034180231.1, XP_034180230.1, XP_034180232.1, XP_034195958.1, XP_034180228.1, XP_034180226.1, XP_034180498.1, XP_034180227.1	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1
OG0000011	XP_034179513.1, XP_034179498.1, XP_034179504.1, XP_034179577.1, XP_034179501.1, XP_034179503.1, XP_034179500.1, XP_034179514.1, XP_034178976.1, XP_034178986.1, XP_034179499.1, XP_034179569.1, XP_034178978.1, XP_034179326.1, XP_034179109.1, XP_034179107.1, XP_034179104.1, XP_034179567.1, XP_034179496.1, XP_034178945.1, XP_034179106.1, XP_034179327.1, XP_034178946.1, XP_034192240.1, XP_034179568.1, XP_034179105.1, XP_034179001.1, XP_034179112.1, XP_034179515.1, XP_034179497.1, XP_034178947.1, XP_034179578.1	NP_523520.2
OG0000012	XP_034181531.1	NP_729270.1, NP_729271.1, NP_648134.1
OG0000012	XP_034195538.1	NP_611479.2, NP_001027441.1, NP_001097340.1
OG0000012	XP_034193627.1, XP_034193628.1, XP_034193625.1	NP_001036717.1
OG0000013	XP_034195020.1	NP_001027298.1, NP_001027294.1, NP_001027338.1
OG0000013	XP_034171451.1	NP_001027353.1
OG0000013	XP_034173427.1, XP_034171174.1	NP_001027343.1, NP_001027289.1, NP_001027285.1
OG0000013	XP_034191425.1, XP_034191426.1	NP_001259374.1
OG0000017	XP_034170905.1	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1
OG0000017	XP_034178979.1, XP_034178985.1, XP_034178984.1	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1
OG0000018	XP_034175482.1	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1
OG0000018	XP_034193261.1, XP_034193695.1, XP_034193694.1	NP_001247286.1
OG0000019	XP_034185441.1	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1
OG0000020	XP_034186694.1, XP_034186692.1	NP_001097100.1, NP_001188701.2
OG0000020	XP_034192547.1	NP_723828.1
OG0000020	XP_034171877.1	NP_001137799.1, NP_723441.2
OG0000020	XP_034185768.1	NP_651649.1
OG0000021	XP_034176195.1, XP_034176197.1, XP_034176196.1	NP_001263113.1, NP_651812.1, NP_001189282.1
OG0000021	XP_034184869.1	NP_611262.1, NP_651761.2
OG0000021	XP_034181343.1	NP_650482.1, NP_732032.1
OG0000022	XP_034187482.1	NP_001027366.1, NP_001027371.1, NP_001027376.1
OG0000026	XP_034194425.1	NP_729591.1, NP_001287018.1
OG0000026	XP_034181081.1	NP_001014616.2
OG0000026	XP_034179246.1	NP_001163838.2
OG0000026	XP_034195801.1, XP_034196365.1	NP_001285239.1
OG0000027	XP_034174017.1	NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1
OG0000027	XP_034173430.1	NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1
OG0000029	XP_034181406.1, XP_034181408.1	NP_647872.1, NP_650813.2
OG0000029	XP_034181507.1	NP_647875.1, NP_647873.2
OG0000032	XP_034196186.1	NP_001285067.1
OG0000032	XP_034191636.1	NP_611166.2
OG0000032	XP_034177599.1, XP_034177331.1, XP_034185955.1	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1
OG0000035	XP_034174457.1	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2
OG0000037	XP_034181170.1	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1
OG0000038	XP_034191028.1, XP_034195488.1	NP_476772.1, NP_524264.1
OG0000038	XP_034179614.1	NP_650674.1
OG0000040	XP_034170854.1, XP_034170811.1, XP_034170810.1, XP_034170809.1	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1
OG0000041	XP_034174489.1, XP_034174481.1	NP_523625.1, NP_001014725.1
OG0000041	XP_034183066.1, XP_034183064.1	NP_001262200.1
OG0000041	XP_034186914.1	NP_477037.2
OG0000042	XP_034173998.1	NP_731781.1
OG0000043	XP_034173650.1	NP_001286870.1
OG0000043	XP_034192580.1	NP_524121.2
OG0000044	XP_034185423.1, XP_034185424.1, XP_034185422.1	NP_732652.1, NP_001303538.1, NP_650979.1
OG0000044	XP_034185647.1, XP_034185650.1, XP_034185648.1	NP_651674.3
OG0000045	XP_034196329.1, XP_034196330.1, XP_034181260.1	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2
OG0000046	XP_034194263.1	NP_001285139.1
OG0000046	XP_034188783.1, XP_034179386.1	NP_001262586.1
OG0000046	XP_034176742.1	NP_524063.1
OG0000047	XP_034183417.1, XP_034177275.1, XP_034192311.1, XP_034192314.1, XP_034192434.1, XP_034192433.1, XP_034194157.1, XP_034194156.1, XP_034194155.1, XP_034182102.1, XP_034170845.1, XP_034177194.1, XP_034192178.1, XP_034174821.1, XP_034187731.1	NP_652056.2
OG0000050	XP_034183260.1	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1
OG0000052	XP_034186731.1, XP_034194880.1	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2
