ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5758045	5758171	5757385	5757472	5758263	5758399	0	91,57,57,46	28,15,12,13	51,39,35,50	16,13,9,7	225	144	0.769891689682	1.0	0.675,0.709,0.752,0.694	0.671,0.658,0.713,0.821	-0.008
1	"LOC114871553"	NA	chrOU015519.1	-	5330182	5330337	5404680	5404705	5252152	5252257	5426245	5426957	1	1,0,0,0	11,10,9,4	0,0,0,1	4,5,3,16	124	254	1	1.0	0.157,0.0,0.0,0.0	0.0,0.0,0.0,0.113	0.011
2	"LOC114871522"	NA	chrOU015519.1	+	4826791	4826824	4827893	4827914	4824129	4824318	4840436	4840538	2	44,12,12,27	1,0,0,1	21,11,14,27	0,2,1,0	132	120	1	1.0	0.976,1.0,1.0,0.961	1.0,0.833,0.927,1.0	0.044
3	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4433138	4433223	3	1,2,4,7	470,262,309,285	5,3,2,7	238,232,305,543	196	196	0.748132671089	1.0	0.002,0.008,0.013,0.024	0.021,0.013,0.007,0.013	-0.002
4	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4433328	4433416	4430488	4430615	4434371	4434668	4	1,1,4,6	8,1,5,5	5,4,2,6	4,4,4,3	196	187	0.237550791164	0.8603190815128647	0.107,0.488,0.433,0.534	0.544,0.488,0.323,0.656	-0.112
5	"LOC114877988"	NA	chrOU015519.1	+	3337932	3338031	3338082	3338184	3337499	3337847	3338649	3339728	5	308,188,231,139	344,170,254,193	113,185,107,154	131,172,163,183	198	201	0.648205866443	1.0	0.476,0.529,0.48,0.422	0.467,0.522,0.4,0.461	0.014
6	"LOC114877840"	NA	chrOU015519.1	-	2834004	2836107	2836788	2837019	2832412	2833014	2837350	2837472	6	23,9,18,13	94,31,27,23	26,17,22,34	37,32,39,64	330	2202	0.10965930999	0.7176488583112149	0.62,0.66,0.816,0.79	0.824,0.78,0.79,0.78	-0.072
7	"LOC114876493"	NA	chrOU015518.1	+	8398400	8398495	8399388	8399483	8397830	8398132	8407203	8407378	7	11,6,5,3	203,75,92,100	4,4,3,9	88,93,95,181	194	194	0.485451855518	1.0	0.051,0.074,0.052,0.029	0.043,0.041,0.031,0.047	0.011
8	"LOC114876493"	NA	chrOU015518.1	+	8398400	8398495	8404088	8404183	8397830	8398132	8407203	8407378	8	11,6,5,3	120,65,65,64	4,4,3,9	67,42,78,112	194	194	0.536759576951	1.0	0.084,0.085,0.071,0.045	0.056,0.087,0.037,0.074	0.008
9	"LOC114876493"	NA	chrOU015518.1	+	8399388	8399483	8404088	8404183	8397830	8398132	8407203	8407378	9	203,75,92,100	120,65,65,64	88,93,95,181	67,42,78,112	194	194	0.792931995072	1.0	0.628,0.536,0.586,0.61	0.568,0.689,0.549,0.618	-0.016
10	"LOC114875326"	NA	chrOU015518.1	-	4676805	4676976	4677777	4677957	4676123	4676339	4678507	4678687	10	6,1,2,0	60,18,33,23	2,3,0,5	30,26,18,45	279	270	0.664243386783	1.0	0.088,0.051,0.055,0.0	0.061,0.1,0.0,0.097	-0.016
11	"LOC114878476"	NA	chrOU015518.1	+	4350938	4351043	4351434	4352334	4350257	4350401	4352910	4353313	11	26,21,11,15	259,145,144,203	21,14,14,25	199,188,110,487	204	999	0.413108634952	1.0	0.33,0.415,0.272,0.266	0.341,0.267,0.384,0.201	0.022
12	"LOC114880579"	NA	chrOU015518.1	+	3695628	3695907	3697286	3697698	3692937	3693455	3698353	3699138	12	631,370,423,428	1455,754,886,867	342,330,326,412	662,574,718,764	378	511	0.254392519112	0.906611637260851	0.37,0.399,0.392,0.4	0.411,0.437,0.38,0.422	-0.022
13	"LOC114882828"	NA	chrOU015518.1	+	2064144	2064187	2064330	2064525	2063749	2064058	2065710	2065855	13	19,10,10,13	40,19,19,17	10,9,8,12	24,31,26,31	142	294	0.0767921196349	0.637700856673037	0.496,0.521,0.521,0.613	0.463,0.375,0.389,0.445	0.12
14	"LOC114872221"	NA	chrOU015519.1	-	7180789	7180906	7184361	7184472	7179625	7180058	7185293	7185344	14	3,0,2,0	16,11,16,15	0,0,3,3	11,8,5,18	210	216	0.628457461155	1.0	0.162,0.0,0.114,0.0	0.0,0.0,0.382,0.146	-0.063
15	"LOC114881700"	NA	chrOU015518.1	-	1638501	1638742	1639409	1639436	1637330	1637572	1639696	1639836	15	105,49,73,101	195,104,122,136	46,48,71,66	126,121,91,131	126	340	0.288514953267	0.9603925745397045	0.592,0.56,0.618,0.667	0.496,0.517,0.678,0.576	0.043
16	"LOC114872846"	NA	chrOU015518.1	+	1026713	1026762	1031284	1031333	1019832	1019874	1035414	1035532	16	46,12,23,18	98,58,78,44	17,18,25,31	51,53,55,56	148	148	0.354009216442	1.0	0.319,0.171,0.228,0.29	0.25,0.254,0.312,0.356	-0.041
17	"LOC114872846"	NA	chrOU015518.1	+	1026713	1026762	1033260	1033309	1019832	1019874	1035414	1035532	17	46,12,23,18	14,3,13,5	17,18,25,31	2,8,9,10	148	148	0.704936044395	1.0	0.767,0.8,0.639,0.783	0.895,0.692,0.735,0.756	-0.022
18	"LOC114872846"	NA	chrOU015518.1	+	1031284	1031333	1033260	1033309	1019832	1019874	1035414	1035532	18	98,58,78,44	14,3,13,5	51,53,55,56	2,8,9,10	148	148	0.857460413979	1.0	0.875,0.951,0.857,0.898	0.962,0.869,0.859,0.848	0.011
19	"LOC114872849"	NA	chrOU015518.1	-	857429	857654	858050	858089	856940	857029	863890	863984	19	463,271,306,328	1271,777,938,1039	247,249,325,393	706,510,680,1034	138	324	0.0172160764644	0.3295648923185143	0.461,0.45,0.434,0.426	0.451,0.534,0.529,0.472	-0.054
20	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	790142	790365	789340	789421	790649	791101	20	62,31,44,46	31,21,22,20	47,53,59,30	13,21,38,22	322	203	0.814885201942	1.0	0.558,0.482,0.558,0.592	0.695,0.614,0.495,0.462	-0.019
21	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	790506	790591	789340	789421	790649	791101	21	23,6,10,9	31,21,22,20	5,6,12,4	13,21,38,22	184	203	0.0619747074128	0.5735559946761644	0.45,0.24,0.334,0.332	0.298,0.24,0.258,0.167	0.098
22	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	790649	790701	789340	789421	790864	791101	22	9,2,4,2	31,21,20,21	8,3,5,2	13,20,36,20	151	203	0.748539113936	1.0	0.281,0.114,0.212,0.114	0.453,0.168,0.157,0.119	-0.044
23	"LOC114873001"	NA	chrOU015518.1	-	790142	790365	790506	790591	789340	789421	790649	791101	23	23,6,10,9	62,31,44,46	5,6,12,4	47,53,59,30	184	322	0.0262749685369	0.40940067255169765	0.394,0.253,0.285,0.255	0.157,0.165,0.262,0.189	0.103
24	"LOC114872985"	NA	chrOU015518.1	+	694385	694520	695506	695546	693317	693398	697451	698759	24	33,25,14,12	6,9,9,1	13,13,19,9	5,5,2,0	234	139	0.382695212019	1.0	0.766,0.623,0.48,0.877	0.607,0.607,0.849,1.0	-0.079
25	"LOC114872985"	NA	chrOU015518.1	+	694449	694520	695506	695546	693317	693398	697451	698759	25	26,9,6,10	6,9,9,1	9,11,8,8	5,5,2,0	170	139	0.313658319479	0.9683961705189041	0.78,0.45,0.353,0.891	0.595,0.643,0.766,1.0	-0.132
26	"LOC114876025"	NA	chrOU015518.1	-	564470	564593	566594	566714	560294	560530	570935	571058	26	245,186,185,127	72,38,66,53	105,109,96,165	29,29,29,59	219	222	0.891625394845	1.0	0.775,0.832,0.74,0.708	0.786,0.792,0.77,0.739	-0.008
27	"LOC114875900"	NA	chrOU015517.1	-	5313518	5313623	5314067	5314178	5309608	5309737	5325882	5326011	27	103,52,55,47	3,5,8,3	41,53,41,57	10,2,1,7	210	204	0.432038083243	1.0	0.971,0.91,0.87,0.938	0.799,0.963,0.976,0.888	0.016
28	"LOC114872712"	NA	chrOU015517.1	-	4695482	4695658	4697833	4697964	4692205	4692281	4700336	4700438	28	32,11,9,15	3,0,1,1	17,15,12,24	1,2,0,0	230	275	1	1.0	0.927,1.0,0.915,0.947	0.953,0.9,1.0,1.0	-0.016
